index,acc1,acc2,acc3,gro1,gro2,gro3,mag1,mag2,mag3,label
0,511,278,-631,-33,13,24,5201,2742,-3801,still
1,510,279,-630,-33,13,25,5201,152171,74158,still
2,509,280,-629,-33,13,26,5201,2742,-3801,still
3,509,282,-627,-33,13,27,4901,2724,-3681,still
4,508,284,-625,-33,12,28,4901,2724,-3681,still
5,507,287,-623,-33,12,29,4901,2724,-3681,still
6,507,289,-621,-33,12,30,4901,2724,-3681,still
7,507,292,-619,-33,12,30,4901,2724,-3681,still
8,507,292,-619,-33,12,30,4901,2724,-3681,still
9,506,294,-616,-33,12,31,4901,2724,-3681,still
10,506,298,-614,-33,12,32,4901,2724,-3681,still
11,506,301,-611,-33,12,33,4901,2724,-3681,still
12,507,305,-608,-33,12,34,4901,2724,-3681,still
13,507,308,-606,-33,12,34,4901,2724,-3681,still
14,509,312,-604,-32,12,35,5130,2812,-3767,still
15,510,317,-602,-32,12,36,5130,2812,-3767,still
16,511,322,-601,-32,12,37,5130,2812,-3767,still
17,512,326,-599,-32,12,37,5130,2812,-3767,still
18,514,331,-596,-32,12,38,5130,2812,-3767,still
19,514,331,-596,-32,12,38,5130,2812,-3767,still
20,516,336,-594,-32,13,38,5130,2812,-3767,still
21,518,341,-592,-32,13,39,5130,2812,-3767,still
22,520,346,-590,-32,13,39,5130,2812,-3767,still
23,522,351,-588,-31,14,40,5130,2812,-3767,still
24,524,357,-586,-31,14,40,5130,2812,-3767,still
25,526,363,-585,-31,14,41,5148,2901,-3716,still
26,529,368,-584,-30,15,41,5148,2901,-3716,still
27,532,373,-583,-30,15,41,5148,2901,-3716,still
28,535,379,-583,-30,16,42,5148,2901,-3716,still
29,535,379,-583,-30,16,42,5148,2901,-3716,still
30,538,384,-583,-29,16,42,5148,2901,-3716,still
31,542,389,-583,-29,17,42,5148,2901,-3716,still
32,545,394,-584,-28,17,42,5148,2901,-3716,still
33,549,400,-585,-28,18,43,5148,2901,-3716,still
34,553,405,-586,-27,18,43,5148,2901,-3716,still
35,557,411,-586,-27,19,43,5148,2901,-3716,still
36,561,416,-587,-26,19,43,5289,2936,-3852,still
37,565,422,-588,-25,20,43,5289,2936,-3852,still
38,569,428,-590,-25,20,43,5289,2936,-3852,still
39,573,434,-591,-24,21,43,5289,2936,-3852,still
40,573,434,-591,-24,21,43,5289,2936,-3852,still
41,578,440,-593,-23,21,42,5289,2936,-3852,still
42,583,445,-595,-23,22,42,5289,2936,-3852,still
43,587,450,-597,-22,22,42,5289,2936,-3852,still
44,591,455,-599,-21,22,42,5289,2936,-3852,still
45,596,461,-601,-21,23,41,5289,2936,-3852,still
46,601,466,-604,-20,23,41,5289,2936,-3852,still
47,606,471,-607,-19,24,40,5412,2777,-3699,still
48,610,476,-610,-18,24,40,5412,2777,-3699,still
49,615,481,-612,-17,25,39,5412,2777,-3699,still
50,615,481,-612,-17,25,39,5412,2777,-3699,still
51,619,485,-614,-17,25,39,5412,2777,-3699,still
52,624,490,-615,-16,25,38,5412,2777,-3699,still
53,628,494,-617,-15,26,38,5412,2777,-3699,still
54,633,498,-619,-14,26,37,5412,2777,-3699,still
55,637,502,-622,-13,26,36,5412,2777,-3699,still
56,641,506,-624,-12,27,36,5412,2777,-3699,still
57,646,510,-626,-11,27,35,5412,2777,-3699,still
58,650,514,-629,-11,27,34,5236,2671,-3767,still
59,655,517,-633,-10,28,33,5236,2671,-3767,still
60,660,520,-637,-9,28,32,5236,2671,-3767,still
61,660,520,-637,-9,28,32,5236,2671,-3767,still
62,664,523,-640,-8,28,31,5236,2671,-3767,still
63,669,526,-645,-8,28,30,5236,2671,-3767,still
64,674,529,-650,-7,28,28,5236,2671,-3767,still
65,679,533,-655,-6,28,27,5236,2671,-3767,still
66,684,536,-659,-6,28,26,5236,2671,-3767,still
67,688,539,-663,-5,28,25,5236,2671,-3767,still
68,693,542,-667,-5,28,23,5236,2671,-3767,still
69,698,545,-671,-4,28,22,5236,2671,-3767,still
70,703,547,-675,-3,28,20,5236,2671,-3767,still
71,703,547,-675,-3,28,20,5236,2671,-3767,still
72,709,548,-679,-3,28,19,5236,2671,-3767,still
73,715,549,-684,-2,28,18,5236,2671,-3767,still
74,719,548,-689,-1,27,16,5236,2671,-3767,still
75,723,548,-695,0,27,15,5236,2671,-3767,still
76,726,548,-702,1,26,14,5236,2671,-3767,still
77,728,550,-710,2,26,13,5236,2671,-3767,still
78,730,553,-718,3,25,12,5236,2671,-3767,still
79,731,556,-726,4,24,11,5236,2671,-3767,still
80,733,560,-733,5,23,10,5236,2671,-3767,still
81,734,565,-738,6,21,8,5236,2671,-3767,still
82,734,565,-738,6,21,8,5236,2671,-3767,still
83,735,569,-741,8,20,7,5236,2671,-3767,still
84,737,573,-742,9,19,6,5236,2671,-3767,still
85,739,575,-742,11,17,5,5236,2671,-3767,still
86,742,576,-741,12,16,4,5236,2671,-3767,still
87,745,575,-739,14,15,3,5236,2671,-3767,still
88,748,573,-738,16,14,2,5236,2671,-3767,still
89,753,570,-737,18,13,1,5236,2671,-3767,still
90,756,566,-737,19,12,-1,5236,2671,-3767,still
91,760,563,-739,21,11,-2,5236,2671,-3767,still
92,760,563,-739,21,11,-2,5236,2671,-3767,still
93,764,558,-742,22,10,-3,5500,2724,-3784,still
94,768,552,-746,23,9,-5,5500,2724,-3784,still
95,771,546,-751,24,8,-7,5500,2724,-3784,still
96,773,540,-757,24,7,-9,5500,2724,-3784,still
97,775,535,-763,23,6,-11,5500,2724,-3784,still
98,775,531,-770,23,4,-13,5500,2724,-3784,still
99,774,528,-776,22,3,-16,5500,2724,-3784,still
100,771,527,-782,21,1,-18,5500,2724,-3784,still
101,768,527,-786,19,-1,-21,5500,2724,-3784,still
102,768,527,-786,19,-1,-21,5500,2724,-3784,still
103,763,530,-789,18,-3,-23,5500,2724,-3784,still
104,758,533,-791,17,-4,-26,5412,2671,-3733,still
105,752,536,-792,15,-6,-28,5412,2671,-3733,still
106,745,540,-791,14,-7,-31,5412,2671,-3733,still
107,738,543,-789,13,-9,-34,5412,2671,-3733,still
108,731,547,-785,12,-10,-36,5412,2671,-3733,still
109,724,551,-780,11,-12,-39,5412,2671,-3733,still
110,717,554,-774,11,-14,-41,5412,2671,-3733,still
111,709,554,-766,10,-15,-44,5412,2671,-3733,still
112,701,553,-758,10,-17,-46,5412,2671,-3733,still
113,701,553,-758,10,-17,-46,5412,2671,-3733,still
114,693,552,-749,10,-18,-49,5412,2671,-3733,still
115,686,551,-738,9,-19,-51,5536,2795,-3920,still
116,679,551,-727,9,-21,-53,5536,2795,-3920,still
117,671,550,-716,9,-22,-55,5536,2795,-3920,still
118,664,550,-704,9,-23,-56,5536,2795,-3920,still
119,657,550,-692,10,-24,-58,5536,2795,-3920,still
120,650,549,-680,10,-25,-59,5536,2795,-3920,still
121,643,548,-670,11,-25,-60,5536,2795,-3920,still
122,637,546,-661,13,-26,-61,5536,2795,-3920,still
123,631,544,-653,14,-26,-61,5536,2795,-3920,still
124,631,544,-653,14,-26,-61,5536,2795,-3920,still
125,626,542,-645,15,-27,-62,5536,2795,-3920,still
126,622,540,-638,17,-27,-63,5606,2689,-3886,still
127,619,537,-632,19,-27,-63,5606,2689,-3886,still
128,618,534,-627,21,-27,-63,5606,2689,-3886,still
129,617,530,-623,23,-28,-63,5606,2689,-3886,still
130,616,525,-620,26,-28,-64,5606,2689,-3886,still
131,615,518,-619,28,-29,-64,5606,2689,-3886,still
132,613,512,-618,30,-29,-64,5606,2689,-3886,still
133,613,505,-618,32,-30,-64,5606,2689,-3886,still
134,613,505,-618,32,-30,-64,5606,2689,-3886,still
135,614,498,-619,34,-30,-64,5606,2689,-3886,still
136,616,490,-619,37,-31,-64,5606,2689,-3886,still
137,618,481,-620,39,-31,-63,5624,2706,-3971,still
138,621,472,-622,41,-32,-63,5624,2706,-3971,still
139,624,462,-624,43,-33,-63,5624,2706,-3971,still
140,628,453,-627,45,-34,-63,5624,2706,-3971,still
141,632,442,-629,47,-35,-62,5624,2706,-3971,still
142,636,432,-632,48,-37,-62,5624,2706,-3971,still
143,637,422,-635,50,-39,-61,5624,2706,-3971,still
144,637,414,-639,51,-40,-61,5624,2706,-3971,still
145,637,414,-639,51,-40,-61,5624,2706,-3971,still
146,636,405,-642,53,-42,-60,5624,2706,-3971,still
147,636,397,-645,54,-43,-60,5624,2706,-3971,still
148,637,388,-647,55,-45,-59,5553,2883,-4108,still
149,636,379,-650,57,-46,-58,5553,2883,-4108,still
150,637,370,-652,58,-47,-57,5553,2883,-4108,still
151,638,362,-654,59,-48,-57,5553,2883,-4108,still
152,639,353,-656,61,-49,-56,5553,2883,-4108,still
153,640,345,-658,62,-50,-55,5553,2883,-4108,still
154,640,334,-661,64,-51,-54,5553,2883,-4108,still
155,640,323,-664,65,-53,-53,5553,2883,-4108,still
156,640,323,-664,65,-53,-53,5553,2883,-4108,still
157,641,311,-666,66,-54,-52,5553,2883,-4108,still
158,642,298,-668,67,-55,-51,5553,2883,-4108,still
159,643,284,-670,68,-56,-50,5730,2883,-4210,still
160,645,271,-671,68,-58,-49,5730,2883,-4210,still
161,646,259,-671,69,-59,-48,5730,2883,-4210,still
162,646,247,-672,69,-61,-47,5730,2883,-4210,still
163,645,236,-674,69,-63,-46,5730,2883,-4210,still
164,646,225,-674,69,-64,-45,5730,2883,-4210,still
165,646,216,-674,68,-66,-43,5730,2883,-4210,still
166,646,216,-674,68,-66,-43,5730,2883,-4210,still
167,646,206,-674,68,-67,-42,5730,2883,-4210,still
168,647,197,-673,68,-68,-40,5730,2883,-4210,still
169,647,189,-672,67,-70,-39,5730,2883,-4210,still
170,647,182,-673,67,-71,-38,5730,2883,-4483,still
171,647,176,-673,66,-72,-36,5730,2883,-4483,still
172,647,172,-674,65,-73,-35,5730,2883,-4483,still
173,647,168,-674,65,-73,-33,5730,2883,-4483,still
174,648,165,-674,64,-74,-32,5730,2883,-4483,still
175,649,162,-675,64,-75,-30,5730,2883,-4483,still
176,651,160,-676,63,-75,-29,5730,2883,-4483,still
177,651,160,-676,63,-75,-29,5730,2883,-4483,still
178,652,159,-677,63,-76,-27,5730,2883,-4483,still
179,653,157,-677,62,-76,-26,5730,2883,-4483,still
