index,acc1,acc2,acc3,gro1,gro2,gro3,mag1,mag2,mag3,label
0,885,113,-499,-1,1,0,5306,2423,-3324,still
1,884,112,-498,-1,1,0,5306,2423,-3324,still
2,884,112,-498,-1,1,0,5306,2423,-3324,still
3,884,112,-498,-1,1,0,5306,2423,-3324,still
4,884,112,-498,-1,1,0,5342,2423,-3289,still
5,884,111,-498,-1,1,0,5342,2423,-3289,still
6,883,111,-498,-1,1,0,5342,2423,-3289,still
7,883,111,-499,-1,1,0,5342,2423,-3289,still
8,883,111,-500,-1,1,0,5342,2423,-3289,still
9,883,111,-499,-1,1,0,5342,2423,-3289,still
10,883,111,-499,-1,1,0,5342,2423,-3289,still
11,882,112,-498,-1,1,0,5342,2423,-3289,still
12,882,112,-498,-1,1,0,5342,2423,-3289,still
13,882,111,-498,-1,1,0,5342,2423,-3289,still
14,882,112,-497,-1,1,0,5342,2423,-3289,still
15,882,112,-497,-1,1,0,5359,2547,-3375,still
16,883,113,-498,-1,1,0,5359,2547,-3375,still
17,883,113,-499,-1,1,0,5359,2547,-3375,still
18,883,114,-499,-1,1,0,5359,2547,-3375,still
19,884,114,-498,-1,1,0,5359,2547,-3375,still
20,884,115,-498,-1,1,0,5359,2547,-3375,still
21,884,115,-498,-1,1,0,5359,2547,-3375,still
22,884,115,-498,-1,1,0,5359,2547,-3375,still
23,884,115,-498,-1,1,0,5359,2547,-3375,still
24,884,115,-498,-1,1,0,5359,2547,-3375,still
25,884,114,-498,-1,1,0,5359,2547,-3375,still
26,884,114,-498,-1,1,0,5395,2370,-3409,still
27,885,114,-498,-1,1,0,5395,2370,-3409,still
28,885,114,-498,-1,1,0,5395,2370,-3409,still
29,885,114,-498,-1,1,0,5395,2370,-3409,still
30,886,114,-498,0,1,0,5395,2370,-3409,still
31,886,114,-498,0,1,0,5395,2370,-3409,still
32,886,114,-498,0,1,0,5395,2370,-3409,still
33,885,114,-498,-1,1,0,5395,2370,-3409,still
34,886,114,-499,-1,1,0,5395,2370,-3409,still
35,885,115,-498,-1,1,0,5395,2370,-3409,still
36,884,115,-498,-1,1,0,5395,2370,-3409,still
37,885,115,-498,-1,1,0,5165,2494,-3358,still
38,885,115,-498,-1,1,0,5165,2494,-3358,still
39,885,114,-498,-1,1,0,5165,2494,-3358,still
40,885,114,-497,-1,1,0,5165,2494,-3358,still
41,885,114,-497,-1,1,0,5165,2494,-3358,still
42,885,115,-497,-1,1,0,5165,2494,-3358,still
43,884,115,-496,-1,1,0,5165,2494,-3358,still
44,884,115,-496,-1,1,0,5165,2494,-3358,still
45,884,115,-497,-1,1,0,5165,2494,-3358,still
46,884,114,-496,-1,1,0,5165,2494,-3358,still
47,884,114,-495,-1,1,0,5165,2494,-3358,still
48,884,115,-494,-1,1,0,5465,2441,-3375,still
49,883,115,-494,-1,1,0,5465,2441,-3375,still
50,883,115,-494,-1,1,0,5465,2441,-3375,still
51,883,115,-494,-1,1,0,5465,2441,-3375,still
52,883,115,-493,-1,1,0,5465,2441,-3375,still
53,883,115,-494,-1,1,0,5465,2441,-3375,still
54,883,115,-494,-1,1,0,5465,2441,-3375,still
55,884,115,-495,-1,1,0,5465,2441,-3375,still
56,884,115,-495,-1,1,0,5465,2441,-3375,still
57,884,115,-495,-1,1,0,5465,2441,-3375,still
58,884,114,-495,-1,1,0,5465,2441,-3375,still
59,884,114,-495,-1,1,0,5342,2494,-3426,still
60,884,114,-495,-1,1,0,5342,2494,-3426,still
61,884,114,-495,-1,1,0,5342,2494,-3426,still
62,884,114,-495,-1,1,0,5342,2494,-3426,still
63,884,114,-496,-1,1,0,5342,2494,-3426,still
64,884,114,-496,-1,1,0,5342,2494,-3426,still
65,884,113,-495,0,0,0,5342,2494,-3426,still
66,884,113,-496,0,0,0,5342,2494,-3426,still
67,884,113,-496,0,0,0,5342,2494,-3426,still
68,884,113,-496,-1,0,0,5342,2494,-3426,still
