ax,ay,az,gx,gy,gz,mx,my,mz
486.0, -409.0, -813.0, 2.0, -3.0, -4.0, 2956.0, -1018.0, -4219.0
485.0, -413.0, -810.0, 2.0, -3.0, -4.0, 3009.0, -966.0, -4271.0
482.0, -419.0, -806.0, 2.0, -3.0, -4.0, 3009.0, -966.0, -4271.0
479.0, -425.0, -801.0, 2.0, -3.0, -4.0, 3009.0, -966.0, -4271.0
475.0, -431.0, -796.0, 3.0, -3.0, -4.0, 3009.0, -966.0, -4271.0
471.0, -439.0, -790.0, 3.0, -3.0, -3.0, 3009.0, -966.0, -4271.0
467.0, -446.0, -785.0, 3.0, -3.0, -3.0, 3009.0, -966.0, -4271.0
467.0, -446.0, -785.0, 3.0, -3.0, -3.0, 3009.0, -966.0, -4271.0
463.0, -452.0, -780.0, 2.0, -3.0, -3.0, 3009.0, -966.0, -4271.0
460.0, -458.0, -775.0, 2.0, -2.0, -2.0, 3009.0, -966.0, -4271.0
458.0, -461.0, -771.0, 2.0, -2.0, -1.0, 3009.0, -966.0, -4271.0
457.0, -463.0, -768.0, 2.0, -1.0, -1.0, 3009.0, -966.0, -4271.0
456.0, -464.0, -766.0, 1.0, -1.0, 0.0, 2956.0, -983.0, -4324.0
456.0, -464.0, -765.0, 1.0, 0.0, 0.0, 2956.0, -983.0, -4324.0
457.0, -462.0, -764.0, 0.0, 0.0, 1.0, 2956.0, -983.0, -4324.0
459.0, -459.0, -764.0, 0.0, 1.0, 2.0, 2956.0, -983.0, -4324.0
459.0, -459.0, -764.0, 0.0, 1.0, 2.0, 2956.0, -983.0, -4324.0
461.0, -456.0, -765.0, 0.0, 1.0, 2.0, 2956.0, -983.0, -4324.0
463.0, -452.0, -766.0, -1.0, 2.0, 3.0, 2956.0, -983.0, -4324.0
465.0, -447.0, -768.0, -1.0, 2.0, 3.0, 2956.0, -983.0, -4324.0
468.0, -442.0, -771.0, -1.0, 2.0, 3.0, 2956.0, -983.0, -4324.0
470.0, -437.0, -774.0, -2.0, 3.0, 4.0, 2956.0, -983.0, -4324.0
472.0, -431.0, -776.0, -2.0, 3.0, 4.0, 2956.0, -983.0, -4324.0
475.0, -426.0, -778.0, -2.0, 3.0, 4.0, 3114.0, -1071.0, -4306.0
477.0, -420.0, -781.0, -2.0, 3.0, 4.0, 3114.0, -1071.0, -4306.0
477.0, -420.0, -781.0, -2.0, 3.0, 4.0, 3114.0, -1071.0, -4306.0
479.0, -416.0, -782.0, -3.0, 3.0, 4.0, 3114.0, -1071.0, -4306.0
481.0, -412.0, -784.0, -3.0, 3.0, 4.0, 3114.0, -1071.0, -4306.0
482.0, -408.0, -786.0, -3.0, 3.0, 4.0, 3114.0, -1071.0, -4306.0
484.0, -405.0, -787.0, -3.0, 3.0, 4.0, 3114.0, -1071.0, -4306.0
484.0, -402.0, -789.0, -2.0, 3.0, 4.0, 3114.0, -1071.0, -4306.0
485.0, -401.0, -791.0, -2.0, 3.0, 4.0, 3114.0, -1071.0, -4306.0
485.0, -399.0, -792.0, -2.0, 3.0, 4.0, 3114.0, -1071.0, -4306.0
486.0, -399.0, -792.0, -2.0, 3.0, 4.0, 3114.0, -1071.0, -4306.0
486.0, -399.0, -793.0, -2.0, 3.0, 4.0, 3114.0, -1071.0, -4306.0
486.0, -399.0, -793.0, -2.0, 3.0, 4.0, 3096.0, -1018.0, -4428.0
485.0, -399.0, -794.0, -2.0, 3.0, 4.0, 3096.0, -1018.0, -4428.0
485.0, -400.0, -795.0, -2.0, 3.0, 4.0, 3096.0, -1018.0, -4428.0
484.0, -400.0, -795.0, -2.0, 3.0, 3.0, 3096.0, -1018.0, -4428.0
483.0, -401.0, -797.0, -1.0, 3.0, 3.0, 3096.0, -1018.0, -4428.0
482.0, -402.0, -797.0, -1.0, 3.0, 3.0, 3096.0, -1018.0, -4428.0
482.0, -403.0, -797.0, -1.0, 3.0, 3.0, 3096.0, -1018.0, -4428.0
481.0, -404.0, -796.0, -1.0, 3.0, 3.0, 3096.0, -1018.0, -4428.0
481.0, -404.0, -796.0, -1.0, 3.0, 3.0, 3096.0, -1018.0, -4428.0
481.0, -404.0, -796.0, -1.0, 3.0, 3.0, 3096.0, -1018.0, -4428.0
480.0, -405.0, -796.0, -1.0, 3.0, 3.0, 3096.0, -1018.0, -4428.0
479.0, -405.0, -795.0, -1.0, 3.0, 3.0, 2956.0, -914.0, -4254.0
479.0, -405.0, -795.0, -1.0, 3.0, 3.0, 2956.0, -914.0, -4254.0
478.0, -405.0, -794.0, 0.0, 3.0, 3.0, 2956.0, -914.0, -4254.0
477.0, -406.0, -793.0, 0.0, 3.0, 3.0, 2956.0, -914.0, -4254.0
477.0, -406.0, -793.0, 0.0, 3.0, 2.0, 2956.0, -914.0, -4254.0
477.0, -405.0, -793.0, 0.0, 3.0, 2.0, 2956.0, -914.0, -4254.0
477.0, -405.0, -793.0, 0.0, 3.0, 2.0, 2956.0, -914.0, -4254.0
477.0, -404.0, -793.0, 0.0, 3.0, 2.0, 2956.0, -914.0, -4254.0
477.0, -404.0, -793.0, 0.0, 3.0, 2.0, 2956.0, -914.0, -4254.0
478.0, -403.0, -794.0, 0.0, 3.0, 2.0, 2956.0, -914.0, -4254.0
479.0, -403.0, -794.0, 0.0, 3.0, 2.0, 2956.0, -914.0, -4254.0
480.0, -403.0, -794.0, 0.0, 3.0, 2.0, 3114.0, -1071.0, -4271.0
480.0, -402.0, -795.0, 1.0, 3.0, 1.0, 3114.0, -1071.0, -4271.0
481.0, -402.0, -794.0, 1.0, 3.0, 1.0, 3114.0, -1071.0, -4271.0
481.0, -402.0, -795.0, 1.0, 3.0, 1.0, 3114.0, -1071.0, -4271.0
481.0, -402.0, -795.0, 1.0, 3.0, 1.0, 3114.0, -1071.0, -4271.0
482.0, -401.0, -797.0, 1.0, 3.0, 1.0, 3114.0, -1071.0, -4271.0
482.0, -401.0, -797.0, 1.0, 3.0, 1.0, 3114.0, -1071.0, -4271.0
483.0, -402.0, -799.0, 2.0, 3.0, 1.0, 3114.0, -1071.0, -4271.0
484.0, -402.0, -800.0, 2.0, 3.0, 0.0, 3114.0, -1071.0, -4271.0
