ax,ay,az,gx,gy,gz,mx,my,mz
856.0, -303.0, -437.0, 0.0, -2.0, 0.0, 4635.0, -809.0, -2862.0
856.0, -303.0, -435.0, 0.0, -2.0, 0.0, 4635.0, -809.0, -2862.0
856.0, -303.0, -435.0, 0.0, -2.0, 0.0, 4635.0, -809.0, -2862.0
855.0, -304.0, -434.0, 0.0, -2.0, 0.0, 4635.0, -809.0, -2862.0
855.0, -304.0, -434.0, 0.0, -2.0, 0.0, 4635.0, -809.0, -2862.0
855.0, -304.0, -433.0, 0.0, -2.0, 0.0, 4635.0, -809.0, -2862.0
855.0, -304.0, -433.0, 0.0, -2.0, -1.0, 4635.0, -809.0, -2862.0
855.0, -305.0, -432.0, 0.0, -2.0, -1.0, 4635.0, -809.0, -2862.0
855.0, -305.0, -433.0, 0.0, -2.0, -1.0, 4635.0, -809.0, -2862.0
856.0, -305.0, -433.0, 0.0, -2.0, -1.0, 4635.0, -809.0, -2862.0
856.0, -305.0, -434.0, 0.0, -2.0, -1.0, 4513.0, -809.0, -2862.0
856.0, -306.0, -435.0, 0.0, -2.0, -1.0, 4513.0, -826.0, -3018.0
856.0, -306.0, -435.0, 0.0, -2.0, -1.0, 4513.0, -826.0, -3018.0
856.0, -306.0, -436.0, 0.0, -2.0, -1.0, 4513.0, -826.0, -3018.0
856.0, -306.0, -436.0, 0.0, -2.0, -1.0, 4513.0, -826.0, -3018.0
857.0, -306.0, -436.0, 0.0, -2.0, -1.0, 4513.0, -826.0, -3018.0
857.0, -306.0, -437.0, 1.0, -2.0, -1.0, 4513.0, -826.0, -3018.0
858.0, -307.0, -437.0, 1.0, -2.0, -1.0, 4513.0, -826.0, -3018.0
859.0, -307.0, -438.0, 1.0, -2.0, -1.0, 4513.0, -826.0, -3018.0
859.0, -307.0, -439.0, 1.0, -2.0, -1.0, 4513.0, -826.0, -3018.0
859.0, -307.0, -438.0, 1.0, -2.0, -1.0, 4513.0, -826.0, -3018.0
859.0, -307.0, -438.0, 1.0, -2.0, -1.0, 4513.0, -826.0, -3018.0
859.0, -307.0, -437.0, 1.0, -2.0, -1.0, 4705.0, -809.0, -3036.0
859.0, -308.0, -437.0, 1.0, -2.0, -1.0, 4705.0, -809.0, -3036.0
859.0, -308.0, -438.0, 1.0, -2.0, -1.0, 4705.0, -809.0, -3036.0
859.0, -308.0, -438.0, 1.0, -2.0, -1.0, 4705.0, -809.0, -3036.0
859.0, -309.0, -437.0, 1.0, -2.0, -1.0, 4705.0, -809.0, -3036.0
859.0, -310.0, -436.0, 1.0, -2.0, -1.0, 4705.0, -809.0, -3036.0
858.0, -310.0, -435.0, 1.0, -2.0, -1.0, 4705.0, -809.0, -3036.0
858.0, -311.0, -434.0, 2.0, -2.0, -1.0, 4705.0, -809.0, -3036.0
857.0, -311.0, -433.0, 2.0, -2.0, -1.0, 4705.0, -809.0, -3036.0
857.0, -311.0, -433.0, 2.0, -2.0, -1.0, 4705.0, -809.0, -3036.0
857.0, -311.0, -432.0, 2.0, -2.0, -1.0, 4705.0, -809.0, -3036.0
857.0, -311.0, -431.0, 2.0, -2.0, -1.0, 4461.0, -879.0, -2966.0
857.0, -312.0, -431.0, 2.0, -1.0, -1.0, 4461.0, -879.0, -2966.0
856.0, -312.0, -431.0, 2.0, -1.0, 0.0, 4461.0, -879.0, -2966.0
856.0, -312.0, -430.0, 2.0, -1.0, 0.0, 4461.0, -879.0, -2966.0
856.0, -313.0, -431.0, 2.0, -1.0, 0.0, 4461.0, -879.0, -2966.0
856.0, -313.0, -431.0, 2.0, -1.0, 0.0, 4461.0, -879.0, -2966.0
855.0, -313.0, -431.0, 2.0, -1.0, 0.0, 4461.0, -879.0, -2966.0
855.0, -313.0, -431.0, 2.0, -1.0, 0.0, 4461.0, -879.0, -2966.0
855.0, -313.0, -431.0, 2.0, -1.0, 0.0, 4461.0, -879.0, -2966.0
855.0, -313.0, -431.0, 2.0, -1.0, 0.0, 4461.0, -879.0, -2966.0
855.0, -314.0, -431.0, 2.0, -1.0, 0.0, 4461.0, -879.0, -2966.0
855.0, -315.0, -431.0, 2.0, -1.0, 0.0, 4496.0, -844.0, -2827.0
855.0, -316.0, -431.0, 2.0, -1.0, 0.0, 4496.0, -844.0, -2827.0
855.0, -316.0, -430.0, 2.0, -1.0, 0.0, 4496.0, -844.0, -2827.0
855.0, -317.0, -431.0, 2.0, -1.0, 0.0, 4496.0, -844.0, -2827.0
856.0, -317.0, -432.0, 2.0, 0.0, 0.0, 4496.0, -844.0, -2827.0
856.0, -317.0, -432.0, 2.0, 0.0, 0.0, 4496.0, -844.0, -2827.0
856.0, -318.0, -432.0, 2.0, 0.0, 0.0, 4496.0, -844.0, -2827.0
856.0, -319.0, -433.0, 2.0, 0.0, 0.0, 4496.0, -844.0, -2827.0
856.0, -320.0, -434.0, 2.0, 0.0, 0.0, 4496.0, -844.0, -2827.0
857.0, -320.0, -434.0, 2.0, 0.0, 0.0, 4496.0, -844.0, -2827.0
857.0, -321.0, -435.0, 2.0, 0.0, 0.0, 4496.0, -844.0, -2827.0
858.0, -322.0, -436.0, 2.0, 0.0, 0.0, 4548.0, -861.0, -2984.0
858.0, -322.0, -437.0, 2.0, 0.0, 0.0, 4548.0, -861.0, -2984.0
858.0, -322.0, -438.0, 2.0, 0.0, 0.0, 4548.0, -861.0, -2984.0
858.0, -322.0, -438.0, 2.0, 0.0, 0.0, 4548.0, -861.0, -2984.0
858.0, -323.0, -439.0, 2.0, 0.0, 0.0, 4548.0, -861.0, -2984.0
859.0, -323.0, -440.0, 2.0, 0.0, 0.0, 4548.0, -861.0, -2984.0
860.0, -323.0, -442.0, 2.0, 0.0, 0.0, 4548.0, -861.0, -2984.0
861.0, -324.0, -442.0, 2.0, 0.0, 0.0, 4548.0, -861.0, -2984.0
861.0, -325.0, -442.0, 2.0, 0.0, 0.0, 4548.0, -861.0, -2984.0
861.0, -325.0, -442.0, 2.0, 0.0, 0.0, 4548.0, -861.0, -2984.0
861.0, -326.0, -442.0, 2.0, -1.0, 0.0, 4548.0, -861.0, -2984.0
861.0, -326.0, -442.0, 2.0, -1.0, 0.0, 4548.0, -861.0, -2984.0
861.0, -326.0, -442.0, 2.0, -1.0, 0.0, 4496.0, -914.0, -3036.0
861.0, -327.0, -442.0, 1.0, -1.0, 0.0, 4496.0, -914.0, -3036.0
860.0, -328.0, -442.0, 1.0, -1.0, 0.0, 4496.0, -914.0, -3036.0
860.0, -329.0, -441.0, 1.0, -1.0, 0.0, 4496.0, -914.0, -3036.0
859.0, -329.0, -440.0, 1.0, -1.0, 0.0, 4496.0, -914.0, -3036.0
858.0, -329.0, -440.0, 1.0, -1.0, 0.0, 4496.0, -914.0, -3036.0
858.0, -329.0, -439.0, 1.0, -1.0, 0.0, 4496.0, -914.0, -3036.0
857.0, -329.0, -438.0, 1.0, -1.0, 0.0, 4496.0, -914.0, -3036.0
857.0, -329.0, -436.0, 1.0, -1.0, 0.0, 4496.0, -914.0, -3036.0
856.0, -329.0, -436.0, 1.0, -1.0, 0.0, 4496.0, -914.0, -3036.0
856.0, -329.0, -436.0, 1.0, -1.0, 0.0, 4496.0, -914.0, -3036.0
856.0, -329.0, -435.0, 0.0, -1.0, 0.0, 4583.0, -826.0, -2810.0
855.0, -329.0, -434.0, 0.0, -1.0, 0.0, 4583.0, -826.0, -2810.0
855.0, -329.0, -434.0, 0.0, -1.0, 0.0, 4583.0, -826.0, -2810.0
855.0, -329.0, -434.0, 0.0, -1.0, 0.0, 4583.0, -826.0, -2810.0
855.0, -328.0, -434.0, 0.0, -1.0, 0.0, 4583.0, -826.0, -2810.0
855.0, -327.0, -434.0, 0.0, -1.0, 0.0, 4583.0, -826.0, -2810.0
854.0, -327.0, -434.0, 0.0, -1.0, 0.0, 4583.0, -826.0, -2810.0
854.0, -326.0, -434.0, -1.0, -1.0, 0.0, 4583.0, -826.0, -2810.0
854.0, -326.0, -434.0, -1.0, -1.0, 0.0, 4583.0, -826.0, -2810.0
853.0, -326.0, -433.0, -1.0, -1.0, 0.0, 4583.0, -826.0, -2810.0
853.0, -326.0, -432.0, -1.0, -1.0, 0.0, 4583.0, -826.0, -2810.0
852.0, -325.0, -433.0, -1.0, -1.0, 0.0, 4653.0, -826.0, -2879.0
852.0, -324.0, -433.0, -1.0, -1.0, 0.0, 4653.0, -826.0, -2879.0
