ax,ay,az,gx,gy,gz,mx,my,mz
713.0, -164.0, -721.0, -2.0, -4.0, -2.0, 3499.0, 116.0, -3749.0
713.0, -164.0, -722.0, -2.0, -4.0, -2.0, 3586.0, 204.0, -3906.0
713.0, -164.0, -722.0, -2.0, -4.0, -2.0, 3586.0, 204.0, -3906.0
713.0, -164.0, -721.0, -2.0, -4.0, -2.0, 3586.0, 204.0, -3906.0
713.0, -164.0, -721.0, -2.0, -4.0, -2.0, 3586.0, 204.0, -3906.0
712.0, -164.0, -721.0, -2.0, -3.0, -1.0, 3586.0, 204.0, -3906.0
712.0, -164.0, -721.0, -2.0, -3.0, -1.0, 3586.0, 204.0, -3906.0
712.0, -164.0, -722.0, -2.0, -3.0, -1.0, 3586.0, 204.0, -3906.0
711.0, -164.0, -722.0, -2.0, -3.0, -1.0, 3586.0, 204.0, -3906.0
711.0, -164.0, -722.0, -2.0, -3.0, -1.0, 3586.0, 204.0, -3906.0
710.0, -164.0, -722.0, -2.0, -3.0, -1.0, 3586.0, 204.0, -3906.0
710.0, -164.0, -722.0, -2.0, -3.0, -1.0, 3586.0, 204.0, -3906.0
710.0, -164.0, -723.0, -2.0, -3.0, -1.0, 3691.0, 134.0, -3801.0
710.0, -165.0, -723.0, -2.0, -3.0, -1.0, 3691.0, 134.0, -3801.0
711.0, -165.0, -723.0, -2.0, -3.0, -1.0, 3691.0, 134.0, -3801.0
711.0, -165.0, -723.0, -2.0, -3.0, 0.0, 3691.0, 134.0, -3801.0
711.0, -164.0, -724.0, -2.0, -3.0, 0.0, 3691.0, 134.0, -3801.0
711.0, -164.0, -724.0, -2.0, -3.0, 0.0, 3691.0, 134.0, -3801.0
712.0, -165.0, -723.0, -2.0, -3.0, 0.0, 3691.0, 134.0, -3801.0
712.0, -165.0, -723.0, -2.0, -3.0, 0.0, 3691.0, 134.0, -3801.0
712.0, -164.0, -723.0, -2.0, -3.0, 0.0, 3691.0, 134.0, -3801.0
712.0, -164.0, -723.0, -2.0, -3.0, 0.0, 3691.0, 134.0, -3801.0
712.0, -164.0, -722.0, -2.0, -2.0, 0.0, 3691.0, 134.0, -3801.0
713.0, -165.0, -722.0, -2.0, -2.0, 0.0, 3638.0, 291.0, -3714.0
713.0, -165.0, -722.0, -2.0, -2.0, 0.0, 3638.0, 291.0, -3714.0
713.0, -165.0, -722.0, -2.0, -2.0, 0.0, 3638.0, 291.0, -3714.0
713.0, -166.0, -722.0, -2.0, -2.0, 0.0, 3638.0, 291.0, -3714.0
712.0, -166.0, -722.0, -2.0, -2.0, 0.0, 3638.0, 291.0, -3714.0
712.0, -166.0, -722.0, -2.0, -2.0, 0.0, 3638.0, 291.0, -3714.0
712.0, -166.0, -723.0, -2.0, -2.0, 0.0, 3638.0, 291.0, -3714.0
711.0, -166.0, -723.0, -2.0, -2.0, 0.0, 3638.0, 291.0, -3714.0
711.0, -167.0, -723.0, -2.0, -2.0, 0.0, 3638.0, 291.0, -3714.0
711.0, -166.0, -723.0, -2.0, -2.0, 0.0, 3638.0, 291.0, -3714.0
710.0, -166.0, -723.0, -2.0, -2.0, 0.0, 3638.0, 291.0, -3714.0
710.0, -166.0, -722.0, -2.0, -2.0, 0.0, 3586.0, 169.0, -3732.0
711.0, -166.0, -722.0, -2.0, -2.0, 0.0, 3586.0, 169.0, -3732.0
711.0, -166.0, -722.0, -2.0, -2.0, 0.0, 3586.0, 169.0, -3732.0
711.0, -166.0, -722.0, -2.0, -2.0, 0.0, 3586.0, 169.0, -3732.0
711.0, -166.0, -722.0, -2.0, -2.0, 0.0, 3586.0, 169.0, -3732.0
711.0, -166.0, -723.0, -2.0, -2.0, 0.0, 3586.0, 169.0, -3732.0
711.0, -166.0, -724.0, -2.0, -2.0, 0.0, 3586.0, 169.0, -3732.0
711.0, -166.0, -724.0, -2.0, -2.0, 0.0, 3586.0, 169.0, -3732.0
710.0, -166.0, -724.0, -2.0, -2.0, -1.0, 3586.0, 169.0, -3732.0
710.0, -165.0, -724.0, -2.0, -1.0, -1.0, 3586.0, 169.0, -3732.0
710.0, -165.0, -724.0, -2.0, -1.0, -1.0, 3586.0, 169.0, -3732.0
710.0, -165.0, -724.0, -2.0, -1.0, -1.0, 3481.0, 169.0, -3732.0
710.0, -165.0, -723.0, -2.0, -1.0, -1.0, 3481.0, 99.0, -3732.0
710.0, -165.0, -723.0, -2.0, -1.0, -1.0, 3481.0, 99.0, -3732.0
710.0, -165.0, -723.0, -2.0, -1.0, -1.0, 3481.0, 99.0, -3732.0
710.0, -165.0, -723.0, -2.0, -1.0, -1.0, 3481.0, 99.0, -3732.0
710.0, -166.0, -723.0, -2.0, -1.0, -1.0, 3481.0, 99.0, -3732.0
710.0, -166.0, -723.0, -2.0, -1.0, -1.0, 3481.0, 99.0, -3732.0
710.0, -166.0, -723.0, -2.0, -1.0, -1.0, 3481.0, 99.0, -3732.0
710.0, -166.0, -724.0, -2.0, -1.0, -1.0, 3481.0, 99.0, -3732.0
710.0, -167.0, -724.0, -2.0, -1.0, -2.0, 3481.0, 99.0, -3732.0
710.0, -167.0, -724.0, -2.0, -1.0, -2.0, 3481.0, 99.0, -3732.0
710.0, -167.0, -724.0, -2.0, -1.0, -2.0, 3481.0, 99.0, -3732.0
710.0, -166.0, -724.0, -2.0, -1.0, -2.0, 3481.0, 99.0, -3732.0
710.0, -166.0, -724.0, -2.0, -1.0, -2.0, 3481.0, 99.0, -3732.0
710.0, -166.0, -724.0, -2.0, -1.0, -2.0, 3481.0, 99.0, -3732.0
710.0, -165.0, -724.0, -2.0, -1.0, -2.0, 3481.0, 99.0, -3732.0
710.0, -165.0, -724.0, -2.0, -1.0, -2.0, 3481.0, 99.0, -3732.0
710.0, -164.0, -724.0, -2.0, -1.0, -2.0, 3481.0, 99.0, -3732.0
710.0, -164.0, -724.0, -3.0, -1.0, -3.0, 3481.0, 99.0, -3732.0
710.0, -164.0, -725.0, -3.0, -1.0, -3.0, 3481.0, 99.0, -3732.0
710.0, -164.0, -725.0, -3.0, -1.0, -3.0, 3481.0, 99.0, -3732.0
710.0, -164.0, -724.0, -3.0, -1.0, -3.0, 3481.0, 99.0, -3732.0
710.0, -164.0, -724.0, -3.0, 0.0, -3.0, 3481.0, 99.0, -3732.0
710.0, -164.0, -724.0, -3.0, 0.0, -3.0, 3481.0, 99.0, -3732.0
710.0, -164.0, -724.0, -3.0, 0.0, -3.0, 3481.0, 99.0, -3732.0
711.0, -165.0, -723.0, -3.0, 0.0, -3.0, 3481.0, 99.0, -3732.0
711.0, -165.0, -723.0, -3.0, 0.0, -4.0, 3481.0, 99.0, -3732.0
711.0, -165.0, -723.0, -3.0, 0.0, -4.0, 3481.0, 99.0, -3732.0
711.0, -165.0, -723.0, -3.0, 0.0, -4.0, 3481.0, 99.0, -3732.0
710.0, -164.0, -723.0, -3.0, 0.0, -4.0, 3481.0, 99.0, -3732.0
710.0, -164.0, -723.0, -3.0, 0.0, -4.0, 3481.0, 99.0, -3732.0
710.0, -164.0, -723.0, -3.0, 0.0, -4.0, 3481.0, 99.0, -3732.0
710.0, -164.0, -723.0, -3.0, 0.0, -4.0, 3481.0, 99.0, -3732.0
710.0, -164.0, -722.0, -3.0, 0.0, -4.0, 3481.0, 99.0, -3732.0
709.0, -164.0, -722.0, -3.0, 1.0, -4.0, 3481.0, 99.0, -3732.0
710.0, -164.0, -722.0, -3.0, 1.0, -4.0, 3481.0, 99.0, -3732.0
710.0, -164.0, -722.0, -3.0, 1.0, -5.0, 3481.0, 99.0, -3732.0
710.0, -164.0, -722.0, -3.0, 1.0, -5.0, 3481.0, 99.0, -3732.0
710.0, -164.0, -721.0, -3.0, 1.0, -5.0, 3481.0, 99.0, -3732.0
710.0, -164.0, -721.0, -3.0, 1.0, -5.0, 3481.0, 99.0, -3732.0
711.0, -165.0, -722.0, -3.0, 1.0, -5.0, 3481.0, 99.0, -3732.0
710.0, -166.0, -722.0, -3.0, 1.0, -5.0, 3481.0, 99.0, -3732.0
710.0, -167.0, -723.0, -3.0, 1.0, -5.0, 3481.0, 99.0, -3732.0
711.0, -167.0, -723.0, -3.0, 1.0, -5.0, 3481.0, 99.0, -3732.0
711.0, -167.0, -723.0, -3.0, 1.0, -6.0, 3481.0, 99.0, -3732.0
712.0, -166.0, -722.0, -3.0, 1.0, -6.0, 3481.0, 99.0, -3732.0
712.0, -166.0, -722.0, -3.0, 1.0, -6.0, 3481.0, 99.0, -3732.0
712.0, -166.0, -722.0, -3.0, 1.0, -6.0, 3551.0, 64.0, -3801.0
712.0, -166.0, -721.0, -3.0, 1.0, -6.0, 3551.0, 64.0, -3801.0
712.0, -165.0, -721.0, -3.0, 1.0, -6.0, 3551.0, 64.0, -3801.0
712.0, -165.0, -721.0, -3.0, 1.0, -6.0, 3551.0, 64.0, -3801.0
712.0, -165.0, -721.0, -3.0, 1.0, -6.0, 3551.0, 64.0, -3801.0
712.0, -165.0, -721.0, -3.0, 1.0, -6.0, 3551.0, 64.0, -3801.0
712.0, -165.0, -720.0, -3.0, 1.0, -6.0, 3551.0, 64.0, -3801.0
711.0, -165.0, -719.0, -3.0, 1.0, -7.0, 3551.0, 64.0, -3801.0
711.0, -165.0, -719.0, -3.0, 1.0, -7.0, 3551.0, 64.0, -3801.0
710.0, -165.0, -720.0, -3.0, 1.0, -7.0, 3551.0, 64.0, -3801.0
710.0, -166.0, -720.0, -3.0, 1.0, -7.0, 3551.0, 64.0, -3801.0
710.0, -166.0, -720.0, -3.0, 1.0, -7.0, 3586.0, 169.0, -3662.0
710.0, -166.0, -720.0, -3.0, 1.0, -7.0, 3586.0, 169.0, -3662.0
710.0, -166.0, -720.0, -3.0, 1.0, -7.0, 3586.0, 169.0, -3662.0
710.0, -166.0, -720.0, -3.0, 1.0, -7.0, 3586.0, 169.0, -3662.0
711.0, -166.0, -721.0, -3.0, 1.0, -8.0, 3586.0, 169.0, -3662.0
711.0, -166.0, -720.0, -3.0, 1.0, -8.0, 3586.0, 169.0, -3662.0
711.0, -166.0, -720.0, -3.0, 1.0, -8.0, 3586.0, 169.0, -3662.0
711.0, -166.0, -720.0, -4.0, 1.0, -8.0, 3586.0, 169.0, -3662.0
711.0, -166.0, -721.0, -4.0, 2.0, -8.0, 3586.0, 169.0, -3662.0
711.0, -166.0, -721.0, -4.0, 2.0, -8.0, 3586.0, 169.0, -3662.0
711.0, -166.0, -721.0, -4.0, 2.0, -8.0, 3586.0, 169.0, -3662.0
711.0, -166.0, -722.0, -4.0, 2.0, -9.0, 3621.0, 134.0, -3906.0
712.0, -166.0, -721.0, -4.0, 2.0, -9.0, 3621.0, 134.0, -3906.0
712.0, -166.0, -722.0, -4.0, 2.0, -9.0, 3621.0, 134.0, -3906.0
712.0, -166.0, -722.0, -5.0, 2.0, -9.0, 3621.0, 134.0, -3906.0
712.0, -166.0, -722.0, -5.0, 2.0, -9.0, 3621.0, 134.0, -3906.0
712.0, -165.0, -722.0, -5.0, 2.0, -9.0, 3621.0, 134.0, -3906.0
712.0, -165.0, -722.0, -5.0, 2.0, -9.0, 3621.0, 134.0, -3906.0
712.0, -164.0, -722.0, -5.0, 2.0, -9.0, 3621.0, 134.0, -3906.0
712.0, -164.0, -722.0, -5.0, 2.0, -9.0, 3621.0, 134.0, -3906.0
712.0, -164.0, -722.0, -5.0, 2.0, -10.0, 3621.0, 134.0, -3906.0
712.0, -164.0, -723.0, -5.0, 2.0, -10.0, 3621.0, 134.0, -3906.0
712.0, -163.0, -724.0, -5.0, 2.0, -10.0, 3586.0, 238.0, -3732.0
713.0, -162.0, -725.0, -5.0, 2.0, -10.0, 3586.0, 238.0, -3732.0
713.0, -161.0, -725.0, -5.0, 2.0, -9.0, 3586.0, 238.0, -3732.0
713.0, -161.0, -725.0, -5.0, 2.0, -9.0, 3586.0, 238.0, -3732.0
713.0, -160.0, -725.0, -5.0, 2.0, -9.0, 3586.0, 238.0, -3732.0
713.0, -160.0, -725.0, -5.0, 2.0, -9.0, 3586.0, 238.0, -3732.0
713.0, -159.0, -725.0, -5.0, 2.0, -9.0, 3586.0, 238.0, -3732.0
713.0, -159.0, -724.0, -5.0, 2.0, -9.0, 3586.0, 238.0, -3732.0
713.0, -158.0, -723.0, -5.0, 2.0, -9.0, 3586.0, 238.0, -3732.0
713.0, -157.0, -722.0, -5.0, 2.0, -9.0, 3586.0, 238.0, -3732.0
714.0, -156.0, -722.0, -5.0, 2.0, -9.0, 3586.0, 238.0, -3732.0
714.0, -156.0, -722.0, -5.0, 2.0, -9.0, 3586.0, 238.0, -3732.0
714.0, -156.0, -722.0, -5.0, 2.0, -9.0, 3586.0, 99.0, -3732.0
714.0, -156.0, -721.0, -5.0, 2.0, -8.0, 3586.0, 99.0, -3732.0
714.0, -156.0, -720.0, -5.0, 3.0, -8.0, 3586.0, 99.0, -3732.0
714.0, -155.0, -720.0, -5.0, 3.0, -8.0, 3586.0, 99.0, -3732.0
714.0, -154.0, -719.0, -5.0, 3.0, -8.0, 3586.0, 99.0, -3732.0
714.0, -154.0, -718.0, -5.0, 3.0, -8.0, 3586.0, 99.0, -3732.0
714.0, -154.0, -717.0, -5.0, 3.0, -7.0, 3586.0, 99.0, -3732.0
715.0, -153.0, -718.0, -4.0, 3.0, -7.0, 3586.0, 99.0, -3732.0
716.0, -153.0, -718.0, -4.0, 3.0, -7.0, 3586.0, 99.0, -3732.0
716.0, -153.0, -718.0, -4.0, 3.0, -7.0, 3586.0, 99.0, -3732.0
716.0, -153.0, -719.0, -4.0, 3.0, -6.0, 3586.0, 99.0, -3732.0
716.0, -154.0, -720.0, -4.0, 3.0, -6.0, 3516.0, 169.0, -3593.0
716.0, -153.0, -720.0, -4.0, 3.0, -6.0, 3516.0, 169.0, -3593.0
716.0, -153.0, -720.0, -3.0, 3.0, -6.0, 3516.0, 169.0, -3593.0
716.0, -153.0, -720.0, -3.0, 3.0, -5.0, 3516.0, 169.0, -3593.0
716.0, -153.0, -721.0, -3.0, 3.0, -5.0, 3516.0, 169.0, -3593.0
716.0, -153.0, -721.0, -3.0, 4.0, -5.0, 3516.0, 169.0, -3593.0
717.0, -154.0, -720.0, -2.0, 4.0, -5.0, 3516.0, 169.0, -3593.0
717.0, -154.0, -720.0, -2.0, 4.0, -5.0, 3516.0, 169.0, -3593.0
717.0, -154.0, -720.0, -2.0, 4.0, -4.0, 3516.0, 169.0, -3593.0
717.0, -154.0, -720.0, -2.0, 4.0, -4.0, 3516.0, 169.0, -3593.0
717.0, -154.0, -721.0, -2.0, 4.0, -4.0, 3516.0, 169.0, -3593.0
717.0, -154.0, -721.0, -2.0, 4.0, -3.0, 3621.0, 134.0, -3767.0
717.0, -155.0, -721.0, -1.0, 4.0, -3.0, 3621.0, 134.0, -3767.0
717.0, -154.0, -720.0, -1.0, 3.0, -3.0, 3621.0, 134.0, -3767.0
716.0, -154.0, -720.0, -1.0, 3.0, -3.0, 3621.0, 134.0, -3767.0
716.0, -155.0, -719.0, -1.0, 3.0, -3.0, 3621.0, 134.0, -3767.0
716.0, -155.0, -719.0, -1.0, 3.0, -3.0, 3621.0, 134.0, -3767.0
716.0, -154.0, -719.0, -1.0, 3.0, -2.0, 3621.0, 134.0, -3767.0
716.0, -154.0, -719.0, -1.0, 3.0, -2.0, 3621.0, 134.0, -3767.0
716.0, -154.0, -720.0, -1.0, 3.0, -2.0, 3621.0, 134.0, -3767.0
716.0, -153.0, -720.0, -1.0, 3.0, -2.0, 3621.0, 134.0, -3767.0
716.0, -153.0, -720.0, -1.0, 3.0, -1.0, 3621.0, 134.0, -3767.0
716.0, -153.0, -720.0, -1.0, 3.0, -1.0, 3621.0, 169.0, -3662.0
