ax,ay,az,gx,gy,gz,mx,my,mz
793.0, 15.0, -683.0, 52.0, -11.0, -35.0, 3551.0, 553.0, -3627.0
782.0, 15.0, -679.0, 53.0, -11.0, -35.0, 3499.0, 570.0, -3575.0
782.0, 16.0, -675.0, 53.0, -11.0, -34.0, 3499.0, 570.0, -3575.0
786.0, 10.0, -676.0, 53.0, -11.0, -35.0, 3499.0, 570.0, -3575.0
789.0, 6.0, -677.0, 53.0, -11.0, -34.0, 3499.0, 570.0, -3575.0
789.0, 6.0, -677.0, 53.0, -11.0, -34.0, 3499.0, 570.0, -3575.0
782.0, 12.0, -676.0, 53.0, -11.0, -35.0, 3499.0, 570.0, -3575.0
781.0, 10.0, -681.0, 53.0, -11.0, -35.0, 3499.0, 570.0, -3575.0
789.0, 3.0, -681.0, 53.0, -11.0, -35.0, 3499.0, 570.0, -3575.0
789.0, 3.0, -683.0, 53.0, -10.0, -35.0, 3499.0, 570.0, -3575.0
777.0, 2.0, -688.0, 52.0, -11.0, -35.0, 3499.0, 570.0, -3575.0
779.0, 7.0, -690.0, 52.0, -11.0, -35.0, 3499.0, 570.0, -3575.0
775.0, 14.0, -689.0, 52.0, -11.0, -35.0, 3568.0, 465.0, -3680.0
773.0, 17.0, -683.0, 53.0, -10.0, -35.0, 3568.0, 465.0, -3680.0
779.0, 23.0, -686.0, 54.0, -10.0, -36.0, 3568.0, 465.0, -3680.0
777.0, 17.0, -694.0, 55.0, -10.0, -36.0, 3568.0, 465.0, -3680.0
777.0, 17.0, -694.0, 55.0, -10.0, -36.0, 3568.0, 465.0, -3680.0
771.0, 16.0, -688.0, 55.0, -10.0, -36.0, 3568.0, 465.0, -3680.0
764.0, 26.0, -684.0, 55.0, -10.0, -37.0, 3568.0, 465.0, -3680.0
787.0, 25.0, -697.0, 54.0, -9.0, -38.0, 3568.0, 465.0, -3680.0
774.0, 26.0, -695.0, 54.0, -10.0, -38.0, 3568.0, 465.0, -3680.0
766.0, 26.0, -696.0, 55.0, -9.0, -38.0, 3568.0, 465.0, -3680.0
774.0, 18.0, -703.0, 56.0, -9.0, -39.0, 3568.0, 465.0, -3680.0
761.0, 12.0, -703.0, 57.0, -9.0, -39.0, 3603.0, 535.0, -3575.0
757.0, 9.0, -695.0, 57.0, -9.0, -39.0, 3603.0, 535.0, -3575.0
756.0, 4.0, -695.0, 57.0, -9.0, -39.0, 3603.0, 535.0, -3575.0
756.0, 4.0, -695.0, 57.0, -9.0, -39.0, 3603.0, 535.0, -3575.0
773.0, -11.0, -707.0, 57.0, -9.0, -39.0, 3603.0, 535.0, -3575.0
754.0, -15.0, -701.0, 57.0, -9.0, -39.0, 3603.0, 535.0, -3575.0
745.0, -12.0, -697.0, 57.0, -9.0, -39.0, 3603.0, 535.0, -3575.0
760.0, -15.0, -699.0, 57.0, -9.0, -39.0, 3603.0, 535.0, -3575.0
756.0, -21.0, -700.0, 57.0, -9.0, -39.0, 3603.0, 535.0, -3575.0
756.0, -24.0, -704.0, 58.0, -10.0, -39.0, 3603.0, 535.0, -3575.0
757.0, -28.0, -705.0, 58.0, -10.0, -39.0, 3603.0, 535.0, -3575.0
746.0, -38.0, -706.0, 58.0, -10.0, -39.0, 3603.0, 535.0, -3575.0
742.0, -41.0, -707.0, 58.0, -10.0, -38.0, 3603.0, 535.0, -3575.0
757.0, -45.0, -709.0, 59.0, -10.0, -37.0, 3603.0, 535.0, -3575.0
757.0, -45.0, -709.0, 59.0, -10.0, -37.0, 3603.0, 535.0, -3575.0
748.0, -44.0, -707.0, 59.0, -10.0, -37.0, 3603.0, 535.0, -3575.0
742.0, -39.0, -708.0, 59.0, -10.0, -37.0, 3603.0, 535.0, -3575.0
755.0, -42.0, -712.0, 59.0, -10.0, -37.0, 3603.0, 535.0, -3575.0
750.0, -40.0, -711.0, 58.0, -11.0, -37.0, 3603.0, 535.0, -3575.0
742.0, -28.0, -714.0, 58.0, -11.0, -36.0, 3603.0, 535.0, -3575.0
736.0, -28.0, -713.0, 58.0, -11.0, -36.0, 3603.0, 535.0, -3575.0
739.0, -33.0, -714.0, 59.0, -11.0, -36.0, 3603.0, 535.0, -3575.0
739.0, -34.0, -719.0, 60.0, -11.0, -36.0, 3603.0, 535.0, -3575.0
741.0, -32.0, -721.0, 60.0, -12.0, -35.0, 3603.0, 535.0, -3575.0
748.0, -36.0, -723.0, 61.0, -12.0, -36.0, 3603.0, 535.0, -3575.0
