ax,ay,az,gx,gy,gz,mx,my,mz
892.0, -191.0, -442.0, 0.0, -14.0, 4.0, 5055.0, 169.0, -2479.0
891.0, -190.0, -442.0, 0.0, -14.0, 4.0, 5055.0, 169.0, -2479.0
891.0, -190.0, -442.0, 0.0, -14.0, 4.0, 5055.0, 169.0, -2479.0
891.0, -190.0, -442.0, 0.0, -14.0, 4.0, 5055.0, 169.0, -2479.0
891.0, -191.0, -441.0, 0.0, -13.0, 4.0, 5055.0, 169.0, -2479.0
891.0, -191.0, -441.0, 0.0, -13.0, 3.0, 5055.0, 169.0, -2479.0
891.0, -192.0, -442.0, 0.0, -13.0, 3.0, 5055.0, 169.0, -2479.0
891.0, -192.0, -442.0, 0.0, -12.0, 3.0, 5055.0, 169.0, -2479.0
891.0, -192.0, -442.0, 0.0, -12.0, 3.0, 5055.0, 169.0, -2479.0
892.0, -192.0, -442.0, 0.0, -12.0, 3.0, 4950.0, 204.0, -2514.0
893.0, -192.0, -442.0, 0.0, -11.0, 3.0, 4950.0, 204.0, -2514.0
893.0, -193.0, -442.0, 0.0, -11.0, 3.0, 4950.0, 204.0, -2514.0
893.0, -193.0, -442.0, 0.0, -11.0, 3.0, 4950.0, 204.0, -2514.0
894.0, -193.0, -443.0, 0.0, -11.0, 3.0, 4950.0, 204.0, -2514.0
894.0, -193.0, -443.0, 0.0, -11.0, 3.0, 4950.0, 204.0, -2514.0
894.0, -193.0, -444.0, 0.0, -10.0, 3.0, 4950.0, 204.0, -2514.0
894.0, -193.0, -443.0, 0.0, -10.0, 2.0, 4950.0, 204.0, -2514.0
894.0, -192.0, -444.0, 0.0, -9.0, 2.0, 4950.0, 204.0, -2514.0
894.0, -192.0, -444.0, 0.0, -9.0, 2.0, 4950.0, 204.0, -2514.0
894.0, -192.0, -444.0, 0.0, -9.0, 2.0, 4950.0, 204.0, -2514.0
894.0, -192.0, -444.0, 0.0, -8.0, 2.0, 4950.0, 204.0, -2514.0
894.0, -192.0, -444.0, 0.0, -8.0, 2.0, 4933.0, 151.0, -2357.0
895.0, -192.0, -443.0, 0.0, -8.0, 2.0, 4933.0, 151.0, -2357.0
894.0, -192.0, -443.0, 0.0, -8.0, 1.0, 4933.0, 151.0, -2357.0
894.0, -191.0, -444.0, 0.0, -7.0, 1.0, 4933.0, 151.0, -2357.0
894.0, -191.0, -444.0, 1.0, -7.0, 1.0, 4933.0, 151.0, -2357.0
893.0, -190.0, -444.0, 1.0, -7.0, 1.0, 4933.0, 151.0, -2357.0
893.0, -189.0, -444.0, 1.0, -6.0, 1.0, 4933.0, 151.0, -2357.0
892.0, -188.0, -445.0, 1.0, -6.0, 1.0, 4933.0, 151.0, -2357.0
892.0, -188.0, -445.0, 1.0, -6.0, 1.0, 4933.0, 151.0, -2357.0
892.0, -188.0, -445.0, 1.0, -6.0, 1.0, 4933.0, 151.0, -2357.0
892.0, -187.0, -445.0, 1.0, -6.0, 1.0, 4933.0, 151.0, -2357.0
892.0, -187.0, -446.0, 1.0, -5.0, 0.0, 4845.0, 99.0, -2340.0
893.0, -187.0, -446.0, 1.0, -5.0, 0.0, 4845.0, 99.0, -2340.0
893.0, -187.0, -446.0, 1.0, -5.0, 0.0, 4845.0, 99.0, -2340.0
893.0, -187.0, -446.0, 1.0, -4.0, 0.0, 4845.0, 99.0, -2340.0
893.0, -187.0, -446.0, 1.0, -4.0, 0.0, 4845.0, 99.0, -2340.0
894.0, -187.0, -446.0, 1.0, -4.0, 0.0, 4845.0, 99.0, -2340.0
894.0, -186.0, -446.0, 1.0, -4.0, 0.0, 4845.0, 99.0, -2340.0
894.0, -186.0, -446.0, 1.0, -4.0, 0.0, 4845.0, 99.0, -2340.0
894.0, -186.0, -446.0, 1.0, -3.0, 0.0, 4845.0, 99.0, -2340.0
895.0, -186.0, -446.0, 1.0, -3.0, 0.0, 4845.0, 99.0, -2340.0
895.0, -187.0, -446.0, 1.0, -3.0, 0.0, 4845.0, 99.0, -2340.0
895.0, -187.0, -445.0, 1.0, -2.0, 0.0, 4863.0, 81.0, -2427.0
895.0, -186.0, -445.0, 1.0, -2.0, 0.0, 4863.0, 81.0, -2427.0
895.0, -186.0, -445.0, 1.0, -2.0, 0.0, 4863.0, 81.0, -2427.0
895.0, -186.0, -445.0, 1.0, -2.0, 0.0, 4863.0, 81.0, -2427.0
896.0, -186.0, -444.0, 1.0, -2.0, 0.0, 4863.0, 81.0, -2427.0
896.0, -186.0, -444.0, 1.0, -2.0, 0.0, 4863.0, 81.0, -2427.0
896.0, -186.0, -443.0, 1.0, -1.0, 0.0, 4863.0, 81.0, -2427.0
896.0, -186.0, -442.0, 1.0, -1.0, 0.0, 4863.0, 81.0, -2427.0
896.0, -186.0, -442.0, 1.0, -1.0, -1.0, 4863.0, 81.0, -2427.0
895.0, -186.0, -441.0, 1.0, -1.0, -1.0, 4863.0, 81.0, -2427.0
