ax,ay,az,gx,gy,gz,mx,my,mz
-306.0, 549.0, -807.0, 2.0, 5.0, -1.0, -1976.0, 3101.0, -1539.0
-307.0, 550.0, -805.0, 2.0, 5.0, 0.0, -1976.0, 3101.0, -1539.0
-307.0, 550.0, -804.0, 2.0, 5.0, 0.0, -1976.0, 3101.0, -1539.0
-307.0, 552.0, -802.0, 2.0, 5.0, 0.0, -1976.0, 3101.0, -1539.0
-307.0, 552.0, -802.0, 2.0, 5.0, 0.0, -1976.0, 3101.0, -1539.0
-308.0, 553.0, -802.0, 2.0, 5.0, 0.0, -1976.0, 3101.0, -1539.0
-307.0, 555.0, -801.0, 2.0, 5.0, 0.0, -1976.0, 3101.0, -1539.0
-306.0, 556.0, -800.0, 2.0, 5.0, 0.0, -1976.0, 3101.0, -1539.0
-306.0, 557.0, -800.0, 2.0, 5.0, 0.0, -1784.0, 3118.0, -1661.0
-305.0, 558.0, -800.0, 2.0, 5.0, -1.0, -1784.0, 3118.0, -1661.0
-305.0, 559.0, -799.0, 2.0, 5.0, -1.0, -1784.0, 3118.0, -1661.0
-304.0, 560.0, -799.0, 2.0, 5.0, -1.0, -1784.0, 3118.0, -1661.0
-304.0, 560.0, -799.0, 2.0, 5.0, -1.0, -1784.0, 3118.0, -1661.0
-304.0, 560.0, -799.0, 2.0, 5.0, -1.0, -1784.0, 3118.0, -1661.0
-304.0, 560.0, -799.0, 2.0, 5.0, -1.0, -1784.0, 3118.0, -1661.0
-304.0, 560.0, -799.0, 2.0, 5.0, -1.0, -1784.0, 3118.0, -1661.0
-304.0, 559.0, -798.0, 2.0, 5.0, -1.0, -1784.0, 3118.0, -1661.0
-303.0, 558.0, -798.0, 2.0, 5.0, -1.0, -1784.0, 3118.0, -1661.0
-303.0, 557.0, -797.0, 2.0, 5.0, -1.0, -1784.0, 3118.0, -1661.0
-303.0, 557.0, -796.0, 2.0, 5.0, -1.0, -1994.0, 3049.0, -1696.0
-303.0, 556.0, -796.0, 2.0, 6.0, -1.0, -1994.0, 3049.0, -1696.0
-303.0, 555.0, -796.0, 2.0, 6.0, -1.0, -1994.0, 3049.0, -1696.0
-303.0, 554.0, -796.0, 2.0, 6.0, -1.0, -1994.0, 3049.0, -1696.0
-303.0, 554.0, -796.0, 2.0, 6.0, -1.0, -1994.0, 3049.0, -1696.0
-303.0, 553.0, -797.0, 2.0, 6.0, -1.0, -1994.0, 3049.0, -1696.0
-303.0, 552.0, -798.0, 1.0, 6.0, -2.0, -1994.0, 3049.0, -1696.0
-302.0, 552.0, -799.0, 1.0, 6.0, -2.0, -1994.0, 3049.0, -1696.0
-302.0, 552.0, -800.0, 1.0, 6.0, -2.0, -1994.0, 3049.0, -1696.0
-301.0, 552.0, -802.0, 1.0, 6.0, -2.0, -1994.0, 3049.0, -1696.0
-300.0, 551.0, -804.0, 1.0, 7.0, -2.0, -1994.0, 3049.0, -1696.0
-299.0, 551.0, -805.0, 1.0, 7.0, -2.0, -1819.0, 2944.0, -1731.0
-299.0, 551.0, -807.0, 1.0, 7.0, -2.0, -1819.0, 2944.0, -1731.0
-299.0, 551.0, -807.0, 1.0, 7.0, -2.0, -1819.0, 2944.0, -1731.0
-299.0, 551.0, -808.0, 1.0, 7.0, -2.0, -1819.0, 2944.0, -1731.0
-298.0, 551.0, -809.0, 1.0, 7.0, -2.0, -1819.0, 2944.0, -1731.0
-298.0, 552.0, -810.0, 1.0, 7.0, -2.0, -1819.0, 2944.0, -1731.0
-299.0, 553.0, -810.0, 1.0, 7.0, -2.0, -1819.0, 2944.0, -1731.0
-300.0, 553.0, -811.0, 1.0, 7.0, -2.0, -1819.0, 2944.0, -1731.0
-300.0, 554.0, -812.0, 1.0, 7.0, -2.0, -1819.0, 2944.0, -1731.0
-300.0, 555.0, -813.0, 1.0, 7.0, -2.0, -1819.0, 2944.0, -1731.0
-300.0, 556.0, -814.0, 1.0, 7.0, -2.0, -1819.0, 2944.0, -1731.0
-300.0, 558.0, -814.0, 1.0, 7.0, -2.0, -1819.0, 2944.0, -1731.0
-300.0, 558.0, -814.0, 1.0, 7.0, -2.0, -1872.0, 3031.0, -1748.0
-300.0, 559.0, -815.0, 1.0, 7.0, -2.0, -1872.0, 3031.0, -1748.0
-300.0, 560.0, -815.0, 1.0, 7.0, -2.0, -1872.0, 3031.0, -1748.0
-300.0, 561.0, -816.0, 1.0, 7.0, -2.0, -1872.0, 3031.0, -1748.0
-299.0, 562.0, -817.0, 1.0, 7.0, -2.0, -1872.0, 3031.0, -1748.0
-299.0, 564.0, -819.0, 1.0, 7.0, -2.0, -1872.0, 3031.0, -1748.0
-299.0, 565.0, -821.0, 1.0, 7.0, -2.0, -1872.0, 3031.0, -1748.0
-298.0, 566.0, -822.0, 1.0, 7.0, -2.0, -1872.0, 3031.0, -1748.0
-298.0, 566.0, -822.0, 1.0, 7.0, -2.0, -1872.0, 3031.0, -1748.0
-298.0, 566.0, -822.0, 1.0, 7.0, -2.0, -1872.0, 3031.0, -1748.0
-298.0, 566.0, -823.0, 1.0, 7.0, -2.0, -1872.0, 3031.0, -1748.0
-298.0, 567.0, -824.0, 1.0, 7.0, -2.0, -2046.0, 2926.0, -1609.0
-298.0, 567.0, -826.0, 1.0, 7.0, -2.0, -2046.0, 2926.0, -1609.0
-298.0, 568.0, -827.0, 1.0, 7.0, -3.0, -2046.0, 2926.0, -1609.0
-299.0, 568.0, -828.0, 1.0, 6.0, -3.0, -2046.0, 2926.0, -1609.0
-300.0, 568.0, -829.0, 2.0, 6.0, -3.0, -2046.0, 2926.0, -1609.0
-300.0, 568.0, -831.0, 2.0, 6.0, -3.0, -2046.0, 2926.0, -1609.0
-300.0, 568.0, -832.0, 2.0, 6.0, -3.0, -2046.0, 2926.0, -1609.0
-300.0, 567.0, -833.0, 2.0, 6.0, -3.0, -2046.0, 2926.0, -1609.0
-300.0, 567.0, -833.0, 2.0, 6.0, -3.0, -2046.0, 2926.0, -1609.0
-300.0, 568.0, -834.0, 2.0, 6.0, -3.0, -2046.0, 2926.0, -1609.0
-300.0, 569.0, -835.0, 2.0, 6.0, -3.0, -2046.0, 2926.0, -1609.0
-301.0, 569.0, -836.0, 2.0, 5.0, -3.0, -1749.0, 3153.0, -1661.0
-301.0, 569.0, -837.0, 2.0, 5.0, -3.0, -1749.0, 3153.0, -1661.0
-301.0, 569.0, -838.0, 2.0, 5.0, -4.0, -1749.0, 3153.0, -1661.0
-301.0, 569.0, -839.0, 2.0, 5.0, -4.0, -1749.0, 3153.0, -1661.0
-301.0, 570.0, -839.0, 2.0, 5.0, -4.0, -1749.0, 3153.0, -1661.0
-301.0, 570.0, -838.0, 2.0, 4.0, -4.0, -1749.0, 3153.0, -1661.0
-301.0, 570.0, -838.0, 2.0, 4.0, -4.0, -1749.0, 3153.0, -1661.0
-301.0, 570.0, -838.0, 1.0, 4.0, -4.0, -1749.0, 3153.0, -1661.0
-301.0, 570.0, -837.0, 1.0, 4.0, -4.0, -1749.0, 3153.0, -1661.0
-302.0, 570.0, -837.0, 1.0, 4.0, -4.0, -1749.0, 3153.0, -1661.0
-302.0, 571.0, -837.0, 1.0, 4.0, -4.0, -1749.0, 3153.0, -1661.0
-302.0, 572.0, -837.0, 1.0, 3.0, -4.0, -1942.0, 3136.0, -1783.0
-302.0, 572.0, -836.0, 1.0, 3.0, -5.0, -1942.0, 3136.0, -1783.0
-302.0, 572.0, -835.0, 1.0, 3.0, -5.0, -1942.0, 3136.0, -1783.0
-302.0, 572.0, -834.0, 1.0, 3.0, -5.0, -1942.0, 3136.0, -1783.0
-302.0, 572.0, -832.0, 1.0, 3.0, -5.0, -1942.0, 3136.0, -1783.0
-302.0, 572.0, -832.0, 1.0, 3.0, -5.0, -1942.0, 3136.0, -1783.0
-302.0, 572.0, -831.0, 1.0, 3.0, -5.0, -1942.0, 3136.0, -1783.0
-303.0, 572.0, -829.0, 1.0, 2.0, -5.0, -1942.0, 3136.0, -1783.0
-303.0, 572.0, -828.0, 1.0, 2.0, -5.0, -1942.0, 3136.0, -1783.0
-303.0, 572.0, -827.0, 1.0, 2.0, -6.0, -1942.0, 3136.0, -1783.0
-304.0, 572.0, -826.0, 0.0, 2.0, -6.0, -1942.0, 3136.0, -1783.0
-304.0, 572.0, -825.0, 0.0, 2.0, -6.0, -1872.0, 3101.0, -1644.0
-303.0, 571.0, -824.0, 0.0, 2.0, -6.0, -1872.0, 3101.0, -1644.0
-303.0, 571.0, -823.0, 0.0, 2.0, -6.0, -1872.0, 3101.0, -1644.0
-303.0, 571.0, -823.0, 0.0, 2.0, -6.0, -1872.0, 3101.0, -1644.0
-304.0, 571.0, -822.0, 0.0, 2.0, -6.0, -1872.0, 3101.0, -1644.0
-304.0, 571.0, -821.0, 0.0, 2.0, -7.0, -1872.0, 3101.0, -1644.0
-304.0, 570.0, -821.0, -1.0, 2.0, -7.0, -1872.0, 3101.0, -1644.0
-304.0, 570.0, -820.0, -1.0, 2.0, -7.0, -1872.0, 3101.0, -1644.0
-305.0, 569.0, -818.0, -1.0, 2.0, -7.0, -1872.0, 3101.0, -1644.0
-305.0, 568.0, -816.0, -1.0, 2.0, -7.0, -1872.0, 3101.0, -1644.0
-304.0, 568.0, -816.0, -1.0, 1.0, -7.0, -1872.0, 3101.0, -1644.0
-304.0, 567.0, -814.0, -1.0, 1.0, -8.0, -2011.0, 2857.0, -1644.0
-305.0, 567.0, -812.0, -1.0, 1.0, -8.0, -2011.0, 2857.0, -1678.0
-305.0, 567.0, -812.0, -1.0, 1.0, -8.0, -2011.0, 2857.0, -1678.0
-305.0, 567.0, -810.0, -1.0, 1.0, -8.0, -2011.0, 2857.0, -1678.0
-305.0, 567.0, -809.0, -2.0, 1.0, -8.0, -2011.0, 2857.0, -1678.0
-305.0, 566.0, -807.0, -2.0, 1.0, -8.0, -2011.0, 2857.0, -1678.0
-305.0, 565.0, -805.0, -2.0, 2.0, -8.0, -2011.0, 2857.0, -1678.0
-305.0, 564.0, -803.0, -2.0, 2.0, -8.0, -2011.0, 2857.0, -1678.0
-306.0, 563.0, -802.0, -2.0, 2.0, -8.0, -2011.0, 2857.0, -1678.0
-306.0, 562.0, -800.0, -2.0, 2.0, -9.0, -2011.0, 2857.0, -1678.0
-306.0, 560.0, -800.0, -3.0, 2.0, -9.0, -2011.0, 2857.0, -1678.0
-306.0, 559.0, -799.0, -3.0, 2.0, -9.0, -2011.0, 2857.0, -1678.0
-306.0, 559.0, -799.0, -3.0, 2.0, -9.0, -1872.0, 2961.0, -1574.0
-306.0, 557.0, -799.0, -3.0, 2.0, -9.0, -1872.0, 2961.0, -1574.0
-306.0, 556.0, -798.0, -3.0, 2.0, -9.0, -1872.0, 2961.0, -1574.0
-306.0, 555.0, -798.0, -3.0, 3.0, -9.0, -1872.0, 2961.0, -1574.0
-306.0, 553.0, -798.0, -3.0, 3.0, -9.0, -1872.0, 2961.0, -1574.0
-305.0, 551.0, -799.0, -4.0, 3.0, -9.0, -1872.0, 2961.0, -1574.0
-305.0, 549.0, -799.0, -4.0, 3.0, -9.0, -1872.0, 2961.0, -1574.0
-304.0, 548.0, -799.0, -4.0, 3.0, -10.0, -1872.0, 2961.0, -1574.0
-304.0, 547.0, -799.0, -4.0, 3.0, -10.0, -1872.0, 2961.0, -1574.0
-304.0, 547.0, -799.0, -4.0, 3.0, -10.0, -1872.0, 2961.0, -1574.0
-304.0, 545.0, -799.0, -4.0, 4.0, -10.0, -1872.0, 2961.0, -1574.0
-305.0, 544.0, -798.0, -4.0, 4.0, -10.0, -1942.0, 2996.0, -1574.0
-305.0, 543.0, -799.0, -5.0, 4.0, -10.0, -1942.0, 2996.0, -1574.0
-305.0, 541.0, -800.0, -5.0, 4.0, -10.0, -1942.0, 2996.0, -1574.0
-306.0, 539.0, -801.0, -5.0, 4.0, -10.0, -1942.0, 2996.0, -1574.0
-306.0, 538.0, -802.0, -5.0, 4.0, -10.0, -1942.0, 2996.0, -1574.0
-306.0, 536.0, -803.0, -5.0, 5.0, -10.0, -1942.0, 2996.0, -1574.0
-305.0, 536.0, -804.0, -5.0, 5.0, -10.0, -1942.0, 2996.0, -1574.0
-304.0, 535.0, -804.0, -6.0, 5.0, -10.0, -1942.0, 2996.0, -1574.0
-304.0, 533.0, -805.0, -6.0, 5.0, -10.0, -1942.0, 2996.0, -1574.0
-304.0, 533.0, -805.0, -6.0, 5.0, -10.0, -1942.0, 2996.0, -1574.0
-305.0, 533.0, -806.0, -6.0, 5.0, -10.0, -1942.0, 2996.0, -1574.0
-305.0, 532.0, -806.0, -6.0, 5.0, -10.0, -1924.0, 3118.0, -1696.0
-306.0, 532.0, -806.0, -6.0, 5.0, -10.0, -1924.0, 3118.0, -1696.0
-307.0, 532.0, -805.0, -6.0, 5.0, -9.0, -1924.0, 3118.0, -1696.0
-307.0, 531.0, -805.0, -6.0, 5.0, -9.0, -1924.0, 3118.0, -1696.0
-308.0, 531.0, -804.0, -6.0, 5.0, -9.0, -1924.0, 3118.0, -1696.0
-308.0, 531.0, -803.0, -6.0, 5.0, -9.0, -1924.0, 3118.0, -1696.0
-309.0, 531.0, -803.0, -6.0, 5.0, -9.0, -1924.0, 3118.0, -1696.0
-310.0, 531.0, -803.0, -6.0, 5.0, -9.0, -1924.0, 3118.0, -1696.0
-310.0, 531.0, -803.0, -6.0, 5.0, -9.0, -1924.0, 3118.0, -1696.0
-310.0, 531.0, -802.0, -6.0, 5.0, -9.0, -1924.0, 3118.0, -1696.0
-310.0, 531.0, -802.0, -6.0, 5.0, -9.0, -1924.0, 3118.0, -1696.0
-310.0, 531.0, -802.0, -6.0, 5.0, -9.0, -1854.0, 3049.0, -1626.0
-310.0, 531.0, -801.0, -6.0, 6.0, -9.0, -1854.0, 3049.0, -1626.0
-311.0, 531.0, -802.0, -6.0, 6.0, -9.0, -1854.0, 3049.0, -1626.0
-311.0, 531.0, -802.0, -5.0, 6.0, -9.0, -1854.0, 3049.0, -1626.0
-311.0, 530.0, -801.0, -5.0, 6.0, -9.0, -1854.0, 3049.0, -1626.0
-312.0, 530.0, -801.0, -5.0, 6.0, -9.0, -1854.0, 3049.0, -1626.0
-312.0, 530.0, -801.0, -5.0, 6.0, -9.0, -1854.0, 3049.0, -1626.0
-312.0, 530.0, -801.0, -5.0, 6.0, -9.0, -1854.0, 3049.0, -1626.0
-312.0, 530.0, -802.0, -5.0, 6.0, -9.0, -1854.0, 3049.0, -1626.0
-312.0, 529.0, -802.0, -5.0, 6.0, -9.0, -1854.0, 3049.0, -1626.0
-313.0, 529.0, -802.0, -5.0, 6.0, -9.0, -1854.0, 3049.0, -1626.0
-313.0, 528.0, -802.0, -5.0, 6.0, -8.0, -1994.0, 3014.0, -1522.0
-313.0, 527.0, -804.0, -5.0, 6.0, -8.0, -1994.0, 3014.0, -1522.0
-314.0, 527.0, -805.0, -5.0, 6.0, -8.0, -1994.0, 3014.0, -1522.0
-314.0, 526.0, -807.0, -4.0, 6.0, -8.0, -1994.0, 3014.0, -1522.0
-314.0, 525.0, -809.0, -4.0, 7.0, -8.0, -1994.0, 3014.0, -1522.0
-314.0, 525.0, -809.0, -4.0, 7.0, -8.0, -1994.0, 3014.0, -1522.0
-315.0, 525.0, -810.0, -4.0, 7.0, -8.0, -1994.0, 3014.0, -1522.0
-315.0, 524.0, -813.0, -4.0, 7.0, -8.0, -1994.0, 3014.0, -1522.0
-315.0, 524.0, -814.0, -4.0, 7.0, -8.0, -1994.0, 3014.0, -1522.0
-315.0, 524.0, -816.0, -4.0, 7.0, -8.0, -1994.0, 3014.0, -1522.0
-315.0, 524.0, -818.0, -4.0, 7.0, -8.0, -1994.0, 3014.0, -1522.0
-315.0, 524.0, -820.0, -4.0, 6.0, -8.0, -1994.0, 3014.0, -1522.0
-315.0, 523.0, -821.0, -4.0, 6.0, -8.0, -1994.0, 3014.0, -1522.0
-315.0, 523.0, -822.0, -4.0, 6.0, -7.0, -1994.0, 3014.0, -1522.0
-315.0, 522.0, -824.0, -4.0, 6.0, -7.0, -1994.0, 3014.0, -1522.0
-315.0, 522.0, -824.0, -4.0, 6.0, -7.0, -1994.0, 3014.0, -1522.0
-315.0, 522.0, -825.0, -4.0, 6.0, -7.0, -1994.0, 3014.0, -1522.0
-315.0, 521.0, -825.0, -4.0, 6.0, -7.0, -1994.0, 3014.0, -1522.0
-316.0, 521.0, -825.0, -3.0, 6.0, -7.0, -1994.0, 3014.0, -1522.0
-316.0, 521.0, -825.0, -3.0, 6.0, -7.0, -1994.0, 3014.0, -1522.0
-316.0, 521.0, -824.0, -3.0, 6.0, -7.0, -1994.0, 3014.0, -1522.0
-317.0, 521.0, -823.0, -3.0, 6.0, -6.0, -1994.0, 3014.0, -1522.0
