ax,ay,az,gx,gy,gz,mx,my,mz
310.0, 144.0, -1000.0, -2.0, 4.0, -4.0, 1277.0, 1670.0, -3941.0
311.0, 144.0, -1001.0, -2.0, 4.0, -4.0, 1277.0, 1670.0, -3941.0
311.0, 143.0, -1002.0, -2.0, 5.0, -4.0, 1277.0, 1670.0, -3941.0
311.0, 142.0, -1002.0, -2.0, 5.0, -4.0, 1277.0, 1670.0, -3941.0
312.0, 141.0, -1002.0, -2.0, 5.0, -4.0, 1277.0, 1670.0, -3941.0
312.0, 141.0, -1002.0, -2.0, 5.0, -4.0, 1277.0, 1670.0, -3941.0
312.0, 140.0, -1003.0, -2.0, 5.0, -5.0, 1277.0, 1670.0, -3941.0
312.0, 138.0, -1004.0, -2.0, 5.0, -5.0, 1277.0, 1670.0, -3941.0
312.0, 137.0, -1005.0, -2.0, 5.0, -5.0, 1277.0, 1670.0, -3941.0
312.0, 136.0, -1007.0, -2.0, 5.0, -5.0, 1277.0, 1670.0, -3941.0
312.0, 134.0, -1010.0, -2.0, 5.0, -5.0, 1347.0, 1705.0, -3975.0
313.0, 132.0, -1013.0, -2.0, 5.0, -5.0, 1347.0, 1705.0, -3975.0
313.0, 131.0, -1016.0, -2.0, 5.0, -5.0, 1347.0, 1705.0, -3975.0
313.0, 130.0, -1019.0, -2.0, 4.0, -5.0, 1347.0, 1705.0, -3975.0
314.0, 129.0, -1022.0, -2.0, 4.0, -5.0, 1347.0, 1705.0, -3975.0
314.0, 129.0, -1022.0, -2.0, 4.0, -5.0, 1347.0, 1705.0, -3975.0
314.0, 127.0, -1024.0, -2.0, 4.0, -5.0, 1347.0, 1705.0, -3975.0
315.0, 125.0, -1027.0, -2.0, 4.0, -5.0, 1347.0, 1705.0, -3975.0
315.0, 123.0, -1029.0, -2.0, 4.0, -5.0, 1347.0, 1705.0, -3975.0
315.0, 122.0, -1031.0, -2.0, 4.0, -5.0, 1347.0, 1705.0, -3975.0
316.0, 120.0, -1034.0, -2.0, 3.0, -5.0, 1347.0, 1705.0, -3975.0
316.0, 119.0, -1036.0, -1.0, 3.0, -5.0, 1399.0, 1617.0, -4062.0
317.0, 117.0, -1038.0, -1.0, 3.0, -5.0, 1399.0, 1617.0, -4062.0
317.0, 115.0, -1040.0, -1.0, 2.0, -5.0, 1399.0, 1617.0, -4062.0
317.0, 115.0, -1040.0, -1.0, 2.0, -5.0, 1399.0, 1617.0, -4062.0
317.0, 114.0, -1041.0, -1.0, 2.0, -5.0, 1399.0, 1617.0, -4062.0
317.0, 113.0, -1042.0, -1.0, 2.0, -5.0, 1399.0, 1617.0, -4062.0
317.0, 113.0, -1043.0, -1.0, 1.0, -5.0, 1399.0, 1617.0, -4062.0
317.0, 112.0, -1044.0, -1.0, 1.0, -5.0, 1399.0, 1617.0, -4062.0
316.0, 111.0, -1045.0, -1.0, 0.0, -5.0, 1399.0, 1617.0, -4062.0
316.0, 110.0, -1046.0, 0.0, 0.0, -5.0, 1399.0, 1617.0, -4062.0
317.0, 109.0, -1046.0, 0.0, -1.0, -4.0, 1399.0, 1617.0, -4062.0
316.0, 109.0, -1046.0, 0.0, -1.0, -4.0, 1364.0, 1652.0, -4062.0
316.0, 108.0, -1046.0, 0.0, -1.0, -4.0, 1364.0, 1652.0, -3993.0
316.0, 108.0, -1046.0, 0.0, -1.0, -4.0, 1364.0, 1652.0, -3993.0
315.0, 108.0, -1045.0, 0.0, -2.0, -4.0, 1364.0, 1652.0, -3993.0
315.0, 107.0, -1044.0, 0.0, -2.0, -4.0, 1364.0, 1652.0, -3993.0
315.0, 107.0, -1042.0, 1.0, -2.0, -4.0, 1364.0, 1652.0, -3993.0
314.0, 107.0, -1040.0, 1.0, -3.0, -3.0, 1364.0, 1652.0, -3993.0
314.0, 107.0, -1039.0, 1.0, -3.0, -3.0, 1364.0, 1652.0, -3993.0
313.0, 106.0, -1037.0, 1.0, -3.0, -3.0, 1364.0, 1652.0, -3993.0
313.0, 106.0, -1035.0, 1.0, -3.0, -3.0, 1364.0, 1652.0, -3993.0
312.0, 106.0, -1033.0, 1.0, -4.0, -3.0, 1364.0, 1652.0, -3993.0
312.0, 106.0, -1031.0, 1.0, -4.0, -3.0, 1364.0, 1652.0, -3993.0
312.0, 106.0, -1031.0, 1.0, -4.0, -3.0, 1364.0, 1652.0, -3993.0
312.0, 106.0, -1030.0, 1.0, -4.0, -3.0, 1364.0, 1652.0, -3993.0
310.0, 105.0, -1028.0, 1.0, -4.0, -3.0, 1364.0, 1652.0, -3993.0
309.0, 106.0, -1027.0, 1.0, -4.0, -2.0, 1364.0, 1652.0, -3993.0
309.0, 106.0, -1025.0, 1.0, -5.0, -2.0, 1364.0, 1652.0, -3993.0
