ax,ay,az,gx,gy,gz,mx,my,mz
510.0, 5.0, -897.0, -2.0, 4.0, -7.0, 2606.0, 1216.0, -3836.0
511.0, 5.0, -897.0, -2.0, 4.0, -7.0, 2606.0, 1216.0, -3836.0
510.0, 5.0, -897.0, -2.0, 5.0, -7.0, 2676.0, 1181.0, -3906.0
510.0, 4.0, -897.0, -2.0, 5.0, -7.0, 2676.0, 1181.0, -3906.0
510.0, 4.0, -897.0, -2.0, 5.0, -7.0, 2676.0, 1181.0, -3906.0
510.0, 4.0, -897.0, -2.0, 5.0, -6.0, 2676.0, 1181.0, -3906.0
510.0, 4.0, -897.0, -2.0, 5.0, -6.0, 2676.0, 1181.0, -3906.0
510.0, 4.0, -897.0, -2.0, 5.0, -6.0, 2676.0, 1181.0, -3906.0
510.0, 4.0, -897.0, -2.0, 5.0, -6.0, 2676.0, 1181.0, -3906.0
510.0, 5.0, -898.0, -2.0, 5.0, -6.0, 2676.0, 1181.0, -3906.0
510.0, 5.0, -898.0, -2.0, 6.0, -6.0, 2676.0, 1181.0, -3906.0
510.0, 5.0, -899.0, -2.0, 6.0, -6.0, 2676.0, 1181.0, -3906.0
511.0, 4.0, -899.0, -2.0, 6.0, -6.0, 2676.0, 1181.0, -3906.0
511.0, 4.0, -899.0, -2.0, 6.0, -6.0, 2764.0, 1181.0, -3906.0
511.0, 4.0, -899.0, -2.0, 6.0, -6.0, 2764.0, 1164.0, -3749.0
511.0, 4.0, -898.0, -2.0, 6.0, -6.0, 2764.0, 1164.0, -3749.0
511.0, 4.0, -897.0, -2.0, 6.0, -6.0, 2764.0, 1164.0, -3749.0
511.0, 4.0, -896.0, -2.0, 6.0, -6.0, 2764.0, 1164.0, -3749.0
511.0, 5.0, -896.0, -2.0, 6.0, -5.0, 2764.0, 1164.0, -3749.0
511.0, 5.0, -897.0, -2.0, 6.0, -5.0, 2764.0, 1164.0, -3749.0
511.0, 5.0, -897.0, -2.0, 6.0, -5.0, 2764.0, 1164.0, -3749.0
512.0, 5.0, -897.0, -1.0, 6.0, -5.0, 2764.0, 1164.0, -3749.0
513.0, 5.0, -896.0, -1.0, 6.0, -5.0, 2764.0, 1164.0, -3749.0
513.0, 5.0, -896.0, -1.0, 6.0, -5.0, 2764.0, 1164.0, -3749.0
513.0, 4.0, -897.0, -1.0, 6.0, -5.0, 2764.0, 1164.0, -3749.0
512.0, 4.0, -897.0, -1.0, 6.0, -5.0, 2659.0, 1303.0, -3958.0
513.0, 4.0, -897.0, -1.0, 6.0, -5.0, 2659.0, 1303.0, -3958.0
512.0, 4.0, -897.0, -1.0, 6.0, -5.0, 2659.0, 1303.0, -3958.0
512.0, 3.0, -897.0, -1.0, 6.0, -5.0, 2659.0, 1303.0, -3958.0
512.0, 3.0, -897.0, -1.0, 6.0, -5.0, 2659.0, 1303.0, -3958.0
513.0, 3.0, -897.0, -1.0, 6.0, -5.0, 2659.0, 1303.0, -3958.0
513.0, 3.0, -897.0, -1.0, 6.0, -5.0, 2659.0, 1303.0, -3958.0
513.0, 3.0, -897.0, -1.0, 6.0, -5.0, 2659.0, 1303.0, -3958.0
512.0, 3.0, -897.0, -1.0, 6.0, -5.0, 2659.0, 1303.0, -3958.0
512.0, 3.0, -896.0, -1.0, 6.0, -5.0, 2659.0, 1303.0, -3958.0
512.0, 3.0, -896.0, -1.0, 6.0, -5.0, 2659.0, 1303.0, -3958.0
512.0, 3.0, -896.0, -1.0, 6.0, -5.0, 2711.0, 1251.0, -3801.0
512.0, 4.0, -896.0, -1.0, 6.0, -5.0, 2711.0, 1251.0, -3801.0
511.0, 4.0, -896.0, -1.0, 6.0, -5.0, 2711.0, 1251.0, -3801.0
512.0, 4.0, -895.0, -1.0, 6.0, -5.0, 2711.0, 1251.0, -3801.0
512.0, 4.0, -895.0, -1.0, 6.0, -5.0, 2711.0, 1251.0, -3801.0
512.0, 3.0, -895.0, -1.0, 6.0, -5.0, 2711.0, 1251.0, -3801.0
512.0, 3.0, -895.0, -1.0, 6.0, -5.0, 2711.0, 1251.0, -3801.0
512.0, 4.0, -894.0, -1.0, 6.0, -5.0, 2711.0, 1251.0, -3801.0
512.0, 4.0, -894.0, -1.0, 6.0, -5.0, 2711.0, 1251.0, -3801.0
512.0, 5.0, -895.0, -1.0, 6.0, -5.0, 2711.0, 1251.0, -3801.0
513.0, 5.0, -896.0, 0.0, 6.0, -5.0, 2711.0, 1251.0, -3801.0
513.0, 5.0, -896.0, 0.0, 6.0, -4.0, 2711.0, 1251.0, -3801.0
513.0, 5.0, -896.0, 0.0, 6.0, -4.0, 2799.0, 1024.0, -3958.0
514.0, 6.0, -896.0, 0.0, 6.0, -4.0, 2799.0, 1024.0, -3958.0
514.0, 6.0, -896.0, 0.0, 6.0, -4.0, 2799.0, 1024.0, -3958.0
514.0, 6.0, -896.0, 0.0, 6.0, -4.0, 2799.0, 1024.0, -3958.0
515.0, 6.0, -895.0, 0.0, 5.0, -4.0, 2799.0, 1024.0, -3958.0
516.0, 6.0, -895.0, 1.0, 5.0, -4.0, 2799.0, 1024.0, -3958.0
516.0, 6.0, -894.0, 1.0, 5.0, -4.0, 2799.0, 1024.0, -3958.0
