ax,ay,az,gx,gy,gz,mx,my,mz
575.0, -264.0, -893.0, -15.0, 10.0, -47.0, 2886.0, 1879.0, -3279.0
575.0, -264.0, -893.0, -15.0, 10.0, -47.0, 2886.0, 1879.0, -3279.0
579.0, -271.0, -894.0, -14.0, 11.0, -48.0, 2886.0, 1879.0, -3279.0
583.0, -276.0, -900.0, -15.0, 13.0, -48.0, 2886.0, 1879.0, -3279.0
582.0, -288.0, -904.0, -15.0, 14.0, -48.0, 2886.0, 1879.0, -3279.0
575.0, -306.0, -897.0, -15.0, 15.0, -48.0, 2851.0, 1844.0, -3245.0
582.0, -311.0, -906.0, -16.0, 17.0, -49.0, 2851.0, 1844.0, -3245.0
577.0, -322.0, -910.0, -17.0, 18.0, -49.0, 2851.0, 1844.0, -3245.0
570.0, -334.0, -899.0, -18.0, 19.0, -49.0, 2851.0, 1844.0, -3245.0
578.0, -328.0, -904.0, -20.0, 21.0, -50.0, 2851.0, 1844.0, -3245.0
575.0, -329.0, -907.0, -22.0, 22.0, -51.0, 2851.0, 1844.0, -3245.0
576.0, -334.0, -911.0, -23.0, 24.0, -51.0, 2851.0, 1844.0, -3245.0
583.0, -343.0, -926.0, -23.0, 25.0, -51.0, 2851.0, 1844.0, -3245.0
579.0, -366.0, -933.0, -22.0, 26.0, -49.0, 2851.0, 1844.0, -3245.0
579.0, -366.0, -933.0, -22.0, 26.0, -49.0, 2851.0, 1844.0, -3245.0
566.0, -389.0, -913.0, -19.0, 27.0, -47.0, 2851.0, 1844.0, -3245.0
569.0, -377.0, -903.0, -20.0, 29.0, -48.0, 2886.0, 1809.0, -3314.0
577.0, -356.0, -910.0, -24.0, 31.0, -49.0, 2886.0, 1809.0, -3314.0
571.0, -355.0, -913.0, -28.0, 32.0, -50.0, 2886.0, 1809.0, -3314.0
574.0, -363.0, -920.0, -29.0, 34.0, -50.0, 2886.0, 1809.0, -3314.0
572.0, -376.0, -916.0, -28.0, 35.0, -49.0, 2886.0, 1809.0, -3314.0
571.0, -372.0, -904.0, -30.0, 36.0, -49.0, 2886.0, 1809.0, -3314.0
576.0, -338.0, -905.0, -35.0, 38.0, -50.0, 2886.0, 1809.0, -3314.0
575.0, -313.0, -914.0, -41.0, 39.0, -52.0, 2886.0, 1809.0, -3314.0
571.0, -318.0, -913.0, -41.0, 41.0, -52.0, 2886.0, 1809.0, -3314.0
575.0, -325.0, -910.0, -39.0, 42.0, -52.0, 2886.0, 1809.0, -3314.0
576.0, -318.0, -909.0, -40.0, 44.0, -52.0, 2886.0, 1809.0, -3314.0
576.0, -318.0, -909.0, -40.0, 44.0, -52.0, 2781.0, 1844.0, -3314.0
574.0, -306.0, -905.0, -42.0, 46.0, -53.0, 2781.0, 1844.0, -3314.0
573.0, -294.0, -904.0, -43.0, 47.0, -53.0, 2781.0, 1844.0, -3314.0
575.0, -286.0, -909.0, -43.0, 49.0, -54.0, 2781.0, 1844.0, -3314.0
574.0, -297.0, -907.0, -42.0, 50.0, -55.0, 2781.0, 1844.0, -3314.0
573.0, -306.0, -898.0, -41.0, 52.0, -55.0, 2781.0, 1844.0, -3314.0
579.0, -296.0, -904.0, -43.0, 54.0, -57.0, 2781.0, 1844.0, -3314.0
577.0, -296.0, -910.0, -45.0, 55.0, -58.0, 2781.0, 1844.0, -3314.0
576.0, -305.0, -911.0, -45.0, 56.0, -58.0, 2781.0, 1844.0, -3314.0
580.0, -312.0, -919.0, -46.0, 58.0, -59.0, 2781.0, 1844.0, -3314.0
582.0, -328.0, -927.0, -45.0, 59.0, -58.0, 2956.0, 1949.0, -3210.0
577.0, -345.0, -919.0, -44.0, 60.0, -57.0, 2956.0, 1949.0, -3210.0
574.0, -343.0, -912.0, -44.0, 62.0, -58.0, 2956.0, 1949.0, -3210.0
574.0, -343.0, -912.0, -44.0, 62.0, -58.0, 2956.0, 1949.0, -3210.0
578.0, -331.0, -923.0, -47.0, 63.0, -59.0, 2956.0, 1949.0, -3210.0
577.0, -341.0, -931.0, -48.0, 64.0, -59.0, 2956.0, 1949.0, -3210.0
572.0, -362.0, -926.0, -47.0, 64.0, -59.0, 2956.0, 1949.0, -3210.0
573.0, -368.0, -922.0, -47.0, 66.0, -59.0, 2956.0, 1949.0, -3210.0
579.0, -363.0, -930.0, -49.0, 67.0, -59.0, 2956.0, 1949.0, -3210.0
575.0, -366.0, -932.0, -51.0, 67.0, -58.0, 2956.0, 1949.0, -3210.0
570.0, -370.0, -924.0, -52.0, 68.0, -58.0, 2956.0, 1949.0, -3210.0
574.0, -365.0, -923.0, -53.0, 69.0, -58.0, 2816.0, 1879.0, -3245.0
578.0, -359.0, -931.0, -56.0, 69.0, -59.0, 2816.0, 1879.0, -3245.0
576.0, -363.0, -936.0, -57.0, 70.0, -58.0, 2816.0, 1879.0, -3245.0
575.0, -372.0, -934.0, -56.0, 70.0, -57.0, 2816.0, 1879.0, -3245.0
575.0, -376.0, -927.0, -55.0, 71.0, -56.0, 2816.0, 1879.0, -3245.0
575.0, -376.0, -927.0, -55.0, 71.0, -56.0, 2816.0, 1879.0, -3245.0
573.0, -375.0, -927.0, -56.0, 71.0, -56.0, 2816.0, 1879.0, -3245.0
577.0, -374.0, -939.0, -57.0, 72.0, -56.0, 2816.0, 1879.0, -3245.0
571.0, -386.0, -940.0, -57.0, 72.0, -54.0, 2816.0, 1879.0, -3245.0
571.0, -395.0, -937.0, -56.0, 72.0, -53.0, 2816.0, 1879.0, -3245.0
571.0, -396.0, -938.0, -56.0, 73.0, -52.0, 2816.0, 1879.0, -3245.0
569.0, -395.0, -938.0, -57.0, 73.0, -51.0, 2729.0, 1966.0, -3227.0
569.0, -393.0, -942.0, -58.0, 74.0, -51.0, 2729.0, 1966.0, -3227.0
565.0, -399.0, -938.0, -58.0, 74.0, -50.0, 2729.0, 1966.0, -3227.0
567.0, -398.0, -939.0, -60.0, 75.0, -49.0, 2729.0, 1966.0, -3227.0
571.0, -389.0, -948.0, -62.0, 75.0, -49.0, 2729.0, 1966.0, -3227.0
571.0, -382.0, -956.0, -64.0, 75.0, -48.0, 2729.0, 1966.0, -3227.0
570.0, -381.0, -959.0, -63.0, 75.0, -46.0, 2729.0, 1966.0, -3227.0
570.0, -381.0, -959.0, -63.0, 75.0, -46.0, 2729.0, 1966.0, -3227.0
571.0, -382.0, -963.0, -63.0, 75.0, -45.0, 2729.0, 1966.0, -3227.0
564.0, -384.0, -957.0, -63.0, 75.0, -44.0, 2729.0, 1966.0, -3227.0
560.0, -384.0, -943.0, -63.0, 75.0, -43.0, 2729.0, 1966.0, -3227.0
562.0, -374.0, -942.0, -64.0, 76.0, -43.0, 2904.0, 1932.0, -3158.0
559.0, -368.0, -942.0, -66.0, 76.0, -42.0, 2904.0, 1932.0, -3158.0
565.0, -368.0, -950.0, -67.0, 76.0, -42.0, 2904.0, 1932.0, -3158.0
566.0, -372.0, -958.0, -67.0, 76.0, -41.0, 2904.0, 1932.0, -3158.0
559.0, -370.0, -954.0, -66.0, 76.0, -39.0, 2904.0, 1932.0, -3158.0
