ax,ay,az,gx,gy,gz,mx,my,mz
505.0, 27.0, -900.0, -2.0, 10.0, -6.0, 2519.0, 1408.0, -3888.0
505.0, 27.0, -900.0, -2.0, 10.0, -6.0, 2519.0, 1408.0, -3888.0
505.0, 27.0, -899.0, -2.0, 10.0, -6.0, 2519.0, 1408.0, -3888.0
505.0, 27.0, -899.0, -2.0, 10.0, -6.0, 2519.0, 1408.0, -3888.0
505.0, 27.0, -899.0, -2.0, 10.0, -6.0, 2519.0, 1408.0, -3888.0
505.0, 26.0, -899.0, -2.0, 10.0, -6.0, 2659.0, 1373.0, -3645.0
505.0, 27.0, -899.0, -2.0, 10.0, -6.0, 2659.0, 1373.0, -3645.0
505.0, 27.0, -899.0, -2.0, 10.0, -7.0, 2659.0, 1373.0, -3645.0
505.0, 27.0, -899.0, -2.0, 10.0, -7.0, 2659.0, 1373.0, -3645.0
504.0, 27.0, -899.0, -2.0, 11.0, -7.0, 2659.0, 1373.0, -3645.0
505.0, 27.0, -898.0, -2.0, 11.0, -7.0, 2659.0, 1373.0, -3645.0
505.0, 27.0, -898.0, -2.0, 11.0, -7.0, 2659.0, 1373.0, -3645.0
505.0, 27.0, -898.0, -2.0, 11.0, -7.0, 2659.0, 1373.0, -3645.0
506.0, 27.0, -898.0, -2.0, 11.0, -7.0, 2659.0, 1373.0, -3645.0
507.0, 28.0, -899.0, -2.0, 11.0, -7.0, 2659.0, 1373.0, -3645.0
507.0, 28.0, -900.0, -2.0, 11.0, -7.0, 2659.0, 1373.0, -3645.0
507.0, 29.0, -901.0, -3.0, 11.0, -8.0, 2536.0, 1425.0, -3627.0
507.0, 29.0, -902.0, -3.0, 11.0, -8.0, 2536.0, 1425.0, -3627.0
507.0, 30.0, -902.0, -3.0, 11.0, -8.0, 2536.0, 1425.0, -3627.0
507.0, 30.0, -903.0, -3.0, 11.0, -8.0, 2536.0, 1425.0, -3627.0
507.0, 31.0, -903.0, -3.0, 11.0, -8.0, 2536.0, 1425.0, -3627.0
507.0, 31.0, -903.0, -3.0, 11.0, -8.0, 2536.0, 1425.0, -3627.0
508.0, 31.0, -903.0, -3.0, 11.0, -8.0, 2536.0, 1425.0, -3627.0
