ax,ay,az,gx,gy,gz,mx,my,mz
311.0, -16.0, -1009.0, -10.0, -3.0, -27.0, 2029.0, 1478.0, -3888.0
310.0, -16.0, -1018.0, -10.0, -2.0, -27.0, 2029.0, 1478.0, -3888.0
308.0, -17.0, -1016.0, -11.0, -2.0, -26.0, 2029.0, 1478.0, -3888.0
308.0, -17.0, -1016.0, -11.0, -2.0, -26.0, 2029.0, 1478.0, -3888.0
304.0, -19.0, -1005.0, -11.0, -1.0, -25.0, 2029.0, 1478.0, -3888.0
306.0, -16.0, -1009.0, -11.0, 0.0, -25.0, 2029.0, 1478.0, -3888.0
306.0, -12.0, -1020.0, -11.0, 1.0, -24.0, 2029.0, 1478.0, -3888.0
306.0, -13.0, -1021.0, -10.0, 2.0, -23.0, 2029.0, 1478.0, -3888.0
305.0, -16.0, -1014.0, -10.0, 2.0, -22.0, 2029.0, 1478.0, -3888.0
300.0, -14.0, -1009.0, -10.0, 3.0, -21.0, 2029.0, 1478.0, -3888.0
303.0, -9.0, -1018.0, -10.0, 4.0, -20.0, 2152.0, 1495.0, -3767.0
302.0, -6.0, -1020.0, -10.0, 4.0, -19.0, 2152.0, 1495.0, -3767.0
302.0, -2.0, -1019.0, -9.0, 5.0, -18.0, 2152.0, 1495.0, -3767.0
300.0, 3.0, -1017.0, -9.0, 5.0, -17.0, 2152.0, 1495.0, -3767.0
300.0, 3.0, -1017.0, -9.0, 5.0, -17.0, 2152.0, 1495.0, -3767.0
298.0, 7.0, -1014.0, -8.0, 6.0, -16.0, 2152.0, 1495.0, -3767.0
300.0, 12.0, -1017.0, -8.0, 6.0, -15.0, 2152.0, 1495.0, -3767.0
299.0, 16.0, -1015.0, -7.0, 7.0, -14.0, 2152.0, 1495.0, -3767.0
300.0, 24.0, -1018.0, -7.0, 7.0, -13.0, 2152.0, 1495.0, -3767.0
297.0, 38.0, -1022.0, -7.0, 7.0, -12.0, 2152.0, 1495.0, -3767.0
293.0, 41.0, -1015.0, -6.0, 7.0, -11.0, 2152.0, 1495.0, -3767.0
293.0, 42.0, -1011.0, -5.0, 8.0, -10.0, 2099.0, 1582.0, -3784.0
295.0, 51.0, -1016.0, -4.0, 8.0, -10.0, 2099.0, 1582.0, -3784.0
295.0, 64.0, -1028.0, -4.0, 8.0, -9.0, 2099.0, 1582.0, -3784.0
295.0, 64.0, -1028.0, -4.0, 8.0, -9.0, 2099.0, 1582.0, -3784.0
291.0, 73.0, -1029.0, -3.0, 8.0, -8.0, 2099.0, 1582.0, -3784.0
285.0, 71.0, -1015.0, -1.0, 8.0, -7.0, 2099.0, 1582.0, -3784.0
284.0, 73.0, -1008.0, 0.0, 8.0, -7.0, 2099.0, 1582.0, -3784.0
288.0, 84.0, -1020.0, 0.0, 9.0, -6.0, 2099.0, 1582.0, -3784.0
289.0, 91.0, -1034.0, 1.0, 9.0, -6.0, 2099.0, 1582.0, -3784.0
284.0, 91.0, -1031.0, 2.0, 8.0, -5.0, 2099.0, 1582.0, -3784.0
278.0, 90.0, -1016.0, 3.0, 7.0, -5.0, 2099.0, 1582.0, -3784.0
278.0, 92.0, -1016.0, 3.0, 8.0, -5.0, 2099.0, 1582.0, -3784.0
278.0, 92.0, -1016.0, 3.0, 8.0, -5.0, 2012.0, 1600.0, -3767.0
279.0, 101.0, -1028.0, 4.0, 7.0, -4.0, 2012.0, 1600.0, -3767.0
275.0, 104.0, -1028.0, 4.0, 7.0, -4.0, 2012.0, 1600.0, -3767.0
272.0, 102.0, -1015.0, 5.0, 7.0, -4.0, 2012.0, 1600.0, -3767.0
273.0, 105.0, -1020.0, 6.0, 7.0, -4.0, 2012.0, 1600.0, -3767.0
270.0, 113.0, -1032.0, 6.0, 6.0, -3.0, 2012.0, 1600.0, -3767.0
264.0, 109.0, -1023.0, 7.0, 5.0, -3.0, 2012.0, 1600.0, -3767.0
266.0, 107.0, -1020.0, 8.0, 5.0, -3.0, 2012.0, 1600.0, -3767.0
264.0, 112.0, -1027.0, 8.0, 5.0, -3.0, 2012.0, 1600.0, -3767.0
262.0, 114.0, -1030.0, 9.0, 5.0, -3.0, 2012.0, 1600.0, -3767.0
262.0, 114.0, -1030.0, 9.0, 5.0, -3.0, 2012.0, 1600.0, -3767.0
261.0, 114.0, -1031.0, 9.0, 4.0, -3.0, 2222.0, 1565.0, -3871.0
