ax,ay,az,gx,gy,gz,mx,my,mz
789.0, -4.0, -643.0, 2.0, 3.0, 2.0, 3918.0, 1198.0, -3158.0
789.0, -3.0, -642.0, 2.0, 3.0, 2.0, 3918.0, 1198.0, -3158.0
790.0, -1.0, -641.0, 2.0, 3.0, 3.0, 3918.0, 1198.0, -3158.0
790.0, 0.0, -642.0, 2.0, 3.0, 3.0, 3918.0, 1198.0, -3158.0
790.0, 1.0, -642.0, 2.0, 4.0, 3.0, 3918.0, 1198.0, -3158.0
790.0, 1.0, -642.0, 2.0, 4.0, 3.0, 3918.0, 1198.0, -3158.0
791.0, 2.0, -643.0, 2.0, 4.0, 3.0, 3918.0, 1198.0, -3158.0
791.0, 2.0, -643.0, 2.0, 4.0, 3.0, 3918.0, 1198.0, -3158.0
792.0, 2.0, -642.0, 2.0, 4.0, 3.0, 3918.0, 1198.0, -3158.0
793.0, 3.0, -642.0, 2.0, 4.0, 3.0, 3918.0, 1198.0, -3158.0
793.0, 3.0, -642.0, 2.0, 4.0, 3.0, 3918.0, 1198.0, -3158.0
794.0, 3.0, -643.0, 2.0, 4.0, 3.0, 3813.0, 1094.0, -3192.0
794.0, 2.0, -643.0, 2.0, 4.0, 3.0, 3813.0, 1094.0, -3192.0
794.0, 2.0, -643.0, 2.0, 4.0, 3.0, 3813.0, 1094.0, -3192.0
795.0, 3.0, -644.0, 2.0, 4.0, 3.0, 3813.0, 1094.0, -3192.0
796.0, 4.0, -645.0, 2.0, 4.0, 3.0, 3813.0, 1094.0, -3192.0
797.0, 4.0, -646.0, 2.0, 4.0, 3.0, 3813.0, 1094.0, -3192.0
798.0, 4.0, -647.0, 2.0, 4.0, 3.0, 3813.0, 1094.0, -3192.0
798.0, 5.0, -649.0, 2.0, 4.0, 3.0, 3813.0, 1094.0, -3192.0
799.0, 5.0, -650.0, 2.0, 4.0, 3.0, 3813.0, 1094.0, -3192.0
800.0, 5.0, -652.0, 2.0, 4.0, 3.0, 3813.0, 1094.0, -3192.0
800.0, 5.0, -652.0, 2.0, 4.0, 3.0, 3813.0, 1094.0, -3192.0
801.0, 5.0, -653.0, 2.0, 4.0, 3.0, 3813.0, 1094.0, -3192.0
801.0, 4.0, -655.0, 1.0, 4.0, 3.0, 3936.0, 972.0, -3105.0
801.0, 5.0, -657.0, 1.0, 4.0, 3.0, 3936.0, 972.0, -3105.0
801.0, 5.0, -658.0, 1.0, 4.0, 3.0, 3936.0, 972.0, -3105.0
802.0, 6.0, -659.0, 1.0, 4.0, 3.0, 3936.0, 972.0, -3105.0
803.0, 6.0, -660.0, 1.0, 4.0, 3.0, 3936.0, 972.0, -3105.0
803.0, 6.0, -661.0, 0.0, 4.0, 3.0, 3936.0, 972.0, -3105.0
803.0, 6.0, -661.0, 0.0, 4.0, 3.0, 3936.0, 972.0, -3105.0
804.0, 7.0, -663.0, 0.0, 4.0, 2.0, 3936.0, 972.0, -3105.0
804.0, 7.0, -663.0, 0.0, 4.0, 2.0, 3936.0, 972.0, -3105.0
804.0, 7.0, -664.0, 0.0, 3.0, 2.0, 3936.0, 972.0, -3105.0
805.0, 7.0, -665.0, -1.0, 3.0, 2.0, 3936.0, 972.0, -3105.0
805.0, 8.0, -667.0, -1.0, 3.0, 2.0, 3813.0, 1233.0, -3088.0
805.0, 8.0, -667.0, -1.0, 3.0, 2.0, 3813.0, 1233.0, -3088.0
805.0, 9.0, -667.0, -1.0, 3.0, 2.0, 3813.0, 1233.0, -3088.0
804.0, 9.0, -666.0, -1.0, 2.0, 1.0, 3813.0, 1233.0, -3088.0
804.0, 9.0, -666.0, -1.0, 2.0, 1.0, 3813.0, 1233.0, -3088.0
804.0, 10.0, -665.0, -1.0, 2.0, 1.0, 3813.0, 1233.0, -3088.0
804.0, 11.0, -665.0, -2.0, 2.0, 1.0, 3813.0, 1233.0, -3088.0
804.0, 11.0, -663.0, -2.0, 2.0, 1.0, 3813.0, 1233.0, -3088.0
804.0, 11.0, -661.0, -2.0, 2.0, 1.0, 3813.0, 1233.0, -3088.0
804.0, 12.0, -659.0, -2.0, 2.0, 0.0, 3813.0, 1233.0, -3088.0
804.0, 12.0, -657.0, -2.0, 1.0, 0.0, 3813.0, 1233.0, -3088.0
804.0, 13.0, -656.0, -2.0, 1.0, 0.0, 3901.0, 1233.0, -3088.0
804.0, 13.0, -656.0, -2.0, 1.0, 0.0, 3901.0, 1111.0, -3140.0
803.0, 13.0, -656.0, -2.0, 1.0, 0.0, 3901.0, 1111.0, -3140.0
802.0, 13.0, -655.0, -2.0, 1.0, 0.0, 3901.0, 1111.0, -3140.0
802.0, 13.0, -654.0, -2.0, 1.0, -1.0, 3901.0, 1111.0, -3140.0
801.0, 14.0, -653.0, -2.0, 1.0, -1.0, 3901.0, 1111.0, -3140.0
801.0, 15.0, -652.0, -2.0, 1.0, -1.0, 3901.0, 1111.0, -3140.0
801.0, 15.0, -651.0, -2.0, 1.0, -1.0, 3901.0, 1111.0, -3140.0
801.0, 16.0, -650.0, -2.0, 1.0, -1.0, 3901.0, 1111.0, -3140.0
801.0, 17.0, -649.0, -2.0, 1.0, -2.0, 3901.0, 1111.0, -3140.0
801.0, 17.0, -649.0, -2.0, 1.0, -2.0, 3901.0, 1111.0, -3140.0
801.0, 18.0, -648.0, -2.0, 1.0, -2.0, 3901.0, 1111.0, -3140.0
801.0, 18.0, -647.0, -2.0, 1.0, -2.0, 3831.0, 1006.0, -3036.0
801.0, 18.0, -646.0, -2.0, 1.0, -2.0, 3831.0, 1006.0, -3036.0
801.0, 18.0, -646.0, -2.0, 1.0, -3.0, 3831.0, 1006.0, -3036.0
802.0, 18.0, -645.0, -2.0, 1.0, -3.0, 3831.0, 1006.0, -3036.0
802.0, 18.0, -645.0, -2.0, 1.0, -3.0, 3831.0, 1006.0, -3036.0
802.0, 17.0, -645.0, -1.0, 1.0, -3.0, 3831.0, 1006.0, -3036.0
802.0, 17.0, -645.0, -1.0, 1.0, -4.0, 3831.0, 1006.0, -3036.0
802.0, 15.0, -645.0, -1.0, 1.0, -4.0, 3831.0, 1006.0, -3036.0
802.0, 15.0, -645.0, -1.0, 1.0, -4.0, 3831.0, 1006.0, -3036.0
802.0, 13.0, -646.0, -1.0, 1.0, -4.0, 3831.0, 1006.0, -3036.0
802.0, 12.0, -646.0, -1.0, 1.0, -4.0, 3831.0, 1006.0, -3036.0
801.0, 9.0, -647.0, -1.0, 1.0, -4.0, 3918.0, 1094.0, -3088.0
801.0, 5.0, -647.0, -1.0, 1.0, -5.0, 3918.0, 1094.0, -3088.0
