ax,ay,az,gx,gy,gz,mx,my,mz
697.0, 170.0, -809.0, -4.0, -2.0, 0.0, 2799.0, 1792.0, -3436.0
698.0, 169.0, -812.0, -4.0, -3.0, 0.0, 2781.0, 1844.0, -3453.0
699.0, 168.0, -814.0, -4.0, -3.0, 0.0, 2781.0, 1844.0, -3453.0
701.0, 167.0, -816.0, -5.0, -4.0, 0.0, 2781.0, 1844.0, -3453.0
701.0, 166.0, -816.0, -5.0, -4.0, 0.0, 2781.0, 1844.0, -3453.0
701.0, 165.0, -817.0, -5.0, -5.0, 0.0, 2781.0, 1844.0, -3453.0
702.0, 164.0, -817.0, -5.0, -6.0, 0.0, 2781.0, 1844.0, -3453.0
702.0, 162.0, -817.0, -5.0, -6.0, 0.0, 2781.0, 1844.0, -3453.0
702.0, 161.0, -816.0, -5.0, -7.0, 0.0, 2781.0, 1844.0, -3453.0
702.0, 161.0, -816.0, -5.0, -7.0, 0.0, 2781.0, 1844.0, -3453.0
702.0, 160.0, -815.0, -6.0, -7.0, 0.0, 2781.0, 1844.0, -3453.0
701.0, 159.0, -813.0, -6.0, -8.0, 0.0, 2781.0, 1844.0, -3453.0
701.0, 158.0, -810.0, -6.0, -9.0, 0.0, 2729.0, 1827.0, -3506.0
699.0, 158.0, -807.0, -6.0, -9.0, 0.0, 2729.0, 1827.0, -3506.0
698.0, 158.0, -805.0, -6.0, -9.0, 0.0, 2729.0, 1827.0, -3506.0
698.0, 158.0, -802.0, -7.0, -10.0, 0.0, 2729.0, 1827.0, -3506.0
697.0, 159.0, -798.0, -7.0, -10.0, 0.0, 2729.0, 1827.0, -3506.0
696.0, 160.0, -794.0, -7.0, -11.0, 0.0, 2729.0, 1827.0, -3506.0
694.0, 161.0, -789.0, -7.0, -11.0, 0.0, 2729.0, 1827.0, -3506.0
694.0, 161.0, -789.0, -7.0, -11.0, 0.0, 2729.0, 1827.0, -3506.0
693.0, 164.0, -784.0, -7.0, -11.0, 0.0, 2729.0, 1827.0, -3506.0
691.0, 167.0, -778.0, -7.0, -12.0, 1.0, 2729.0, 1827.0, -3506.0
690.0, 171.0, -772.0, -7.0, -12.0, 1.0, 2729.0, 1827.0, -3506.0
689.0, 175.0, -767.0, -7.0, -12.0, 0.0, 2694.0, 1687.0, -3506.0
687.0, 178.0, -763.0, -7.0, -12.0, 0.0, 2694.0, 1687.0, -3506.0
685.0, 182.0, -759.0, -6.0, -12.0, 0.0, 2694.0, 1687.0, -3506.0
685.0, 185.0, -755.0, -6.0, -12.0, 0.0, 2694.0, 1687.0, -3506.0
684.0, 187.0, -751.0, -6.0, -12.0, 0.0, 2694.0, 1687.0, -3506.0
683.0, 189.0, -748.0, -5.0, -11.0, 0.0, 2694.0, 1687.0, -3506.0
683.0, 189.0, -748.0, -5.0, -11.0, 0.0, 2694.0, 1687.0, -3506.0
682.0, 191.0, -744.0, -5.0, -11.0, 0.0, 2694.0, 1687.0, -3506.0
680.0, 193.0, -742.0, -5.0, -11.0, -1.0, 2694.0, 1687.0, -3506.0
679.0, 194.0, -741.0, -4.0, -10.0, -1.0, 2694.0, 1687.0, -3506.0
678.0, 195.0, -740.0, -4.0, -10.0, -1.0, 2694.0, 1687.0, -3506.0
676.0, 195.0, -739.0, -3.0, -10.0, -1.0, 2711.0, 1879.0, -3593.0
675.0, 194.0, -738.0, -3.0, -9.0, -2.0, 2711.0, 1879.0, -3593.0
674.0, 193.0, -738.0, -2.0, -9.0, -2.0, 2711.0, 1879.0, -3593.0
674.0, 191.0, -738.0, -2.0, -8.0, -2.0, 2711.0, 1879.0, -3593.0
673.0, 189.0, -737.0, -1.0, -8.0, -2.0, 2711.0, 1879.0, -3593.0
673.0, 189.0, -737.0, -1.0, -8.0, -2.0, 2711.0, 1879.0, -3593.0
672.0, 187.0, -738.0, -1.0, -8.0, -2.0, 2711.0, 1879.0, -3593.0
672.0, 185.0, -738.0, 0.0, -7.0, -3.0, 2711.0, 1879.0, -3593.0
672.0, 183.0, -738.0, 0.0, -7.0, -3.0, 2711.0, 1879.0, -3593.0
671.0, 181.0, -738.0, 1.0, -7.0, -3.0, 2711.0, 1879.0, -3593.0
671.0, 180.0, -739.0, 1.0, -7.0, -3.0, 2711.0, 1879.0, -3593.0
671.0, 178.0, -741.0, 1.0, -6.0, -3.0, 2676.0, 1809.0, -3419.0
670.0, 176.0, -743.0, 1.0, -6.0, -3.0, 2676.0, 1809.0, -3419.0
670.0, 174.0, -744.0, 2.0, -6.0, -3.0, 2676.0, 1809.0, -3419.0
669.0, 172.0, -745.0, 2.0, -6.0, -3.0, 2676.0, 1809.0, -3419.0
669.0, 172.0, -745.0, 2.0, -6.0, -3.0, 2676.0, 1809.0, -3419.0
669.0, 170.0, -746.0, 2.0, -5.0, -3.0, 2676.0, 1809.0, -3419.0
669.0, 169.0, -747.0, 2.0, -5.0, -3.0, 2676.0, 1809.0, -3419.0
669.0, 168.0, -748.0, 2.0, -5.0, -3.0, 2676.0, 1809.0, -3419.0
670.0, 167.0, -748.0, 2.0, -5.0, -3.0, 2676.0, 1809.0, -3419.0
670.0, 167.0, -749.0, 2.0, -4.0, -3.0, 2676.0, 1809.0, -3419.0
670.0, 167.0, -750.0, 2.0, -4.0, -3.0, 2676.0, 1809.0, -3419.0
670.0, 167.0, -750.0, 2.0, -4.0, -3.0, 2694.0, 1827.0, -3540.0
