ax,ay,az,gx,gy,gz,mx,my,mz
889.0, -170.0, -466.0, -2.0, 1.0, 1.0, 4740.0, 134.0, -2966.0
889.0, -170.0, -466.0, -2.0, 1.0, 1.0, 4740.0, 134.0, -2966.0
889.0, -170.0, -466.0, -2.0, 1.0, 1.0, 4740.0, 134.0, -2966.0
889.0, -169.0, -465.0, -2.0, 1.0, 1.0, 4740.0, 134.0, -2966.0
889.0, -169.0, -465.0, -2.0, 1.0, 1.0, 4740.0, 134.0, -2966.0
889.0, -168.0, -465.0, -2.0, 1.0, 1.0, 4740.0, 134.0, -2966.0
889.0, -168.0, -464.0, -2.0, 0.0, 1.0, 4740.0, 134.0, -2966.0
889.0, -168.0, -464.0, -2.0, 0.0, 1.0, 4740.0, 134.0, -2966.0
888.0, -168.0, -463.0, -2.0, 0.0, 1.0, 4740.0, 134.0, -2966.0
888.0, -169.0, -464.0, -2.0, 0.0, 1.0, 4740.0, 134.0, -2966.0
887.0, -169.0, -464.0, -2.0, 0.0, 1.0, 4740.0, 134.0, -2966.0
887.0, -169.0, -464.0, -2.0, 0.0, 1.0, 4740.0, 134.0, -2966.0
887.0, -170.0, -464.0, -2.0, 0.0, 0.0, 4740.0, 134.0, -2966.0
888.0, -170.0, -464.0, -2.0, -1.0, 0.0, 4740.0, 134.0, -2966.0
888.0, -170.0, -465.0, -2.0, -1.0, 0.0, 4740.0, 134.0, -2966.0
888.0, -170.0, -466.0, -2.0, -1.0, 0.0, 4740.0, 134.0, -2966.0
887.0, -170.0, -466.0, -2.0, -1.0, 0.0, 4740.0, 134.0, -2966.0
887.0, -170.0, -467.0, -2.0, -1.0, 0.0, 4740.0, 134.0, -2966.0
887.0, -169.0, -467.0, -2.0, -1.0, -1.0, 4740.0, 134.0, -2966.0
887.0, -169.0, -467.0, -2.0, -1.0, -1.0, 4740.0, 134.0, -2966.0
888.0, -169.0, -467.0, -2.0, -1.0, -1.0, 4740.0, 134.0, -2966.0
888.0, -169.0, -467.0, -2.0, -1.0, -1.0, 4740.0, 134.0, -2966.0
889.0, -169.0, -467.0, -2.0, -1.0, -1.0, 4740.0, 134.0, -2966.0
889.0, -168.0, -467.0, -2.0, -1.0, -1.0, 4740.0, 134.0, -2966.0
889.0, -168.0, -467.0, -2.0, -1.0, -1.0, 4740.0, 134.0, -2966.0
888.0, -168.0, -468.0, -2.0, -2.0, -1.0, 4740.0, 134.0, -2966.0
888.0, -169.0, -469.0, -2.0, -2.0, -2.0, 4740.0, 134.0, -2966.0
887.0, -170.0, -469.0, -2.0, -2.0, -2.0, 4740.0, 134.0, -2966.0
887.0, -169.0, -470.0, -2.0, -2.0, -2.0, 4740.0, 134.0, -2966.0
886.0, -169.0, -470.0, -2.0, -2.0, -2.0, 4740.0, 134.0, -2966.0
886.0, -169.0, -470.0, -2.0, -2.0, -2.0, 4740.0, 134.0, -2966.0
886.0, -169.0, -470.0, -2.0, -2.0, -2.0, 4740.0, 134.0, -2966.0
886.0, -169.0, -470.0, -1.0, -2.0, -2.0, 4740.0, 134.0, -2966.0
885.0, -169.0, -471.0, -1.0, -2.0, -3.0, 4740.0, 134.0, -2966.0
885.0, -169.0, -471.0, -1.0, -2.0, -3.0, 4740.0, 134.0, -2966.0
885.0, -168.0, -472.0, -1.0, -2.0, -3.0, 4740.0, 134.0, -2966.0
884.0, -168.0, -473.0, -1.0, -2.0, -3.0, 4740.0, 134.0, -2966.0
884.0, -168.0, -473.0, -1.0, -2.0, -3.0, 4740.0, 134.0, -2966.0
884.0, -168.0, -473.0, -1.0, -2.0, -3.0, 4740.0, 134.0, -2966.0
884.0, -168.0, -474.0, -1.0, -2.0, -4.0, 4740.0, 134.0, -2966.0
884.0, -168.0, -474.0, -1.0, -2.0, -4.0, 4740.0, 134.0, -2966.0
884.0, -169.0, -474.0, -1.0, -2.0, -4.0, 4740.0, 134.0, -2966.0
885.0, -169.0, -473.0, -1.0, -2.0, -4.0, 4740.0, 134.0, -2966.0
884.0, -169.0, -472.0, -1.0, -2.0, -4.0, 4740.0, 134.0, -2966.0
884.0, -169.0, -472.0, -1.0, -2.0, -4.0, 4740.0, 134.0, -2966.0
884.0, -168.0, -471.0, -1.0, -2.0, -4.0, 4740.0, 134.0, -2966.0
884.0, -168.0, -471.0, -1.0, -2.0, -4.0, 4688.0, 81.0, -2705.0
883.0, -167.0, -471.0, -1.0, -2.0, -5.0, 4688.0, 81.0, -2705.0
882.0, -167.0, -471.0, -1.0, -1.0, -5.0, 4688.0, 81.0, -2705.0
882.0, -167.0, -471.0, -1.0, -1.0, -5.0, 4688.0, 81.0, -2705.0
882.0, -168.0, -471.0, -1.0, -1.0, -5.0, 4688.0, 81.0, -2705.0
881.0, -168.0, -471.0, -1.0, -1.0, -5.0, 4688.0, 81.0, -2705.0
882.0, -168.0, -472.0, -1.0, -1.0, -5.0, 4688.0, 81.0, -2705.0
882.0, -168.0, -473.0, -1.0, -1.0, -5.0, 4688.0, 81.0, -2705.0
882.0, -168.0, -473.0, -1.0, -1.0, -5.0, 4688.0, 81.0, -2705.0
882.0, -167.0, -473.0, -1.0, 0.0, -5.0, 4688.0, 81.0, -2705.0
883.0, -167.0, -474.0, -1.0, 0.0, -5.0, 4688.0, 81.0, -2705.0
883.0, -167.0, -474.0, -1.0, 0.0, -6.0, 4688.0, 81.0, -2705.0
883.0, -167.0, -474.0, -1.0, 0.0, -6.0, 4705.0, 238.0, -2792.0
883.0, -167.0, -474.0, 0.0, 0.0, -6.0, 4705.0, 238.0, -2792.0
883.0, -166.0, -474.0, 0.0, 0.0, -6.0, 4705.0, 238.0, -2792.0
883.0, -166.0, -474.0, 0.0, 0.0, -6.0, 4705.0, 238.0, -2792.0
884.0, -165.0, -474.0, 0.0, 1.0, -6.0, 4705.0, 238.0, -2792.0
884.0, -165.0, -474.0, 0.0, 1.0, -6.0, 4705.0, 238.0, -2792.0
884.0, -165.0, -473.0, 0.0, 1.0, -6.0, 4705.0, 238.0, -2792.0
884.0, -166.0, -473.0, 0.0, 1.0, -6.0, 4705.0, 238.0, -2792.0
884.0, -166.0, -473.0, 0.0, 1.0, -6.0, 4705.0, 238.0, -2792.0
884.0, -166.0, -473.0, 0.0, 1.0, -6.0, 4705.0, 238.0, -2792.0
884.0, -166.0, -474.0, 0.0, 1.0, -6.0, 4705.0, 238.0, -2792.0
884.0, -166.0, -474.0, 0.0, 1.0, -5.0, 4688.0, 116.0, -2810.0
885.0, -166.0, -474.0, 0.0, 1.0, -5.0, 4688.0, 116.0, -2810.0
885.0, -166.0, -475.0, 0.0, 1.0, -6.0, 4688.0, 116.0, -2810.0
885.0, -166.0, -475.0, 0.0, 1.0, -6.0, 4688.0, 116.0, -2810.0
884.0, -165.0, -475.0, 0.0, 1.0, -6.0, 4688.0, 116.0, -2810.0
884.0, -165.0, -474.0, 0.0, 1.0, -6.0, 4688.0, 116.0, -2810.0
885.0, -166.0, -474.0, 0.0, 1.0, -6.0, 4688.0, 116.0, -2810.0
885.0, -165.0, -474.0, 0.0, 1.0, -5.0, 4688.0, 116.0, -2810.0
885.0, -165.0, -474.0, 0.0, 1.0, -5.0, 4688.0, 116.0, -2810.0
886.0, -165.0, -474.0, 0.0, 1.0, -5.0, 4688.0, 116.0, -2810.0
886.0, -166.0, -474.0, 0.0, 1.0, -5.0, 4688.0, 116.0, -2810.0
886.0, -165.0, -474.0, 0.0, 1.0, -5.0, 4688.0, 291.0, -2879.0
886.0, -165.0, -474.0, 0.0, 1.0, -5.0, 4688.0, 291.0, -2879.0
885.0, -165.0, -474.0, 0.0, 2.0, -5.0, 4688.0, 291.0, -2879.0
885.0, -165.0, -474.0, 0.0, 2.0, -5.0, 4688.0, 291.0, -2879.0
885.0, -165.0, -473.0, 0.0, 2.0, -5.0, 4688.0, 291.0, -2879.0
885.0, -165.0, -473.0, 0.0, 2.0, -5.0, 4688.0, 291.0, -2879.0
885.0, -165.0, -473.0, 0.0, 2.0, -5.0, 4688.0, 291.0, -2879.0
885.0, -164.0, -473.0, 0.0, 2.0, -5.0, 4688.0, 291.0, -2879.0
886.0, -164.0, -474.0, 0.0, 2.0, -5.0, 4688.0, 291.0, -2879.0
885.0, -164.0, -474.0, 0.0, 2.0, -5.0, 4688.0, 291.0, -2879.0
885.0, -164.0, -474.0, 0.0, 2.0, -5.0, 4688.0, 291.0, -2879.0
884.0, -164.0, -473.0, 0.0, 2.0, -5.0, 4810.0, 64.0, -2757.0
884.0, -164.0, -472.0, 0.0, 2.0, -5.0, 4810.0, 64.0, -2757.0
884.0, -164.0, -472.0, 0.0, 2.0, -6.0, 4810.0, 64.0, -2757.0
884.0, -165.0, -472.0, 0.0, 2.0, -6.0, 4810.0, 64.0, -2757.0
884.0, -165.0, -472.0, 0.0, 2.0, -6.0, 4810.0, 64.0, -2757.0
885.0, -165.0, -472.0, 0.0, 2.0, -6.0, 4810.0, 64.0, -2757.0
885.0, -165.0, -472.0, 0.0, 2.0, -6.0, 4810.0, 64.0, -2757.0
886.0, -165.0, -472.0, 0.0, 2.0, -6.0, 4810.0, 64.0, -2757.0
886.0, -165.0, -471.0, 0.0, 2.0, -6.0, 4810.0, 64.0, -2757.0
886.0, -166.0, -470.0, 0.0, 2.0, -6.0, 4810.0, 64.0, -2757.0
885.0, -166.0, -470.0, 0.0, 2.0, -6.0, 4810.0, 64.0, -2757.0
885.0, -166.0, -470.0, 0.0, 2.0, -6.0, 4740.0, 64.0, -2757.0
885.0, -166.0, -469.0, 0.0, 2.0, -6.0, 4740.0, 204.0, -2723.0
885.0, -166.0, -469.0, 0.0, 2.0, -6.0, 4740.0, 204.0, -2723.0
886.0, -167.0, -469.0, 0.0, 2.0, -6.0, 4740.0, 204.0, -2723.0
886.0, -167.0, -469.0, 0.0, 1.0, -6.0, 4740.0, 204.0, -2723.0
886.0, -167.0, -469.0, 0.0, 1.0, -6.0, 4740.0, 204.0, -2723.0
886.0, -167.0, -469.0, 0.0, 1.0, -6.0, 4740.0, 204.0, -2723.0
886.0, -167.0, -469.0, 0.0, 1.0, -6.0, 4740.0, 204.0, -2723.0
886.0, -167.0, -469.0, 0.0, 1.0, -7.0, 4740.0, 204.0, -2723.0
887.0, -166.0, -469.0, -1.0, 1.0, -7.0, 4740.0, 204.0, -2723.0
887.0, -166.0, -470.0, -1.0, 1.0, -7.0, 4740.0, 204.0, -2723.0
887.0, -166.0, -470.0, -1.0, 1.0, -7.0, 4740.0, 204.0, -2723.0
887.0, -165.0, -470.0, -1.0, 1.0, -7.0, 4705.0, 204.0, -2792.0
887.0, -164.0, -470.0, -1.0, 1.0, -7.0, 4705.0, 204.0, -2792.0
887.0, -164.0, -469.0, -1.0, 0.0, -7.0, 4705.0, 204.0, -2792.0
887.0, -164.0, -469.0, -1.0, 0.0, -7.0, 4705.0, 204.0, -2792.0
887.0, -164.0, -468.0, -1.0, 0.0, -7.0, 4705.0, 204.0, -2792.0
887.0, -165.0, -467.0, -1.0, 0.0, -7.0, 4705.0, 204.0, -2792.0
887.0, -165.0, -467.0, -1.0, 0.0, -7.0, 4705.0, 204.0, -2792.0
887.0, -166.0, -468.0, -1.0, 0.0, -7.0, 4705.0, 204.0, -2792.0
887.0, -166.0, -468.0, -1.0, 0.0, -7.0, 4705.0, 204.0, -2792.0
888.0, -167.0, -468.0, -1.0, 0.0, -7.0, 4705.0, 204.0, -2792.0
888.0, -167.0, -469.0, -1.0, 0.0, -7.0, 4705.0, 204.0, -2792.0
888.0, -167.0, -470.0, -1.0, -1.0, -7.0, 4740.0, 169.0, -2792.0
888.0, -167.0, -470.0, -1.0, -1.0, -7.0, 4740.0, 169.0, -2792.0
887.0, -167.0, -471.0, -1.0, -1.0, -7.0, 4740.0, 169.0, -2792.0
887.0, -167.0, -471.0, -1.0, -1.0, -7.0, 4740.0, 169.0, -2792.0
887.0, -167.0, -471.0, -1.0, -1.0, -8.0, 4740.0, 169.0, -2792.0
886.0, -167.0, -472.0, -1.0, -1.0, -8.0, 4740.0, 169.0, -2792.0
886.0, -167.0, -473.0, -1.0, -1.0, -8.0, 4740.0, 169.0, -2792.0
886.0, -167.0, -473.0, -1.0, -1.0, -8.0, 4740.0, 169.0, -2792.0
886.0, -166.0, -473.0, -1.0, -2.0, -8.0, 4740.0, 169.0, -2792.0
886.0, -166.0, -473.0, -1.0, -2.0, -8.0, 4740.0, 169.0, -2792.0
886.0, -166.0, -473.0, -1.0, -2.0, -8.0, 4740.0, 169.0, -2792.0
886.0, -166.0, -472.0, -2.0, -2.0, -8.0, 4670.0, 134.0, -2723.0
886.0, -165.0, -472.0, -2.0, -2.0, -8.0, 4670.0, 134.0, -2723.0
885.0, -164.0, -472.0, -2.0, -2.0, -8.0, 4670.0, 134.0, -2723.0
885.0, -164.0, -472.0, -2.0, -2.0, -8.0, 4670.0, 134.0, -2723.0
885.0, -164.0, -472.0, -2.0, -2.0, -8.0, 4670.0, 134.0, -2723.0
885.0, -164.0, -472.0, -2.0, -2.0, -8.0, 4670.0, 134.0, -2723.0
886.0, -163.0, -472.0, -2.0, -2.0, -8.0, 4670.0, 134.0, -2723.0
886.0, -163.0, -472.0, -2.0, -2.0, -8.0, 4670.0, 134.0, -2723.0
886.0, -162.0, -471.0, -2.0, -2.0, -8.0, 4670.0, 134.0, -2723.0
887.0, -162.0, -471.0, -2.0, -2.0, -8.0, 4670.0, 134.0, -2723.0
887.0, -162.0, -470.0, -2.0, -2.0, -8.0, 4670.0, 134.0, -2723.0
887.0, -162.0, -470.0, -2.0, -2.0, -8.0, 4601.0, 29.0, -2723.0
886.0, -162.0, -470.0, -2.0, -2.0, -8.0, 4601.0, 29.0, -2723.0
886.0, -162.0, -471.0, -2.0, -2.0, -8.0, 4601.0, 29.0, -2723.0
886.0, -162.0, -471.0, -2.0, -2.0, -8.0, 4601.0, 29.0, -2723.0
885.0, -162.0, -471.0, -2.0, -2.0, -8.0, 4601.0, 29.0, -2723.0
886.0, -162.0, -470.0, -2.0, -2.0, -8.0, 4601.0, 29.0, -2723.0
886.0, -162.0, -470.0, -2.0, -2.0, -8.0, 4601.0, 29.0, -2723.0
885.0, -162.0, -470.0, -2.0, -2.0, -8.0, 4601.0, 29.0, -2723.0
885.0, -162.0, -470.0, -2.0, -2.0, -8.0, 4601.0, 29.0, -2723.0
884.0, -162.0, -470.0, -2.0, -2.0, -7.0, 4601.0, 29.0, -2723.0
884.0, -161.0, -470.0, -2.0, -2.0, -7.0, 4601.0, 29.0, -2723.0
885.0, -161.0, -471.0, -2.0, -2.0, -7.0, 4740.0, 29.0, -2723.0
885.0, -162.0, -471.0, -2.0, -1.0, -7.0, 4740.0, 169.0, -2723.0
885.0, -162.0, -471.0, -2.0, -1.0, -7.0, 4740.0, 169.0, -2723.0
885.0, -162.0, -471.0, -2.0, -1.0, -7.0, 4740.0, 169.0, -2723.0
886.0, -162.0, -471.0, -2.0, -1.0, -7.0, 4740.0, 169.0, -2723.0
886.0, -162.0, -471.0, -2.0, -1.0, -7.0, 4740.0, 169.0, -2723.0
886.0, -163.0, -471.0, -2.0, -1.0, -7.0, 4740.0, 169.0, -2723.0
886.0, -163.0, -471.0, -3.0, -1.0, -7.0, 4740.0, 169.0, -2723.0
886.0, -162.0, -472.0, -3.0, -1.0, -7.0, 4740.0, 169.0, -2723.0
886.0, -162.0, -472.0, -3.0, 0.0, -7.0, 4740.0, 169.0, -2723.0
887.0, -161.0, -471.0, -3.0, 0.0, -7.0, 4740.0, 169.0, -2723.0
887.0, -161.0, -471.0, -3.0, 0.0, -7.0, 4740.0, 169.0, -2723.0
887.0, -160.0, -472.0, -3.0, 0.0, -7.0, 4740.0, 169.0, -2723.0
887.0, -160.0, -472.0, -3.0, 0.0, -7.0, 4740.0, 169.0, -2723.0
887.0, -159.0, -472.0, -3.0, 0.0, -7.0, 4740.0, 169.0, -2723.0
887.0, -160.0, -471.0, -3.0, 0.0, -7.0, 4740.0, 169.0, -2723.0
887.0, -160.0, -472.0, -3.0, 0.0, -7.0, 4740.0, 169.0, -2723.0
887.0, -160.0, -472.0, -3.0, 0.0, -7.0, 4740.0, 169.0, -2723.0
887.0, -160.0, -472.0, -3.0, 0.0, -7.0, 4740.0, 169.0, -2723.0
887.0, -159.0, -473.0, -3.0, 0.0, -7.0, 4740.0, 169.0, -2723.0
887.0, -159.0, -473.0, -3.0, 0.0, -7.0, 4740.0, 169.0, -2723.0
887.0, -159.0, -474.0, -2.0, 0.0, -6.0, 4740.0, 169.0, -2723.0
887.0, -159.0, -474.0, -2.0, 0.0, -6.0, 4740.0, 169.0, -2723.0
887.0, -159.0, -474.0, -2.0, 0.0, -6.0, 4670.0, 273.0, -2723.0
887.0, -158.0, -474.0, -2.0, 0.0, -6.0, 4670.0, 273.0, -2723.0
887.0, -158.0, -475.0, -2.0, 0.0, -6.0, 4670.0, 273.0, -2723.0
886.0, -158.0, -476.0, -2.0, 0.0, -6.0, 4670.0, 273.0, -2723.0
886.0, -158.0, -476.0, -2.0, 0.0, -5.0, 4670.0, 273.0, -2723.0
886.0, -158.0, -475.0, -2.0, 0.0, -5.0, 4670.0, 273.0, -2723.0
886.0, -158.0, -475.0, -2.0, 0.0, -5.0, 4670.0, 273.0, -2723.0
886.0, -158.0, -475.0, -2.0, 0.0, -5.0, 4670.0, 273.0, -2723.0
886.0, -158.0, -475.0, -2.0, 0.0, -5.0, 4670.0, 273.0, -2723.0
886.0, -158.0, -476.0, -2.0, 0.0, -5.0, 4670.0, 273.0, -2723.0
886.0, -158.0, -476.0, -2.0, 0.0, -5.0, 4670.0, 273.0, -2723.0
886.0, -158.0, -476.0, -2.0, 0.0, -5.0, 4635.0, 273.0, -2792.0
885.0, -158.0, -476.0, -2.0, 0.0, -4.0, 4635.0, 273.0, -2792.0
885.0, -158.0, -476.0, -2.0, 1.0, -4.0, 4635.0, 273.0, -2792.0
885.0, -158.0, -475.0, -2.0, 1.0, -4.0, 4635.0, 273.0, -2792.0
885.0, -157.0, -474.0, -2.0, 1.0, -4.0, 4635.0, 273.0, -2792.0
885.0, -157.0, -474.0, -2.0, 1.0, -4.0, 4635.0, 273.0, -2792.0
885.0, -157.0, -474.0, -2.0, 1.0, -4.0, 4635.0, 273.0, -2792.0
885.0, -157.0, -474.0, -2.0, 1.0, -4.0, 4635.0, 273.0, -2792.0
885.0, -157.0, -473.0, -2.0, 1.0, -4.0, 4635.0, 273.0, -2792.0
885.0, -157.0, -473.0, -2.0, 1.0, -3.0, 4635.0, 273.0, -2792.0
885.0, -157.0, -473.0, -2.0, 1.0, -3.0, 4635.0, 273.0, -2792.0
885.0, -156.0, -473.0, -2.0, 1.0, -3.0, 4688.0, 291.0, -2705.0
885.0, -156.0, -473.0, -2.0, 1.0, -3.0, 4688.0, 291.0, -2705.0
885.0, -156.0, -473.0, -1.0, 1.0, -3.0, 4688.0, 291.0, -2705.0
885.0, -156.0, -473.0, -1.0, 1.0, -3.0, 4688.0, 291.0, -2705.0
885.0, -156.0, -473.0, -1.0, 1.0, -3.0, 4688.0, 291.0, -2705.0
886.0, -157.0, -473.0, -1.0, 1.0, -2.0, 4688.0, 291.0, -2705.0
887.0, -157.0, -473.0, -1.0, 1.0, -2.0, 4688.0, 291.0, -2705.0
887.0, -157.0, -472.0, -1.0, 1.0, -2.0, 4688.0, 291.0, -2705.0
887.0, -157.0, -472.0, -1.0, 1.0, -2.0, 4688.0, 291.0, -2705.0
887.0, -157.0, -471.0, -1.0, 1.0, -2.0, 4688.0, 291.0, -2705.0
888.0, -157.0, -470.0, -1.0, 1.0, -2.0, 4688.0, 291.0, -2705.0
888.0, -157.0, -470.0, -1.0, 1.0, -2.0, 4723.0, 291.0, -2705.0
888.0, -158.0, -469.0, -1.0, 1.0, -2.0, 4723.0, 221.0, -2810.0
888.0, -158.0, -469.0, -1.0, 1.0, -2.0, 4723.0, 221.0, -2810.0
887.0, -159.0, -468.0, -1.0, 1.0, -1.0, 4723.0, 221.0, -2810.0
887.0, -159.0, -468.0, -2.0, 1.0, -1.0, 4723.0, 221.0, -2810.0
887.0, -159.0, -469.0, -2.0, 1.0, -1.0, 4723.0, 221.0, -2810.0
888.0, -158.0, -469.0, -2.0, 1.0, -1.0, 4723.0, 221.0, -2810.0
887.0, -158.0, -470.0, -2.0, 1.0, -1.0, 4723.0, 221.0, -2810.0
887.0, -158.0, -470.0, -2.0, 1.0, -1.0, 4723.0, 221.0, -2810.0
887.0, -158.0, -470.0, -2.0, 1.0, -1.0, 4723.0, 221.0, -2810.0
888.0, -158.0, -470.0, -2.0, 0.0, -1.0, 4723.0, 221.0, -2810.0
888.0, -158.0, -470.0, -2.0, 0.0, -1.0, 4723.0, 221.0, -2810.0
888.0, -158.0, -470.0, -2.0, 0.0, -1.0, 4723.0, 221.0, -2810.0
