ax,ay,az,gx,gy,gz,mx,my,mz
807.0, -412.0, -546.0, -98.0, 33.0, 107.0, 3831.0, -146.0, -3593.0
805.0, -415.0, -546.0, -99.0, 32.0, 106.0, 3831.0, -146.0, -3593.0
803.0, -422.0, -545.0, -99.0, 32.0, 107.0, 3831.0, -146.0, -3593.0
803.0, -422.0, -545.0, -99.0, 32.0, 107.0, 3831.0, -146.0, -3593.0
800.0, -426.0, -543.0, -99.0, 31.0, 108.0, 3866.0, -320.0, -3453.0
797.0, -423.0, -540.0, -99.0, 30.0, 107.0, 3866.0, -320.0, -3453.0
801.0, -421.0, -540.0, -101.0, 30.0, 106.0, 3866.0, -320.0, -3453.0
802.0, -423.0, -541.0, -104.0, 29.0, 105.0, 3866.0, -320.0, -3453.0
801.0, -428.0, -540.0, -106.0, 28.0, 104.0, 3866.0, -320.0, -3453.0
796.0, -423.0, -539.0, -108.0, 28.0, 104.0, 3866.0, -320.0, -3453.0
797.0, -415.0, -537.0, -109.0, 27.0, 104.0, 3866.0, -320.0, -3453.0
803.0, -407.0, -537.0, -112.0, 27.0, 102.0, 3866.0, -320.0, -3453.0
799.0, -390.0, -538.0, -115.0, 26.0, 100.0, 3866.0, -320.0, -3453.0
806.0, -374.0, -542.0, -117.0, 26.0, 98.0, 3866.0, -320.0, -3453.0
812.0, -366.0, -546.0, -119.0, 25.0, 95.0, 4023.0, -320.0, -3453.0
808.0, -371.0, -547.0, -120.0, 25.0, 94.0, 4023.0, -163.0, -3366.0
808.0, -371.0, -547.0, -120.0, 25.0, 94.0, 4023.0, -163.0, -3366.0
813.0, -377.0, -550.0, -121.0, 24.0, 93.0, 4023.0, -163.0, -3366.0
813.0, -380.0, -553.0, -121.0, 23.0, 93.0, 4023.0, -163.0, -3366.0
809.0, -392.0, -551.0, -121.0, 22.0, 94.0, 4023.0, -163.0, -3366.0
808.0, -404.0, -547.0, -120.0, 21.0, 94.0, 4023.0, -163.0, -3366.0
806.0, -404.0, -545.0, -121.0, 21.0, 94.0, 4023.0, -163.0, -3366.0
803.0, -402.0, -542.0, -122.0, 20.0, 94.0, 4023.0, -163.0, -3366.0
803.0, -396.0, -541.0, -124.0, 20.0, 93.0, 4023.0, -163.0, -3366.0
805.0, -393.0, -542.0, -126.0, 19.0, 92.0, 4023.0, -163.0, -3366.0
804.0, -395.0, -541.0, -128.0, 19.0, 90.0, 3796.0, -285.0, -3523.0
802.0, -391.0, -542.0, -130.0, 18.0, 89.0, 3796.0, -285.0, -3523.0
801.0, -384.0, -538.0, -131.0, 17.0, 88.0, 3796.0, -285.0, -3523.0
805.0, -367.0, -537.0, -134.0, 17.0, 86.0, 3796.0, -285.0, -3523.0
805.0, -367.0, -537.0, -134.0, 17.0, 86.0, 3796.0, -285.0, -3523.0
810.0, -361.0, -538.0, -137.0, 16.0, 83.0, 3796.0, -285.0, -3523.0
814.0, -365.0, -538.0, -140.0, 16.0, 82.0, 3796.0, -285.0, -3523.0
817.0, -368.0, -544.0, -141.0, 15.0, 82.0, 3796.0, -285.0, -3523.0
813.0, -377.0, -539.0, -142.0, 14.0, 83.0, 3796.0, -285.0, -3523.0
808.0, -383.0, -532.0, -141.0, 13.0, 83.0, 3796.0, -285.0, -3523.0
813.0, -377.0, -533.0, -143.0, 13.0, 83.0, 3796.0, -285.0, -3523.0
816.0, -366.0, -536.0, -146.0, 12.0, 82.0, 3848.0, -58.0, -3471.0
818.0, -365.0, -536.0, -149.0, 12.0, 81.0, 3848.0, -58.0, -3471.0
819.0, -367.0, -534.0, -150.0, 11.0, 81.0, 3848.0, -58.0, -3471.0
818.0, -376.0, -533.0, -151.0, 11.0, 81.0, 3848.0, -58.0, -3471.0
815.0, -380.0, -530.0, -152.0, 10.0, 82.0, 3848.0, -58.0, -3471.0
819.0, -381.0, -531.0, -155.0, 9.0, 81.0, 3848.0, -58.0, -3471.0
819.0, -381.0, -531.0, -155.0, 9.0, 81.0, 3848.0, -58.0, -3471.0
816.0, -384.0, -532.0, -158.0, 9.0, 82.0, 3848.0, -58.0, -3471.0
810.0, -391.0, -531.0, -158.0, 8.0, 84.0, 3848.0, -58.0, -3471.0
812.0, -398.0, -531.0, -158.0, 7.0, 85.0, 3848.0, -58.0, -3471.0
811.0, -401.0, -530.0, -158.0, 6.0, 87.0, 3848.0, -58.0, -3471.0
