ax,ay,az,gx,gy,gz,mx,my,mz
706.0, -142.0, -729.0, -1.0, 16.0, -1.0, 3796.0, 588.0, -3314.0
706.0, -142.0, -730.0, -1.0, 16.0, -1.0, 3796.0, 588.0, -3314.0
706.0, -142.0, -730.0, -1.0, 16.0, -1.0, 3796.0, 588.0, -3314.0
707.0, -141.0, -730.0, 0.0, 16.0, -1.0, 3796.0, 588.0, -3314.0
707.0, -141.0, -729.0, 0.0, 16.0, -1.0, 3796.0, 588.0, -3314.0
707.0, -141.0, -729.0, 0.0, 16.0, -1.0, 3796.0, 588.0, -3314.0
707.0, -141.0, -728.0, 0.0, 17.0, -1.0, 3796.0, 588.0, -3314.0
707.0, -141.0, -727.0, 0.0, 17.0, -1.0, 3796.0, 588.0, -3314.0
708.0, -140.0, -727.0, 0.0, 17.0, -1.0, 3796.0, 588.0, -3314.0
708.0, -140.0, -726.0, 0.0, 17.0, -1.0, 3796.0, 588.0, -3314.0
709.0, -139.0, -725.0, 0.0, 17.0, -1.0, 3743.0, 710.0, -3401.0
711.0, -138.0, -725.0, 0.0, 17.0, -1.0, 3743.0, 710.0, -3401.0
713.0, -137.0, -724.0, 1.0, 17.0, -1.0, 3743.0, 710.0, -3401.0
713.0, -137.0, -724.0, 1.0, 17.0, -1.0, 3743.0, 710.0, -3401.0
713.0, -136.0, -724.0, 1.0, 17.0, -1.0, 3743.0, 710.0, -3401.0
713.0, -135.0, -723.0, 1.0, 17.0, 0.0, 3743.0, 710.0, -3401.0
713.0, -135.0, -724.0, 1.0, 16.0, 0.0, 3743.0, 710.0, -3401.0
712.0, -136.0, -724.0, 1.0, 16.0, 0.0, 3743.0, 710.0, -3401.0
712.0, -137.0, -723.0, 1.0, 16.0, 1.0, 3743.0, 710.0, -3401.0
713.0, -138.0, -722.0, 2.0, 16.0, 1.0, 3743.0, 710.0, -3401.0
713.0, -139.0, -722.0, 2.0, 16.0, 1.0, 3743.0, 710.0, -3401.0
714.0, -140.0, -723.0, 2.0, 16.0, 1.0, 3813.0, 710.0, -3401.0
714.0, -140.0, -724.0, 2.0, 16.0, 1.0, 3813.0, 535.0, -3366.0
714.0, -140.0, -724.0, 2.0, 16.0, 1.0, 3813.0, 535.0, -3366.0
714.0, -139.0, -724.0, 2.0, 16.0, 1.0, 3813.0, 535.0, -3366.0
714.0, -139.0, -724.0, 2.0, 16.0, 1.0, 3813.0, 535.0, -3366.0
714.0, -139.0, -724.0, 3.0, 16.0, 1.0, 3813.0, 535.0, -3366.0
714.0, -140.0, -724.0, 3.0, 16.0, 1.0, 3813.0, 535.0, -3366.0
714.0, -140.0, -724.0, 3.0, 16.0, 2.0, 3813.0, 535.0, -3366.0
714.0, -140.0, -724.0, 3.0, 16.0, 2.0, 3813.0, 535.0, -3366.0
714.0, -140.0, -724.0, 3.0, 16.0, 2.0, 3813.0, 535.0, -3366.0
714.0, -140.0, -723.0, 3.0, 16.0, 2.0, 3813.0, 535.0, -3366.0
714.0, -140.0, -723.0, 3.0, 16.0, 2.0, 3813.0, 535.0, -3366.0
714.0, -140.0, -723.0, 3.0, 16.0, 2.0, 3708.0, 326.0, -3262.0
713.0, -141.0, -723.0, 3.0, 16.0, 2.0, 3708.0, 326.0, -3262.0
713.0, -141.0, -723.0, 3.0, 16.0, 2.0, 3708.0, 326.0, -3262.0
714.0, -141.0, -723.0, 3.0, 16.0, 2.0, 3708.0, 326.0, -3262.0
714.0, -141.0, -723.0, 4.0, 16.0, 2.0, 3708.0, 326.0, -3262.0
714.0, -141.0, -723.0, 4.0, 16.0, 1.0, 3708.0, 326.0, -3262.0
714.0, -141.0, -722.0, 4.0, 16.0, 1.0, 3708.0, 326.0, -3262.0
714.0, -141.0, -722.0, 4.0, 16.0, 1.0, 3708.0, 326.0, -3262.0
714.0, -141.0, -722.0, 4.0, 16.0, 1.0, 3708.0, 326.0, -3262.0
714.0, -141.0, -722.0, 4.0, 16.0, 1.0, 3708.0, 326.0, -3262.0
714.0, -141.0, -722.0, 4.0, 16.0, 1.0, 3708.0, 326.0, -3262.0
714.0, -141.0, -721.0, 4.0, 16.0, 1.0, 3761.0, 622.0, -3349.0
715.0, -142.0, -721.0, 4.0, 16.0, 1.0, 3761.0, 622.0, -3349.0
715.0, -142.0, -721.0, 4.0, 16.0, 1.0, 3761.0, 622.0, -3349.0
714.0, -141.0, -721.0, 4.0, 16.0, 1.0, 3761.0, 622.0, -3349.0
714.0, -142.0, -721.0, 4.0, 16.0, 1.0, 3761.0, 622.0, -3349.0
715.0, -142.0, -722.0, 4.0, 16.0, 1.0, 3761.0, 622.0, -3349.0
715.0, -143.0, -722.0, 4.0, 16.0, 1.0, 3761.0, 622.0, -3349.0
715.0, -143.0, -721.0, 4.0, 16.0, 1.0, 3761.0, 622.0, -3349.0
715.0, -142.0, -720.0, 4.0, 16.0, 1.0, 3761.0, 622.0, -3349.0
715.0, -142.0, -720.0, 4.0, 16.0, 1.0, 3761.0, 622.0, -3349.0
716.0, -142.0, -720.0, 4.0, 16.0, 1.0, 3761.0, 622.0, -3349.0
716.0, -141.0, -719.0, 4.0, 16.0, 1.0, 3796.0, 483.0, -3384.0
717.0, -140.0, -719.0, 4.0, 16.0, 1.0, 3796.0, 483.0, -3384.0
717.0, -139.0, -719.0, 4.0, 15.0, 1.0, 3796.0, 483.0, -3384.0
717.0, -139.0, -719.0, 4.0, 15.0, 1.0, 3796.0, 483.0, -3384.0
717.0, -138.0, -719.0, 4.0, 15.0, 1.0, 3796.0, 483.0, -3384.0
717.0, -137.0, -718.0, 4.0, 15.0, 1.0, 3796.0, 483.0, -3384.0
717.0, -137.0, -718.0, 4.0, 15.0, 1.0, 3796.0, 483.0, -3384.0
717.0, -137.0, -718.0, 4.0, 15.0, 1.0, 3796.0, 483.0, -3384.0
718.0, -137.0, -717.0, 4.0, 15.0, 1.0, 3796.0, 483.0, -3384.0
718.0, -137.0, -717.0, 5.0, 15.0, 2.0, 3796.0, 483.0, -3384.0
718.0, -137.0, -717.0, 5.0, 15.0, 2.0, 3796.0, 483.0, -3384.0
718.0, -138.0, -718.0, 5.0, 15.0, 2.0, 3796.0, 483.0, -3245.0
718.0, -138.0, -718.0, 5.0, 15.0, 2.0, 3796.0, 483.0, -3245.0
718.0, -139.0, -718.0, 5.0, 14.0, 2.0, 3796.0, 483.0, -3245.0
