ax,ay,az,gx,gy,gz,mx,my,mz
745.0, 308.0, -632.0, -3.0, -2.0, 0.0, 3516.0, 2752.0, -2235.0
744.0, 308.0, -632.0, -3.0, -2.0, 0.0, 3621.0, 2752.0, -2166.0
743.0, 308.0, -633.0, -3.0, -2.0, 0.0, 3621.0, 2752.0, -2166.0
743.0, 308.0, -634.0, -3.0, -2.0, 0.0, 3621.0, 2752.0, -2166.0
743.0, 308.0, -633.0, -3.0, -2.0, 0.0, 3621.0, 2752.0, -2166.0
743.0, 309.0, -633.0, -3.0, -2.0, 0.0, 3621.0, 2752.0, -2166.0
743.0, 309.0, -633.0, -3.0, -2.0, 1.0, 3621.0, 2752.0, -2166.0
743.0, 309.0, -632.0, -2.0, -2.0, 1.0, 3621.0, 2752.0, -2166.0
743.0, 309.0, -632.0, -2.0, -2.0, 1.0, 3621.0, 2752.0, -2166.0
743.0, 309.0, -631.0, -2.0, -2.0, 1.0, 3621.0, 2752.0, -2166.0
743.0, 309.0, -629.0, -2.0, -2.0, 1.0, 3621.0, 2752.0, -2166.0
743.0, 309.0, -629.0, -2.0, -2.0, 1.0, 3621.0, 2752.0, -2166.0
743.0, 309.0, -628.0, -2.0, -2.0, 1.0, 3306.0, 2542.0, -2166.0
742.0, 309.0, -628.0, -2.0, -2.0, 1.0, 3306.0, 2542.0, -2166.0
741.0, 311.0, -628.0, -2.0, -2.0, 1.0, 3306.0, 2542.0, -2166.0
740.0, 312.0, -628.0, -2.0, -2.0, 1.0, 3306.0, 2542.0, -2166.0
739.0, 314.0, -628.0, -2.0, -2.0, 1.0, 3306.0, 2542.0, -2166.0
737.0, 315.0, -628.0, -2.0, -2.0, 1.0, 3306.0, 2542.0, -2166.0
737.0, 315.0, -628.0, -2.0, -2.0, 1.0, 3306.0, 2542.0, -2166.0
737.0, 316.0, -628.0, -2.0, -2.0, 1.0, 3306.0, 2542.0, -2166.0
736.0, 317.0, -627.0, -2.0, -2.0, 1.0, 3306.0, 2542.0, -2166.0
736.0, 318.0, -627.0, -2.0, -2.0, 1.0, 3306.0, 2542.0, -2166.0
737.0, 319.0, -625.0, -2.0, -2.0, 1.0, 3306.0, 2542.0, -2166.0
737.0, 320.0, -624.0, -2.0, -2.0, 1.0, 3551.0, 2612.0, -2166.0
737.0, 321.0, -623.0, -2.0, -2.0, 1.0, 3551.0, 2612.0, -2166.0
738.0, 321.0, -622.0, -2.0, -2.0, 1.0, 3551.0, 2612.0, -2166.0
738.0, 322.0, -621.0, -2.0, -2.0, 1.0, 3551.0, 2612.0, -2166.0
738.0, 322.0, -621.0, -2.0, -2.0, 1.0, 3551.0, 2612.0, -2166.0
739.0, 322.0, -620.0, -2.0, -1.0, 1.0, 3551.0, 2612.0, -2166.0
739.0, 323.0, -620.0, -2.0, -1.0, 1.0, 3551.0, 2612.0, -2166.0
739.0, 323.0, -620.0, -2.0, -1.0, 1.0, 3551.0, 2612.0, -2166.0
739.0, 324.0, -621.0, -2.0, -1.0, 1.0, 3551.0, 2612.0, -2166.0
740.0, 324.0, -622.0, -2.0, -1.0, 1.0, 3551.0, 2612.0, -2166.0
740.0, 325.0, -623.0, -2.0, -1.0, 1.0, 3551.0, 2612.0, -2166.0
740.0, 325.0, -624.0, -2.0, -1.0, 1.0, 3481.0, 2647.0, -1992.0
740.0, 326.0, -624.0, -2.0, 0.0, 1.0, 3481.0, 2647.0, -1992.0
739.0, 327.0, -625.0, -2.0, 0.0, 1.0, 3481.0, 2647.0, -1992.0
739.0, 327.0, -625.0, -2.0, 0.0, 1.0, 3481.0, 2647.0, -1992.0
739.0, 328.0, -626.0, -2.0, 0.0, 1.0, 3481.0, 2647.0, -1992.0
739.0, 329.0, -627.0, -2.0, 0.0, 0.0, 3481.0, 2647.0, -1992.0
739.0, 330.0, -628.0, -2.0, 0.0, 0.0, 3481.0, 2647.0, -1992.0
740.0, 331.0, -628.0, -2.0, 0.0, 0.0, 3481.0, 2647.0, -1992.0
740.0, 332.0, -627.0, -2.0, 0.0, 0.0, 3481.0, 2647.0, -1992.0
740.0, 333.0, -627.0, -2.0, 0.0, 0.0, 3481.0, 2647.0, -1992.0
740.0, 333.0, -628.0, -2.0, 0.0, 0.0, 3481.0, 2647.0, -1992.0
740.0, 334.0, -628.0, -2.0, 0.0, 0.0, 3481.0, 2647.0, -1992.0
740.0, 334.0, -628.0, -2.0, 0.0, 0.0, 3638.0, 2665.0, -2288.0
740.0, 335.0, -629.0, -2.0, 0.0, 0.0, 3638.0, 2665.0, -2288.0
740.0, 336.0, -630.0, -2.0, 0.0, 0.0, 3638.0, 2665.0, -2288.0
739.0, 338.0, -630.0, -1.0, 0.0, -1.0, 3638.0, 2665.0, -2288.0
739.0, 339.0, -631.0, -1.0, 0.0, -1.0, 3638.0, 2665.0, -2288.0
739.0, 339.0, -631.0, -1.0, 0.0, -1.0, 3638.0, 2665.0, -2288.0
738.0, 339.0, -631.0, -1.0, 0.0, -1.0, 3638.0, 2665.0, -2288.0
738.0, 339.0, -631.0, -1.0, 0.0, -1.0, 3638.0, 2665.0, -2288.0
738.0, 338.0, -630.0, -1.0, 0.0, -1.0, 3638.0, 2665.0, -2288.0
