ax,ay,az,gx,gy,gz,mx,my,mz
800.0, 64.0, -587.0, 1.0, 1.0, 0.0, 4286.0, 1600.0, -2897.0
800.0, 64.0, -588.0, 1.0, 1.0, 0.0, 4286.0, 1600.0, -2897.0
801.0, 63.0, -589.0, 1.0, 1.0, 0.0, 4286.0, 1600.0, -2897.0
801.0, 63.0, -589.0, 1.0, 1.0, 0.0, 4286.0, 1600.0, -2897.0
802.0, 62.0, -590.0, 1.0, 2.0, 0.0, 4286.0, 1600.0, -2897.0
802.0, 62.0, -592.0, 1.0, 2.0, 0.0, 4286.0, 1600.0, -2897.0
802.0, 61.0, -593.0, 1.0, 2.0, 0.0, 4286.0, 1600.0, -2897.0
802.0, 60.0, -595.0, 1.0, 2.0, 0.0, 4286.0, 1600.0, -2897.0
803.0, 59.0, -595.0, 1.0, 2.0, 0.0, 4233.0, 1652.0, -2879.0
804.0, 58.0, -597.0, 1.0, 2.0, 0.0, 4233.0, 1652.0, -2879.0
804.0, 57.0, -599.0, 1.0, 2.0, 0.0, 4233.0, 1652.0, -2879.0
804.0, 57.0, -600.0, 1.0, 2.0, 0.0, 4233.0, 1652.0, -2879.0
804.0, 57.0, -600.0, 1.0, 2.0, 0.0, 4233.0, 1652.0, -2879.0
805.0, 56.0, -600.0, 1.0, 3.0, 0.0, 4233.0, 1652.0, -2879.0
806.0, 55.0, -602.0, 1.0, 3.0, 0.0, 4233.0, 1652.0, -2879.0
807.0, 54.0, -603.0, 1.0, 3.0, 0.0, 4233.0, 1652.0, -2879.0
807.0, 53.0, -604.0, 1.0, 3.0, 0.0, 4233.0, 1652.0, -2879.0
807.0, 51.0, -605.0, 1.0, 3.0, 0.0, 4233.0, 1652.0, -2879.0
808.0, 50.0, -606.0, 1.0, 3.0, 0.0, 4233.0, 1652.0, -2879.0
808.0, 48.0, -606.0, 1.0, 3.0, 0.0, 4181.0, 1652.0, -2879.0
809.0, 47.0, -606.0, 1.0, 3.0, 0.0, 4181.0, 1530.0, -2897.0
809.0, 47.0, -606.0, 1.0, 3.0, 0.0, 4181.0, 1530.0, -2897.0
809.0, 46.0, -606.0, 1.0, 3.0, 0.0, 4181.0, 1530.0, -2897.0
810.0, 45.0, -607.0, 1.0, 3.0, 0.0, 4181.0, 1530.0, -2897.0
810.0, 44.0, -608.0, 1.0, 3.0, 0.0, 4181.0, 1530.0, -2897.0
810.0, 43.0, -609.0, 1.0, 3.0, 0.0, 4181.0, 1530.0, -2897.0
811.0, 42.0, -610.0, 1.0, 4.0, 0.0, 4181.0, 1530.0, -2897.0
812.0, 42.0, -610.0, 0.0, 4.0, 0.0, 4181.0, 1530.0, -2897.0
813.0, 41.0, -611.0, 0.0, 4.0, 0.0, 4181.0, 1530.0, -2897.0
815.0, 41.0, -611.0, 0.0, 4.0, 0.0, 4181.0, 1530.0, -2897.0
815.0, 41.0, -611.0, 0.0, 4.0, 0.0, 4181.0, 1530.0, -2897.0
816.0, 42.0, -611.0, 0.0, 4.0, 0.0, 4006.0, 1530.0, -2897.0
817.0, 42.0, -611.0, 0.0, 4.0, 0.0, 4006.0, 1530.0, -2897.0
817.0, 43.0, -612.0, 0.0, 4.0, 0.0, 4006.0, 1530.0, -2897.0
818.0, 43.0, -612.0, 0.0, 4.0, 0.0, 4006.0, 1530.0, -2897.0
819.0, 44.0, -612.0, 0.0, 4.0, 0.0, 4006.0, 1530.0, -2897.0
820.0, 44.0, -612.0, 0.0, 4.0, 0.0, 4006.0, 1530.0, -2897.0
821.0, 44.0, -612.0, 0.0, 4.0, 0.0, 4006.0, 1530.0, -2897.0
821.0, 44.0, -612.0, 0.0, 4.0, 0.0, 4006.0, 1530.0, -2897.0
821.0, 45.0, -612.0, 0.0, 4.0, 0.0, 4006.0, 1530.0, -2897.0
822.0, 45.0, -613.0, 0.0, 4.0, 0.0, 4006.0, 1530.0, -2897.0
823.0, 45.0, -613.0, 0.0, 4.0, 0.0, 4006.0, 1530.0, -2897.0
823.0, 45.0, -613.0, 0.0, 4.0, 0.0, 4146.0, 1530.0, -2792.0
824.0, 45.0, -614.0, 0.0, 4.0, 0.0, 4146.0, 1530.0, -2792.0
825.0, 45.0, -614.0, 0.0, 4.0, 0.0, 4146.0, 1530.0, -2792.0
825.0, 45.0, -614.0, 0.0, 3.0, 1.0, 4146.0, 1530.0, -2792.0
825.0, 45.0, -614.0, 0.0, 3.0, 1.0, 4146.0, 1530.0, -2792.0
825.0, 45.0, -614.0, 0.0, 3.0, 1.0, 4146.0, 1530.0, -2792.0
826.0, 44.0, -614.0, 0.0, 3.0, 1.0, 4146.0, 1530.0, -2792.0
827.0, 44.0, -614.0, 0.0, 3.0, 1.0, 4146.0, 1530.0, -2792.0
828.0, 44.0, -614.0, 0.0, 3.0, 1.0, 4146.0, 1530.0, -2792.0
829.0, 44.0, -614.0, 0.0, 3.0, 1.0, 4146.0, 1530.0, -2792.0
830.0, 44.0, -615.0, 0.0, 3.0, 1.0, 4146.0, 1530.0, -2792.0
831.0, 43.0, -615.0, 0.0, 3.0, 1.0, 4181.0, 1390.0, -2862.0
832.0, 43.0, -615.0, 0.0, 3.0, 1.0, 4181.0, 1390.0, -2862.0
833.0, 44.0, -615.0, 0.0, 3.0, 1.0, 4181.0, 1390.0, -2862.0
833.0, 44.0, -615.0, 0.0, 3.0, 1.0, 4181.0, 1390.0, -2862.0
834.0, 44.0, -615.0, -1.0, 3.0, 1.0, 4181.0, 1390.0, -2862.0
834.0, 44.0, -616.0, -1.0, 3.0, 1.0, 4181.0, 1390.0, -2862.0
835.0, 44.0, -616.0, -1.0, 3.0, 1.0, 4181.0, 1390.0, -2862.0
836.0, 45.0, -617.0, -1.0, 3.0, 1.0, 4181.0, 1390.0, -2862.0
837.0, 45.0, -617.0, -1.0, 3.0, 1.0, 4181.0, 1390.0, -2862.0
838.0, 46.0, -618.0, -1.0, 3.0, 1.0, 4181.0, 1390.0, -2862.0
839.0, 47.0, -618.0, -1.0, 3.0, 1.0, 4181.0, 1390.0, -2862.0
840.0, 48.0, -619.0, -1.0, 3.0, 1.0, 4181.0, 1390.0, -2862.0
840.0, 48.0, -619.0, -1.0, 3.0, 1.0, 4146.0, 1356.0, -2757.0
840.0, 49.0, -620.0, -1.0, 3.0, 1.0, 4146.0, 1356.0, -2757.0
841.0, 50.0, -620.0, -1.0, 2.0, 1.0, 4146.0, 1356.0, -2757.0
842.0, 51.0, -622.0, -1.0, 2.0, 1.0, 4146.0, 1356.0, -2757.0
842.0, 52.0, -623.0, -1.0, 2.0, 1.0, 4146.0, 1356.0, -2757.0
843.0, 53.0, -623.0, -1.0, 2.0, 1.0, 4146.0, 1356.0, -2757.0
844.0, 54.0, -624.0, -1.0, 2.0, 1.0, 4146.0, 1356.0, -2757.0
844.0, 54.0, -625.0, -1.0, 2.0, 0.0, 4146.0, 1356.0, -2757.0
845.0, 55.0, -626.0, -2.0, 2.0, 0.0, 4146.0, 1356.0, -2757.0
845.0, 55.0, -626.0, -2.0, 2.0, 0.0, 4146.0, 1356.0, -2757.0
846.0, 56.0, -626.0, -2.0, 2.0, 0.0, 4146.0, 1356.0, -2757.0
846.0, 56.0, -627.0, -2.0, 2.0, 0.0, 4128.0, 1513.0, -2844.0
846.0, 57.0, -628.0, -2.0, 1.0, 0.0, 4128.0, 1513.0, -2844.0
846.0, 57.0, -628.0, -2.0, 1.0, 0.0, 4128.0, 1513.0, -2844.0
846.0, 58.0, -629.0, -2.0, 1.0, 0.0, 4128.0, 1513.0, -2844.0
846.0, 59.0, -630.0, -2.0, 1.0, -1.0, 4128.0, 1513.0, -2844.0
846.0, 59.0, -630.0, -2.0, 1.0, -1.0, 4128.0, 1513.0, -2844.0
846.0, 60.0, -630.0, -2.0, 0.0, -1.0, 4128.0, 1513.0, -2844.0
846.0, 60.0, -630.0, -2.0, 0.0, -1.0, 4128.0, 1513.0, -2844.0
846.0, 60.0, -630.0, -2.0, 0.0, -1.0, 4128.0, 1513.0, -2844.0
846.0, 60.0, -630.0, -2.0, 0.0, -1.0, 4128.0, 1513.0, -2844.0
846.0, 60.0, -629.0, -2.0, 0.0, -1.0, 4128.0, 1513.0, -2844.0
846.0, 60.0, -628.0, -2.0, 0.0, -2.0, 4146.0, 1495.0, -3071.0
846.0, 60.0, -628.0, -2.0, -1.0, -2.0, 4146.0, 1495.0, -3071.0
846.0, 59.0, -627.0, -2.0, -1.0, -2.0, 4146.0, 1495.0, -3071.0
844.0, 58.0, -626.0, -3.0, -1.0, -2.0, 4146.0, 1495.0, -3071.0
844.0, 58.0, -624.0, -3.0, -1.0, -2.0, 4146.0, 1495.0, -3071.0
844.0, 58.0, -624.0, -3.0, -1.0, -2.0, 4146.0, 1495.0, -3071.0
842.0, 58.0, -622.0, -3.0, -1.0, -2.0, 4146.0, 1495.0, -3071.0
841.0, 58.0, -620.0, -3.0, -2.0, -3.0, 4146.0, 1495.0, -3071.0
840.0, 58.0, -619.0, -3.0, -2.0, -3.0, 4146.0, 1495.0, -3071.0
839.0, 57.0, -617.0, -3.0, -2.0, -3.0, 4146.0, 1495.0, -3071.0
838.0, 57.0, -616.0, -3.0, -2.0, -3.0, 4146.0, 1495.0, -3071.0
