ax,ay,az,gx,gy,gz,mx,my,mz
765.0, 4.0, -754.0, -12.0, -7.0, -6.0, 4775.0, 1216.0, -2444.0
768.0, 8.0, -758.0, -13.0, -7.0, -7.0, 4775.0, 1216.0, -2444.0
772.0, 12.0, -763.0, -13.0, -7.0, -7.0, 4775.0, 1216.0, -2444.0
775.0, 17.0, -768.0, -14.0, -6.0, -7.0, 4775.0, 1216.0, -2444.0
778.0, 20.0, -773.0, -14.0, -6.0, -8.0, 4775.0, 1216.0, -2444.0
781.0, 23.0, -779.0, -14.0, -6.0, -8.0, 4775.0, 1216.0, -2444.0
784.0, 25.0, -785.0, -14.0, -6.0, -9.0, 4775.0, 1216.0, -2444.0
784.0, 25.0, -785.0, -14.0, -6.0, -9.0, 4775.0, 1216.0, -2444.0
787.0, 27.0, -791.0, -14.0, -6.0, -10.0, 4775.0, 1216.0, -2444.0
791.0, 28.0, -796.0, -15.0, -7.0, -10.0, 4775.0, 1216.0, -2444.0
795.0, 29.0, -801.0, -15.0, -7.0, -11.0, 4775.0, 1216.0, -2444.0
798.0, 30.0, -808.0, -15.0, -7.0, -11.0, 4775.0, 1216.0, -2444.0
800.0, 30.0, -813.0, -15.0, -8.0, -12.0, 4653.0, 1198.0, -2462.0
803.0, 30.0, -819.0, -15.0, -8.0, -12.0, 4653.0, 1198.0, -2462.0
805.0, 31.0, -824.0, -15.0, -9.0, -13.0, 4653.0, 1198.0, -2462.0
808.0, 31.0, -828.0, -14.0, -9.0, -13.0, 4653.0, 1198.0, -2462.0
810.0, 31.0, -832.0, -14.0, -10.0, -14.0, 4653.0, 1198.0, -2462.0
812.0, 30.0, -835.0, -14.0, -11.0, -14.0, 4653.0, 1198.0, -2462.0
812.0, 30.0, -835.0, -14.0, -11.0, -14.0, 4653.0, 1198.0, -2462.0
814.0, 29.0, -838.0, -14.0, -11.0, -14.0, 4653.0, 1198.0, -2462.0
816.0, 28.0, -841.0, -14.0, -12.0, -15.0, 4653.0, 1198.0, -2462.0
818.0, 26.0, -844.0, -13.0, -13.0, -15.0, 4653.0, 1198.0, -2462.0
820.0, 24.0, -845.0, -13.0, -14.0, -15.0, 4653.0, 1198.0, -2462.0
821.0, 21.0, -846.0, -13.0, -15.0, -16.0, 4758.0, 1164.0, -2392.0
822.0, 19.0, -847.0, -12.0, -16.0, -16.0, 4758.0, 1164.0, -2392.0
824.0, 16.0, -848.0, -12.0, -17.0, -16.0, 4758.0, 1164.0, -2392.0
826.0, 13.0, -850.0, -12.0, -18.0, -16.0, 4758.0, 1164.0, -2392.0
828.0, 10.0, -850.0, -11.0, -19.0, -16.0, 4758.0, 1164.0, -2392.0
829.0, 6.0, -851.0, -11.0, -20.0, -17.0, 4758.0, 1164.0, -2392.0
830.0, 3.0, -851.0, -11.0, -21.0, -17.0, 4758.0, 1164.0, -2392.0
830.0, 3.0, -851.0, -11.0, -21.0, -17.0, 4758.0, 1164.0, -2392.0
831.0, -2.0, -851.0, -10.0, -22.0, -17.0, 4758.0, 1164.0, -2392.0
832.0, -7.0, -852.0, -10.0, -23.0, -17.0, 4758.0, 1164.0, -2392.0
833.0, -11.0, -854.0, -10.0, -24.0, -17.0, 4758.0, 1164.0, -2392.0
834.0, -16.0, -855.0, -10.0, -25.0, -17.0, 4670.0, 1181.0, -2479.0
835.0, -22.0, -857.0, -9.0, -27.0, -16.0, 4670.0, 1181.0, -2479.0
836.0, -27.0, -859.0, -9.0, -28.0, -16.0, 4670.0, 1181.0, -2479.0
837.0, -31.0, -861.0, -9.0, -29.0, -16.0, 4670.0, 1181.0, -2479.0
838.0, -37.0, -864.0, -9.0, -30.0, -16.0, 4670.0, 1181.0, -2479.0
838.0, -42.0, -865.0, -9.0, -32.0, -16.0, 4670.0, 1181.0, -2479.0
839.0, -48.0, -866.0, -9.0, -33.0, -15.0, 4670.0, 1181.0, -2479.0
839.0, -48.0, -866.0, -9.0, -33.0, -15.0, 4670.0, 1181.0, -2479.0
840.0, -53.0, -867.0, -10.0, -34.0, -15.0, 4670.0, 1181.0, -2479.0
841.0, -58.0, -868.0, -10.0, -35.0, -14.0, 4670.0, 1181.0, -2479.0
843.0, -63.0, -870.0, -10.0, -37.0, -14.0, 4670.0, 1181.0, -2479.0
844.0, -68.0, -870.0, -10.0, -38.0, -13.0, 4758.0, 1198.0, -2427.0
844.0, -72.0, -871.0, -10.0, -39.0, -12.0, 4758.0, 1198.0, -2427.0
845.0, -75.0, -871.0, -11.0, -41.0, -12.0, 4758.0, 1198.0, -2427.0
845.0, -78.0, -871.0, -11.0, -42.0, -11.0, 4758.0, 1198.0, -2427.0
845.0, -79.0, -871.0, -12.0, -43.0, -10.0, 4758.0, 1198.0, -2427.0
846.0, -80.0, -871.0, -12.0, -44.0, -10.0, 4758.0, 1198.0, -2427.0
846.0, -82.0, -870.0, -13.0, -46.0, -9.0, 4758.0, 1198.0, -2427.0
847.0, -83.0, -868.0, -13.0, -47.0, -8.0, 4758.0, 1198.0, -2427.0
847.0, -84.0, -866.0, -14.0, -48.0, -7.0, 4758.0, 1198.0, -2427.0
847.0, -84.0, -866.0, -14.0, -48.0, -7.0, 4758.0, 1198.0, -2427.0
848.0, -84.0, -863.0, -14.0, -50.0, -6.0, 4758.0, 1198.0, -2427.0
848.0, -83.0, -860.0, -15.0, -51.0, -6.0, 4618.0, 1198.0, -2531.0
848.0, -83.0, -856.0, -16.0, -52.0, -5.0, 4618.0, 1198.0, -2531.0
849.0, -83.0, -854.0, -16.0, -53.0, -4.0, 4618.0, 1198.0, -2531.0
850.0, -81.0, -850.0, -17.0, -54.0, -3.0, 4618.0, 1198.0, -2531.0
850.0, -78.0, -845.0, -18.0, -55.0, -2.0, 4618.0, 1198.0, -2531.0
850.0, -74.0, -841.0, -19.0, -56.0, -2.0, 4618.0, 1198.0, -2531.0
850.0, -71.0, -837.0, -20.0, -57.0, -1.0, 4618.0, 1198.0, -2531.0
850.0, -67.0, -834.0, -20.0, -58.0, 0.0, 4618.0, 1198.0, -2531.0
849.0, -64.0, -831.0, -21.0, -59.0, 1.0, 4618.0, 1198.0, -2531.0
849.0, -64.0, -831.0, -21.0, -59.0, 1.0, 4618.0, 1198.0, -2531.0
849.0, -60.0, -828.0, -21.0, -60.0, 1.0, 4618.0, 1198.0, -2531.0
848.0, -56.0, -824.0, -21.0, -61.0, 2.0, 4548.0, 1268.0, -2531.0
848.0, -51.0, -819.0, -22.0, -62.0, 3.0, 4548.0, 1268.0, -2531.0
848.0, -46.0, -814.0, -22.0, -63.0, 4.0, 4548.0, 1268.0, -2531.0
847.0, -41.0, -809.0, -22.0, -64.0, 5.0, 4548.0, 1268.0, -2531.0
846.0, -37.0, -804.0, -23.0, -65.0, 5.0, 4548.0, 1268.0, -2531.0
846.0, -32.0, -799.0, -23.0, -66.0, 6.0, 4548.0, 1268.0, -2531.0
845.0, -26.0, -793.0, -23.0, -66.0, 7.0, 4548.0, 1268.0, -2531.0
845.0, -20.0, -789.0, -23.0, -67.0, 8.0, 4548.0, 1268.0, -2531.0
845.0, -15.0, -784.0, -24.0, -68.0, 8.0, 4548.0, 1268.0, -2531.0
845.0, -15.0, -784.0, -24.0, -68.0, 8.0, 4548.0, 1268.0, -2531.0
845.0, -9.0, -779.0, -24.0, -68.0, 9.0, 4548.0, 1268.0, -2531.0
845.0, -3.0, -774.0, -24.0, -69.0, 9.0, 4635.0, 1111.0, -2514.0
845.0, 5.0, -769.0, -24.0, -70.0, 9.0, 4635.0, 1111.0, -2514.0
