ax,ay,az,gx,gy,gz,mx,my,mz
813.0, -413.0, -485.0, 17.0, 61.0, 47.0, 3901.0, -1472.0, -3662.0
797.0, -409.0, -487.0, 16.0, 59.0, 49.0, 3901.0, -1472.0, -3662.0
795.0, -404.0, -474.0, 15.0, 58.0, 49.0, 3901.0, -1472.0, -3662.0
812.0, -408.0, -484.0, 15.0, 57.0, 49.0, 3901.0, -1472.0, -3662.0
793.0, -397.0, -478.0, 14.0, 55.0, 50.0, 3901.0, -1472.0, -3662.0
793.0, -389.0, -468.0, 14.0, 54.0, 51.0, 3901.0, -1472.0, -3662.0
812.0, -388.0, -481.0, 14.0, 53.0, 51.0, 3901.0, -1472.0, -3662.0
812.0, -388.0, -481.0, 14.0, 53.0, 51.0, 3901.0, -1472.0, -3662.0
812.0, -384.0, -487.0, 14.0, 52.0, 51.0, 3901.0, -1472.0, -3662.0
808.0, -393.0, -487.0, 16.0, 50.0, 52.0, 3901.0, -1472.0, -3662.0
796.0, -392.0, -479.0, 16.0, 48.0, 53.0, 3901.0, -1472.0, -3662.0
804.0, -389.0, -481.0, 16.0, 48.0, 53.0, 3901.0, -1472.0, -3662.0
808.0, -388.0, -481.0, 16.0, 47.0, 53.0, 3901.0, -1472.0, -3662.0
799.0, -381.0, -475.0, 16.0, 46.0, 54.0, 3901.0, -1472.0, -3662.0
804.0, -390.0, -474.0, 17.0, 45.0, 54.0, 3901.0, -1472.0, -3662.0
808.0, -392.0, -474.0, 17.0, 45.0, 54.0, 3901.0, -1472.0, -3662.0
802.0, -386.0, -474.0, 17.0, 44.0, 54.0, 3901.0, -1472.0, -3662.0
802.0, -385.0, -465.0, 17.0, 44.0, 54.0, 3901.0, -1472.0, -3662.0
813.0, -385.0, -471.0, 17.0, 44.0, 53.0, 3901.0, -1472.0, -3662.0
813.0, -385.0, -471.0, 17.0, 44.0, 53.0, 3901.0, -1472.0, -3662.0
811.0, -390.0, -475.0, 18.0, 44.0, 53.0, 3901.0, -1472.0, -3662.0
799.0, -395.0, -466.0, 19.0, 43.0, 54.0, 3901.0, -1472.0, -3662.0
803.0, -397.0, -470.0, 19.0, 43.0, 53.0, 3901.0, -1472.0, -3662.0
809.0, -392.0, -474.0, 18.0, 43.0, 53.0, 3901.0, -1472.0, -3662.0
810.0, -391.0, -476.0, 18.0, 43.0, 52.0, 3901.0, -1472.0, -3662.0
801.0, -388.0, -472.0, 19.0, 43.0, 52.0, 3901.0, -1472.0, -3662.0
793.0, -382.0, -455.0, 19.0, 43.0, 51.0, 3901.0, -1472.0, -3662.0
815.0, -390.0, -462.0, 20.0, 44.0, 50.0, 3901.0, -1472.0, -3662.0
814.0, -391.0, -471.0, 21.0, 45.0, 50.0, 3901.0, -1472.0, -3662.0
802.0, -391.0, -466.0, 21.0, 44.0, 50.0, 3901.0, -1472.0, -3662.0
801.0, -395.0, -460.0, 22.0, 44.0, 50.0, 3901.0, -1472.0, -3662.0
799.0, -395.0, -450.0, 22.0, 45.0, 49.0, 3901.0, -1472.0, -3662.0
799.0, -395.0, -450.0, 22.0, 45.0, 49.0, 3901.0, -1472.0, -3662.0
816.0, -407.0, -461.0, 22.0, 46.0, 49.0, 3988.0, -1559.0, -3645.0
810.0, -403.0, -474.0, 22.0, 45.0, 49.0, 3988.0, -1559.0, -3645.0
790.0, -385.0, -452.0, 22.0, 44.0, 49.0, 3988.0, -1559.0, -3645.0
810.0, -396.0, -443.0, 23.0, 45.0, 47.0, 3988.0, -1559.0, -3645.0
820.0, -409.0, -468.0, 23.0, 46.0, 47.0, 3988.0, -1559.0, -3645.0
798.0, -398.0, -462.0, 23.0, 44.0, 48.0, 3988.0, -1559.0, -3645.0
816.0, -410.0, -464.0, 23.0, 44.0, 47.0, 3988.0, -1559.0, -3645.0
811.0, -409.0, -473.0, 23.0, 44.0, 47.0, 3988.0, -1559.0, -3645.0
