ax,ay,az,gx,gy,gz,mx,my,mz
756.0, -691.0, -197.0, 50.0, -65.0, -15.0, 5073.0, -2258.0, -2079.0
713.0, -615.0, -220.0, 44.0, -67.0, -11.0, 5073.0, -2258.0, -2079.0
731.0, -559.0, -216.0, 42.0, -67.0, -14.0, 5073.0, -2258.0, -2079.0
767.0, -612.0, -209.0, 46.0, -65.0, -17.0, 5073.0, -2258.0, -2079.0
753.0, -664.0, -225.0, 46.0, -66.0, -13.0, 5073.0, -2258.0, -2079.0
719.0, -644.0, -241.0, 41.0, -69.0, -7.0, 5073.0, -2258.0, -2079.0
723.0, -548.0, -240.0, 36.0, -69.0, -8.0, 5073.0, -2258.0, -2079.0
767.0, -531.0, -224.0, 41.0, -66.0, -15.0, 5073.0, -2258.0, -2079.0
779.0, -592.0, -216.0, 49.0, -65.0, -16.0, 5073.0, -2258.0, -2079.0
758.0, -642.0, -218.0, 53.0, -68.0, -11.0, 5195.0, -2258.0, -2079.0
747.0, -670.0, -217.0, 51.0, -71.0, -8.0, 5195.0, -2275.0, -1992.0
747.0, -670.0, -217.0, 51.0, -71.0, -8.0, 5195.0, -2275.0, -1992.0
741.0, -624.0, -217.0, 46.0, -71.0, -8.0, 5195.0, -2275.0, -1992.0
752.0, -596.0, -209.0, 44.0, -69.0, -11.0, 5195.0, -2275.0, -1992.0
755.0, -636.0, -206.0, 45.0, -68.0, -12.0, 5195.0, -2275.0, -1992.0
738.0, -685.0, -211.0, 44.0, -69.0, -7.0, 5195.0, -2275.0, -1992.0
728.0, -713.0, -216.0, 40.0, -70.0, -2.0, 5195.0, -2275.0, -1992.0
725.0, -678.0, -217.0, 33.0, -69.0, 1.0, 5195.0, -2275.0, -1992.0
745.0, -604.0, -208.0, 30.0, -66.0, -2.0, 5195.0, -2275.0, -1992.0
769.0, -569.0, -202.0, 35.0, -65.0, -8.0, 5195.0, -2275.0, -1992.0
773.0, -563.0, -205.0, 44.0, -67.0, -12.0, 5178.0, -2188.0, -2148.0
776.0, -603.0, -205.0, 52.0, -69.0, -12.0, 5178.0, -2188.0, -2148.0
764.0, -716.0, -199.0, 56.0, -71.0, -9.0, 5178.0, -2188.0, -2148.0
764.0, -716.0, -199.0, 56.0, -71.0, -9.0, 5178.0, -2188.0, -2148.0
725.0, -775.0, -206.0, 49.0, -73.0, -3.0, 5178.0, -2188.0, -2148.0
709.0, -709.0, -210.0, 34.0, -73.0, 1.0, 5178.0, -2188.0, -2148.0
728.0, -591.0, -202.0, 27.0, -68.0, -4.0, 5178.0, -2188.0, -2148.0
764.0, -542.0, -194.0, 31.0, -64.0, -13.0, 5178.0, -2188.0, -2148.0
782.0, -602.0, -199.0, 40.0, -65.0, -15.0, 5178.0, -2188.0, -2148.0
749.0, -675.0, -221.0, 43.0, -68.0, -10.0, 5178.0, -2188.0, -2148.0
720.0, -657.0, -240.0, 37.0, -71.0, -2.0, 5178.0, -2188.0, -2148.0
733.0, -601.0, -241.0, 33.0, -70.0, -3.0, 5178.0, -2188.0, -2148.0
751.0, -586.0, -238.0, 36.0, -67.0, -8.0, 5178.0, -2188.0, -2148.0
748.0, -581.0, -243.0, 39.0, -66.0, -9.0, 5178.0, -2188.0, -2148.0
774.0, -597.0, -243.0, 44.0, -66.0, -9.0, 5178.0, -2188.0, -2148.0
774.0, -597.0, -243.0, 44.0, -66.0, -9.0, 5178.0, -2188.0, -2148.0
775.0, -600.0, -237.0, 48.0, -66.0, -10.0, 5178.0, -2188.0, -2148.0
758.0, -604.0, -232.0, 50.0, -67.0, -10.0, 5178.0, -2188.0, -2148.0
761.0, -620.0, -237.0, 49.0, -67.0, -10.0, 5178.0, -2188.0, -2148.0
756.0, -629.0, -241.0, 45.0, -67.0, -10.0, 5178.0, -2188.0, -2148.0
