ax,ay,az,gx,gy,gz,mx,my,mz
747.0, -307.0, -636.0, 80.0, -54.0, 15.0, 4513.0, 361.0, -3158.0
749.0, -298.0, -634.0, 79.0, -53.0, 15.0, 4513.0, 361.0, -3158.0
748.0, -282.0, -634.0, 78.0, -53.0, 15.0, 4513.0, 361.0, -3158.0
756.0, -274.0, -639.0, 77.0, -52.0, 16.0, 4513.0, 361.0, -3158.0
755.0, -268.0, -640.0, 77.0, -52.0, 16.0, 4513.0, 361.0, -3158.0
749.0, -255.0, -639.0, 78.0, -52.0, 17.0, 4566.0, 308.0, -3210.0
754.0, -249.0, -640.0, 78.0, -51.0, 17.0, 4566.0, 308.0, -3210.0
759.0, -238.0, -639.0, 77.0, -50.0, 17.0, 4566.0, 308.0, -3210.0
760.0, -232.0, -641.0, 77.0, -50.0, 17.0, 4566.0, 308.0, -3210.0
760.0, -232.0, -641.0, 77.0, -50.0, 17.0, 4566.0, 308.0, -3210.0
760.0, -232.0, -646.0, 78.0, -50.0, 18.0, 4566.0, 308.0, -3210.0
757.0, -223.0, -646.0, 78.0, -50.0, 19.0, 4566.0, 308.0, -3210.0
756.0, -209.0, -643.0, 79.0, -49.0, 18.0, 4566.0, 308.0, -3210.0
766.0, -201.0, -645.0, 78.0, -48.0, 17.0, 4566.0, 308.0, -3210.0
770.0, -196.0, -650.0, 78.0, -47.0, 16.0, 4566.0, 308.0, -3210.0
767.0, -197.0, -655.0, 79.0, -48.0, 17.0, 4566.0, 308.0, -3210.0
759.0, -201.0, -654.0, 80.0, -48.0, 18.0, 4496.0, 169.0, -3175.0
752.0, -199.0, -650.0, 82.0, -48.0, 18.0, 4496.0, 169.0, -3175.0
757.0, -191.0, -651.0, 82.0, -47.0, 17.0, 4496.0, 169.0, -3175.0
764.0, -181.0, -654.0, 82.0, -46.0, 14.0, 4496.0, 169.0, -3175.0
765.0, -168.0, -655.0, 81.0, -45.0, 12.0, 4496.0, 169.0, -3175.0
768.0, -162.0, -659.0, 81.0, -45.0, 11.0, 4496.0, 169.0, -3175.0
768.0, -162.0, -659.0, 81.0, -45.0, 11.0, 4496.0, 169.0, -3175.0
767.0, -161.0, -664.0, 82.0, -44.0, 10.0, 4496.0, 169.0, -3175.0
756.0, -150.0, -660.0, 83.0, -44.0, 10.0, 4496.0, 169.0, -3175.0
764.0, -139.0, -662.0, 83.0, -43.0, 8.0, 4496.0, 169.0, -3175.0
775.0, -136.0, -670.0, 83.0, -42.0, 5.0, 4496.0, 169.0, -3175.0
770.0, -140.0, -671.0, 83.0, -42.0, 4.0, 4443.0, 361.0, -3332.0
761.0, -137.0, -671.0, 84.0, -43.0, 4.0, 4443.0, 361.0, -3332.0
761.0, -127.0, -670.0, 85.0, -42.0, 2.0, 4443.0, 361.0, -3332.0
765.0, -124.0, -668.0, 85.0, -40.0, -1.0, 4443.0, 361.0, -3332.0
762.0, -120.0, -667.0, 85.0, -40.0, -3.0, 4443.0, 361.0, -3332.0
767.0, -121.0, -673.0, 85.0, -39.0, -5.0, 4443.0, 361.0, -3332.0
767.0, -121.0, -673.0, 85.0, -39.0, -5.0, 4443.0, 361.0, -3332.0
769.0, -121.0, -676.0, 85.0, -39.0, -7.0, 4443.0, 361.0, -3332.0
761.0, -113.0, -672.0, 85.0, -39.0, -8.0, 4443.0, 361.0, -3332.0
761.0, -106.0, -672.0, 86.0, -38.0, -11.0, 4443.0, 361.0, -3332.0
770.0, -104.0, -676.0, 86.0, -37.0, -14.0, 4443.0, 361.0, -3332.0
770.0, -105.0, -679.0, 86.0, -37.0, -17.0, 4548.0, 151.0, -3192.0
762.0, -114.0, -682.0, 87.0, -37.0, -18.0, 4548.0, 151.0, -3192.0
755.0, -118.0, -682.0, 87.0, -38.0, -20.0, 4548.0, 151.0, -3192.0
760.0, -119.0, -682.0, 87.0, -37.0, -22.0, 4548.0, 151.0, -3192.0
763.0, -132.0, -685.0, 86.0, -36.0, -25.0, 4548.0, 151.0, -3192.0
752.0, -145.0, -687.0, 87.0, -37.0, -26.0, 4548.0, 151.0, -3192.0
742.0, -155.0, -682.0, 88.0, -37.0, -26.0, 4548.0, 151.0, -3192.0
742.0, -155.0, -682.0, 88.0, -37.0, -26.0, 4548.0, 151.0, -3192.0
748.0, -168.0, -682.0, 88.0, -36.0, -29.0, 4548.0, 151.0, -3192.0
747.0, -180.0, -682.0, 87.0, -35.0, -31.0, 4548.0, 151.0, -3192.0
738.0, -187.0, -680.0, 86.0, -35.0, -32.0, 4548.0, 151.0, -3192.0
733.0, -191.0, -679.0, 86.0, -35.0, -33.0, 4338.0, 116.0, -3227.0
740.0, -196.0, -681.0, 85.0, -35.0, -35.0, 4338.0, 116.0, -3227.0
740.0, -202.0, -683.0, 85.0, -34.0, -36.0, 4338.0, 116.0, -3227.0
728.0, -215.0, -679.0, 85.0, -35.0, -37.0, 4338.0, 116.0, -3227.0
728.0, -227.0, -679.0, 85.0, -35.0, -38.0, 4338.0, 116.0, -3227.0
731.0, -239.0, -684.0, 84.0, -35.0, -38.0, 4338.0, 116.0, -3227.0
721.0, -250.0, -685.0, 84.0, -35.0, -38.0, 4338.0, 116.0, -3227.0
716.0, -256.0, -680.0, 83.0, -35.0, -38.0, 4338.0, 116.0, -3227.0
716.0, -256.0, -680.0, 83.0, -35.0, -38.0, 4338.0, 116.0, -3227.0
715.0, -257.0, -676.0, 83.0, -34.0, -39.0, 4338.0, 116.0, -3227.0
719.0, -256.0, -676.0, 82.0, -34.0, -40.0, 4338.0, 116.0, -3227.0
721.0, -261.0, -680.0, 81.0, -34.0, -40.0, 4408.0, 151.0, -3262.0
718.0, -277.0, -685.0, 81.0, -34.0, -40.0, 4408.0, 151.0, -3262.0
708.0, -288.0, -686.0, 81.0, -35.0, -38.0, 4408.0, 151.0, -3262.0
701.0, -291.0, -680.0, 82.0, -35.0, -37.0, 4408.0, 151.0, -3262.0
709.0, -298.0, -678.0, 81.0, -34.0, -39.0, 4408.0, 151.0, -3262.0
709.0, -300.0, -679.0, 79.0, -34.0, -40.0, 4408.0, 151.0, -3262.0
698.0, -289.0, -678.0, 78.0, -35.0, -39.0, 4408.0, 151.0, -3262.0
708.0, -283.0, -682.0, 78.0, -34.0, -40.0, 4408.0, 151.0, -3262.0
717.0, -283.0, -686.0, 77.0, -34.0, -40.0, 4408.0, 151.0, -3262.0
707.0, -283.0, -687.0, 77.0, -35.0, -39.0, 4408.0, 151.0, -3262.0
707.0, -283.0, -687.0, 77.0, -35.0, -39.0, 4408.0, 151.0, -3262.0
703.0, -291.0, -686.0, 78.0, -36.0, -38.0, 4408.0, 151.0, -3332.0
702.0, -291.0, -681.0, 79.0, -36.0, -38.0, 4408.0, 151.0, -3332.0
700.0, -280.0, -678.0, 78.0, -35.0, -39.0, 4408.0, 151.0, -3332.0
708.0, -277.0, -679.0, 77.0, -35.0, -40.0, 4408.0, 151.0, -3332.0
714.0, -280.0, -683.0, 77.0, -35.0, -41.0, 4408.0, 151.0, -3332.0
706.0, -280.0, -686.0, 77.0, -36.0, -40.0, 4408.0, 151.0, -3332.0
702.0, -286.0, -686.0, 78.0, -37.0, -39.0, 4408.0, 151.0, -3332.0
702.0, -290.0, -685.0, 79.0, -37.0, -39.0, 4408.0, 151.0, -3332.0
702.0, -289.0, -685.0, 79.0, -36.0, -40.0, 4408.0, 151.0, -3332.0
702.0, -296.0, -684.0, 79.0, -37.0, -40.0, 4408.0, 151.0, -3332.0
696.0, -300.0, -686.0, 80.0, -37.0, -40.0, 4408.0, 151.0, -3332.0
696.0, -300.0, -686.0, 80.0, -37.0, -40.0, 4373.0, 291.0, -3227.0
695.0, -296.0, -686.0, 79.0, -37.0, -40.0, 4373.0, 291.0, -3227.0
701.0, -296.0, -687.0, 79.0, -36.0, -41.0, 4373.0, 291.0, -3227.0
700.0, -297.0, -688.0, 79.0, -37.0, -41.0, 4373.0, 291.0, -3227.0
693.0, -304.0, -685.0, 79.0, -37.0, -41.0, 4373.0, 291.0, -3227.0
694.0, -311.0, -684.0, 80.0, -37.0, -41.0, 4373.0, 291.0, -3227.0
693.0, -314.0, -685.0, 80.0, -37.0, -41.0, 4373.0, 291.0, -3227.0
692.0, -325.0, -684.0, 81.0, -37.0, -42.0, 4373.0, 291.0, -3227.0
691.0, -329.0, -683.0, 81.0, -37.0, -42.0, 4373.0, 291.0, -3227.0
693.0, -329.0, -682.0, 81.0, -36.0, -42.0, 4373.0, 291.0, -3227.0
694.0, -332.0, -682.0, 81.0, -36.0, -43.0, 4391.0, 169.0, -3227.0
693.0, -332.0, -682.0, 80.0, -36.0, -44.0, 4391.0, 169.0, -3245.0
693.0, -332.0, -682.0, 80.0, -36.0, -44.0, 4391.0, 169.0, -3245.0
692.0, -337.0, -681.0, 80.0, -36.0, -44.0, 4391.0, 169.0, -3245.0
691.0, -340.0, -681.0, 80.0, -36.0, -44.0, 4391.0, 169.0, -3245.0
692.0, -341.0, -681.0, 80.0, -35.0, -44.0, 4391.0, 169.0, -3245.0
688.0, -339.0, -676.0, 80.0, -35.0, -45.0, 4391.0, 169.0, -3245.0
689.0, -333.0, -674.0, 80.0, -34.0, -46.0, 4391.0, 169.0, -3245.0
694.0, -327.0, -678.0, 79.0, -33.0, -47.0, 4391.0, 169.0, -3245.0
702.0, -326.0, -682.0, 78.0, -33.0, -48.0, 4391.0, 169.0, -3245.0
696.0, -334.0, -683.0, 79.0, -33.0, -48.0, 4391.0, 169.0, -3245.0
687.0, -343.0, -681.0, 80.0, -33.0, -48.0, 4391.0, 169.0, -3245.0
692.0, -352.0, -682.0, 80.0, -32.0, -49.0, 4391.0, 169.0, -3245.0
691.0, -352.0, -680.0, 79.0, -31.0, -50.0, 4391.0, 169.0, -3245.0
688.0, -352.0, -679.0, 78.0, -30.0, -51.0, 4391.0, 169.0, -3245.0
688.0, -352.0, -679.0, 78.0, -30.0, -51.0, 4391.0, 169.0, -3245.0
685.0, -348.0, -676.0, 78.0, -29.0, -51.0, 4391.0, 169.0, -3245.0
691.0, -343.0, -679.0, 77.0, -28.0, -53.0, 4391.0, 169.0, -3245.0
693.0, -344.0, -683.0, 77.0, -28.0, -54.0, 4391.0, 169.0, -3245.0
688.0, -349.0, -683.0, 77.0, -27.0, -54.0, 4391.0, 169.0, -3245.0
689.0, -355.0, -685.0, 77.0, -27.0, -55.0, 4391.0, 169.0, -3245.0
682.0, -356.0, -680.0, 77.0, -26.0, -55.0, 4391.0, 169.0, -3245.0
681.0, -351.0, -679.0, 76.0, -25.0, -56.0, 4391.0, 169.0, -3245.0
