ax,ay,az,gx,gy,gz,mx,my,mz
643.0, -441.0, -663.0, 22.0, -22.0, -34.0, 2397.0, -1612.0, -4776.0
644.0, -444.0, -662.0, 22.0, -22.0, -34.0, 2397.0, -1612.0, -4776.0
645.0, -442.0, -660.0, 21.0, -21.0, -34.0, 2397.0, -1612.0, -4776.0
645.0, -440.0, -661.0, 21.0, -21.0, -34.0, 2397.0, -1612.0, -4776.0
645.0, -440.0, -661.0, 21.0, -21.0, -34.0, 2397.0, -1612.0, -4776.0
646.0, -441.0, -662.0, 20.0, -21.0, -34.0, 2397.0, -1612.0, -4776.0
645.0, -444.0, -661.0, 21.0, -21.0, -33.0, 2397.0, -1612.0, -4776.0
642.0, -448.0, -660.0, 21.0, -21.0, -33.0, 2397.0, -1612.0, -4776.0
640.0, -453.0, -659.0, 21.0, -20.0, -32.0, 2397.0, -1612.0, -4776.0
640.0, -456.0, -659.0, 21.0, -20.0, -32.0, 2397.0, -1612.0, -4776.0
640.0, -456.0, -658.0, 21.0, -20.0, -32.0, 2397.0, -1612.0, -4776.0
642.0, -456.0, -659.0, 20.0, -19.0, -32.0, 2432.0, -1647.0, -4637.0
642.0, -458.0, -659.0, 20.0, -19.0, -32.0, 2432.0, -1647.0, -4637.0
639.0, -465.0, -657.0, 20.0, -19.0, -31.0, 2432.0, -1647.0, -4637.0
634.0, -479.0, -654.0, 21.0, -19.0, -29.0, 2432.0, -1647.0, -4637.0
630.0, -488.0, -651.0, 21.0, -18.0, -28.0, 2432.0, -1647.0, -4637.0
630.0, -490.0, -652.0, 21.0, -18.0, -28.0, 2432.0, -1647.0, -4637.0
630.0, -490.0, -652.0, 21.0, -18.0, -28.0, 2432.0, -1647.0, -4637.0
634.0, -484.0, -653.0, 19.0, -17.0, -29.0, 2432.0, -1647.0, -4637.0
634.0, -475.0, -654.0, 18.0, -16.0, -29.0, 2432.0, -1647.0, -4637.0
635.0, -465.0, -657.0, 17.0, -16.0, -29.0, 2432.0, -1647.0, -4637.0
637.0, -458.0, -661.0, 16.0, -15.0, -29.0, 2432.0, -1647.0, -4637.0
637.0, -454.0, -664.0, 16.0, -15.0, -28.0, 2274.0, -1594.0, -4689.0
636.0, -454.0, -667.0, 17.0, -15.0, -28.0, 2274.0, -1594.0, -4689.0
635.0, -458.0, -669.0, 17.0, -15.0, -27.0, 2274.0, -1594.0, -4689.0
633.0, -461.0, -669.0, 17.0, -15.0, -27.0, 2274.0, -1594.0, -4689.0
632.0, -463.0, -669.0, 17.0, -14.0, -26.0, 2274.0, -1594.0, -4689.0
633.0, -464.0, -667.0, 17.0, -14.0, -26.0, 2274.0, -1594.0, -4689.0
631.0, -466.0, -666.0, 17.0, -13.0, -26.0, 2274.0, -1594.0, -4689.0
629.0, -469.0, -666.0, 17.0, -13.0, -26.0, 2274.0, -1594.0, -4689.0
629.0, -469.0, -666.0, 17.0, -13.0, -26.0, 2274.0, -1594.0, -4689.0
628.0, -469.0, -667.0, 16.0, -13.0, -26.0, 2274.0, -1594.0, -4689.0
628.0, -464.0, -668.0, 16.0, -12.0, -26.0, 2274.0, -1594.0, -4689.0
629.0, -456.0, -668.0, 15.0, -12.0, -26.0, 2274.0, -1699.0, -4619.0
630.0, -448.0, -670.0, 14.0, -11.0, -27.0, 2274.0, -1699.0, -4619.0
632.0, -440.0, -674.0, 13.0, -11.0, -27.0, 2274.0, -1699.0, -4619.0
631.0, -435.0, -677.0, 13.0, -11.0, -27.0, 2274.0, -1699.0, -4619.0
630.0, -436.0, -679.0, 13.0, -11.0, -26.0, 2274.0, -1699.0, -4619.0
629.0, -442.0, -679.0, 14.0, -11.0, -26.0, 2274.0, -1699.0, -4619.0
627.0, -453.0, -679.0, 14.0, -11.0, -26.0, 2274.0, -1699.0, -4619.0
622.0, -464.0, -677.0, 15.0, -11.0, -25.0, 2274.0, -1699.0, -4619.0
619.0, -474.0, -674.0, 15.0, -11.0, -24.0, 2274.0, -1699.0, -4619.0
617.0, -482.0, -672.0, 15.0, -11.0, -24.0, 2274.0, -1699.0, -4619.0
617.0, -482.0, -672.0, 15.0, -11.0, -24.0, 2274.0, -1699.0, -4619.0
616.0, -487.0, -669.0, 14.0, -10.0, -24.0, 2327.0, -1577.0, -4741.0
614.0, -492.0, -668.0, 14.0, -10.0, -24.0, 2327.0, -1577.0, -4741.0
613.0, -498.0, -666.0, 13.0, -10.0, -23.0, 2327.0, -1577.0, -4741.0
610.0, -500.0, -664.0, 13.0, -10.0, -23.0, 2327.0, -1577.0, -4741.0
610.0, -502.0, -664.0, 12.0, -10.0, -22.0, 2327.0, -1577.0, -4741.0
610.0, -504.0, -663.0, 11.0, -9.0, -22.0, 2327.0, -1577.0, -4741.0
609.0, -504.0, -662.0, 11.0, -9.0, -21.0, 2327.0, -1577.0, -4741.0
608.0, -508.0, -663.0, 10.0, -9.0, -20.0, 2327.0, -1577.0, -4741.0
607.0, -511.0, -663.0, 10.0, -9.0, -20.0, 2327.0, -1577.0, -4741.0
605.0, -513.0, -663.0, 9.0, -8.0, -19.0, 2327.0, -1577.0, -4741.0
604.0, -514.0, -663.0, 9.0, -8.0, -18.0, 2327.0, -1577.0, -4741.0
604.0, -514.0, -663.0, 9.0, -8.0, -18.0, 2309.0, -1664.0, -4654.0
604.0, -515.0, -662.0, 8.0, -8.0, -17.0, 2309.0, -1664.0, -4654.0
603.0, -517.0, -661.0, 7.0, -7.0, -17.0, 2309.0, -1664.0, -4654.0
603.0, -518.0, -660.0, 7.0, -7.0, -16.0, 2309.0, -1664.0, -4654.0
602.0, -519.0, -659.0, 6.0, -7.0, -15.0, 2309.0, -1664.0, -4654.0
602.0, -521.0, -658.0, 6.0, -7.0, -15.0, 2309.0, -1664.0, -4654.0
601.0, -524.0, -657.0, 5.0, -6.0, -14.0, 2309.0, -1664.0, -4654.0
599.0, -527.0, -655.0, 5.0, -6.0, -13.0, 2309.0, -1664.0, -4654.0
599.0, -528.0, -653.0, 4.0, -6.0, -12.0, 2309.0, -1664.0, -4654.0
598.0, -527.0, -652.0, 4.0, -6.0, -12.0, 2309.0, -1664.0, -4654.0
