ax,ay,az,gx,gy,gz,mx,my,mz
688.0, -391.0, -641.0, -1.0, -1.0, 2.0, 3831.0, -1088.0, -4045.0
687.0, -391.0, -642.0, -1.0, -1.0, 2.0, 3831.0, -1088.0, -4045.0
687.0, -390.0, -642.0, -1.0, -1.0, 2.0, 3831.0, -1088.0, -4045.0
687.0, -390.0, -642.0, -1.0, -1.0, 2.0, 3831.0, -1088.0, -4045.0
686.0, -390.0, -642.0, -1.0, -1.0, 1.0, 3831.0, -1088.0, -4045.0
686.0, -390.0, -641.0, -1.0, -1.0, 1.0, 3831.0, -1088.0, -4045.0
686.0, -390.0, -641.0, -1.0, -1.0, 1.0, 3831.0, -1088.0, -4045.0
686.0, -391.0, -641.0, -1.0, -1.0, 1.0, 3831.0, -1088.0, -4045.0
686.0, -391.0, -641.0, -1.0, -1.0, 1.0, 3831.0, -1088.0, -4045.0
685.0, -391.0, -640.0, -1.0, -1.0, 1.0, 3743.0, -966.0, -3888.0
685.0, -391.0, -640.0, -1.0, -1.0, 1.0, 3743.0, -966.0, -3888.0
685.0, -390.0, -640.0, -1.0, -1.0, 1.0, 3743.0, -966.0, -3888.0
684.0, -390.0, -639.0, -1.0, -1.0, 0.0, 3743.0, -966.0, -3888.0
684.0, -390.0, -639.0, -1.0, -1.0, 0.0, 3743.0, -966.0, -3888.0
684.0, -390.0, -639.0, -1.0, -1.0, 0.0, 3743.0, -966.0, -3888.0
685.0, -390.0, -638.0, -1.0, -1.0, 0.0, 3743.0, -966.0, -3888.0
685.0, -391.0, -638.0, -1.0, -1.0, 0.0, 3743.0, -966.0, -3888.0
685.0, -390.0, -638.0, -1.0, -1.0, 0.0, 3743.0, -966.0, -3888.0
685.0, -390.0, -637.0, -1.0, -1.0, 0.0, 3743.0, -966.0, -3888.0
685.0, -390.0, -638.0, -1.0, -1.0, 0.0, 3743.0, -966.0, -3888.0
685.0, -390.0, -639.0, -1.0, -1.0, 0.0, 3796.0, -1018.0, -3836.0
686.0, -391.0, -639.0, -1.0, -1.0, -1.0, 3796.0, -1018.0, -3836.0
686.0, -391.0, -639.0, -1.0, -1.0, -1.0, 3796.0, -1018.0, -3836.0
687.0, -390.0, -639.0, -1.0, -1.0, -1.0, 3796.0, -1018.0, -3836.0
687.0, -391.0, -639.0, -1.0, -1.0, -1.0, 3796.0, -1018.0, -3836.0
688.0, -391.0, -640.0, -1.0, -1.0, -1.0, 3796.0, -1018.0, -3836.0
689.0, -391.0, -640.0, -1.0, -1.0, -1.0, 3796.0, -1018.0, -3836.0
689.0, -391.0, -640.0, -1.0, -1.0, -1.0, 3796.0, -1018.0, -3836.0
689.0, -392.0, -640.0, -1.0, -1.0, -1.0, 3796.0, -1018.0, -3836.0
689.0, -391.0, -640.0, -1.0, -1.0, -1.0, 3796.0, -1018.0, -3836.0
690.0, -391.0, -640.0, -1.0, -1.0, -1.0, 3796.0, -1018.0, -3836.0
690.0, -390.0, -640.0, -1.0, 0.0, -1.0, 3796.0, -1018.0, -3836.0
690.0, -390.0, -640.0, -1.0, 0.0, -1.0, 3831.0, -1053.0, -3941.0
690.0, -389.0, -639.0, -1.0, 0.0, -1.0, 3831.0, -1053.0, -3941.0
689.0, -389.0, -639.0, -1.0, 0.0, -1.0, 3831.0, -1053.0, -3941.0
689.0, -388.0, -638.0, -1.0, 0.0, -1.0, 3831.0, -1053.0, -3941.0
689.0, -388.0, -638.0, -1.0, 0.0, -1.0, 3831.0, -1053.0, -3941.0
689.0, -388.0, -637.0, -1.0, 0.0, -1.0, 3831.0, -1053.0, -3941.0
688.0, -388.0, -637.0, -1.0, 0.0, -1.0, 3831.0, -1053.0, -3941.0
688.0, -389.0, -636.0, -1.0, 0.0, -1.0, 3831.0, -1053.0, -3941.0
688.0, -389.0, -635.0, -1.0, 0.0, -1.0, 3831.0, -1053.0, -3941.0
688.0, -390.0, -636.0, -1.0, 0.0, -1.0, 3831.0, -1053.0, -3941.0
688.0, -390.0, -636.0, -1.0, 0.0, -1.0, 3831.0, -1053.0, -3941.0
687.0, -390.0, -636.0, 0.0, -1.0, -1.0, 3621.0, -1088.0, -3941.0
