ax,ay,az,gx,gy,gz,mx,my,mz
974.0, -202.0, -264.0, -6.0, 15.0, 44.0, 4828.0, 780.0, -2462.0
974.0, -195.0, -270.0, -6.0, 14.0, 44.0, 4828.0, 780.0, -2462.0
975.0, -186.0, -277.0, -6.0, 14.0, 43.0, 4828.0, 780.0, -2462.0
975.0, -174.0, -286.0, -6.0, 13.0, 43.0, 4933.0, 710.0, -2392.0
974.0, -163.0, -294.0, -5.0, 12.0, 43.0, 4933.0, 710.0, -2392.0
973.0, -152.0, -302.0, -5.0, 10.0, 42.0, 4933.0, 710.0, -2392.0
972.0, -143.0, -310.0, -5.0, 9.0, 42.0, 4933.0, 710.0, -2392.0
970.0, -136.0, -316.0, -4.0, 8.0, 42.0, 4933.0, 710.0, -2392.0
969.0, -130.0, -321.0, -4.0, 6.0, 41.0, 4933.0, 710.0, -2392.0
967.0, -126.0, -325.0, -4.0, 4.0, 41.0, 4933.0, 710.0, -2392.0
967.0, -126.0, -325.0, -4.0, 4.0, 41.0, 4933.0, 710.0, -2392.0
965.0, -122.0, -329.0, -3.0, 2.0, 40.0, 4933.0, 710.0, -2392.0
963.0, -119.0, -332.0, -3.0, 0.0, 39.0, 4933.0, 710.0, -2392.0
962.0, -117.0, -336.0, -3.0, -2.0, 39.0, 4933.0, 710.0, -2392.0
960.0, -114.0, -340.0, -2.0, -4.0, 38.0, 4828.0, 710.0, -2427.0
958.0, -112.0, -344.0, -2.0, -6.0, 37.0, 4828.0, 710.0, -2427.0
956.0, -109.0, -348.0, -2.0, -8.0, 36.0, 4828.0, 710.0, -2427.0
954.0, -108.0, -352.0, -1.0, -11.0, 35.0, 4828.0, 710.0, -2427.0
951.0, -106.0, -356.0, -1.0, -13.0, 34.0, 4828.0, 710.0, -2427.0
949.0, -105.0, -360.0, -1.0, -15.0, 33.0, 4828.0, 710.0, -2427.0
949.0, -105.0, -360.0, -1.0, -15.0, 33.0, 4828.0, 710.0, -2427.0
947.0, -105.0, -363.0, 0.0, -17.0, 32.0, 4828.0, 710.0, -2427.0
946.0, -105.0, -366.0, 0.0, -19.0, 31.0, 4828.0, 710.0, -2427.0
945.0, -105.0, -368.0, 0.0, -21.0, 30.0, 4828.0, 710.0, -2427.0
944.0, -106.0, -370.0, 1.0, -22.0, 29.0, 4828.0, 710.0, -2427.0
943.0, -106.0, -373.0, 1.0, -24.0, 28.0, 4828.0, 780.0, -2462.0
942.0, -106.0, -375.0, 1.0, -26.0, 27.0, 4828.0, 780.0, -2462.0
941.0, -106.0, -377.0, 1.0, -28.0, 25.0, 4828.0, 780.0, -2462.0
940.0, -106.0, -378.0, 1.0, -30.0, 24.0, 4828.0, 780.0, -2462.0
940.0, -106.0, -379.0, 2.0, -32.0, 23.0, 4828.0, 780.0, -2462.0
940.0, -106.0, -379.0, 2.0, -34.0, 21.0, 4828.0, 780.0, -2462.0
940.0, -106.0, -379.0, 2.0, -34.0, 21.0, 4828.0, 780.0, -2462.0
939.0, -106.0, -380.0, 2.0, -35.0, 20.0, 4828.0, 780.0, -2462.0
940.0, -106.0, -380.0, 2.0, -37.0, 19.0, 4828.0, 780.0, -2462.0
941.0, -107.0, -379.0, 2.0, -39.0, 17.0, 4828.0, 780.0, -2462.0
942.0, -107.0, -378.0, 2.0, -41.0, 16.0, 4828.0, 780.0, -2462.0
942.0, -107.0, -379.0, 2.0, -43.0, 15.0, 4670.0, 692.0, -2409.0
943.0, -106.0, -378.0, 1.0, -46.0, 14.0, 4670.0, 692.0, -2409.0
943.0, -105.0, -376.0, 1.0, -48.0, 12.0, 4670.0, 692.0, -2409.0
944.0, -105.0, -375.0, 1.0, -50.0, 11.0, 4670.0, 692.0, -2409.0
944.0, -106.0, -374.0, 1.0, -52.0, 10.0, 4670.0, 692.0, -2409.0
944.0, -106.0, -375.0, 1.0, -54.0, 9.0, 4670.0, 692.0, -2409.0
944.0, -106.0, -375.0, 1.0, -54.0, 9.0, 4670.0, 692.0, -2409.0
943.0, -106.0, -377.0, 0.0, -56.0, 7.0, 4670.0, 692.0, -2409.0
942.0, -106.0, -378.0, 0.0, -58.0, 6.0, 4670.0, 692.0, -2409.0
941.0, -106.0, -379.0, 0.0, -60.0, 5.0, 4670.0, 692.0, -2409.0
940.0, -107.0, -380.0, -1.0, -61.0, 3.0, 4670.0, 692.0, -2409.0
940.0, -107.0, -382.0, -1.0, -62.0, 2.0, 4845.0, 762.0, -2409.0
939.0, -108.0, -383.0, -1.0, -63.0, 0.0, 4845.0, 762.0, -2409.0
939.0, -109.0, -384.0, -1.0, -64.0, -1.0, 4845.0, 762.0, -2409.0
939.0, -108.0, -385.0, -1.0, -65.0, -3.0, 4845.0, 762.0, -2409.0
939.0, -108.0, -386.0, -2.0, -66.0, -5.0, 4845.0, 762.0, -2409.0
939.0, -108.0, -386.0, -2.0, -66.0, -5.0, 4845.0, 762.0, -2409.0
939.0, -108.0, -387.0, -2.0, -66.0, -7.0, 4845.0, 762.0, -2409.0
939.0, -109.0, -387.0, -2.0, -67.0, -8.0, 4845.0, 762.0, -2409.0
939.0, -109.0, -387.0, -2.0, -68.0, -10.0, 4845.0, 762.0, -2409.0
938.0, -109.0, -387.0, -2.0, -69.0, -11.0, 4845.0, 762.0, -2409.0
938.0, -110.0, -388.0, -2.0, -70.0, -13.0, 4845.0, 762.0, -2409.0
937.0, -110.0, -388.0, -3.0, -71.0, -15.0, 4915.0, 657.0, -2479.0
936.0, -111.0, -389.0, -3.0, -72.0, -17.0, 4915.0, 657.0, -2479.0
935.0, -111.0, -390.0, -3.0, -72.0, -18.0, 4915.0, 657.0, -2479.0
934.0, -111.0, -392.0, -3.0, -73.0, -20.0, 4915.0, 657.0, -2479.0
933.0, -110.0, -395.0, -3.0, -74.0, -22.0, 4915.0, 657.0, -2479.0
933.0, -110.0, -395.0, -3.0, -74.0, -22.0, 4915.0, 657.0, -2479.0
932.0, -110.0, -397.0, -3.0, -74.0, -23.0, 4915.0, 657.0, -2479.0
932.0, -109.0, -398.0, -3.0, -75.0, -25.0, 4915.0, 657.0, -2479.0
931.0, -109.0, -401.0, -3.0, -76.0, -27.0, 4915.0, 657.0, -2479.0
930.0, -109.0, -402.0, -3.0, -76.0, -29.0, 4915.0, 657.0, -2479.0
929.0, -110.0, -403.0, -3.0, -77.0, -31.0, 4915.0, 657.0, -2479.0
929.0, -109.0, -405.0, -3.0, -77.0, -32.0, 4705.0, 832.0, -2618.0
929.0, -108.0, -408.0, -3.0, -78.0, -34.0, 4705.0, 832.0, -2618.0
928.0, -108.0, -410.0, -3.0, -78.0, -36.0, 4705.0, 832.0, -2618.0
928.0, -108.0, -411.0, -2.0, -79.0, -38.0, 4705.0, 832.0, -2618.0
927.0, -107.0, -413.0, -2.0, -79.0, -39.0, 4705.0, 832.0, -2618.0
927.0, -107.0, -413.0, -2.0, -79.0, -39.0, 4705.0, 832.0, -2618.0
927.0, -106.0, -414.0, -2.0, -80.0, -41.0, 4705.0, 832.0, -2618.0
927.0, -105.0, -415.0, -2.0, -80.0, -43.0, 4705.0, 832.0, -2618.0
927.0, -105.0, -417.0, -2.0, -81.0, -45.0, 4705.0, 832.0, -2618.0
926.0, -104.0, -419.0, -1.0, -82.0, -46.0, 4705.0, 832.0, -2618.0
926.0, -104.0, -419.0, -1.0, -82.0, -48.0, 4705.0, 832.0, -2618.0
927.0, -103.0, -419.0, -1.0, -83.0, -50.0, 4705.0, 832.0, -2618.0
927.0, -102.0, -419.0, 0.0, -83.0, -52.0, 4705.0, 832.0, -2618.0
926.0, -100.0, -419.0, 0.0, -84.0, -53.0, 4705.0, 832.0, -2618.0
927.0, -100.0, -418.0, 0.0, -84.0, -55.0, 4705.0, 832.0, -2618.0
927.0, -99.0, -418.0, 1.0, -85.0, -57.0, 4705.0, 832.0, -2618.0
927.0, -98.0, -418.0, 1.0, -86.0, -58.0, 4705.0, 832.0, -2618.0
927.0, -98.0, -418.0, 1.0, -86.0, -58.0, 4705.0, 832.0, -2618.0
927.0, -98.0, -417.0, 2.0, -86.0, -60.0, 4705.0, 832.0, -2618.0
