ax,ay,az,gx,gy,gz,mx,my,mz
543.0, -353.0, -830.0, -17.0, -3.0, -27.0, 4373.0, 46.0, -3297.0
542.0, -347.0, -831.0, -17.0, -3.0, -27.0, 4373.0, 46.0, -3297.0
542.0, -344.0, -832.0, -18.0, -4.0, -27.0, 4373.0, 46.0, -3297.0
543.0, -344.0, -835.0, -18.0, -4.0, -27.0, 4373.0, 46.0, -3297.0
542.0, -344.0, -838.0, -18.0, -5.0, -27.0, 4373.0, 46.0, -3297.0
542.0, -344.0, -838.0, -18.0, -5.0, -27.0, 4216.0, 169.0, -3349.0
539.0, -341.0, -841.0, -18.0, -6.0, -27.0, 4216.0, 169.0, -3349.0
534.0, -338.0, -841.0, -18.0, -7.0, -27.0, 4216.0, 169.0, -3349.0
531.0, -336.0, -841.0, -18.0, -8.0, -26.0, 4216.0, 169.0, -3349.0
529.0, -334.0, -845.0, -18.0, -9.0, -26.0, 4216.0, 169.0, -3349.0
528.0, -334.0, -854.0, -17.0, -10.0, -26.0, 4216.0, 169.0, -3349.0
528.0, -333.0, -859.0, -18.0, -10.0, -26.0, 4216.0, 169.0, -3349.0
529.0, -333.0, -858.0, -18.0, -10.0, -26.0, 4216.0, 169.0, -3349.0
530.0, -331.0, -852.0, -18.0, -10.0, -26.0, 4216.0, 169.0, -3349.0
533.0, -329.0, -845.0, -18.0, -11.0, -27.0, 4216.0, 169.0, -3349.0
536.0, -325.0, -838.0, -18.0, -11.0, -27.0, 4443.0, 169.0, -3349.0
539.0, -320.0, -832.0, -19.0, -11.0, -27.0, 4443.0, 151.0, -3540.0
539.0, -320.0, -832.0, -19.0, -11.0, -27.0, 4443.0, 151.0, -3540.0
544.0, -312.0, -825.0, -19.0, -12.0, -28.0, 4443.0, 151.0, -3540.0
549.0, -303.0, -818.0, -19.0, -12.0, -28.0, 4443.0, 151.0, -3540.0
554.0, -293.0, -813.0, -19.0, -13.0, -28.0, 4443.0, 151.0, -3540.0
558.0, -285.0, -808.0, -19.0, -13.0, -28.0, 4443.0, 151.0, -3540.0
563.0, -278.0, -803.0, -19.0, -13.0, -28.0, 4443.0, 151.0, -3540.0
568.0, -272.0, -797.0, -19.0, -13.0, -28.0, 4443.0, 151.0, -3540.0
573.0, -268.0, -792.0, -19.0, -13.0, -29.0, 4443.0, 151.0, -3540.0
578.0, -264.0, -787.0, -19.0, -13.0, -29.0, 4443.0, 151.0, -3540.0
583.0, -260.0, -782.0, -19.0, -13.0, -29.0, 4391.0, -6.0, -3314.0
589.0, -256.0, -778.0, -19.0, -12.0, -29.0, 4391.0, -6.0, -3314.0
593.0, -254.0, -773.0, -19.0, -12.0, -29.0, 4391.0, -6.0, -3314.0
593.0, -254.0, -773.0, -19.0, -12.0, -29.0, 4391.0, -6.0, -3314.0
597.0, -252.0, -770.0, -19.0, -11.0, -29.0, 4391.0, -6.0, -3314.0
601.0, -250.0, -767.0, -18.0, -11.0, -29.0, 4391.0, -6.0, -3314.0
604.0, -250.0, -765.0, -18.0, -10.0, -29.0, 4391.0, -6.0, -3314.0
607.0, -250.0, -763.0, -18.0, -9.0, -29.0, 4391.0, -6.0, -3314.0
609.0, -250.0, -763.0, -18.0, -9.0, -30.0, 4391.0, -6.0, -3314.0
612.0, -250.0, -764.0, -18.0, -8.0, -30.0, 4391.0, -6.0, -3314.0
614.0, -249.0, -765.0, -18.0, -7.0, -30.0, 4391.0, -6.0, -3314.0
617.0, -249.0, -764.0, -18.0, -6.0, -31.0, 4286.0, 204.0, -3523.0
620.0, -249.0, -764.0, -18.0, -5.0, -31.0, 4286.0, 204.0, -3523.0
623.0, -248.0, -764.0, -18.0, -4.0, -31.0, 4286.0, 204.0, -3523.0
623.0, -248.0, -764.0, -18.0, -4.0, -31.0, 4286.0, 204.0, -3523.0
625.0, -248.0, -763.0, -18.0, -3.0, -32.0, 4286.0, 204.0, -3523.0
628.0, -249.0, -763.0, -18.0, -2.0, -32.0, 4286.0, 204.0, -3523.0
630.0, -249.0, -762.0, -18.0, 0.0, -32.0, 4286.0, 204.0, -3523.0
632.0, -249.0, -762.0, -19.0, 1.0, -33.0, 4286.0, 204.0, -3523.0
634.0, -250.0, -762.0, -19.0, 2.0, -33.0, 4286.0, 204.0, -3523.0
636.0, -250.0, -761.0, -19.0, 3.0, -34.0, 4286.0, 204.0, -3523.0
637.0, -251.0, -761.0, -19.0, 4.0, -34.0, 4286.0, 204.0, -3523.0
638.0, -252.0, -761.0, -19.0, 5.0, -35.0, 4198.0, 81.0, -3506.0
639.0, -253.0, -761.0, -19.0, 7.0, -35.0, 4198.0, 81.0, -3506.0
640.0, -254.0, -762.0, -19.0, 8.0, -36.0, 4198.0, 81.0, -3506.0
640.0, -254.0, -762.0, -19.0, 8.0, -36.0, 4198.0, 81.0, -3506.0
641.0, -254.0, -762.0, -19.0, 9.0, -37.0, 4198.0, 81.0, -3506.0
643.0, -254.0, -762.0, -19.0, 11.0, -38.0, 4198.0, 81.0, -3506.0
644.0, -254.0, -761.0, -19.0, 12.0, -39.0, 4198.0, 81.0, -3506.0
645.0, -254.0, -761.0, -19.0, 14.0, -39.0, 4198.0, 81.0, -3506.0
646.0, -253.0, -761.0, -19.0, 15.0, -40.0, 4198.0, 81.0, -3506.0
648.0, -253.0, -761.0, -19.0, 17.0, -41.0, 4198.0, 81.0, -3506.0
649.0, -252.0, -760.0, -19.0, 19.0, -42.0, 4198.0, 81.0, -3506.0
650.0, -251.0, -760.0, -19.0, 20.0, -43.0, 4251.0, 238.0, -3245.0
652.0, -249.0, -759.0, -19.0, 22.0, -44.0, 4251.0, 238.0, -3245.0
654.0, -247.0, -758.0, -19.0, 23.0, -45.0, 4251.0, 238.0, -3245.0
654.0, -247.0, -758.0, -19.0, 23.0, -45.0, 4251.0, 238.0, -3245.0
655.0, -245.0, -757.0, -19.0, 24.0, -46.0, 4251.0, 238.0, -3245.0
657.0, -244.0, -756.0, -19.0, 26.0, -46.0, 4251.0, 238.0, -3245.0
