ax,ay,az,gx,gy,gz,mx,my,mz
789.0, -44.0, -650.0, 3.0, 7.0, 7.0, 4251.0, 1041.0, -3245.0
789.0, -45.0, -650.0, 3.0, 7.0, 7.0, 4251.0, 1041.0, -3245.0
789.0, -45.0, -649.0, 3.0, 7.0, 7.0, 4251.0, 1041.0, -3245.0
788.0, -45.0, -649.0, 3.0, 7.0, 6.0, 4373.0, 954.0, -3123.0
788.0, -45.0, -648.0, 3.0, 8.0, 6.0, 4373.0, 954.0, -3123.0
788.0, -45.0, -648.0, 3.0, 8.0, 6.0, 4373.0, 954.0, -3123.0
788.0, -45.0, -648.0, 3.0, 8.0, 6.0, 4373.0, 954.0, -3123.0
788.0, -45.0, -649.0, 3.0, 8.0, 5.0, 4373.0, 954.0, -3123.0
788.0, -44.0, -649.0, 3.0, 8.0, 5.0, 4373.0, 954.0, -3123.0
787.0, -44.0, -649.0, 3.0, 8.0, 5.0, 4373.0, 954.0, -3123.0
787.0, -44.0, -649.0, 3.0, 9.0, 4.0, 4373.0, 954.0, -3123.0
788.0, -43.0, -648.0, 3.0, 9.0, 4.0, 4373.0, 954.0, -3123.0
788.0, -43.0, -647.0, 3.0, 9.0, 4.0, 4373.0, 954.0, -3123.0
788.0, -43.0, -647.0, 3.0, 9.0, 4.0, 4373.0, 954.0, -3123.0
788.0, -43.0, -647.0, 3.0, 9.0, 4.0, 4373.0, 954.0, -3123.0
789.0, -43.0, -648.0, 3.0, 9.0, 3.0, 4163.0, 1024.0, -3158.0
789.0, -43.0, -648.0, 3.0, 9.0, 3.0, 4163.0, 1024.0, -3158.0
790.0, -43.0, -649.0, 3.0, 9.0, 3.0, 4163.0, 1024.0, -3158.0
790.0, -43.0, -649.0, 3.0, 9.0, 3.0, 4163.0, 1024.0, -3158.0
790.0, -43.0, -650.0, 3.0, 9.0, 3.0, 4163.0, 1024.0, -3158.0
791.0, -43.0, -651.0, 3.0, 9.0, 2.0, 4163.0, 1024.0, -3158.0
791.0, -43.0, -650.0, 3.0, 10.0, 2.0, 4163.0, 1024.0, -3158.0
792.0, -44.0, -649.0, 3.0, 10.0, 2.0, 4163.0, 1024.0, -3158.0
792.0, -44.0, -649.0, 3.0, 10.0, 2.0, 4163.0, 1024.0, -3158.0
792.0, -44.0, -649.0, 2.0, 10.0, 2.0, 4163.0, 1024.0, -3158.0
