ax,ay,az,gx,gy,gz,mx,my,mz
765.0, -80.0, -665.0, 0.0, -49.0, 0.0, 4251.0, 1076.0, -2966.0
778.0, -82.0, -663.0, -2.0, -48.0, 0.0, 4251.0, 1076.0, -2966.0
778.0, -82.0, -652.0, -4.0, -48.0, -1.0, 4251.0, 1076.0, -2966.0
772.0, -79.0, -631.0, -6.0, -48.0, -1.0, 4251.0, 1076.0, -2966.0
795.0, -62.0, -631.0, -8.0, -45.0, -2.0, 4251.0, 1076.0, -2966.0
795.0, -62.0, -631.0, -8.0, -45.0, -2.0, 4251.0, 1076.0, -2966.0
823.0, -48.0, -645.0, -10.0, -41.0, -3.0, 4251.0, 1076.0, -2966.0
812.0, -56.0, -632.0, -10.0, -40.0, -2.0, 4251.0, 1076.0, -2966.0
802.0, -69.0, -614.0, -10.0, -40.0, -2.0, 4286.0, 1251.0, -2792.0
820.0, -62.0, -621.0, -12.0, -39.0, -2.0, 4286.0, 1251.0, -2792.0
832.0, -32.0, -626.0, -15.0, -36.0, -2.0, 4286.0, 1251.0, -2792.0
829.0, -25.0, -617.0, -15.0, -36.0, -1.0, 4286.0, 1251.0, -2792.0
813.0, -45.0, -603.0, -15.0, -37.0, -1.0, 4286.0, 1251.0, -2792.0
815.0, -52.0, -598.0, -15.0, -36.0, 0.0, 4286.0, 1251.0, -2792.0
848.0, -31.0, -613.0, -17.0, -32.0, 0.0, 4286.0, 1251.0, -2792.0
845.0, -12.0, -609.0, -18.0, -30.0, 0.0, 4286.0, 1251.0, -2792.0
845.0, -12.0, -609.0, -18.0, -30.0, 0.0, 4286.0, 1251.0, -2792.0
825.0, -23.0, -589.0, -18.0, -31.0, 1.0, 4286.0, 1251.0, -2792.0
831.0, -32.0, -593.0, -18.0, -32.0, 1.0, 4286.0, 1251.0, -2792.0
840.0, -22.0, -598.0, -19.0, -29.0, 1.0, 4216.0, 1181.0, -2862.0
841.0, -14.0, -591.0, -20.0, -27.0, 2.0, 4216.0, 1181.0, -2862.0
831.0, -15.0, -580.0, -20.0, -27.0, 2.0, 4216.0, 1181.0, -2862.0
828.0, -12.0, -570.0, -20.0, -25.0, 2.0, 4216.0, 1181.0, -2862.0
852.0, 2.0, -580.0, -20.0, -22.0, 1.0, 4216.0, 1181.0, -2862.0
857.0, 12.0, -590.0, -19.0, -20.0, 1.0, 4216.0, 1181.0, -2862.0
845.0, 10.0, -594.0, -18.0, -22.0, 1.0, 4216.0, 1181.0, -2862.0
830.0, 1.0, -592.0, -17.0, -24.0, 1.0, 4216.0, 1181.0, -2862.0
830.0, 1.0, -592.0, -17.0, -24.0, 1.0, 4216.0, 1181.0, -2862.0
827.0, 5.0, -598.0, -16.0, -25.0, 1.0, 4216.0, 1181.0, -2862.0
829.0, 3.0, -596.0, -16.0, -23.0, 1.0, 4216.0, 1181.0, -2862.0
821.0, -9.0, -580.0, -15.0, -22.0, 1.0, 4268.0, 1094.0, -2984.0
831.0, -17.0, -577.0, -15.0, -19.0, 1.0, 4268.0, 1094.0, -2984.0
836.0, -23.0, -574.0, -15.0, -17.0, 2.0, 4268.0, 1094.0, -2984.0
842.0, -17.0, -572.0, -15.0, -15.0, 2.0, 4268.0, 1094.0, -2984.0
852.0, -8.0, -577.0, -16.0, -13.0, 1.0, 4268.0, 1094.0, -2984.0
852.0, 3.0, -589.0, -15.0, -12.0, 1.0, 4268.0, 1094.0, -2984.0
848.0, 19.0, -601.0, -14.0, -12.0, 1.0, 4268.0, 1094.0, -2984.0
848.0, 19.0, -601.0, -14.0, -12.0, 1.0, 4268.0, 1094.0, -2984.0
841.0, 22.0, -606.0, -12.0, -13.0, 1.0, 4268.0, 1094.0, -2984.0
824.0, 2.0, -603.0, -10.0, -14.0, 1.0, 4268.0, 1094.0, -2984.0
812.0, -20.0, -595.0, -9.0, -14.0, 1.0, 4268.0, 1094.0, -2984.0
827.0, -22.0, -599.0, -9.0, -11.0, 1.0, 4321.0, 1181.0, -2862.0
