ax,ay,az,gx,gy,gz,mx,my,mz
808.0, 85.0, -660.0, 1.0, 8.0, 3.0, 4093.0, 1513.0, -2949.0
808.0, 80.0, -661.0, 1.0, 9.0, 3.0, 4093.0, 1513.0, -2949.0
808.0, 75.0, -663.0, 1.0, 8.0, 3.0, 4093.0, 1513.0, -2949.0
808.0, 69.0, -666.0, 1.0, 8.0, 2.0, 4093.0, 1513.0, -2949.0
809.0, 63.0, -668.0, 1.0, 8.0, 2.0, 4093.0, 1513.0, -2949.0
809.0, 57.0, -671.0, 1.0, 8.0, 2.0, 4093.0, 1513.0, -2949.0
809.0, 52.0, -673.0, 1.0, 8.0, 2.0, 4093.0, 1513.0, -2949.0
810.0, 47.0, -675.0, 1.0, 8.0, 3.0, 4093.0, 1513.0, -2949.0
811.0, 42.0, -678.0, 1.0, 8.0, 3.0, 4093.0, 1513.0, -2949.0
811.0, 42.0, -678.0, 1.0, 8.0, 3.0, 4006.0, 1565.0, -3175.0
812.0, 39.0, -680.0, 1.0, 7.0, 3.0, 4006.0, 1565.0, -3175.0
813.0, 36.0, -683.0, 1.0, 7.0, 3.0, 4006.0, 1565.0, -3175.0
813.0, 35.0, -684.0, 1.0, 7.0, 4.0, 4006.0, 1565.0, -3175.0
814.0, 34.0, -685.0, 1.0, 6.0, 4.0, 4006.0, 1565.0, -3175.0
814.0, 35.0, -686.0, 1.0, 6.0, 5.0, 4006.0, 1565.0, -3175.0
815.0, 35.0, -686.0, 1.0, 6.0, 5.0, 4006.0, 1565.0, -3175.0
816.0, 36.0, -688.0, 1.0, 5.0, 5.0, 4006.0, 1565.0, -3175.0
816.0, 38.0, -688.0, 0.0, 5.0, 6.0, 4006.0, 1565.0, -3175.0
816.0, 38.0, -688.0, 0.0, 5.0, 6.0, 4006.0, 1565.0, -3175.0
816.0, 41.0, -687.0, 0.0, 5.0, 6.0, 4006.0, 1565.0, -3175.0
816.0, 44.0, -685.0, 0.0, 4.0, 6.0, 3953.0, 1582.0, -3192.0
816.0, 47.0, -684.0, 0.0, 4.0, 6.0, 3953.0, 1582.0, -3192.0
815.0, 51.0, -682.0, 0.0, 3.0, 7.0, 3953.0, 1582.0, -3192.0
814.0, 53.0, -679.0, 0.0, 3.0, 7.0, 3953.0, 1582.0, -3192.0
814.0, 56.0, -677.0, 0.0, 3.0, 7.0, 3953.0, 1582.0, -3192.0
813.0, 58.0, -675.0, 0.0, 2.0, 7.0, 3953.0, 1582.0, -3192.0
813.0, 60.0, -674.0, 0.0, 2.0, 7.0, 3953.0, 1582.0, -3192.0
813.0, 60.0, -674.0, 0.0, 2.0, 7.0, 3953.0, 1582.0, -3192.0
813.0, 63.0, -672.0, 0.0, 2.0, 7.0, 3953.0, 1582.0, -3192.0
813.0, 66.0, -670.0, 0.0, 2.0, 7.0, 3953.0, 1582.0, -3192.0
813.0, 70.0, -667.0, 0.0, 2.0, 7.0, 3953.0, 1582.0, -3192.0
813.0, 74.0, -664.0, 0.0, 1.0, 7.0, 3953.0, 1582.0, -3192.0
813.0, 79.0, -661.0, 0.0, 1.0, 7.0, 3953.0, 1582.0, -3192.0
813.0, 84.0, -657.0, 0.0, 1.0, 7.0, 3953.0, 1582.0, -3192.0
813.0, 88.0, -654.0, 0.0, 1.0, 7.0, 3953.0, 1582.0, -3192.0
812.0, 93.0, -650.0, 0.0, 1.0, 6.0, 3953.0, 1582.0, -3192.0
812.0, 93.0, -650.0, 0.0, 1.0, 6.0, 3953.0, 1582.0, -3192.0
811.0, 97.0, -646.0, 0.0, 1.0, 6.0, 3953.0, 1582.0, -3192.0
811.0, 101.0, -645.0, 0.0, 1.0, 6.0, 3953.0, 1582.0, -3192.0
810.0, 103.0, -643.0, 0.0, 1.0, 5.0, 3953.0, 1582.0, -3192.0
810.0, 105.0, -641.0, 0.0, 1.0, 5.0, 3953.0, 1582.0, -3192.0
809.0, 106.0, -640.0, 0.0, 1.0, 4.0, 3953.0, 1582.0, -3192.0
809.0, 105.0, -640.0, 0.0, 1.0, 4.0, 3953.0, 1582.0, -3192.0
809.0, 105.0, -640.0, 0.0, 1.0, 3.0, 3953.0, 1582.0, -3192.0
808.0, 104.0, -641.0, 1.0, 1.0, 3.0, 3953.0, 1582.0, -3192.0
808.0, 104.0, -641.0, 1.0, 1.0, 3.0, 3953.0, 1582.0, -3192.0
808.0, 103.0, -642.0, 1.0, 1.0, 2.0, 3953.0, 1582.0, -3192.0
807.0, 102.0, -643.0, 1.0, 2.0, 2.0, 3953.0, 1582.0, -3192.0
806.0, 100.0, -643.0, 1.0, 2.0, 2.0, 3953.0, 1582.0, -3192.0
806.0, 99.0, -644.0, 1.0, 2.0, 1.0, 3953.0, 1582.0, -3192.0
806.0, 98.0, -645.0, 1.0, 2.0, 1.0, 3953.0, 1582.0, -3192.0
805.0, 96.0, -646.0, 1.0, 2.0, 0.0, 3953.0, 1582.0, -3192.0
806.0, 96.0, -646.0, 1.0, 2.0, 0.0, 3953.0, 1582.0, -3192.0
806.0, 95.0, -647.0, 1.0, 2.0, 0.0, 3953.0, 1582.0, -3192.0
806.0, 95.0, -647.0, 1.0, 2.0, 0.0, 3953.0, 1582.0, -3192.0
806.0, 94.0, -647.0, 1.0, 2.0, -1.0, 4023.0, 1548.0, -3018.0
806.0, 93.0, -648.0, 1.0, 2.0, -1.0, 4023.0, 1548.0, -3018.0
806.0, 92.0, -648.0, 1.0, 2.0, -2.0, 4023.0, 1548.0, -3018.0
805.0, 91.0, -648.0, 1.0, 2.0, -2.0, 4023.0, 1548.0, -3018.0
804.0, 90.0, -648.0, 1.0, 2.0, -2.0, 4023.0, 1548.0, -3018.0
804.0, 89.0, -647.0, 2.0, 3.0, -3.0, 4023.0, 1548.0, -3018.0
804.0, 87.0, -648.0, 2.0, 3.0, -3.0, 4023.0, 1548.0, -3018.0
804.0, 86.0, -648.0, 2.0, 3.0, -4.0, 4023.0, 1548.0, -3018.0
804.0, 86.0, -648.0, 2.0, 3.0, -4.0, 4023.0, 1548.0, -3018.0
804.0, 84.0, -649.0, 2.0, 3.0, -4.0, 4023.0, 1548.0, -3018.0
803.0, 81.0, -649.0, 2.0, 3.0, -4.0, 4023.0, 1548.0, -3018.0
804.0, 79.0, -650.0, 2.0, 3.0, -5.0, 3971.0, 1495.0, -3071.0
804.0, 77.0, -651.0, 2.0, 3.0, -5.0, 3971.0, 1495.0, -3071.0
804.0, 75.0, -653.0, 2.0, 3.0, -5.0, 3971.0, 1495.0, -3071.0
804.0, 73.0, -655.0, 2.0, 3.0, -5.0, 3971.0, 1495.0, -3071.0
804.0, 71.0, -656.0, 1.0, 3.0, -5.0, 3971.0, 1495.0, -3071.0
804.0, 70.0, -658.0, 1.0, 3.0, -6.0, 3971.0, 1495.0, -3071.0
804.0, 70.0, -658.0, 1.0, 3.0, -6.0, 3971.0, 1495.0, -3071.0
803.0, 70.0, -660.0, 1.0, 3.0, -6.0, 3971.0, 1495.0, -3071.0
802.0, 70.0, -663.0, 1.0, 3.0, -6.0, 3971.0, 1495.0, -3071.0
802.0, 69.0, -665.0, 1.0, 3.0, -6.0, 3971.0, 1495.0, -3071.0
802.0, 68.0, -666.0, 1.0, 3.0, -6.0, 3971.0, 1495.0, -3071.0
802.0, 68.0, -668.0, 1.0, 2.0, -6.0, 4058.0, 1408.0, -3018.0
