ax,ay,az,gx,gy,gz,mx,my,mz
472.0, 102.0, -973.0, 14.0, 2.0, 1.0, 1959.0, 1757.0, -3993.0
471.0, 103.0, -971.0, 14.0, 2.0, 0.0, 1959.0, 1757.0, -3993.0
471.0, 102.0, -969.0, 14.0, 1.0, 0.0, 1959.0, 1757.0, -3993.0
470.0, 100.0, -967.0, 14.0, 1.0, 0.0, 1959.0, 1757.0, -3993.0
468.0, 99.0, -965.0, 14.0, 1.0, 0.0, 1959.0, 1757.0, -3993.0
467.0, 97.0, -963.0, 14.0, 0.0, 0.0, 2029.0, 1687.0, -4028.0
466.0, 96.0, -959.0, 14.0, 0.0, 0.0, 2029.0, 1687.0, -4028.0
465.0, 96.0, -956.0, 13.0, 0.0, 0.0, 2029.0, 1687.0, -4028.0
465.0, 96.0, -956.0, 13.0, 0.0, 0.0, 2029.0, 1687.0, -4028.0
464.0, 97.0, -953.0, 13.0, 0.0, 0.0, 2029.0, 1687.0, -4028.0
463.0, 98.0, -949.0, 13.0, 0.0, 0.0, 2029.0, 1687.0, -4028.0
462.0, 100.0, -946.0, 12.0, 0.0, 0.0, 2029.0, 1687.0, -4028.0
461.0, 102.0, -943.0, 12.0, 0.0, 0.0, 2029.0, 1687.0, -4028.0
461.0, 104.0, -940.0, 12.0, 0.0, 0.0, 2029.0, 1687.0, -4028.0
460.0, 105.0, -939.0, 11.0, 0.0, 0.0, 2029.0, 1687.0, -4028.0
459.0, 106.0, -937.0, 11.0, 0.0, 0.0, 2029.0, 1687.0, -4028.0
459.0, 107.0, -936.0, 11.0, 0.0, -1.0, 2187.0, 1740.0, -4028.0
459.0, 108.0, -934.0, 10.0, 0.0, -1.0, 2187.0, 1740.0, -4045.0
459.0, 108.0, -934.0, 10.0, 0.0, -1.0, 2187.0, 1740.0, -4045.0
458.0, 108.0, -933.0, 10.0, 0.0, -1.0, 2187.0, 1740.0, -4045.0
458.0, 108.0, -932.0, 9.0, 0.0, -1.0, 2187.0, 1740.0, -4045.0
457.0, 108.0, -931.0, 9.0, 0.0, -2.0, 2187.0, 1740.0, -4045.0
457.0, 107.0, -930.0, 8.0, 0.0, -2.0, 2187.0, 1740.0, -4045.0
456.0, 106.0, -928.0, 8.0, 0.0, -2.0, 2187.0, 1740.0, -4045.0
456.0, 105.0, -926.0, 7.0, 0.0, -2.0, 2187.0, 1740.0, -4045.0
455.0, 104.0, -925.0, 7.0, 0.0, -3.0, 2187.0, 1740.0, -4045.0
454.0, 103.0, -923.0, 6.0, 0.0, -3.0, 2187.0, 1740.0, -4045.0
454.0, 102.0, -921.0, 6.0, 0.0, -3.0, 2187.0, 1740.0, -4045.0
454.0, 102.0, -921.0, 6.0, 0.0, -3.0, 2274.0, 1862.0, -4028.0
453.0, 100.0, -920.0, 5.0, 1.0, -3.0, 2274.0, 1862.0, -4028.0
453.0, 99.0, -918.0, 4.0, 1.0, -3.0, 2274.0, 1862.0, -4028.0
452.0, 98.0, -916.0, 3.0, 1.0, -4.0, 2274.0, 1862.0, -4028.0
451.0, 97.0, -915.0, 3.0, 1.0, -4.0, 2274.0, 1862.0, -4028.0
451.0, 96.0, -913.0, 2.0, 1.0, -4.0, 2274.0, 1862.0, -4028.0
451.0, 96.0, -911.0, 1.0, 1.0, -4.0, 2274.0, 1862.0, -4028.0
450.0, 96.0, -910.0, 1.0, 1.0, -4.0, 2274.0, 1862.0, -4028.0
450.0, 96.0, -908.0, 0.0, 2.0, -5.0, 2274.0, 1862.0, -4028.0
