ax,ay,az,gx,gy,gz,mx,my,mz
520.0, -8.0, -890.0, -3.0, -3.0, -3.0, 2694.0, 989.0, -4202.0
520.0, -7.0, -890.0, -3.0, -3.0, -3.0, 2694.0, 989.0, -4202.0
520.0, -7.0, -889.0, -3.0, -3.0, -4.0, 2694.0, 989.0, -4202.0
521.0, -6.0, -889.0, -3.0, -3.0, -4.0, 2694.0, 989.0, -4202.0
521.0, -6.0, -889.0, -3.0, -3.0, -4.0, 2694.0, 989.0, -4202.0
521.0, -6.0, -889.0, -3.0, -2.0, -5.0, 2694.0, 989.0, -4202.0
522.0, -6.0, -889.0, -3.0, -2.0, -5.0, 2694.0, 989.0, -4202.0
522.0, -6.0, -888.0, -3.0, -2.0, -5.0, 2694.0, 989.0, -4202.0
522.0, -6.0, -888.0, -3.0, -2.0, -5.0, 2694.0, 989.0, -4202.0
523.0, -6.0, -888.0, -3.0, -2.0, -5.0, 2694.0, 989.0, -4202.0
523.0, -5.0, -888.0, -3.0, -2.0, -5.0, 2589.0, 1268.0, -4341.0
525.0, -3.0, -889.0, -3.0, -2.0, -5.0, 2589.0, 1268.0, -4341.0
525.0, -3.0, -889.0, -3.0, -2.0, -6.0, 2589.0, 1268.0, -4341.0
525.0, -3.0, -889.0, -3.0, -2.0, -6.0, 2589.0, 1268.0, -4341.0
525.0, -4.0, -888.0, -3.0, -2.0, -6.0, 2589.0, 1268.0, -4341.0
525.0, -5.0, -888.0, -2.0, -2.0, -6.0, 2589.0, 1268.0, -4341.0
525.0, -5.0, -888.0, -2.0, -2.0, -6.0, 2589.0, 1268.0, -4341.0
524.0, -6.0, -888.0, -2.0, -2.0, -6.0, 2589.0, 1268.0, -4341.0
525.0, -6.0, -889.0, -3.0, -2.0, -6.0, 2589.0, 1268.0, -4341.0
525.0, -7.0, -889.0, -3.0, -1.0, -6.0, 2589.0, 1268.0, -4341.0
525.0, -7.0, -890.0, -3.0, -1.0, -7.0, 2589.0, 1268.0, -4341.0
526.0, -7.0, -890.0, -3.0, -1.0, -7.0, 2711.0, 972.0, -4254.0
526.0, -7.0, -889.0, -3.0, -1.0, -7.0, 2711.0, 972.0, -4254.0
526.0, -7.0, -889.0, -3.0, -1.0, -7.0, 2711.0, 972.0, -4254.0
525.0, -7.0, -888.0, -3.0, -1.0, -7.0, 2711.0, 972.0, -4254.0
525.0, -7.0, -888.0, -3.0, -1.0, -7.0, 2711.0, 972.0, -4254.0
525.0, -6.0, -888.0, -3.0, 0.0, -8.0, 2711.0, 972.0, -4254.0
524.0, -6.0, -888.0, -3.0, 0.0, -8.0, 2711.0, 972.0, -4254.0
524.0, -7.0, -888.0, -3.0, 0.0, -8.0, 2711.0, 972.0, -4254.0
524.0, -7.0, -888.0, -3.0, 0.0, -8.0, 2711.0, 972.0, -4254.0
524.0, -6.0, -888.0, -3.0, 0.0, -8.0, 2711.0, 972.0, -4254.0
525.0, -6.0, -887.0, -3.0, 0.0, -8.0, 2711.0, 972.0, -4254.0
526.0, -5.0, -887.0, -3.0, 0.0, -8.0, 2711.0, 972.0, -4254.0
526.0, -5.0, -887.0, -3.0, 0.0, -8.0, 2746.0, 1216.0, -4254.0
526.0, -4.0, -888.0, -3.0, 0.0, -8.0, 2746.0, 1216.0, -4254.0
526.0, -4.0, -888.0, -3.0, 0.0, -8.0, 2746.0, 1216.0, -4254.0
525.0, -4.0, -887.0, -3.0, 0.0, -8.0, 2746.0, 1216.0, -4254.0
525.0, -4.0, -887.0, -3.0, 0.0, -8.0, 2746.0, 1216.0, -4254.0
525.0, -5.0, -888.0, -3.0, 0.0, -8.0, 2746.0, 1216.0, -4254.0
526.0, -6.0, -889.0, -3.0, 0.0, -8.0, 2746.0, 1216.0, -4254.0
525.0, -6.0, -889.0, -3.0, 0.0, -8.0, 2746.0, 1216.0, -4254.0
524.0, -6.0, -888.0, -3.0, 0.0, -8.0, 2746.0, 1216.0, -4254.0
524.0, -6.0, -888.0, -3.0, 0.0, -8.0, 2746.0, 1216.0, -4254.0
524.0, -6.0, -888.0, -4.0, 0.0, -8.0, 2746.0, 1216.0, -4254.0
524.0, -5.0, -889.0, -4.0, 0.0, -8.0, 2641.0, 1286.0, -4149.0
523.0, -4.0, -889.0, -4.0, 0.0, -8.0, 2641.0, 1286.0, -4149.0
523.0, -4.0, -889.0, -4.0, 0.0, -8.0, 2641.0, 1286.0, -4149.0
523.0, -4.0, -889.0, -4.0, -1.0, -8.0, 2641.0, 1286.0, -4149.0
523.0, -4.0, -889.0, -4.0, -1.0, -8.0, 2641.0, 1286.0, -4149.0
523.0, -4.0, -889.0, -4.0, -1.0, -8.0, 2641.0, 1286.0, -4149.0
523.0, -4.0, -889.0, -4.0, -1.0, -8.0, 2641.0, 1286.0, -4149.0
523.0, -4.0, -889.0, -4.0, -1.0, -8.0, 2641.0, 1286.0, -4149.0
523.0, -4.0, -890.0, -4.0, -1.0, -8.0, 2641.0, 1286.0, -4149.0
524.0, -3.0, -890.0, -4.0, -1.0, -8.0, 2641.0, 1286.0, -4149.0
524.0, -2.0, -889.0, -4.0, -1.0, -8.0, 2641.0, 1286.0, -4149.0
525.0, -1.0, -888.0, -4.0, -1.0, -8.0, 2764.0, 1233.0, -4202.0
525.0, -1.0, -888.0, -4.0, -1.0, -8.0, 2764.0, 1233.0, -4202.0
525.0, -1.0, -888.0, -4.0, -1.0, -7.0, 2764.0, 1233.0, -4202.0
525.0, -1.0, -888.0, -4.0, -1.0, -7.0, 2764.0, 1233.0, -4202.0
525.0, -1.0, -888.0, -4.0, -1.0, -7.0, 2764.0, 1233.0, -4202.0
524.0, -1.0, -887.0, -4.0, -1.0, -7.0, 2764.0, 1233.0, -4202.0
524.0, -1.0, -888.0, -4.0, -1.0, -7.0, 2764.0, 1233.0, -4202.0
525.0, -1.0, -888.0, -4.0, -1.0, -6.0, 2764.0, 1233.0, -4202.0
525.0, -1.0, -888.0, -4.0, -1.0, -6.0, 2764.0, 1233.0, -4202.0
525.0, -1.0, -889.0, -4.0, -1.0, -6.0, 2764.0, 1233.0, -4202.0
525.0, -1.0, -889.0, -4.0, -1.0, -6.0, 2764.0, 1233.0, -4202.0
525.0, -1.0, -890.0, -4.0, -1.0, -5.0, 2851.0, 1233.0, -4202.0
525.0, -1.0, -890.0, -4.0, -1.0, -5.0, 2851.0, 1286.0, -4219.0
525.0, -1.0, -890.0, -4.0, -1.0, -5.0, 2851.0, 1286.0, -4219.0
526.0, 0.0, -890.0, -4.0, -1.0, -5.0, 2851.0, 1286.0, -4219.0
526.0, 0.0, -890.0, -4.0, -1.0, -5.0, 2851.0, 1286.0, -4219.0
525.0, 1.0, -890.0, -4.0, -1.0, -4.0, 2851.0, 1286.0, -4219.0
525.0, 0.0, -891.0, -4.0, -1.0, -4.0, 2851.0, 1286.0, -4219.0
525.0, 0.0, -892.0, -5.0, -1.0, -4.0, 2851.0, 1286.0, -4219.0
524.0, 0.0, -893.0, -5.0, -1.0, -4.0, 2851.0, 1286.0, -4219.0
524.0, 1.0, -893.0, -5.0, -1.0, -3.0, 2851.0, 1286.0, -4219.0
524.0, 1.0, -893.0, -5.0, -1.0, -3.0, 2851.0, 1286.0, -4219.0
525.0, 1.0, -893.0, -4.0, -1.0, -3.0, 2851.0, 1286.0, -4219.0
525.0, 3.0, -892.0, -4.0, -1.0, -3.0, 2519.0, 1129.0, -4306.0
525.0, 4.0, -892.0, -4.0, -1.0, -3.0, 2519.0, 1129.0, -4306.0
525.0, 5.0, -892.0, -4.0, -1.0, -2.0, 2519.0, 1129.0, -4306.0
524.0, 6.0, -892.0, -4.0, -1.0, -2.0, 2519.0, 1129.0, -4306.0
524.0, 6.0, -892.0, -4.0, -1.0, -2.0, 2519.0, 1129.0, -4306.0
525.0, 6.0, -892.0, -4.0, -1.0, -1.0, 2519.0, 1129.0, -4306.0
525.0, 6.0, -892.0, -4.0, -1.0, -1.0, 2519.0, 1129.0, -4306.0
525.0, 6.0, -892.0, -3.0, -1.0, -1.0, 2519.0, 1129.0, -4306.0
524.0, 6.0, -894.0, -3.0, -1.0, -1.0, 2519.0, 1129.0, -4306.0
524.0, 6.0, -895.0, -3.0, -1.0, 0.0, 2519.0, 1129.0, -4306.0
524.0, 6.0, -895.0, -3.0, -2.0, 0.0, 2519.0, 1129.0, -4306.0
523.0, 6.0, -896.0, -3.0, -2.0, 0.0, 2554.0, 1303.0, -4202.0
523.0, 6.0, -895.0, -3.0, -1.0, 0.0, 2554.0, 1303.0, -4202.0
522.0, 7.0, -894.0, -2.0, -1.0, 1.0, 2554.0, 1303.0, -4202.0
522.0, 7.0, -893.0, -2.0, -1.0, 1.0, 2554.0, 1303.0, -4202.0
522.0, 7.0, -893.0, -2.0, -1.0, 1.0, 2554.0, 1303.0, -4202.0
522.0, 8.0, -893.0, -2.0, -1.0, 1.0, 2554.0, 1303.0, -4202.0
523.0, 8.0, -893.0, -2.0, -1.0, 1.0, 2554.0, 1303.0, -4202.0
523.0, 8.0, -892.0, -1.0, -1.0, 2.0, 2554.0, 1303.0, -4202.0
523.0, 7.0, -892.0, -1.0, -1.0, 2.0, 2554.0, 1303.0, -4202.0
524.0, 7.0, -893.0, -1.0, -1.0, 2.0, 2554.0, 1303.0, -4202.0
524.0, 7.0, -895.0, -1.0, -1.0, 2.0, 2554.0, 1303.0, -4202.0
523.0, 7.0, -895.0, 0.0, -1.0, 3.0, 2694.0, 1303.0, -4202.0
523.0, 7.0, -895.0, 0.0, -1.0, 3.0, 2694.0, 1164.0, -4132.0
522.0, 8.0, -895.0, 0.0, -1.0, 3.0, 2694.0, 1164.0, -4132.0
521.0, 8.0, -894.0, 0.0, -1.0, 3.0, 2694.0, 1164.0, -4132.0
520.0, 7.0, -893.0, 0.0, -1.0, 3.0, 2694.0, 1164.0, -4132.0
520.0, 6.0, -890.0, 1.0, -1.0, 3.0, 2694.0, 1164.0, -4132.0
521.0, 5.0, -888.0, 1.0, -1.0, 3.0, 2694.0, 1164.0, -4132.0
523.0, 6.0, -887.0, 1.0, -1.0, 4.0, 2694.0, 1164.0, -4132.0
525.0, 7.0, -887.0, 1.0, -1.0, 4.0, 2694.0, 1164.0, -4132.0
526.0, 7.0, -888.0, 1.0, -1.0, 4.0, 2694.0, 1164.0, -4132.0
526.0, 7.0, -888.0, 1.0, -1.0, 4.0, 2694.0, 1164.0, -4132.0
526.0, 7.0, -888.0, 1.0, -1.0, 4.0, 2694.0, 1164.0, -4132.0
525.0, 6.0, -889.0, 2.0, -1.0, 4.0, 2781.0, 1146.0, -4115.0
524.0, 5.0, -890.0, 2.0, -1.0, 4.0, 2781.0, 1146.0, -4115.0
523.0, 4.0, -890.0, 2.0, -1.0, 4.0, 2781.0, 1146.0, -4115.0
523.0, 3.0, -891.0, 2.0, -1.0, 4.0, 2781.0, 1146.0, -4115.0
522.0, 3.0, -891.0, 2.0, 0.0, 4.0, 2781.0, 1146.0, -4115.0
522.0, 3.0, -891.0, 2.0, 0.0, 4.0, 2781.0, 1146.0, -4115.0
522.0, 3.0, -891.0, 2.0, 0.0, 4.0, 2781.0, 1146.0, -4115.0
523.0, 4.0, -891.0, 2.0, 0.0, 4.0, 2781.0, 1146.0, -4115.0
523.0, 5.0, -890.0, 2.0, 0.0, 4.0, 2781.0, 1146.0, -4115.0
523.0, 6.0, -890.0, 2.0, 0.0, 4.0, 2781.0, 1146.0, -4115.0
524.0, 6.0, -889.0, 3.0, 0.0, 4.0, 2781.0, 1146.0, -4115.0
525.0, 5.0, -889.0, 3.0, 0.0, 5.0, 2746.0, 1181.0, -4219.0
527.0, 4.0, -887.0, 3.0, 0.0, 5.0, 2746.0, 1181.0, -4219.0
527.0, 3.0, -886.0, 3.0, 0.0, 5.0, 2746.0, 1181.0, -4219.0
527.0, 3.0, -886.0, 3.0, 0.0, 5.0, 2746.0, 1181.0, -4219.0
528.0, 2.0, -886.0, 3.0, 0.0, 5.0, 2746.0, 1181.0, -4219.0
528.0, 2.0, -888.0, 3.0, 0.0, 5.0, 2746.0, 1181.0, -4219.0
528.0, 2.0, -890.0, 3.0, 0.0, 5.0, 2746.0, 1181.0, -4219.0
526.0, 3.0, -891.0, 3.0, 0.0, 5.0, 2746.0, 1181.0, -4219.0
524.0, 3.0, -892.0, 3.0, 0.0, 5.0, 2746.0, 1181.0, -4219.0
523.0, 2.0, -891.0, 3.0, 0.0, 5.0, 2746.0, 1181.0, -4219.0
522.0, 1.0, -889.0, 3.0, 0.0, 5.0, 2746.0, 1181.0, -4219.0
522.0, 1.0, -889.0, 3.0, 0.0, 5.0, 2746.0, 1181.0, -4219.0
522.0, 0.0, -888.0, 3.0, 0.0, 5.0, 2746.0, 1181.0, -4219.0
523.0, 0.0, -887.0, 3.0, 0.0, 5.0, 2746.0, 1181.0, -4219.0
525.0, 1.0, -887.0, 2.0, 0.0, 5.0, 2746.0, 1181.0, -4219.0
527.0, 2.0, -888.0, 2.0, 0.0, 5.0, 2746.0, 1181.0, -4219.0
528.0, 3.0, -888.0, 2.0, 0.0, 5.0, 2746.0, 1181.0, -4219.0
