ax,ay,az,gx,gy,gz,mx,my,mz
715.0, -59.0, -731.0, 1.0, 4.0, 5.0, 3394.0, 710.0, -3923.0
715.0, -59.0, -731.0, 1.0, 4.0, 5.0, 3394.0, 710.0, -3923.0
715.0, -59.0, -731.0, 1.0, 4.0, 5.0, 3394.0, 710.0, -3923.0
715.0, -59.0, -731.0, 1.0, 4.0, 5.0, 3394.0, 710.0, -3923.0
715.0, -60.0, -731.0, 1.0, 4.0, 5.0, 3394.0, 710.0, -3923.0
715.0, -60.0, -731.0, 1.0, 4.0, 5.0, 3394.0, 710.0, -3923.0
715.0, -59.0, -731.0, 1.0, 4.0, 5.0, 3394.0, 710.0, -3923.0
715.0, -59.0, -732.0, 1.0, 3.0, 5.0, 3394.0, 710.0, -3923.0
716.0, -59.0, -733.0, 1.0, 3.0, 5.0, 3586.0, 832.0, -3836.0
717.0, -59.0, -734.0, 1.0, 3.0, 5.0, 3586.0, 832.0, -3836.0
718.0, -58.0, -735.0, 1.0, 3.0, 5.0, 3586.0, 832.0, -3836.0
718.0, -58.0, -735.0, 1.0, 3.0, 5.0, 3586.0, 832.0, -3836.0
719.0, -59.0, -735.0, 1.0, 3.0, 5.0, 3586.0, 832.0, -3836.0
718.0, -59.0, -735.0, 1.0, 3.0, 5.0, 3586.0, 832.0, -3836.0
718.0, -59.0, -735.0, 1.0, 3.0, 5.0, 3586.0, 832.0, -3836.0
719.0, -59.0, -736.0, 1.0, 3.0, 5.0, 3586.0, 832.0, -3836.0
719.0, -59.0, -736.0, 1.0, 3.0, 5.0, 3586.0, 832.0, -3836.0
719.0, -60.0, -736.0, 1.0, 3.0, 5.0, 3586.0, 832.0, -3836.0
719.0, -60.0, -736.0, 1.0, 3.0, 5.0, 3586.0, 832.0, -3836.0
719.0, -60.0, -735.0, 1.0, 3.0, 5.0, 3499.0, 849.0, -3958.0
718.0, -61.0, -736.0, 1.0, 3.0, 5.0, 3499.0, 849.0, -3958.0
718.0, -61.0, -736.0, 1.0, 3.0, 5.0, 3499.0, 849.0, -3958.0
718.0, -61.0, -736.0, 1.0, 3.0, 5.0, 3499.0, 849.0, -3958.0
718.0, -61.0, -736.0, 1.0, 3.0, 5.0, 3499.0, 849.0, -3958.0
717.0, -61.0, -735.0, 1.0, 3.0, 5.0, 3499.0, 849.0, -3958.0
717.0, -61.0, -735.0, 1.0, 3.0, 4.0, 3499.0, 849.0, -3958.0
716.0, -61.0, -735.0, 0.0, 3.0, 4.0, 3499.0, 849.0, -3958.0
716.0, -60.0, -734.0, 0.0, 3.0, 4.0, 3499.0, 849.0, -3958.0
716.0, -60.0, -734.0, 0.0, 3.0, 4.0, 3499.0, 849.0, -3958.0
716.0, -59.0, -733.0, 0.0, 3.0, 4.0, 3499.0, 849.0, -3958.0
716.0, -59.0, -732.0, 0.0, 3.0, 4.0, 3499.0, 849.0, -3958.0
716.0, -59.0, -732.0, 0.0, 3.0, 4.0, 3499.0, 849.0, -3993.0
716.0, -59.0, -732.0, 0.0, 3.0, 4.0, 3499.0, 849.0, -3993.0
716.0, -59.0, -732.0, 0.0, 3.0, 4.0, 3499.0, 849.0, -3993.0
715.0, -58.0, -732.0, 0.0, 3.0, 3.0, 3499.0, 849.0, -3993.0
715.0, -57.0, -731.0, 0.0, 3.0, 3.0, 3499.0, 849.0, -3993.0
715.0, -57.0, -731.0, 0.0, 3.0, 3.0, 3499.0, 849.0, -3993.0
715.0, -57.0, -732.0, -1.0, 3.0, 3.0, 3499.0, 849.0, -3993.0
715.0, -57.0, -732.0, -1.0, 3.0, 3.0, 3499.0, 849.0, -3993.0
715.0, -57.0, -732.0, -1.0, 3.0, 3.0, 3499.0, 849.0, -3993.0
715.0, -57.0, -732.0, -1.0, 3.0, 3.0, 3499.0, 849.0, -3993.0
715.0, -57.0, -732.0, -1.0, 3.0, 3.0, 3499.0, 849.0, -3993.0
715.0, -57.0, -732.0, -1.0, 4.0, 3.0, 3464.0, 919.0, -3749.0
715.0, -57.0, -732.0, -1.0, 4.0, 3.0, 3464.0, 919.0, -3749.0
716.0, -57.0, -732.0, -1.0, 4.0, 3.0, 3464.0, 919.0, -3749.0
716.0, -57.0, -732.0, -1.0, 4.0, 3.0, 3464.0, 919.0, -3749.0
716.0, -57.0, -732.0, -1.0, 4.0, 4.0, 3464.0, 919.0, -3749.0
716.0, -57.0, -732.0, -1.0, 4.0, 4.0, 3464.0, 919.0, -3749.0
715.0, -57.0, -733.0, -1.0, 4.0, 4.0, 3464.0, 919.0, -3749.0
715.0, -57.0, -733.0, -1.0, 4.0, 4.0, 3464.0, 919.0, -3749.0
715.0, -58.0, -733.0, -1.0, 4.0, 4.0, 3464.0, 919.0, -3749.0
716.0, -58.0, -735.0, -1.0, 5.0, 4.0, 3464.0, 919.0, -3749.0
716.0, -59.0, -736.0, -1.0, 5.0, 4.0, 3464.0, 919.0, -3749.0
716.0, -60.0, -736.0, -1.0, 5.0, 4.0, 3464.0, 919.0, -3749.0
716.0, -60.0, -736.0, -1.0, 5.0, 4.0, 3464.0, 919.0, -3749.0
717.0, -60.0, -736.0, -1.0, 5.0, 4.0, 3464.0, 919.0, -3749.0
718.0, -60.0, -736.0, -1.0, 5.0, 4.0, 3464.0, 919.0, -3749.0
718.0, -60.0, -736.0, -1.0, 5.0, 4.0, 3464.0, 919.0, -3749.0
718.0, -60.0, -736.0, -1.0, 6.0, 4.0, 3464.0, 919.0, -3749.0
718.0, -60.0, -736.0, -1.0, 6.0, 4.0, 3464.0, 919.0, -3749.0
717.0, -61.0, -737.0, -1.0, 6.0, 4.0, 3464.0, 919.0, -3749.0
717.0, -61.0, -737.0, -1.0, 6.0, 4.0, 3464.0, 919.0, -3749.0
717.0, -61.0, -737.0, -1.0, 6.0, 4.0, 3464.0, 919.0, -3749.0
717.0, -61.0, -736.0, -1.0, 6.0, 4.0, 3464.0, 919.0, -3749.0
717.0, -60.0, -736.0, -1.0, 6.0, 3.0, 3464.0, 919.0, -3749.0
717.0, -60.0, -736.0, -1.0, 6.0, 3.0, 3464.0, 919.0, -3749.0
717.0, -60.0, -736.0, -1.0, 6.0, 3.0, 3464.0, 919.0, -3749.0
717.0, -60.0, -736.0, -1.0, 6.0, 3.0, 3464.0, 919.0, -3749.0
717.0, -60.0, -735.0, 0.0, 6.0, 3.0, 3464.0, 919.0, -3749.0
717.0, -60.0, -735.0, 0.0, 6.0, 3.0, 3464.0, 919.0, -3749.0
718.0, -60.0, -735.0, 0.0, 6.0, 3.0, 3464.0, 919.0, -3749.0
717.0, -61.0, -733.0, 0.0, 6.0, 4.0, 3464.0, 919.0, -3749.0
717.0, -62.0, -732.0, 0.0, 6.0, 4.0, 3464.0, 919.0, -3749.0
718.0, -62.0, -731.0, 0.0, 6.0, 4.0, 3464.0, 919.0, -3749.0
718.0, -62.0, -731.0, 0.0, 6.0, 4.0, 3464.0, 919.0, -3749.0
718.0, -62.0, -731.0, 0.0, 6.0, 4.0, 3464.0, 919.0, -3749.0
718.0, -61.0, -731.0, 0.0, 6.0, 3.0, 3464.0, 919.0, -3749.0
718.0, -61.0, -731.0, 0.0, 5.0, 3.0, 3464.0, 919.0, -3749.0
719.0, -61.0, -730.0, 0.0, 5.0, 3.0, 3464.0, 919.0, -3749.0
719.0, -61.0, -729.0, 0.0, 5.0, 3.0, 3464.0, 919.0, -3749.0
719.0, -60.0, -729.0, 0.0, 5.0, 3.0, 3464.0, 919.0, -3749.0
719.0, -60.0, -729.0, 0.0, 5.0, 3.0, 3464.0, 919.0, -3749.0
719.0, -60.0, -729.0, 0.0, 5.0, 3.0, 3464.0, 919.0, -3749.0
719.0, -60.0, -729.0, 0.0, 5.0, 3.0, 3464.0, 919.0, -3749.0
719.0, -60.0, -729.0, 1.0, 5.0, 3.0, 3464.0, 919.0, -3749.0
719.0, -60.0, -729.0, 1.0, 5.0, 3.0, 3464.0, 919.0, -3749.0
719.0, -59.0, -730.0, 1.0, 5.0, 4.0, 3464.0, 919.0, -3749.0
719.0, -59.0, -731.0, 1.0, 4.0, 4.0, 3464.0, 919.0, -3749.0
720.0, -60.0, -732.0, 1.0, 4.0, 4.0, 3464.0, 814.0, -3888.0
720.0, -60.0, -732.0, 1.0, 4.0, 4.0, 3464.0, 814.0, -3888.0
720.0, -60.0, -733.0, 1.0, 4.0, 4.0, 3464.0, 814.0, -3888.0
720.0, -61.0, -733.0, 1.0, 4.0, 4.0, 3464.0, 814.0, -3888.0
