ax,ay,az,gx,gy,gz,mx,my,mz
805.0, 186.0, -595.0, 0.0, -3.0, -1.0, 3324.0, 1478.0, -3436.0
805.0, 186.0, -595.0, 0.0, -3.0, -1.0, 3324.0, 1478.0, -3436.0
805.0, 186.0, -594.0, 0.0, -3.0, -1.0, 3324.0, 1478.0, -3436.0
805.0, 185.0, -593.0, 0.0, -3.0, -1.0, 3324.0, 1478.0, -3436.0
805.0, 185.0, -592.0, 0.0, -3.0, -1.0, 3324.0, 1478.0, -3436.0
805.0, 185.0, -591.0, 0.0, -3.0, 0.0, 3324.0, 1478.0, -3436.0
805.0, 185.0, -590.0, 0.0, -3.0, 0.0, 3306.0, 1495.0, -3453.0
805.0, 185.0, -589.0, 0.0, -3.0, 0.0, 3306.0, 1495.0, -3453.0
806.0, 185.0, -589.0, 0.0, -3.0, 0.0, 3306.0, 1495.0, -3453.0
807.0, 185.0, -588.0, 0.0, -2.0, 0.0, 3306.0, 1495.0, -3453.0
807.0, 185.0, -588.0, 0.0, -2.0, 0.0, 3306.0, 1495.0, -3453.0
807.0, 185.0, -588.0, 0.0, -2.0, 0.0, 3306.0, 1495.0, -3453.0
807.0, 184.0, -587.0, 0.0, -2.0, 0.0, 3306.0, 1495.0, -3453.0
806.0, 184.0, -586.0, 0.0, -2.0, 0.0, 3306.0, 1495.0, -3453.0
806.0, 184.0, -584.0, 0.0, -2.0, 0.0, 3306.0, 1495.0, -3453.0
806.0, 184.0, -583.0, 0.0, -2.0, 0.0, 3306.0, 1495.0, -3453.0
806.0, 183.0, -582.0, 0.0, -2.0, 0.0, 3306.0, 1495.0, -3453.0
806.0, 183.0, -582.0, 0.0, -2.0, 0.0, 3236.0, 1356.0, -3488.0
805.0, 182.0, -582.0, 0.0, -2.0, 0.0, 3236.0, 1356.0, -3488.0
805.0, 181.0, -582.0, 0.0, -2.0, 0.0, 3236.0, 1356.0, -3488.0
805.0, 181.0, -582.0, 0.0, -2.0, 0.0, 3236.0, 1356.0, -3488.0
805.0, 181.0, -582.0, 0.0, -2.0, 0.0, 3236.0, 1356.0, -3488.0
805.0, 180.0, -583.0, 0.0, -2.0, 0.0, 3236.0, 1356.0, -3488.0
805.0, 180.0, -583.0, 0.0, -2.0, 0.0, 3236.0, 1356.0, -3488.0
806.0, 180.0, -583.0, 0.0, -2.0, 1.0, 3236.0, 1356.0, -3488.0
806.0, 180.0, -582.0, 0.0, -2.0, 1.0, 3236.0, 1356.0, -3488.0
806.0, 180.0, -581.0, 0.0, -2.0, 1.0, 3236.0, 1356.0, -3488.0
807.0, 180.0, -581.0, 0.0, -2.0, 1.0, 3236.0, 1356.0, -3488.0
807.0, 181.0, -581.0, 0.0, -2.0, 1.0, 3359.0, 1356.0, -3488.0
807.0, 181.0, -581.0, 0.0, -2.0, 1.0, 3359.0, 1478.0, -3471.0
807.0, 182.0, -581.0, 0.0, -2.0, 1.0, 3359.0, 1478.0, -3471.0
807.0, 182.0, -580.0, 0.0, -1.0, 1.0, 3359.0, 1478.0, -3471.0
807.0, 183.0, -580.0, 0.0, -1.0, 1.0, 3359.0, 1478.0, -3471.0
806.0, 184.0, -579.0, 0.0, -1.0, 1.0, 3359.0, 1478.0, -3471.0
806.0, 184.0, -578.0, 0.0, -1.0, 1.0, 3359.0, 1478.0, -3471.0
805.0, 185.0, -577.0, 0.0, -1.0, 1.0, 3359.0, 1478.0, -3471.0
805.0, 185.0, -576.0, 0.0, -1.0, 1.0, 3359.0, 1478.0, -3471.0
805.0, 185.0, -575.0, 0.0, -1.0, 1.0, 3359.0, 1478.0, -3471.0
805.0, 185.0, -574.0, 0.0, -1.0, 1.0, 3359.0, 1478.0, -3471.0
805.0, 185.0, -574.0, 0.0, -1.0, 1.0, 3359.0, 1478.0, -3471.0
805.0, 186.0, -574.0, 0.0, -1.0, 1.0, 3376.0, 1356.0, -3523.0
804.0, 186.0, -573.0, 0.0, -1.0, 1.0, 3376.0, 1356.0, -3523.0
804.0, 186.0, -574.0, 0.0, -1.0, 1.0, 3376.0, 1356.0, -3523.0
805.0, 185.0, -575.0, 0.0, 0.0, 1.0, 3376.0, 1356.0, -3523.0
805.0, 185.0, -575.0, 0.0, 0.0, 1.0, 3376.0, 1356.0, -3523.0
804.0, 185.0, -575.0, 0.0, 0.0, 1.0, 3376.0, 1356.0, -3523.0
805.0, 185.0, -576.0, 0.0, 0.0, 2.0, 3376.0, 1356.0, -3523.0
806.0, 185.0, -576.0, 0.0, 0.0, 2.0, 3376.0, 1356.0, -3523.0
806.0, 185.0, -576.0, 0.0, 0.0, 2.0, 3376.0, 1356.0, -3523.0
807.0, 185.0, -577.0, 0.0, 0.0, 2.0, 3376.0, 1356.0, -3523.0
807.0, 186.0, -577.0, 0.0, 0.0, 2.0, 3376.0, 1356.0, -3523.0
807.0, 186.0, -577.0, 0.0, 0.0, 2.0, 3201.0, 1425.0, -3558.0
807.0, 187.0, -577.0, 0.0, 0.0, 2.0, 3201.0, 1425.0, -3558.0
807.0, 187.0, -577.0, 0.0, 0.0, 2.0, 3201.0, 1425.0, -3558.0
808.0, 188.0, -577.0, 0.0, 1.0, 2.0, 3201.0, 1425.0, -3558.0
808.0, 188.0, -577.0, 0.0, 1.0, 2.0, 3201.0, 1425.0, -3558.0
