ax,ay,az,gx,gy,gz,mx,my,mz
741.0, 166.0, -712.0, 1.0, 1.0, -1.0, 2519.0, 500.0, -4411.0
741.0, 166.0, -712.0, 1.0, 1.0, -1.0, 2519.0, 500.0, -4411.0
741.0, 165.0, -712.0, 1.0, 1.0, -1.0, 2519.0, 500.0, -4411.0
741.0, 164.0, -712.0, 1.0, 1.0, -1.0, 2519.0, 500.0, -4411.0
740.0, 164.0, -711.0, 1.0, 1.0, -1.0, 2519.0, 500.0, -4411.0
740.0, 163.0, -711.0, 0.0, 1.0, -1.0, 2519.0, 500.0, -4411.0
741.0, 163.0, -711.0, 0.0, 1.0, -1.0, 2519.0, 500.0, -4411.0
741.0, 162.0, -711.0, 0.0, 1.0, -1.0, 2449.0, 570.0, -4271.0
741.0, 161.0, -712.0, 0.0, 1.0, -1.0, 2449.0, 570.0, -4271.0
741.0, 161.0, -712.0, 0.0, 1.0, -1.0, 2449.0, 570.0, -4271.0
741.0, 161.0, -712.0, 0.0, 1.0, -1.0, 2449.0, 570.0, -4271.0
741.0, 160.0, -712.0, 0.0, 1.0, -1.0, 2449.0, 570.0, -4271.0
741.0, 159.0, -712.0, 0.0, 1.0, -1.0, 2449.0, 570.0, -4271.0
741.0, 159.0, -711.0, 0.0, 1.0, -1.0, 2449.0, 570.0, -4271.0
741.0, 159.0, -711.0, 0.0, 1.0, -1.0, 2449.0, 570.0, -4271.0
741.0, 158.0, -711.0, 0.0, 1.0, -1.0, 2449.0, 570.0, -4271.0
741.0, 157.0, -711.0, 0.0, 1.0, -1.0, 2449.0, 570.0, -4271.0
741.0, 157.0, -711.0, 0.0, 1.0, -1.0, 2449.0, 570.0, -4271.0
741.0, 157.0, -711.0, 0.0, 1.0, -1.0, 2449.0, 570.0, -4271.0
741.0, 157.0, -711.0, 0.0, 1.0, -1.0, 2484.0, 570.0, -4411.0
741.0, 156.0, -711.0, 0.0, 1.0, -1.0, 2484.0, 570.0, -4411.0
741.0, 156.0, -710.0, 0.0, 1.0, -1.0, 2484.0, 570.0, -4411.0
740.0, 155.0, -710.0, 0.0, 1.0, -1.0, 2484.0, 570.0, -4411.0
739.0, 154.0, -709.0, 0.0, 0.0, -1.0, 2484.0, 570.0, -4411.0
739.0, 154.0, -709.0, 0.0, 0.0, -1.0, 2484.0, 570.0, -4411.0
738.0, 154.0, -708.0, 0.0, 0.0, -1.0, 2484.0, 570.0, -4411.0
737.0, 153.0, -707.0, 0.0, 0.0, -1.0, 2484.0, 570.0, -4411.0
737.0, 153.0, -707.0, 0.0, 0.0, -1.0, 2484.0, 570.0, -4411.0
737.0, 153.0, -707.0, 0.0, 0.0, -1.0, 2484.0, 570.0, -4411.0
737.0, 153.0, -706.0, 0.0, 0.0, -1.0, 2484.0, 570.0, -4411.0
736.0, 152.0, -704.0, 0.0, 0.0, -1.0, 2484.0, 535.0, -4376.0
736.0, 151.0, -703.0, 0.0, 0.0, -1.0, 2484.0, 535.0, -4376.0
736.0, 151.0, -703.0, 0.0, 0.0, -1.0, 2484.0, 535.0, -4376.0
736.0, 151.0, -702.0, 0.0, 0.0, 0.0, 2484.0, 535.0, -4376.0
736.0, 151.0, -702.0, 0.0, 0.0, 0.0, 2484.0, 535.0, -4376.0
736.0, 151.0, -702.0, 0.0, 1.0, 0.0, 2484.0, 535.0, -4376.0
737.0, 150.0, -702.0, 0.0, 1.0, 0.0, 2484.0, 535.0, -4376.0
737.0, 150.0, -702.0, 0.0, 1.0, 0.0, 2484.0, 535.0, -4376.0
736.0, 149.0, -703.0, 0.0, 1.0, 0.0, 2484.0, 535.0, -4376.0
736.0, 148.0, -703.0, 0.0, 1.0, 0.0, 2484.0, 535.0, -4376.0
736.0, 148.0, -703.0, 0.0, 1.0, 0.0, 2484.0, 535.0, -4376.0
736.0, 149.0, -703.0, 0.0, 1.0, 0.0, 2466.0, 518.0, -4498.0
736.0, 149.0, -702.0, 0.0, 1.0, 0.0, 2466.0, 518.0, -4498.0
736.0, 149.0, -701.0, 0.0, 1.0, 1.0, 2466.0, 518.0, -4498.0
735.0, 149.0, -701.0, 0.0, 1.0, 1.0, 2466.0, 518.0, -4498.0
735.0, 149.0, -702.0, 0.0, 1.0, 1.0, 2466.0, 518.0, -4498.0
735.0, 149.0, -702.0, 0.0, 1.0, 1.0, 2466.0, 518.0, -4498.0
735.0, 149.0, -702.0, 0.0, 1.0, 1.0, 2466.0, 518.0, -4498.0
735.0, 150.0, -702.0, 1.0, 1.0, 1.0, 2466.0, 518.0, -4498.0
735.0, 151.0, -702.0, 1.0, 1.0, 1.0, 2466.0, 518.0, -4498.0
735.0, 152.0, -702.0, 1.0, 1.0, 1.0, 2466.0, 518.0, -4498.0
735.0, 152.0, -702.0, 1.0, 1.0, 1.0, 2466.0, 518.0, -4498.0
735.0, 152.0, -702.0, 1.0, 1.0, 2.0, 2519.0, 675.0, -4376.0
735.0, 153.0, -702.0, 1.0, 1.0, 2.0, 2519.0, 675.0, -4376.0
734.0, 154.0, -702.0, 1.0, 1.0, 2.0, 2519.0, 675.0, -4376.0
734.0, 154.0, -702.0, 1.0, 1.0, 2.0, 2519.0, 675.0, -4376.0
734.0, 155.0, -702.0, 1.0, 1.0, 2.0, 2519.0, 675.0, -4376.0
734.0, 156.0, -702.0, 1.0, 1.0, 2.0, 2519.0, 675.0, -4376.0
733.0, 157.0, -701.0, 1.0, 1.0, 2.0, 2519.0, 675.0, -4376.0
