ax,ay,az,gx,gy,gz,mx,my,mz
783.0, 108.0, -697.0, 2.0, 132.0, 102.0, 3743.0, 500.0, -3645.0
783.0, 124.0, -697.0, 3.0, 133.0, 101.0, 3743.0, 500.0, -3645.0
772.0, 131.0, -700.0, 5.0, 133.0, 100.0, 3743.0, 500.0, -3645.0
772.0, 131.0, -700.0, 5.0, 133.0, 100.0, 3743.0, 500.0, -3645.0
784.0, 121.0, -691.0, 6.0, 133.0, 98.0, 3743.0, 500.0, -3645.0
794.0, 111.0, -689.0, 8.0, 133.0, 96.0, 3743.0, 500.0, -3645.0
785.0, 111.0, -691.0, 9.0, 133.0, 95.0, 3743.0, 500.0, -3645.0
784.0, 118.0, -683.0, 9.0, 132.0, 93.0, 3708.0, 221.0, -3819.0
792.0, 117.0, -687.0, 11.0, 132.0, 92.0, 3708.0, 221.0, -3819.0
783.0, 113.0, -694.0, 12.0, 131.0, 90.0, 3708.0, 221.0, -3819.0
778.0, 117.0, -688.0, 13.0, 129.0, 87.0, 3708.0, 221.0, -3819.0
801.0, 111.0, -689.0, 14.0, 129.0, 86.0, 3708.0, 221.0, -3819.0
793.0, 99.0, -694.0, 15.0, 127.0, 84.0, 3708.0, 221.0, -3819.0
781.0, 101.0, -694.0, 15.0, 125.0, 81.0, 3708.0, 221.0, -3819.0
780.0, 100.0, -675.0, 15.0, 124.0, 79.0, 3708.0, 221.0, -3819.0
780.0, 100.0, -675.0, 15.0, 124.0, 79.0, 3708.0, 221.0, -3819.0
795.0, 74.0, -669.0, 17.0, 124.0, 79.0, 3708.0, 221.0, -3819.0
798.0, 55.0, -679.0, 19.0, 123.0, 78.0, 3708.0, 221.0, -3819.0
786.0, 48.0, -676.0, 19.0, 120.0, 76.0, 3726.0, 343.0, -3767.0
790.0, 37.0, -669.0, 18.0, 118.0, 74.0, 3726.0, 343.0, -3767.0
796.0, 20.0, -664.0, 19.0, 117.0, 73.0, 3726.0, 343.0, -3767.0
798.0, -5.0, -668.0, 19.0, 116.0, 73.0, 3726.0, 343.0, -3767.0
784.0, -19.0, -654.0, 19.0, 114.0, 72.0, 3726.0, 343.0, -3767.0
782.0, -23.0, -635.0, 19.0, 112.0, 71.0, 3726.0, 343.0, -3767.0
807.0, -50.0, -635.0, 19.0, 112.0, 71.0, 3726.0, 343.0, -3767.0
795.0, -71.0, -626.0, 18.0, 111.0, 71.0, 3726.0, 343.0, -3767.0
795.0, -75.0, -618.0, 17.0, 109.0, 71.0, 3726.0, 343.0, -3767.0
795.0, -75.0, -618.0, 17.0, 109.0, 71.0, 3726.0, 343.0, -3767.0
812.0, -93.0, -621.0, 16.0, 108.0, 71.0, 3726.0, 343.0, -3767.0
811.0, -112.0, -619.0, 14.0, 107.0, 71.0, 3831.0, 238.0, -3558.0
810.0, -121.0, -615.0, 13.0, 105.0, 72.0, 3831.0, 238.0, -3558.0
809.0, -122.0, -609.0, 11.0, 104.0, 73.0, 3831.0, 238.0, -3558.0
815.0, -134.0, -602.0, 10.0, 103.0, 73.0, 3831.0, 238.0, -3558.0
814.0, -159.0, -578.0, 9.0, 103.0, 74.0, 3831.0, 238.0, -3558.0
