ax,ay,az,gx,gy,gz,mx,my,mz
644.0, 198.0, -785.0, 5.0, -11.0, 56.0, 4163.0, 1548.0, -2670.0
641.0, 199.0, -790.0, 5.0, -12.0, 57.0, 4163.0, 1548.0, -2670.0
641.0, 199.0, -790.0, 5.0, -12.0, 57.0, 4163.0, 1478.0, -2810.0
636.0, 199.0, -794.0, 6.0, -13.0, 58.0, 4163.0, 1478.0, -2810.0
635.0, 197.0, -793.0, 6.0, -14.0, 58.0, 4163.0, 1478.0, -2810.0
635.0, 196.0, -792.0, 6.0, -15.0, 59.0, 4163.0, 1478.0, -2810.0
633.0, 198.0, -792.0, 7.0, -16.0, 60.0, 4163.0, 1478.0, -2810.0
634.0, 198.0, -791.0, 8.0, -17.0, 61.0, 4163.0, 1478.0, -2810.0
634.0, 197.0, -793.0, 9.0, -18.0, 62.0, 4163.0, 1478.0, -2810.0
631.0, 197.0, -795.0, 9.0, -19.0, 63.0, 4163.0, 1478.0, -2810.0
629.0, 196.0, -794.0, 10.0, -20.0, 64.0, 4163.0, 1478.0, -2810.0
628.0, 193.0, -791.0, 11.0, -21.0, 65.0, 4163.0, 1478.0, -2810.0
629.0, 190.0, -792.0, 11.0, -22.0, 66.0, 4163.0, 1478.0, -2810.0
628.0, 190.0, -798.0, 11.0, -23.0, 67.0, 4181.0, 1530.0, -2862.0
628.0, 190.0, -798.0, 11.0, -23.0, 67.0, 4181.0, 1530.0, -2862.0
624.0, 192.0, -804.0, 12.0, -24.0, 68.0, 4181.0, 1530.0, -2862.0
622.0, 192.0, -806.0, 12.0, -25.0, 68.0, 4181.0, 1530.0, -2862.0
622.0, 190.0, -807.0, 13.0, -26.0, 69.0, 4181.0, 1530.0, -2862.0
621.0, 187.0, -810.0, 14.0, -27.0, 70.0, 4181.0, 1530.0, -2862.0
621.0, 185.0, -810.0, 15.0, -28.0, 70.0, 4181.0, 1530.0, -2862.0
620.0, 184.0, -809.0, 15.0, -29.0, 71.0, 4181.0, 1530.0, -2862.0
622.0, 182.0, -804.0, 16.0, -31.0, 71.0, 4181.0, 1530.0, -2862.0
626.0, 181.0, -797.0, 17.0, -31.0, 72.0, 4181.0, 1530.0, -2862.0
630.0, 181.0, -792.0, 17.0, -32.0, 72.0, 4233.0, 1373.0, -2705.0
635.0, 183.0, -787.0, 18.0, -33.0, 72.0, 4233.0, 1373.0, -2705.0
639.0, 189.0, -785.0, 18.0, -34.0, 73.0, 4233.0, 1373.0, -2705.0
639.0, 189.0, -785.0, 18.0, -34.0, 73.0, 4233.0, 1373.0, -2705.0
640.0, 195.0, -784.0, 18.0, -35.0, 73.0, 4233.0, 1373.0, -2705.0
641.0, 203.0, -783.0, 19.0, -36.0, 73.0, 4233.0, 1373.0, -2705.0
644.0, 210.0, -783.0, 20.0, -37.0, 73.0, 4233.0, 1373.0, -2705.0
643.0, 216.0, -784.0, 21.0, -38.0, 73.0, 4233.0, 1373.0, -2705.0
641.0, 221.0, -783.0, 23.0, -39.0, 73.0, 4233.0, 1373.0, -2705.0
641.0, 228.0, -779.0, 24.0, -40.0, 73.0, 4233.0, 1373.0, -2705.0
644.0, 233.0, -776.0, 26.0, -40.0, 73.0, 4233.0, 1373.0, -2705.0
648.0, 232.0, -777.0, 28.0, -40.0, 72.0, 4268.0, 1443.0, -2670.0
649.0, 229.0, -779.0, 29.0, -41.0, 72.0, 4268.0, 1443.0, -2670.0
649.0, 228.0, -781.0, 30.0, -42.0, 71.0, 4268.0, 1443.0, -2670.0
649.0, 232.0, -784.0, 31.0, -43.0, 71.0, 4268.0, 1443.0, -2670.0
647.0, 238.0, -784.0, 31.0, -43.0, 70.0, 4268.0, 1443.0, -2670.0
647.0, 238.0, -784.0, 31.0, -43.0, 70.0, 4268.0, 1443.0, -2670.0
647.0, 251.0, -776.0, 32.0, -44.0, 70.0, 4268.0, 1443.0, -2670.0
