ax,ay,az,gx,gy,gz,mx,my,mz
797.0, -248.0, -640.0, 118.0, -8.0, -135.0, 3166.0, 343.0, -4184.0
797.0, -248.0, -640.0, 118.0, -8.0, -135.0, 3166.0, 343.0, -4184.0
809.0, -248.0, -652.0, 117.0, -8.0, -136.0, 3166.0, 343.0, -4184.0
805.0, -255.0, -661.0, 116.0, -8.0, -134.0, 3166.0, 343.0, -4184.0
795.0, -266.0, -658.0, 116.0, -9.0, -132.0, 3166.0, 343.0, -4184.0
791.0, -268.0, -652.0, 116.0, -9.0, -131.0, 3166.0, 343.0, -4184.0
793.0, -262.0, -656.0, 115.0, -9.0, -130.0, 3166.0, 343.0, -4184.0
793.0, -265.0, -664.0, 114.0, -10.0, -130.0, 2991.0, 343.0, -4149.0
789.0, -270.0, -665.0, 114.0, -10.0, -128.0, 2991.0, 343.0, -4149.0
786.0, -267.0, -667.0, 114.0, -10.0, -127.0, 2991.0, 343.0, -4149.0
784.0, -272.0, -671.0, 114.0, -11.0, -126.0, 2991.0, 343.0, -4149.0
786.0, -279.0, -675.0, 114.0, -12.0, -125.0, 2991.0, 343.0, -4149.0
785.0, -286.0, -678.0, 114.0, -13.0, -124.0, 2991.0, 343.0, -4149.0
779.0, -294.0, -678.0, 114.0, -13.0, -122.0, 2991.0, 343.0, -4149.0
779.0, -294.0, -678.0, 114.0, -13.0, -122.0, 2991.0, 343.0, -4149.0
779.0, -294.0, -680.0, 114.0, -14.0, -120.0, 2991.0, 343.0, -4149.0
783.0, -298.0, -686.0, 113.0, -15.0, -120.0, 2991.0, 343.0, -4149.0
775.0, -317.0, -686.0, 114.0, -16.0, -118.0, 2991.0, 343.0, -4149.0
773.0, -332.0, -684.0, 114.0, -16.0, -115.0, 3184.0, 256.0, -4097.0
780.0, -339.0, -689.0, 114.0, -17.0, -115.0, 3184.0, 256.0, -4097.0
770.0, -346.0, -685.0, 113.0, -18.0, -113.0, 3184.0, 256.0, -4097.0
776.0, -357.0, -691.0, 112.0, -19.0, -112.0, 3184.0, 256.0, -4097.0
779.0, -367.0, -700.0, 112.0, -20.0, -110.0, 3184.0, 256.0, -4097.0
769.0, -376.0, -691.0, 112.0, -21.0, -107.0, 3184.0, 256.0, -4097.0
768.0, -372.0, -689.0, 111.0, -22.0, -106.0, 3184.0, 256.0, -4097.0
778.0, -361.0, -699.0, 109.0, -23.0, -106.0, 3184.0, 256.0, -4097.0
773.0, -365.0, -698.0, 109.0, -24.0, -105.0, 3184.0, 256.0, -4097.0
765.0, -370.0, -691.0, 109.0, -24.0, -103.0, 3184.0, 256.0, -4097.0
765.0, -370.0, -691.0, 109.0, -24.0, -103.0, 3184.0, 256.0, -4097.0
776.0, -367.0, -695.0, 108.0, -25.0, -102.0, 3166.0, 273.0, -4219.0
776.0, -363.0, -695.0, 106.0, -26.0, -101.0, 3166.0, 273.0, -4219.0
771.0, -365.0, -697.0, 106.0, -27.0, -99.0, 3166.0, 273.0, -4219.0
782.0, -372.0, -702.0, 106.0, -28.0, -97.0, 3166.0, 273.0, -4219.0
774.0, -376.0, -696.0, 107.0, -28.0, -95.0, 3166.0, 273.0, -4219.0
767.0, -387.0, -689.0, 107.0, -29.0, -93.0, 3166.0, 273.0, -4219.0
772.0, -399.0, -690.0, 106.0, -30.0, -92.0, 3166.0, 273.0, -4219.0
777.0, -399.0, -697.0, 106.0, -31.0, -90.0, 3166.0, 273.0, -4219.0
775.0, -401.0, -701.0, 105.0, -32.0, -88.0, 3166.0, 273.0, -4219.0
775.0, -409.0, -701.0, 105.0, -33.0, -86.0, 3166.0, 273.0, -4219.0
772.0, -421.0, -698.0, 106.0, -34.0, -84.0, 3079.0, 273.0, -4219.0
775.0, -430.0, -701.0, 106.0, -34.0, -82.0, 3079.0, 361.0, -4167.0
775.0, -430.0, -701.0, 106.0, -34.0, -82.0, 3079.0, 361.0, -4167.0
780.0, -438.0, -708.0, 105.0, -35.0, -80.0, 3079.0, 361.0, -4167.0
771.0, -440.0, -702.0, 103.0, -36.0, -78.0, 3079.0, 361.0, -4167.0
771.0, -440.0, -698.0, 103.0, -37.0, -76.0, 3079.0, 361.0, -4167.0
780.0, -447.0, -704.0, 102.0, -37.0, -74.0, 3079.0, 361.0, -4167.0
777.0, -447.0, -705.0, 101.0, -38.0, -73.0, 3079.0, 361.0, -4167.0
776.0, -445.0, -705.0, 99.0, -39.0, -71.0, 3079.0, 361.0, -4167.0
776.0, -444.0, -705.0, 97.0, -40.0, -69.0, 3079.0, 361.0, -4167.0
773.0, -438.0, -702.0, 96.0, -40.0, -67.0, 3079.0, 361.0, -4167.0
768.0, -433.0, -700.0, 95.0, -40.0, -66.0, 2991.0, 169.0, -4324.0
765.0, -425.0, -696.0, 94.0, -41.0, -65.0, 2991.0, 169.0, -4324.0
772.0, -416.0, -701.0, 92.0, -41.0, -64.0, 2991.0, 169.0, -4324.0
768.0, -411.0, -702.0, 90.0, -42.0, -64.0, 2991.0, 169.0, -4324.0
768.0, -411.0, -702.0, 90.0, -42.0, -64.0, 2991.0, 169.0, -4324.0
765.0, -405.0, -699.0, 90.0, -42.0, -61.0, 2991.0, 169.0, -4324.0
771.0, -393.0, -701.0, 89.0, -42.0, -60.0, 2991.0, 169.0, -4324.0
765.0, -388.0, -696.0, 88.0, -42.0, -60.0, 2991.0, 169.0, -4324.0
767.0, -385.0, -697.0, 87.0, -42.0, -59.0, 2991.0, 169.0, -4324.0
767.0, -376.0, -694.0, 86.0, -42.0, -59.0, 2991.0, 169.0, -4324.0
771.0, -370.0, -695.0, 86.0, -42.0, -58.0, 2991.0, 169.0, -4324.0
771.0, -374.0, -699.0, 85.0, -42.0, -57.0, 3061.0, 204.0, -4393.0
762.0, -379.0, -691.0, 85.0, -42.0, -56.0, 3061.0, 204.0, -4393.0
774.0, -375.0, -700.0, 84.0, -42.0, -56.0, 3061.0, 204.0, -4393.0
768.0, -375.0, -703.0, 83.0, -42.0, -55.0, 3061.0, 204.0, -4393.0
762.0, -377.0, -698.0, 83.0, -41.0, -54.0, 3061.0, 204.0, -4393.0
762.0, -377.0, -698.0, 83.0, -41.0, -54.0, 3061.0, 204.0, -4393.0
767.0, -369.0, -703.0, 82.0, -41.0, -54.0, 3061.0, 204.0, -4393.0
765.0, -364.0, -706.0, 80.0, -41.0, -55.0, 3061.0, 204.0, -4393.0
758.0, -363.0, -702.0, 80.0, -40.0, -54.0, 3061.0, 204.0, -4393.0
764.0, -361.0, -707.0, 79.0, -40.0, -54.0, 3061.0, 204.0, -4393.0
769.0, -357.0, -712.0, 78.0, -39.0, -55.0, 3061.0, 204.0, -4393.0
760.0, -361.0, -706.0, 77.0, -39.0, -54.0, 2974.0, 81.0, -4236.0
760.0, -366.0, -704.0, 76.0, -38.0, -53.0, 2974.0, 81.0, -4236.0
763.0, -367.0, -706.0, 75.0, -37.0, -53.0, 2974.0, 81.0, -4236.0
760.0, -366.0, -706.0, 74.0, -36.0, -54.0, 2974.0, 81.0, -4236.0
759.0, -368.0, -708.0, 72.0, -36.0, -53.0, 2974.0, 81.0, -4236.0
759.0, -372.0, -709.0, 71.0, -35.0, -53.0, 2974.0, 81.0, -4236.0
759.0, -372.0, -709.0, 71.0, -35.0, -53.0, 2974.0, 81.0, -4236.0
753.0, -368.0, -707.0, 70.0, -34.0, -53.0, 2974.0, 81.0, -4236.0
755.0, -358.0, -710.0, 68.0, -34.0, -54.0, 2974.0, 81.0, -4236.0
754.0, -348.0, -712.0, 66.0, -33.0, -55.0, 2974.0, 81.0, -4236.0
753.0, -351.0, -711.0, 65.0, -32.0, -56.0, 2974.0, 81.0, -4236.0
758.0, -361.0, -718.0, 64.0, -31.0, -55.0, 3096.0, 308.0, -4219.0
749.0, -362.0, -715.0, 63.0, -30.0, -55.0, 3096.0, 308.0, -4219.0
750.0, -356.0, -714.0, 62.0, -29.0, -55.0, 3096.0, 308.0, -4219.0
751.0, -355.0, -715.0, 61.0, -28.0, -56.0, 3096.0, 308.0, -4219.0
747.0, -363.0, -710.0, 60.0, -26.0, -56.0, 3096.0, 308.0, -4219.0
761.0, -369.0, -724.0, 59.0, -25.0, -57.0, 3096.0, 308.0, -4219.0
752.0, -376.0, -729.0, 57.0, -24.0, -56.0, 3096.0, 308.0, -4219.0
752.0, -376.0, -729.0, 57.0, -24.0, -56.0, 3096.0, 308.0, -4219.0
740.0, -384.0, -717.0, 56.0, -24.0, -56.0, 3096.0, 308.0, -4219.0
752.0, -387.0, -727.0, 55.0, -22.0, -57.0, 3096.0, 308.0, -4219.0
746.0, -393.0, -731.0, 54.0, -21.0, -56.0, 3096.0, 308.0, -4219.0
738.0, -395.0, -721.0, 53.0, -20.0, -56.0, 2921.0, 238.0, -4393.0
747.0, -391.0, -731.0, 51.0, -19.0, -58.0, 2921.0, 238.0, -4393.0
744.0, -389.0, -741.0, 49.0, -18.0, -58.0, 2921.0, 238.0, -4393.0
736.0, -398.0, -736.0, 48.0, -17.0, -58.0, 2921.0, 238.0, -4393.0
741.0, -414.0, -738.0, 48.0, -16.0, -58.0, 2921.0, 238.0, -4393.0
742.0, -420.0, -742.0, 46.0, -15.0, -57.0, 2921.0, 238.0, -4393.0
738.0, -420.0, -740.0, 45.0, -14.0, -57.0, 2921.0, 238.0, -4393.0
736.0, -418.0, -741.0, 44.0, -13.0, -58.0, 2921.0, 238.0, -4393.0
736.0, -418.0, -741.0, 44.0, -13.0, -58.0, 2921.0, 238.0, -4393.0
734.0, -419.0, -744.0, 42.0, -12.0, -58.0, 2921.0, 238.0, -4393.0
734.0, -423.0, -743.0, 41.0, -11.0, -58.0, 2921.0, 238.0, -4393.0
725.0, -425.0, -734.0, 41.0, -10.0, -58.0, 2921.0, 238.0, -4393.0
734.0, -428.0, -743.0, 39.0, -8.0, -59.0, 2921.0, 238.0, -4393.0
736.0, -434.0, -750.0, 38.0, -8.0, -60.0, 2921.0, 238.0, -4393.0
726.0, -436.0, -748.0, 37.0, -7.0, -59.0, 2921.0, 238.0, -4393.0
726.0, -440.0, -750.0, 37.0, -6.0, -59.0, 2921.0, 238.0, -4393.0
729.0, -456.0, -750.0, 37.0, -5.0, -58.0, 2921.0, 238.0, -4393.0
735.0, -469.0, -758.0, 37.0, -3.0, -59.0, 2921.0, 238.0, -4393.0
729.0, -471.0, -760.0, 35.0, -3.0, -59.0, 2921.0, 238.0, -4393.0
723.0, -473.0, -755.0, 34.0, -2.0, -59.0, 2921.0, 238.0, -4393.0
723.0, -473.0, -755.0, 34.0, -2.0, -59.0, 2921.0, 238.0, -4393.0
724.0, -470.0, -754.0, 32.0, -1.0, -59.0, 2921.0, 238.0, -4393.0
729.0, -472.0, -762.0, 30.0, 0.0, -60.0, 2921.0, 238.0, -4393.0
728.0, -485.0, -763.0, 30.0, 1.0, -59.0, 2921.0, 238.0, -4393.0
727.0, -497.0, -763.0, 29.0, 2.0, -58.0, 2921.0, 238.0, -4393.0
724.0, -497.0, -764.0, 28.0, 3.0, -58.0, 2921.0, 238.0, -4393.0
723.0, -496.0, -762.0, 27.0, 4.0, -59.0, 2921.0, 238.0, -4393.0
731.0, -498.0, -770.0, 25.0, 5.0, -59.0, 2921.0, 238.0, -4393.0
729.0, -506.0, -776.0, 24.0, 5.0, -59.0, 2921.0, 238.0, -4393.0
724.0, -527.0, -774.0, 24.0, 6.0, -56.0, 2921.0, 238.0, -4393.0
718.0, -543.0, -767.0, 24.0, 7.0, -55.0, 2921.0, 238.0, -4393.0
718.0, -543.0, -767.0, 24.0, 7.0, -55.0, 2921.0, 238.0, -4393.0
721.0, -547.0, -764.0, 23.0, 8.0, -55.0, 2921.0, 238.0, -4393.0
727.0, -549.0, -771.0, 21.0, 9.0, -56.0, 2921.0, 238.0, -4393.0
719.0, -553.0, -774.0, 20.0, 9.0, -55.0, 2851.0, 273.0, -4358.0
718.0, -558.0, -769.0, 19.0, 10.0, -54.0, 2851.0, 273.0, -4358.0
723.0, -563.0, -771.0, 19.0, 11.0, -53.0, 2851.0, 273.0, -4358.0
719.0, -564.0, -777.0, 17.0, 12.0, -53.0, 2851.0, 273.0, -4358.0
717.0, -563.0, -778.0, 16.0, 12.0, -53.0, 2851.0, 273.0, -4358.0
721.0, -566.0, -776.0, 16.0, 13.0, -52.0, 2851.0, 273.0, -4358.0
721.0, -576.0, -775.0, 15.0, 14.0, -51.0, 2851.0, 273.0, -4358.0
716.0, -585.0, -774.0, 13.0, 15.0, -50.0, 2851.0, 273.0, -4358.0
716.0, -585.0, -774.0, 13.0, 15.0, -50.0, 2851.0, 273.0, -4358.0
719.0, -581.0, -783.0, 11.0, 15.0, -50.0, 2851.0, 273.0, -4358.0
719.0, -571.0, -793.0, 9.0, 16.0, -51.0, 2851.0, 273.0, -4358.0
715.0, -564.0, -791.0, 8.0, 16.0, -50.0, 3009.0, 151.0, -4236.0
715.0, -562.0, -789.0, 8.0, 17.0, -49.0, 3009.0, 151.0, -4236.0
713.0, -561.0, -786.0, 9.0, 18.0, -48.0, 3009.0, 151.0, -4236.0
713.0, -559.0, -785.0, 9.0, 18.0, -48.0, 3009.0, 151.0, -4236.0
713.0, -550.0, -784.0, 8.0, 19.0, -48.0, 3009.0, 151.0, -4236.0
713.0, -533.0, -784.0, 6.0, 19.0, -49.0, 3009.0, 151.0, -4236.0
713.0, -517.0, -790.0, 5.0, 19.0, -50.0, 3009.0, 151.0, -4236.0
710.0, -502.0, -798.0, 3.0, 19.0, -51.0, 3009.0, 151.0, -4236.0
708.0, -488.0, -799.0, 3.0, 20.0, -52.0, 3009.0, 151.0, -4236.0
708.0, -488.0, -799.0, 3.0, 20.0, -52.0, 3009.0, 151.0, -4236.0
707.0, -472.0, -795.0, 3.0, 20.0, -52.0, 3009.0, 151.0, -4236.0
707.0, -451.0, -793.0, 3.0, 21.0, -54.0, 3079.0, 46.0, -4271.0
706.0, -430.0, -794.0, 3.0, 21.0, -56.0, 3079.0, 46.0, -4271.0
703.0, -408.0, -792.0, 3.0, 22.0, -58.0, 3079.0, 46.0, -4271.0
702.0, -385.0, -791.0, 3.0, 22.0, -60.0, 3079.0, 46.0, -4271.0
704.0, -363.0, -788.0, 4.0, 23.0, -62.0, 3079.0, 46.0, -4271.0
705.0, -341.0, -785.0, 4.0, 24.0, -65.0, 3079.0, 46.0, -4271.0
705.0, -323.0, -782.0, 5.0, 24.0, -68.0, 3079.0, 46.0, -4271.0
705.0, -305.0, -777.0, 5.0, 25.0, -70.0, 3079.0, 46.0, -4271.0
705.0, -305.0, -777.0, 5.0, 25.0, -70.0, 3079.0, 46.0, -4271.0
706.0, -286.0, -774.0, 6.0, 25.0, -73.0, 3079.0, 46.0, -4271.0
706.0, -264.0, -774.0, 6.0, 26.0, -77.0, 3079.0, 46.0, -4271.0
707.0, -242.0, -771.0, 7.0, 27.0, -80.0, 2869.0, 186.0, -4271.0
708.0, -222.0, -767.0, 8.0, 28.0, -84.0, 2869.0, 186.0, -4271.0
710.0, -203.0, -765.0, 9.0, 28.0, -88.0, 2869.0, 186.0, -4271.0
712.0, -185.0, -762.0, 11.0, 29.0, -92.0, 2869.0, 186.0, -4271.0
