ax,ay,az,gx,gy,gz,mx,my,mz
881.0, 34.0, -513.0, -1.0, -2.0, 4.0, 4093.0, 1198.0, -3018.0
882.0, 33.0, -512.0, -1.0, -2.0, 4.0, 4093.0, 1198.0, -3018.0
882.0, 33.0, -513.0, -1.0, -3.0, 4.0, 4093.0, 1198.0, -3018.0
882.0, 32.0, -513.0, -1.0, -3.0, 4.0, 4093.0, 1198.0, -3018.0
882.0, 32.0, -514.0, -2.0, -3.0, 4.0, 4093.0, 1198.0, -3018.0
882.0, 32.0, -515.0, -2.0, -3.0, 4.0, 4093.0, 1198.0, -3018.0
882.0, 31.0, -516.0, -1.0, -3.0, 4.0, 4093.0, 1198.0, -3018.0
882.0, 31.0, -516.0, -1.0, -3.0, 4.0, 4093.0, 1198.0, -3018.0
882.0, 31.0, -516.0, -1.0, -3.0, 4.0, 4093.0, 1198.0, -3018.0
882.0, 31.0, -516.0, -1.0, -3.0, 4.0, 4093.0, 1198.0, -3018.0
882.0, 31.0, -517.0, -1.0, -3.0, 4.0, 4093.0, 1198.0, -3018.0
881.0, 31.0, -517.0, -1.0, -3.0, 4.0, 4093.0, 1198.0, -3018.0
880.0, 30.0, -517.0, -1.0, -3.0, 4.0, 4093.0, 1198.0, -3018.0
880.0, 30.0, -517.0, -1.0, -3.0, 4.0, 4093.0, 1198.0, -3018.0
880.0, 30.0, -517.0, -1.0, -3.0, 3.0, 4093.0, 1198.0, -3018.0
879.0, 30.0, -518.0, -1.0, -3.0, 3.0, 4093.0, 1198.0, -3018.0
879.0, 30.0, -518.0, -1.0, -3.0, 3.0, 4093.0, 1198.0, -3018.0
879.0, 31.0, -518.0, -1.0, -4.0, 3.0, 4093.0, 1198.0, -3018.0
879.0, 31.0, -518.0, -1.0, -4.0, 3.0, 4093.0, 1198.0, -3018.0
878.0, 32.0, -518.0, -1.0, -4.0, 3.0, 4093.0, 1198.0, -3018.0
878.0, 32.0, -517.0, 0.0, -4.0, 3.0, 4093.0, 1198.0, -3018.0
878.0, 33.0, -517.0, 0.0, -4.0, 3.0, 4093.0, 1198.0, -3018.0
878.0, 34.0, -518.0, 0.0, -4.0, 3.0, 4093.0, 1198.0, -3018.0
878.0, 34.0, -518.0, 0.0, -4.0, 3.0, 4093.0, 1198.0, -3018.0
878.0, 34.0, -518.0, 0.0, -4.0, 3.0, 4093.0, 1198.0, -3018.0
878.0, 34.0, -518.0, 0.0, -4.0, 3.0, 4093.0, 1198.0, -3018.0
879.0, 34.0, -520.0, 0.0, -4.0, 3.0, 4093.0, 1198.0, -3018.0
879.0, 34.0, -519.0, 0.0, -4.0, 3.0, 4093.0, 1198.0, -3018.0
879.0, 34.0, -519.0, 0.0, -4.0, 3.0, 4093.0, 1198.0, -3018.0
879.0, 35.0, -519.0, 0.0, -4.0, 3.0, 4093.0, 1198.0, -3018.0
880.0, 35.0, -519.0, 0.0, -4.0, 3.0, 4093.0, 1198.0, -3018.0
880.0, 35.0, -519.0, 0.0, -4.0, 3.0, 4093.0, 1198.0, -3018.0
880.0, 35.0, -518.0, 0.0, -4.0, 3.0, 4268.0, 1129.0, -3018.0
880.0, 35.0, -518.0, 0.0, -3.0, 3.0, 4268.0, 1129.0, -2844.0
880.0, 35.0, -518.0, 0.0, -3.0, 3.0, 4268.0, 1129.0, -2844.0
880.0, 35.0, -516.0, 0.0, -3.0, 3.0, 4268.0, 1129.0, -2844.0
880.0, 34.0, -516.0, 1.0, -3.0, 3.0, 4268.0, 1129.0, -2844.0
880.0, 34.0, -515.0, 1.0, -3.0, 3.0, 4268.0, 1129.0, -2844.0
879.0, 34.0, -515.0, 1.0, -3.0, 3.0, 4268.0, 1129.0, -2844.0
879.0, 34.0, -516.0, 1.0, -3.0, 3.0, 4268.0, 1129.0, -2844.0
878.0, 35.0, -516.0, 1.0, -3.0, 2.0, 4268.0, 1129.0, -2844.0
878.0, 35.0, -516.0, 1.0, -3.0, 2.0, 4268.0, 1129.0, -2844.0
878.0, 35.0, -516.0, 1.0, -3.0, 2.0, 4268.0, 1129.0, -2844.0
878.0, 35.0, -516.0, 1.0, -3.0, 2.0, 4268.0, 1129.0, -2844.0
877.0, 35.0, -517.0, 1.0, -3.0, 2.0, 4286.0, 1251.0, -2862.0
876.0, 35.0, -517.0, 1.0, -3.0, 2.0, 4286.0, 1251.0, -2862.0
876.0, 35.0, -517.0, 1.0, -3.0, 2.0, 4286.0, 1251.0, -2862.0
876.0, 35.0, -518.0, 1.0, -3.0, 2.0, 4286.0, 1251.0, -2862.0
876.0, 35.0, -519.0, 1.0, -2.0, 1.0, 4286.0, 1251.0, -2862.0
875.0, 34.0, -519.0, 1.0, -2.0, 1.0, 4286.0, 1251.0, -2862.0
875.0, 34.0, -520.0, 1.0, -2.0, 1.0, 4286.0, 1251.0, -2862.0
875.0, 35.0, -521.0, 1.0, -2.0, 1.0, 4286.0, 1251.0, -2862.0
875.0, 35.0, -521.0, 1.0, -2.0, 1.0, 4286.0, 1251.0, -2862.0
875.0, 35.0, -521.0, 1.0, -2.0, 1.0, 4286.0, 1251.0, -2862.0
875.0, 35.0, -521.0, 1.0, -2.0, 1.0, 4286.0, 1251.0, -2862.0
874.0, 36.0, -521.0, 1.0, -2.0, 1.0, 4181.0, 1146.0, -2862.0
874.0, 36.0, -521.0, 1.0, -1.0, 1.0, 4181.0, 1146.0, -2862.0
874.0, 36.0, -520.0, 1.0, -1.0, 1.0, 4181.0, 1146.0, -2862.0
874.0, 37.0, -519.0, 1.0, -1.0, 1.0, 4181.0, 1146.0, -2862.0
875.0, 36.0, -520.0, 1.0, -1.0, 1.0, 4181.0, 1146.0, -2862.0
875.0, 36.0, -520.0, 1.0, -1.0, 0.0, 4181.0, 1146.0, -2862.0
875.0, 36.0, -520.0, 1.0, -1.0, 0.0, 4181.0, 1146.0, -2862.0
875.0, 37.0, -520.0, 1.0, -1.0, 0.0, 4181.0, 1146.0, -2862.0
875.0, 36.0, -519.0, 1.0, 0.0, 0.0, 4181.0, 1146.0, -2862.0
875.0, 36.0, -519.0, 1.0, 0.0, 1.0, 4181.0, 1146.0, -2862.0
875.0, 36.0, -519.0, 1.0, 0.0, 1.0, 4181.0, 1146.0, -2862.0
874.0, 36.0, -520.0, 0.0, 0.0, 0.0, 4146.0, 1216.0, -2827.0
