ax,ay,az,gx,gy,gz,mx,my,mz
738.0, -83.0, -705.0, -7.0, 10.0, -26.0, 2974.0, 430.0, -4271.0
738.0, -83.0, -705.0, -7.0, 10.0, -26.0, 2974.0, 430.0, -4271.0
742.0, -84.0, -706.0, -7.0, 10.0, -25.0, 2974.0, 430.0, -4271.0
741.0, -90.0, -703.0, -6.0, 10.0, -25.0, 2974.0, 430.0, -4271.0
732.0, -88.0, -699.0, -7.0, 10.0, -24.0, 2974.0, 430.0, -4271.0
735.0, -82.0, -704.0, -7.0, 10.0, -24.0, 2711.0, 378.0, -4358.0
740.0, -79.0, -717.0, -8.0, 10.0, -24.0, 2711.0, 378.0, -4358.0
741.0, -75.0, -720.0, -7.0, 10.0, -24.0, 2711.0, 378.0, -4358.0
738.0, -79.0, -712.0, -7.0, 10.0, -24.0, 2711.0, 378.0, -4358.0
734.0, -87.0, -708.0, -6.0, 10.0, -23.0, 2711.0, 378.0, -4358.0
733.0, -85.0, -708.0, -7.0, 10.0, -23.0, 2711.0, 378.0, -4358.0
738.0, -84.0, -703.0, -8.0, 10.0, -23.0, 2711.0, 378.0, -4358.0
738.0, -84.0, -703.0, -8.0, 10.0, -23.0, 2711.0, 378.0, -4358.0
742.0, -83.0, -711.0, -9.0, 10.0, -22.0, 2711.0, 378.0, -4358.0
736.0, -76.0, -719.0, -9.0, 9.0, -21.0, 2711.0, 378.0, -4358.0
731.0, -72.0, -717.0, -9.0, 9.0, -21.0, 2711.0, 378.0, -4358.0
731.0, -69.0, -715.0, -8.0, 9.0, -21.0, 2851.0, 483.0, -4289.0
732.0, -63.0, -713.0, -8.0, 9.0, -20.0, 2851.0, 483.0, -4289.0
734.0, -63.0, -715.0, -8.0, 9.0, -20.0, 2851.0, 483.0, -4289.0
738.0, -56.0, -726.0, -9.0, 9.0, -20.0, 2851.0, 483.0, -4289.0
732.0, -48.0, -722.0, -8.0, 9.0, -19.0, 2851.0, 483.0, -4289.0
727.0, -56.0, -706.0, -7.0, 9.0, -19.0, 2851.0, 483.0, -4289.0
727.0, -56.0, -706.0, -7.0, 9.0, -19.0, 2851.0, 483.0, -4289.0
738.0, -63.0, -708.0, -7.0, 9.0, -18.0, 2851.0, 483.0, -4289.0
734.0, -60.0, -716.0, -8.0, 9.0, -17.0, 2851.0, 483.0, -4289.0
