ax,ay,az,gx,gy,gz,mx,my,mz
813.0, -1.0, -610.0, 49.0, -8.0, -46.0, 3813.0, 640.0, -3680.0
819.0, -7.0, -609.0, 48.0, -8.0, -47.0, 3813.0, 640.0, -3680.0
825.0, -21.0, -612.0, 48.0, -8.0, -47.0, 3813.0, 640.0, -3680.0
825.0, -21.0, -612.0, 48.0, -8.0, -47.0, 3813.0, 640.0, -3680.0
820.0, -14.0, -612.0, 47.0, -9.0, -46.0, 3673.0, 605.0, -3506.0
820.0, 8.0, -613.0, 46.0, -9.0, -45.0, 3673.0, 605.0, -3506.0
822.0, 16.0, -610.0, 45.0, -10.0, -46.0, 3673.0, 605.0, -3506.0
820.0, 14.0, -606.0, 46.0, -10.0, -46.0, 3673.0, 605.0, -3506.0
819.0, 14.0, -605.0, 46.0, -10.0, -45.0, 3673.0, 605.0, -3506.0
826.0, 14.0, -611.0, 47.0, -10.0, -45.0, 3673.0, 605.0, -3506.0
830.0, 14.0, -614.0, 47.0, -10.0, -44.0, 3673.0, 605.0, -3506.0
831.0, 5.0, -612.0, 48.0, -10.0, -43.0, 3673.0, 605.0, -3506.0
831.0, -2.0, -614.0, 49.0, -11.0, -41.0, 3673.0, 605.0, -3506.0
831.0, -2.0, -616.0, 49.0, -11.0, -42.0, 3673.0, 605.0, -3506.0
831.0, -2.0, -616.0, 49.0, -11.0, -42.0, 3673.0, 605.0, -3506.0
832.0, -6.0, -615.0, 48.0, -12.0, -41.0, 3726.0, 692.0, -3558.0
830.0, 2.0, -615.0, 48.0, -12.0, -41.0, 3726.0, 692.0, -3558.0
827.0, 16.0, -616.0, 48.0, -12.0, -40.0, 3726.0, 692.0, -3558.0
833.0, 4.0, -612.0, 49.0, -12.0, -41.0, 3726.0, 692.0, -3558.0
835.0, -16.0, -606.0, 50.0, -11.0, -40.0, 3726.0, 692.0, -3558.0
833.0, -7.0, -608.0, 49.0, -11.0, -39.0, 3726.0, 692.0, -3558.0
830.0, 18.0, -612.0, 48.0, -12.0, -39.0, 3726.0, 692.0, -3558.0
826.0, 36.0, -609.0, 47.0, -12.0, -40.0, 3726.0, 692.0, -3558.0
825.0, 39.0, -606.0, 48.0, -12.0, -41.0, 3726.0, 692.0, -3558.0
825.0, 41.0, -605.0, 49.0, -12.0, -42.0, 3726.0, 692.0, -3558.0
825.0, 41.0, -605.0, 49.0, -12.0, -42.0, 3726.0, 692.0, -3558.0
