ax,ay,az,gx,gy,gz,mx,my,mz
848.0, 96.0, -562.0, 1.0, -1.0, 1.0, 3481.0, 867.0, -3767.0
848.0, 96.0, -562.0, 1.0, -1.0, 1.0, 3481.0, 867.0, -3767.0
848.0, 95.0, -561.0, 1.0, -1.0, 1.0, 3481.0, 867.0, -3767.0
847.0, 95.0, -561.0, 1.0, -1.0, 0.0, 3481.0, 867.0, -3767.0
847.0, 95.0, -561.0, 1.0, -1.0, 0.0, 3481.0, 867.0, -3767.0
846.0, 95.0, -561.0, 1.0, -1.0, 0.0, 3481.0, 867.0, -3767.0
846.0, 95.0, -561.0, 1.0, -1.0, 0.0, 3586.0, 832.0, -3767.0
845.0, 95.0, -561.0, 1.0, -1.0, 0.0, 3586.0, 832.0, -3767.0
845.0, 95.0, -561.0, 1.0, -1.0, 0.0, 3586.0, 832.0, -3767.0
845.0, 96.0, -561.0, 1.0, -1.0, 0.0, 3586.0, 832.0, -3767.0
845.0, 96.0, -561.0, 1.0, -1.0, 0.0, 3586.0, 832.0, -3767.0
845.0, 96.0, -561.0, 1.0, -1.0, 0.0, 3586.0, 832.0, -3767.0
845.0, 96.0, -561.0, 1.0, -1.0, 0.0, 3586.0, 832.0, -3767.0
846.0, 96.0, -561.0, 1.0, -1.0, 0.0, 3586.0, 832.0, -3767.0
846.0, 96.0, -561.0, 1.0, -1.0, 0.0, 3586.0, 832.0, -3767.0
847.0, 97.0, -562.0, 1.0, -1.0, 0.0, 3586.0, 832.0, -3767.0
847.0, 97.0, -562.0, 1.0, -1.0, 0.0, 3586.0, 832.0, -3767.0
848.0, 97.0, -563.0, 1.0, -1.0, 0.0, 3673.0, 849.0, -3749.0
849.0, 97.0, -563.0, 1.0, -1.0, 0.0, 3673.0, 849.0, -3749.0
849.0, 97.0, -564.0, 1.0, -1.0, 0.0, 3673.0, 849.0, -3749.0
849.0, 97.0, -564.0, 1.0, -1.0, 0.0, 3673.0, 849.0, -3749.0
849.0, 97.0, -565.0, 1.0, -1.0, 0.0, 3673.0, 849.0, -3749.0
849.0, 98.0, -564.0, 1.0, -1.0, 0.0, 3673.0, 849.0, -3749.0
849.0, 98.0, -564.0, 1.0, -1.0, 0.0, 3673.0, 849.0, -3749.0
848.0, 98.0, -563.0, 1.0, -1.0, 0.0, 3673.0, 849.0, -3749.0
848.0, 98.0, -563.0, 1.0, -1.0, 0.0, 3673.0, 849.0, -3749.0
848.0, 98.0, -562.0, 1.0, -1.0, 0.0, 3673.0, 849.0, -3749.0
848.0, 98.0, -562.0, 1.0, -1.0, 0.0, 3673.0, 849.0, -3749.0
848.0, 98.0, -561.0, 1.0, -1.0, 0.0, 3656.0, 762.0, -3801.0
847.0, 97.0, -561.0, 1.0, -1.0, 0.0, 3656.0, 762.0, -3801.0
847.0, 97.0, -560.0, 1.0, -1.0, 0.0, 3656.0, 762.0, -3801.0
847.0, 97.0, -559.0, 1.0, -1.0, 0.0, 3656.0, 762.0, -3801.0
847.0, 97.0, -559.0, 1.0, -1.0, 0.0, 3656.0, 762.0, -3801.0
846.0, 97.0, -558.0, 1.0, -1.0, 0.0, 3656.0, 762.0, -3801.0
847.0, 98.0, -558.0, 1.0, -1.0, 0.0, 3656.0, 762.0, -3801.0
847.0, 98.0, -558.0, 1.0, -1.0, 0.0, 3656.0, 762.0, -3801.0
848.0, 98.0, -559.0, 1.0, -1.0, 0.0, 3656.0, 762.0, -3801.0
848.0, 98.0, -560.0, 1.0, -1.0, 0.0, 3656.0, 762.0, -3801.0
848.0, 98.0, -561.0, 1.0, -1.0, -1.0, 3656.0, 762.0, -3801.0
849.0, 98.0, -561.0, 1.0, -2.0, -1.0, 3656.0, 762.0, -3801.0
849.0, 98.0, -561.0, 1.0, -2.0, -1.0, 3673.0, 780.0, -3645.0
849.0, 98.0, -562.0, 1.0, -2.0, -1.0, 3673.0, 780.0, -3645.0
850.0, 97.0, -563.0, 1.0, -2.0, -1.0, 3673.0, 780.0, -3645.0
850.0, 97.0, -564.0, 1.0, -2.0, -1.0, 3673.0, 780.0, -3645.0
850.0, 97.0, -566.0, 1.0, -2.0, -1.0, 3673.0, 780.0, -3645.0
850.0, 97.0, -566.0, 1.0, -2.0, -1.0, 3673.0, 780.0, -3645.0
850.0, 97.0, -567.0, 1.0, -2.0, -1.0, 3673.0, 780.0, -3645.0
850.0, 97.0, -567.0, 1.0, -2.0, -1.0, 3673.0, 780.0, -3645.0
850.0, 96.0, -567.0, 1.0, -2.0, -1.0, 3673.0, 780.0, -3645.0
850.0, 96.0, -567.0, 1.0, -2.0, -1.0, 3673.0, 780.0, -3645.0
851.0, 97.0, -568.0, 1.0, -3.0, -2.0, 3673.0, 780.0, -3645.0
850.0, 97.0, -567.0, 1.0, -3.0, -2.0, 3499.0, 954.0, -3888.0
850.0, 97.0, -566.0, 1.0, -3.0, -2.0, 3499.0, 954.0, -3888.0
850.0, 97.0, -565.0, 1.0, -3.0, -2.0, 3499.0, 954.0, -3888.0
849.0, 97.0, -565.0, 1.0, -3.0, -2.0, 3499.0, 954.0, -3888.0
848.0, 97.0, -565.0, 1.0, -3.0, -2.0, 3499.0, 954.0, -3888.0
847.0, 97.0, -564.0, 1.0, -3.0, -3.0, 3499.0, 954.0, -3888.0
847.0, 98.0, -563.0, 1.0, -3.0, -3.0, 3499.0, 954.0, -3888.0
