ax,ay,az,gx,gy,gz,mx,my,mz
380.0, 331.0, -847.0, -3.0, 8.0, -8.0, 1819.0, 2525.0, -3401.0
380.0, 331.0, -848.0, -3.0, 8.0, -8.0, 1819.0, 2525.0, -3436.0
380.0, 331.0, -848.0, -3.0, 8.0, -8.0, 1819.0, 2525.0, -3436.0
380.0, 330.0, -849.0, -3.0, 8.0, -8.0, 1819.0, 2525.0, -3436.0
380.0, 328.0, -851.0, -3.0, 9.0, -8.0, 1819.0, 2525.0, -3436.0
381.0, 327.0, -853.0, -3.0, 9.0, -8.0, 1819.0, 2525.0, -3436.0
382.0, 325.0, -855.0, -3.0, 10.0, -8.0, 1819.0, 2525.0, -3436.0
383.0, 323.0, -858.0, -3.0, 10.0, -8.0, 1819.0, 2525.0, -3436.0
383.0, 320.0, -860.0, -3.0, 10.0, -8.0, 1819.0, 2525.0, -3436.0
383.0, 318.0, -861.0, -3.0, 11.0, -8.0, 1819.0, 2525.0, -3436.0
384.0, 316.0, -863.0, -3.0, 11.0, -8.0, 1819.0, 2525.0, -3436.0
384.0, 313.0, -865.0, -3.0, 11.0, -8.0, 1819.0, 2525.0, -3436.0
384.0, 313.0, -865.0, -3.0, 11.0, -8.0, 1592.0, 2717.0, -3488.0
385.0, 311.0, -867.0, -3.0, 11.0, -8.0, 1592.0, 2717.0, -3488.0
385.0, 310.0, -870.0, -3.0, 12.0, -8.0, 1592.0, 2717.0, -3488.0
385.0, 307.0, -873.0, -3.0, 12.0, -8.0, 1592.0, 2717.0, -3488.0
386.0, 305.0, -876.0, -3.0, 12.0, -7.0, 1592.0, 2717.0, -3488.0
387.0, 302.0, -879.0, -3.0, 12.0, -7.0, 1592.0, 2717.0, -3488.0
387.0, 301.0, -882.0, -3.0, 12.0, -7.0, 1592.0, 2717.0, -3488.0
388.0, 300.0, -885.0, -3.0, 12.0, -7.0, 1592.0, 2717.0, -3488.0
388.0, 299.0, -889.0, -3.0, 12.0, -7.0, 1592.0, 2717.0, -3488.0
388.0, 297.0, -892.0, -3.0, 12.0, -6.0, 1592.0, 2717.0, -3488.0
388.0, 297.0, -892.0, -3.0, 12.0, -6.0, 1592.0, 2717.0, -3488.0
389.0, 296.0, -896.0, -3.0, 12.0, -6.0, 1592.0, 2717.0, -3488.0
390.0, 295.0, -900.0, -3.0, 12.0, -6.0, 1592.0, 2717.0, -3488.0
391.0, 295.0, -904.0, -3.0, 12.0, -5.0, 1592.0, 2717.0, -3488.0
392.0, 294.0, -908.0, -3.0, 12.0, -5.0, 1592.0, 2717.0, -3488.0
394.0, 294.0, -912.0, -3.0, 12.0, -4.0, 1592.0, 2717.0, -3488.0
395.0, 294.0, -917.0, -3.0, 11.0, -4.0, 1592.0, 2717.0, -3488.0
397.0, 293.0, -920.0, -3.0, 11.0, -4.0, 1592.0, 2717.0, -3488.0
397.0, 293.0, -923.0, -3.0, 11.0, -3.0, 1592.0, 2717.0, -3488.0
