ax,ay,az,gx,gy,gz,mx,my,mz
833.0, -151.0, -608.0, -5.0, -3.0, -21.0, 4356.0, 378.0, -3071.0
838.0, -155.0, -612.0, -5.0, -3.0, -20.0, 4356.0, 378.0, -3071.0
837.0, -156.0, -601.0, -5.0, -2.0, -20.0, 4356.0, 378.0, -3071.0
832.0, -155.0, -582.0, -6.0, -2.0, -20.0, 4356.0, 378.0, -3071.0
833.0, -151.0, -575.0, -6.0, -1.0, -20.0, 4356.0, 378.0, -3071.0
836.0, -150.0, -572.0, -6.0, 0.0, -20.0, 4566.0, 343.0, -3210.0
834.0, -154.0, -557.0, -7.0, 0.0, -20.0, 4566.0, 343.0, -3210.0
831.0, -157.0, -540.0, -7.0, 1.0, -19.0, 4566.0, 343.0, -3210.0
830.0, -158.0, -532.0, -8.0, 2.0, -19.0, 4566.0, 343.0, -3210.0
831.0, -160.0, -531.0, -8.0, 2.0, -20.0, 4566.0, 343.0, -3210.0
832.0, -161.0, -526.0, -8.0, 3.0, -20.0, 4566.0, 343.0, -3210.0
832.0, -161.0, -526.0, -8.0, 3.0, -20.0, 4566.0, 343.0, -3210.0
831.0, -160.0, -519.0, -9.0, 3.0, -20.0, 4566.0, 343.0, -3210.0
830.0, -159.0, -517.0, -9.0, 3.0, -21.0, 4566.0, 343.0, -3210.0
831.0, -157.0, -525.0, -10.0, 3.0, -21.0, 4566.0, 343.0, -3210.0
831.0, -156.0, -535.0, -10.0, 2.0, -22.0, 4566.0, 343.0, -3210.0
827.0, -154.0, -540.0, -10.0, 2.0, -22.0, 4356.0, 204.0, -3071.0
823.0, -153.0, -544.0, -10.0, 1.0, -23.0, 4356.0, 204.0, -3071.0
821.0, -150.0, -556.0, -9.0, 0.0, -23.0, 4356.0, 204.0, -3071.0
821.0, -148.0, -570.0, -9.0, -1.0, -24.0, 4356.0, 204.0, -3071.0
821.0, -148.0, -580.0, -8.0, -2.0, -24.0, 4356.0, 204.0, -3071.0
821.0, -148.0, -580.0, -8.0, -2.0, -24.0, 4356.0, 204.0, -3071.0
822.0, -147.0, -586.0, -8.0, -2.0, -25.0, 4356.0, 204.0, -3071.0
823.0, -146.0, -593.0, -8.0, -3.0, -25.0, 4356.0, 204.0, -3071.0
826.0, -143.0, -600.0, -7.0, -3.0, -25.0, 4356.0, 204.0, -3071.0
827.0, -142.0, -603.0, -7.0, -3.0, -25.0, 4356.0, 204.0, -3071.0
828.0, -140.0, -601.0, -7.0, -2.0, -25.0, 4356.0, 204.0, -3071.0
828.0, -138.0, -599.0, -7.0, -2.0, -25.0, 4548.0, 430.0, -3088.0
830.0, -137.0, -599.0, -7.0, -1.0, -25.0, 4548.0, 430.0, -3088.0
832.0, -138.0, -597.0, -7.0, 0.0, -24.0, 4548.0, 430.0, -3088.0
833.0, -139.0, -592.0, -7.0, 1.0, -24.0, 4548.0, 430.0, -3088.0
833.0, -139.0, -592.0, -7.0, 1.0, -24.0, 4548.0, 430.0, -3088.0
833.0, -140.0, -585.0, -8.0, 2.0, -24.0, 4548.0, 430.0, -3088.0
833.0, -141.0, -580.0, -8.0, 2.0, -23.0, 4548.0, 430.0, -3088.0
833.0, -142.0, -575.0, -8.0, 3.0, -23.0, 4548.0, 430.0, -3088.0
833.0, -143.0, -570.0, -9.0, 4.0, -23.0, 4548.0, 430.0, -3088.0
832.0, -144.0, -563.0, -9.0, 4.0, -23.0, 4548.0, 430.0, -3088.0
831.0, -145.0, -558.0, -9.0, 5.0, -24.0, 4548.0, 430.0, -3088.0
831.0, -145.0, -556.0, -9.0, 5.0, -24.0, 4408.0, 361.0, -3123.0
831.0, -145.0, -554.0, -10.0, 5.0, -25.0, 4408.0, 361.0, -3123.0
830.0, -145.0, -553.0, -10.0, 5.0, -25.0, 4408.0, 361.0, -3123.0
830.0, -144.0, -553.0, -10.0, 4.0, -26.0, 4408.0, 361.0, -3123.0
830.0, -144.0, -553.0, -10.0, 4.0, -26.0, 4408.0, 361.0, -3123.0
831.0, -143.0, -557.0, -10.0, 4.0, -26.0, 4408.0, 361.0, -3123.0
831.0, -142.0, -561.0, -10.0, 3.0, -26.0, 4408.0, 361.0, -3123.0
831.0, -141.0, -566.0, -10.0, 2.0, -27.0, 4408.0, 361.0, -3123.0
831.0, -139.0, -572.0, -10.0, 1.0, -27.0, 4408.0, 361.0, -3123.0
832.0, -138.0, -579.0, -9.0, 1.0, -27.0, 4408.0, 361.0, -3123.0
833.0, -137.0, -586.0, -9.0, 0.0, -28.0, 4408.0, 361.0, -3123.0
834.0, -136.0, -590.0, -9.0, -1.0, -28.0, 4601.0, 378.0, -3140.0
835.0, -136.0, -592.0, -8.0, -1.0, -28.0, 4601.0, 378.0, -3140.0
835.0, -136.0, -594.0, -8.0, -1.0, -27.0, 4601.0, 378.0, -3140.0
835.0, -136.0, -594.0, -8.0, -1.0, -27.0, 4601.0, 378.0, -3140.0
836.0, -136.0, -595.0, -8.0, -2.0, -27.0, 4601.0, 378.0, -3140.0
837.0, -135.0, -594.0, -8.0, -1.0, -27.0, 4601.0, 378.0, -3140.0
838.0, -136.0, -590.0, -8.0, -1.0, -27.0, 4601.0, 378.0, -3140.0
839.0, -136.0, -585.0, -8.0, -1.0, -26.0, 4601.0, 378.0, -3140.0
840.0, -137.0, -580.0, -8.0, 0.0, -26.0, 4601.0, 378.0, -3140.0
842.0, -138.0, -574.0, -8.0, 0.0, -26.0, 4601.0, 378.0, -3140.0
843.0, -138.0, -569.0, -8.0, 1.0, -26.0, 4601.0, 378.0, -3140.0
844.0, -139.0, -563.0, -8.0, 1.0, -25.0, 4496.0, 483.0, -3140.0
844.0, -139.0, -559.0, -9.0, 2.0, -25.0, 4496.0, 483.0, -3140.0
844.0, -139.0, -559.0, -9.0, 2.0, -25.0, 4496.0, 483.0, -3140.0
844.0, -139.0, -555.0, -9.0, 2.0, -25.0, 4496.0, 483.0, -3140.0
844.0, -138.0, -553.0, -9.0, 2.0, -25.0, 4496.0, 483.0, -3140.0
844.0, -139.0, -551.0, -9.0, 3.0, -25.0, 4496.0, 483.0, -3140.0
844.0, -140.0, -550.0, -9.0, 2.0, -25.0, 4496.0, 483.0, -3140.0
843.0, -140.0, -550.0, -9.0, 2.0, -25.0, 4496.0, 483.0, -3140.0
841.0, -141.0, -552.0, -9.0, 2.0, -25.0, 4496.0, 483.0, -3140.0
840.0, -142.0, -555.0, -8.0, 1.0, -25.0, 4496.0, 483.0, -3140.0
838.0, -142.0, -558.0, -8.0, 1.0, -25.0, 4496.0, 483.0, -3140.0
837.0, -141.0, -562.0, -8.0, 0.0, -25.0, 4321.0, 483.0, -3140.0
837.0, -139.0, -566.0, -8.0, -1.0, -25.0, 4321.0, 413.0, -2966.0
837.0, -139.0, -566.0, -8.0, -1.0, -25.0, 4321.0, 413.0, -2966.0
836.0, -136.0, -570.0, -8.0, -1.0, -25.0, 4321.0, 413.0, -2966.0
836.0, -133.0, -573.0, -8.0, -2.0, -24.0, 4321.0, 413.0, -2966.0
836.0, -131.0, -577.0, -7.0, -3.0, -24.0, 4321.0, 413.0, -2966.0
836.0, -131.0, -580.0, -7.0, -3.0, -23.0, 4321.0, 413.0, -2966.0
834.0, -131.0, -584.0, -7.0, -4.0, -22.0, 4321.0, 413.0, -2966.0
833.0, -131.0, -587.0, -7.0, -5.0, -22.0, 4321.0, 413.0, -2966.0
832.0, -132.0, -589.0, -6.0, -5.0, -21.0, 4321.0, 413.0, -2966.0
831.0, -133.0, -589.0, -6.0, -5.0, -20.0, 4321.0, 413.0, -2966.0
830.0, -133.0, -589.0, -6.0, -6.0, -20.0, 4321.0, 413.0, -2966.0
830.0, -133.0, -589.0, -6.0, -6.0, -20.0, 4391.0, 553.0, -3071.0
829.0, -133.0, -587.0, -6.0, -6.0, -19.0, 4391.0, 553.0, -3071.0
829.0, -133.0, -585.0, -6.0, -6.0, -19.0, 4391.0, 553.0, -3071.0
829.0, -132.0, -583.0, -6.0, -5.0, -18.0, 4391.0, 553.0, -3071.0
830.0, -131.0, -580.0, -6.0, -5.0, -18.0, 4391.0, 553.0, -3071.0
831.0, -131.0, -576.0, -6.0, -5.0, -18.0, 4391.0, 553.0, -3071.0
831.0, -130.0, -573.0, -6.0, -5.0, -17.0, 4391.0, 553.0, -3071.0
831.0, -129.0, -571.0, -5.0, -5.0, -17.0, 4391.0, 553.0, -3071.0
831.0, -128.0, -569.0, -5.0, -4.0, -16.0, 4391.0, 553.0, -3071.0
832.0, -127.0, -567.0, -5.0, -4.0, -16.0, 4391.0, 553.0, -3071.0
832.0, -127.0, -567.0, -5.0, -4.0, -16.0, 4391.0, 553.0, -3071.0
832.0, -126.0, -566.0, -5.0, -4.0, -16.0, 4233.0, 465.0, -2914.0
833.0, -125.0, -566.0, -5.0, -4.0, -15.0, 4233.0, 465.0, -2914.0
833.0, -125.0, -566.0, -4.0, -3.0, -15.0, 4233.0, 465.0, -2914.0
833.0, -124.0, -566.0, -4.0, -3.0, -15.0, 4233.0, 465.0, -2914.0
833.0, -124.0, -567.0, -4.0, -3.0, -14.0, 4233.0, 465.0, -2914.0
833.0, -124.0, -570.0, -4.0, -3.0, -14.0, 4233.0, 465.0, -2914.0
832.0, -124.0, -572.0, -4.0, -3.0, -13.0, 4233.0, 465.0, -2914.0
832.0, -124.0, -575.0, -4.0, -3.0, -13.0, 4233.0, 465.0, -2914.0
831.0, -124.0, -578.0, -3.0, -3.0, -13.0, 4233.0, 465.0, -2914.0
831.0, -124.0, -578.0, -3.0, -3.0, -13.0, 4233.0, 465.0, -2914.0
830.0, -124.0, -580.0, -3.0, -3.0, -12.0, 4233.0, 465.0, -2914.0
830.0, -124.0, -582.0, -3.0, -3.0, -12.0, 4338.0, 500.0, -3123.0
829.0, -124.0, -584.0, -3.0, -3.0, -12.0, 4338.0, 500.0, -3123.0
829.0, -123.0, -586.0, -3.0, -2.0, -11.0, 4338.0, 500.0, -3123.0
828.0, -123.0, -587.0, -3.0, -2.0, -11.0, 4338.0, 500.0, -3123.0
827.0, -122.0, -587.0, -3.0, -2.0, -11.0, 4338.0, 500.0, -3123.0
827.0, -122.0, -587.0, -3.0, -2.0, -10.0, 4338.0, 500.0, -3123.0
827.0, -120.0, -587.0, -3.0, -2.0, -10.0, 4338.0, 500.0, -3123.0
827.0, -119.0, -587.0, -2.0, -2.0, -10.0, 4338.0, 500.0, -3123.0
828.0, -119.0, -586.0, -2.0, -2.0, -9.0, 4338.0, 500.0, -3123.0
828.0, -119.0, -586.0, -2.0, -2.0, -9.0, 4338.0, 500.0, -3123.0
829.0, -118.0, -584.0, -2.0, -2.0, -9.0, 4338.0, 500.0, -3123.0
830.0, -117.0, -582.0, -2.0, -2.0, -8.0, 4338.0, 500.0, -3123.0
830.0, -116.0, -580.0, -2.0, -1.0, -8.0, 4338.0, 500.0, -3123.0
831.0, -115.0, -577.0, -2.0, -1.0, -7.0, 4338.0, 500.0, -3123.0
832.0, -115.0, -574.0, -2.0, -1.0, -7.0, 4338.0, 500.0, -3123.0
834.0, -115.0, -572.0, -2.0, 0.0, -7.0, 4338.0, 500.0, -3123.0
835.0, -114.0, -571.0, -2.0, 0.0, -6.0, 4338.0, 500.0, -3123.0
835.0, -114.0, -570.0, -2.0, 0.0, -6.0, 4338.0, 500.0, -3123.0
835.0, -114.0, -570.0, -2.0, 0.0, -6.0, 4338.0, 500.0, -3123.0
836.0, -115.0, -569.0, -2.0, 1.0, -5.0, 4338.0, 500.0, -3123.0
836.0, -116.0, -568.0, -2.0, 1.0, -5.0, 4338.0, 500.0, -3123.0
837.0, -117.0, -568.0, -2.0, 1.0, -4.0, 4338.0, 500.0, -3123.0
837.0, -118.0, -569.0, -2.0, 1.0, -4.0, 4338.0, 500.0, -3123.0
837.0, -119.0, -569.0, -2.0, 2.0, -3.0, 4338.0, 500.0, -3123.0
837.0, -120.0, -571.0, -2.0, 2.0, -3.0, 4338.0, 500.0, -3123.0
836.0, -121.0, -573.0, -2.0, 2.0, -3.0, 4338.0, 500.0, -3123.0
835.0, -122.0, -576.0, -2.0, 2.0, -2.0, 4338.0, 500.0, -3123.0
835.0, -122.0, -576.0, -2.0, 2.0, -2.0, 4338.0, 500.0, -3123.0
835.0, -123.0, -577.0, -2.0, 2.0, -2.0, 4338.0, 500.0, -3123.0
