ax,ay,az,gx,gy,gz,mx,my,mz
820.0, -29.0, -614.0, 14.0, 28.0, 0.0, 4058.0, 1024.0, -3192.0
820.0, -29.0, -613.0, 13.0, 28.0, 0.0, 4058.0, 1024.0, -3192.0
820.0, -29.0, -613.0, 13.0, 28.0, 0.0, 4058.0, 1024.0, -3192.0
820.0, -29.0, -612.0, 13.0, 27.0, 0.0, 4058.0, 1024.0, -3192.0
820.0, -29.0, -611.0, 13.0, 27.0, 0.0, 4058.0, 1024.0, -3192.0
820.0, -29.0, -611.0, 13.0, 27.0, 0.0, 4058.0, 1024.0, -3192.0
820.0, -29.0, -610.0, 13.0, 27.0, 0.0, 4058.0, 1024.0, -3192.0
820.0, -29.0, -610.0, 13.0, 27.0, 0.0, 4041.0, 797.0, -3140.0
820.0, -29.0, -610.0, 13.0, 27.0, 0.0, 4041.0, 797.0, -3140.0
821.0, -29.0, -610.0, 13.0, 26.0, 0.0, 4041.0, 797.0, -3140.0
821.0, -29.0, -610.0, 12.0, 26.0, 0.0, 4041.0, 797.0, -3140.0
821.0, -29.0, -609.0, 12.0, 26.0, 0.0, 4041.0, 797.0, -3140.0
821.0, -28.0, -610.0, 12.0, 26.0, 0.0, 4041.0, 797.0, -3140.0
822.0, -28.0, -610.0, 12.0, 26.0, 0.0, 4041.0, 797.0, -3140.0
822.0, -27.0, -609.0, 12.0, 25.0, 1.0, 4041.0, 797.0, -3140.0
823.0, -27.0, -610.0, 12.0, 25.0, 1.0, 4041.0, 797.0, -3140.0
823.0, -27.0, -609.0, 11.0, 25.0, 1.0, 4041.0, 797.0, -3140.0
823.0, -27.0, -609.0, 11.0, 25.0, 1.0, 4041.0, 797.0, -3140.0
824.0, -28.0, -608.0, 11.0, 24.0, 1.0, 3971.0, 797.0, -3175.0
824.0, -28.0, -607.0, 11.0, 24.0, 1.0, 3971.0, 797.0, -3175.0
824.0, -28.0, -606.0, 11.0, 24.0, 2.0, 3971.0, 797.0, -3175.0
825.0, -28.0, -605.0, 10.0, 23.0, 2.0, 3971.0, 797.0, -3175.0
827.0, -28.0, -603.0, 10.0, 23.0, 2.0, 3971.0, 797.0, -3175.0
827.0, -28.0, -603.0, 10.0, 23.0, 2.0, 3971.0, 797.0, -3175.0
