ax,ay,az,gx,gy,gz,mx,my,mz
991.0, -114.0, 68.0, 2.0, 2.0, 2.0, 5615.0, 657.0, 131.0
992.0, -116.0, 66.0, 2.0, 2.0, 2.0, 5615.0, 657.0, 131.0
993.0, -118.0, 65.0, 2.0, 2.0, 1.0, 5615.0, 657.0, 131.0
993.0, -119.0, 63.0, 3.0, 2.0, 1.0, 5615.0, 657.0, 131.0
994.0, -119.0, 62.0, 3.0, 3.0, 1.0, 5615.0, 657.0, 131.0
995.0, -119.0, 60.0, 3.0, 3.0, 1.0, 5790.0, 343.0, 131.0
996.0, -119.0, 58.0, 3.0, 3.0, 1.0, 5790.0, 343.0, 131.0
996.0, -119.0, 58.0, 3.0, 3.0, 1.0, 5790.0, 343.0, 131.0
997.0, -119.0, 57.0, 3.0, 3.0, 1.0, 5790.0, 343.0, 131.0
998.0, -120.0, 55.0, 3.0, 3.0, 1.0, 5790.0, 343.0, 131.0
999.0, -119.0, 54.0, 3.0, 3.0, 1.0, 5790.0, 343.0, 131.0
1000.0, -119.0, 53.0, 3.0, 3.0, 1.0, 5790.0, 343.0, 131.0
1001.0, -119.0, 51.0, 3.0, 3.0, 1.0, 5790.0, 343.0, 131.0
1002.0, -118.0, 50.0, 3.0, 3.0, 1.0, 5790.0, 343.0, 131.0
1003.0, -118.0, 48.0, 3.0, 2.0, 0.0, 5790.0, 343.0, 131.0
1004.0, -118.0, 47.0, 3.0, 2.0, 0.0, 5790.0, 343.0, 131.0
1004.0, -118.0, 47.0, 3.0, 2.0, 0.0, 5790.0, 343.0, 131.0
1004.0, -118.0, 45.0, 3.0, 2.0, 0.0, 5703.0, 535.0, 79.0
1004.0, -118.0, 44.0, 3.0, 2.0, 0.0, 5703.0, 535.0, 79.0
1005.0, -119.0, 42.0, 3.0, 2.0, 0.0, 5703.0, 535.0, 79.0
1006.0, -119.0, 40.0, 3.0, 2.0, 0.0, 5703.0, 535.0, 79.0
1006.0, -120.0, 39.0, 3.0, 2.0, 0.0, 5703.0, 535.0, 79.0
1006.0, -121.0, 38.0, 3.0, 1.0, 0.0, 5703.0, 535.0, 79.0
1006.0, -122.0, 37.0, 2.0, 1.0, -1.0, 5703.0, 535.0, 79.0
1006.0, -122.0, 37.0, 2.0, 1.0, -1.0, 5703.0, 535.0, 79.0
1006.0, -123.0, 36.0, 2.0, 1.0, -1.0, 5703.0, 535.0, 79.0
1006.0, -125.0, 36.0, 2.0, 1.0, -1.0, 5703.0, 535.0, 79.0
1006.0, -126.0, 36.0, 2.0, 1.0, -1.0, 5703.0, 535.0, 79.0
1006.0, -127.0, 36.0, 2.0, 0.0, -1.0, 5965.0, 588.0, 271.0
1006.0, -128.0, 36.0, 2.0, 0.0, -1.0, 5965.0, 588.0, 271.0
1006.0, -130.0, 36.0, 2.0, 0.0, -1.0, 5965.0, 588.0, 271.0
1006.0, -132.0, 37.0, 2.0, 0.0, -1.0, 5965.0, 588.0, 271.0
1006.0, -132.0, 37.0, 2.0, 0.0, -1.0, 5965.0, 588.0, 271.0
1006.0, -133.0, 38.0, 2.0, 0.0, -1.0, 5965.0, 588.0, 271.0
1006.0, -134.0, 40.0, 2.0, -1.0, -1.0, 5965.0, 588.0, 271.0
1006.0, -134.0, 41.0, 1.0, -1.0, -1.0, 5965.0, 588.0, 271.0
1005.0, -135.0, 43.0, 1.0, -1.0, -1.0, 5965.0, 588.0, 271.0
1005.0, -136.0, 45.0, 1.0, -1.0, -1.0, 5965.0, 588.0, 271.0
1004.0, -137.0, 47.0, 1.0, -1.0, -1.0, 5965.0, 588.0, 271.0
1003.0, -137.0, 50.0, 1.0, -1.0, -1.0, 5685.0, 448.0, 271.0
1002.0, -137.0, 53.0, 1.0, -1.0, 0.0, 5685.0, 448.0, 166.0
1002.0, -137.0, 53.0, 1.0, -1.0, 0.0, 5685.0, 448.0, 166.0
1001.0, -136.0, 56.0, 1.0, -1.0, 0.0, 5685.0, 448.0, 166.0
999.0, -136.0, 59.0, 0.0, -2.0, 0.0, 5685.0, 448.0, 166.0
998.0, -136.0, 62.0, 0.0, -2.0, 0.0, 5685.0, 448.0, 166.0
997.0, -137.0, 64.0, 0.0, -2.0, 0.0, 5685.0, 448.0, 166.0
996.0, -137.0, 66.0, 0.0, -1.0, 0.0, 5685.0, 448.0, 166.0
