ax,ay,az,gx,gy,gz,mx,my,mz
533.0, 92.0, -864.0, 1.0, -1.0, 3.0, 2851.0, 1774.0, -3836.0
533.0, 92.0, -863.0, 1.0, -1.0, 3.0, 2746.0, 1740.0, -3732.0
533.0, 91.0, -862.0, 1.0, -1.0, 2.0, 2746.0, 1740.0, -3732.0
534.0, 91.0, -861.0, 1.0, -1.0, 2.0, 2746.0, 1740.0, -3732.0
534.0, 91.0, -861.0, 1.0, -1.0, 2.0, 2746.0, 1740.0, -3732.0
535.0, 91.0, -860.0, 1.0, 0.0, 2.0, 2746.0, 1740.0, -3732.0
535.0, 91.0, -861.0, 1.0, 0.0, 2.0, 2746.0, 1740.0, -3732.0
535.0, 91.0, -861.0, 1.0, 0.0, 2.0, 2746.0, 1740.0, -3732.0
535.0, 92.0, -861.0, 1.0, 0.0, 2.0, 2746.0, 1740.0, -3732.0
536.0, 92.0, -860.0, 1.0, 0.0, 2.0, 2746.0, 1740.0, -3732.0
536.0, 92.0, -859.0, 0.0, 0.0, 2.0, 2746.0, 1740.0, -3732.0
536.0, 92.0, -859.0, 0.0, 1.0, 2.0, 2746.0, 1740.0, -3732.0
536.0, 92.0, -859.0, 0.0, 1.0, 2.0, 2711.0, 1809.0, -3975.0
537.0, 91.0, -860.0, 0.0, 1.0, 2.0, 2711.0, 1809.0, -3975.0
537.0, 91.0, -861.0, 0.0, 2.0, 1.0, 2711.0, 1809.0, -3975.0
537.0, 91.0, -861.0, 0.0, 2.0, 1.0, 2711.0, 1809.0, -3975.0
537.0, 91.0, -861.0, 0.0, 2.0, 1.0, 2711.0, 1809.0, -3975.0
537.0, 92.0, -861.0, -1.0, 2.0, 1.0, 2711.0, 1809.0, -3975.0
537.0, 92.0, -862.0, -1.0, 2.0, 1.0, 2711.0, 1809.0, -3975.0
537.0, 92.0, -862.0, -1.0, 3.0, 1.0, 2711.0, 1809.0, -3975.0
538.0, 92.0, -864.0, -1.0, 3.0, 1.0, 2711.0, 1809.0, -3975.0
538.0, 92.0, -866.0, -1.0, 3.0, 1.0, 2711.0, 1809.0, -3975.0
539.0, 93.0, -867.0, -2.0, 4.0, 1.0, 2711.0, 1809.0, -3975.0
539.0, 94.0, -868.0, -2.0, 4.0, 1.0, 2711.0, 1809.0, -3975.0
540.0, 94.0, -869.0, -2.0, 4.0, 0.0, 2711.0, 1809.0, -3975.0
540.0, 94.0, -869.0, -2.0, 4.0, 0.0, 2711.0, 1809.0, -3975.0
540.0, 95.0, -871.0, -2.0, 4.0, 0.0, 2711.0, 1809.0, -3975.0
541.0, 96.0, -872.0, -3.0, 5.0, 0.0, 2711.0, 1809.0, -3975.0
542.0, 96.0, -874.0, -3.0, 5.0, 0.0, 2711.0, 1809.0, -3975.0
543.0, 97.0, -877.0, -3.0, 5.0, 0.0, 2711.0, 1809.0, -3975.0
544.0, 98.0, -879.0, -3.0, 5.0, 0.0, 2711.0, 1809.0, -3975.0
544.0, 99.0, -881.0, -3.0, 5.0, -1.0, 2711.0, 1809.0, -3975.0
544.0, 99.0, -884.0, -4.0, 5.0, -1.0, 2711.0, 1809.0, -3975.0
545.0, 100.0, -887.0, -4.0, 5.0, -1.0, 2711.0, 1809.0, -3975.0
545.0, 100.0, -887.0, -4.0, 5.0, -1.0, 2711.0, 1809.0, -3975.0
546.0, 100.0, -889.0, -4.0, 6.0, -1.0, 2711.0, 1809.0, -3975.0
546.0, 100.0, -892.0, -4.0, 5.0, -1.0, 2711.0, 1809.0, -3975.0
547.0, 100.0, -895.0, -4.0, 5.0, -2.0, 2711.0, 1809.0, -3975.0
548.0, 100.0, -896.0, -4.0, 5.0, -2.0, 2711.0, 1809.0, -3975.0
548.0, 99.0, -898.0, -4.0, 5.0, -2.0, 2711.0, 1809.0, -3975.0
549.0, 99.0, -900.0, -5.0, 5.0, -2.0, 2711.0, 1809.0, -3975.0
549.0, 99.0, -901.0, -5.0, 5.0, -2.0, 2711.0, 1809.0, -3975.0
549.0, 99.0, -902.0, -5.0, 5.0, -2.0, 2711.0, 1809.0, -3975.0
549.0, 99.0, -903.0, -5.0, 5.0, -2.0, 2711.0, 1809.0, -3975.0
549.0, 99.0, -903.0, -5.0, 5.0, -2.0, 2711.0, 1809.0, -3975.0
549.0, 99.0, -904.0, -5.0, 5.0, -3.0, 2711.0, 1809.0, -3975.0
549.0, 99.0, -905.0, -5.0, 4.0, -3.0, 2711.0, 1809.0, -3975.0
549.0, 98.0, -906.0, -5.0, 4.0, -3.0, 2799.0, 1617.0, -3784.0
549.0, 98.0, -906.0, -5.0, 4.0, -3.0, 2799.0, 1617.0, -3784.0
548.0, 98.0, -907.0, -5.0, 4.0, -3.0, 2799.0, 1617.0, -3784.0
547.0, 97.0, -907.0, -5.0, 3.0, -3.0, 2799.0, 1617.0, -3784.0
546.0, 96.0, -908.0, -5.0, 3.0, -3.0, 2799.0, 1617.0, -3784.0
546.0, 96.0, -906.0, -5.0, 3.0, -3.0, 2799.0, 1617.0, -3784.0
546.0, 96.0, -906.0, -5.0, 3.0, -3.0, 2799.0, 1617.0, -3784.0
546.0, 95.0, -905.0, -5.0, 3.0, -3.0, 2799.0, 1617.0, -3784.0
545.0, 94.0, -904.0, -4.0, 2.0, -3.0, 2799.0, 1617.0, -3784.0
545.0, 94.0, -902.0, -4.0, 2.0, -3.0, 2799.0, 1617.0, -3784.0
545.0, 94.0, -901.0, -4.0, 2.0, -3.0, 2799.0, 1617.0, -3784.0
545.0, 93.0, -899.0, -4.0, 1.0, -3.0, 2851.0, 1670.0, -3836.0
544.0, 93.0, -898.0, -4.0, 1.0, -3.0, 2851.0, 1670.0, -3836.0
544.0, 92.0, -897.0, -4.0, 1.0, -3.0, 2851.0, 1670.0, -3836.0
543.0, 91.0, -895.0, -4.0, 1.0, -4.0, 2851.0, 1670.0, -3836.0
543.0, 91.0, -895.0, -4.0, 1.0, -4.0, 2851.0, 1670.0, -3836.0
542.0, 91.0, -893.0, -4.0, 0.0, -4.0, 2851.0, 1670.0, -3836.0
541.0, 90.0, -891.0, -3.0, 0.0, -4.0, 2851.0, 1670.0, -3836.0
540.0, 89.0, -889.0, -3.0, 0.0, -4.0, 2851.0, 1670.0, -3836.0
539.0, 88.0, -887.0, -3.0, 0.0, -4.0, 2851.0, 1670.0, -3836.0
539.0, 86.0, -885.0, -3.0, 0.0, -4.0, 2851.0, 1670.0, -3836.0
538.0, 85.0, -884.0, -3.0, -1.0, -4.0, 2851.0, 1670.0, -3836.0
538.0, 84.0, -884.0, -2.0, -1.0, -4.0, 2921.0, 1565.0, -3836.0
538.0, 82.0, -883.0, -2.0, -1.0, -4.0, 2921.0, 1565.0, -3836.0
538.0, 82.0, -883.0, -2.0, -1.0, -4.0, 2921.0, 1565.0, -3836.0
537.0, 81.0, -882.0, -2.0, -1.0, -4.0, 2921.0, 1565.0, -3836.0
535.0, 79.0, -880.0, -2.0, -1.0, -4.0, 2921.0, 1565.0, -3836.0
535.0, 77.0, -878.0, -1.0, -2.0, -4.0, 2921.0, 1565.0, -3836.0
534.0, 75.0, -877.0, -1.0, -2.0, -4.0, 2921.0, 1565.0, -3836.0
533.0, 73.0, -877.0, -1.0, -2.0, -4.0, 2921.0, 1565.0, -3836.0
532.0, 70.0, -876.0, -1.0, -2.0, -3.0, 2921.0, 1565.0, -3836.0
531.0, 68.0, -875.0, 0.0, -2.0, -3.0, 2921.0, 1565.0, -3836.0
