ax,ay,az,gx,gy,gz,mx,my,mz
888.0, -87.0, -490.0, 0.0, -2.0, 2.0, 5248.0, 745.0, -1487.0
889.0, -87.0, -490.0, 0.0, -2.0, 2.0, 5248.0, 745.0, -1487.0
889.0, -87.0, -491.0, 0.0, -2.0, 2.0, 5248.0, 745.0, -1487.0
889.0, -87.0, -490.0, 0.0, -2.0, 2.0, 5248.0, 745.0, -1487.0
889.0, -87.0, -490.0, 0.0, -2.0, 2.0, 5248.0, 745.0, -1487.0
889.0, -88.0, -490.0, 0.0, -2.0, 2.0, 5248.0, 745.0, -1487.0
889.0, -88.0, -490.0, 0.0, -2.0, 2.0, 5248.0, 745.0, -1487.0
890.0, -88.0, -490.0, 0.0, -2.0, 2.0, 5248.0, 745.0, -1487.0
890.0, -89.0, -490.0, 0.0, -2.0, 2.0, 5248.0, 745.0, -1487.0
890.0, -89.0, -490.0, 0.0, -2.0, 2.0, 5248.0, 745.0, -1487.0
891.0, -89.0, -489.0, 0.0, -3.0, 2.0, 5475.0, 727.0, -1539.0
891.0, -89.0, -489.0, 0.0, -3.0, 2.0, 5475.0, 727.0, -1539.0
890.0, -89.0, -490.0, 0.0, -3.0, 2.0, 5475.0, 727.0, -1539.0
890.0, -89.0, -490.0, 0.0, -3.0, 2.0, 5475.0, 727.0, -1539.0
889.0, -89.0, -490.0, 0.0, -3.0, 2.0, 5475.0, 727.0, -1539.0
889.0, -89.0, -490.0, 0.0, -3.0, 2.0, 5475.0, 727.0, -1539.0
889.0, -88.0, -490.0, 0.0, -3.0, 2.0, 5475.0, 727.0, -1539.0
889.0, -89.0, -491.0, 0.0, -3.0, 2.0, 5475.0, 727.0, -1539.0
889.0, -89.0, -491.0, 0.0, -3.0, 2.0, 5475.0, 727.0, -1539.0
889.0, -89.0, -492.0, 0.0, -3.0, 2.0, 5475.0, 727.0, -1539.0
889.0, -88.0, -492.0, 0.0, -4.0, 2.0, 5475.0, 727.0, -1539.0
889.0, -88.0, -493.0, 0.0, -4.0, 2.0, 5125.0, 797.0, -1539.0
889.0, -88.0, -493.0, 0.0, -4.0, 2.0, 5125.0, 797.0, -1539.0
889.0, -88.0, -493.0, 0.0, -4.0, 2.0, 5125.0, 797.0, -1539.0
888.0, -88.0, -493.0, 0.0, -4.0, 2.0, 5125.0, 797.0, -1539.0
887.0, -88.0, -493.0, 0.0, -4.0, 2.0, 5125.0, 797.0, -1539.0
886.0, -88.0, -493.0, 0.0, -4.0, 2.0, 5125.0, 797.0, -1539.0
886.0, -88.0, -493.0, 0.0, -4.0, 2.0, 5125.0, 797.0, -1539.0
886.0, -88.0, -494.0, 0.0, -4.0, 2.0, 5125.0, 797.0, -1539.0
887.0, -88.0, -494.0, 0.0, -4.0, 2.0, 5125.0, 797.0, -1539.0
887.0, -87.0, -494.0, 0.0, -4.0, 2.0, 5125.0, 797.0, -1539.0
888.0, -87.0, -494.0, 0.0, -4.0, 2.0, 5125.0, 797.0, -1539.0
888.0, -87.0, -494.0, 0.0, -3.0, 2.0, 5213.0, 849.0, -1243.0
888.0, -88.0, -494.0, 0.0, -3.0, 2.0, 5213.0, 849.0, -1243.0
887.0, -88.0, -493.0, 0.0, -3.0, 2.0, 5213.0, 849.0, -1243.0
887.0, -88.0, -493.0, 0.0, -3.0, 2.0, 5213.0, 849.0, -1243.0
887.0, -88.0, -493.0, 0.0, -3.0, 2.0, 5213.0, 849.0, -1243.0
886.0, -87.0, -493.0, 0.0, -3.0, 2.0, 5213.0, 849.0, -1243.0
886.0, -86.0, -493.0, 0.0, -3.0, 1.0, 5213.0, 849.0, -1243.0
886.0, -86.0, -493.0, 0.0, -3.0, 1.0, 5213.0, 849.0, -1243.0
886.0, -86.0, -493.0, 0.0, -3.0, 1.0, 5213.0, 849.0, -1243.0
886.0, -86.0, -493.0, 0.0, -3.0, 1.0, 5213.0, 849.0, -1243.0
887.0, -87.0, -493.0, 0.0, -3.0, 1.0, 5213.0, 849.0, -1243.0
887.0, -87.0, -493.0, 0.0, -3.0, 1.0, 5213.0, 849.0, -1243.0
887.0, -87.0, -493.0, 0.0, -3.0, 1.0, 5405.0, 657.0, -1330.0
886.0, -87.0, -493.0, 0.0, -3.0, 1.0, 5405.0, 657.0, -1330.0
887.0, -87.0, -493.0, 0.0, -3.0, 1.0, 5405.0, 657.0, -1330.0
887.0, -87.0, -493.0, 0.0, -3.0, 1.0, 5405.0, 657.0, -1330.0
887.0, -87.0, -493.0, 0.0, -3.0, 1.0, 5405.0, 657.0, -1330.0
887.0, -87.0, -493.0, 0.0, -3.0, 1.0, 5405.0, 657.0, -1330.0
887.0, -87.0, -494.0, 0.0, -3.0, 1.0, 5405.0, 657.0, -1330.0
887.0, -87.0, -494.0, 0.0, -3.0, 1.0, 5405.0, 657.0, -1330.0
886.0, -87.0, -494.0, 0.0, -2.0, 1.0, 5405.0, 657.0, -1330.0
886.0, -87.0, -494.0, 0.0, -2.0, 1.0, 5405.0, 657.0, -1330.0
886.0, -87.0, -494.0, 0.0, -2.0, 1.0, 5405.0, 657.0, -1330.0
886.0, -87.0, -494.0, 0.0, -2.0, 1.0, 5300.0, 902.0, -1504.0
886.0, -87.0, -494.0, 0.0, -2.0, 1.0, 5300.0, 902.0, -1504.0
885.0, -87.0, -494.0, 0.0, -2.0, 1.0, 5300.0, 902.0, -1504.0
885.0, -87.0, -494.0, 0.0, -2.0, 1.0, 5300.0, 902.0, -1504.0
885.0, -87.0, -494.0, 0.0, -2.0, 1.0, 5300.0, 902.0, -1504.0
885.0, -87.0, -494.0, 0.0, -1.0, 1.0, 5300.0, 902.0, -1504.0
885.0, -87.0, -494.0, 0.0, -1.0, 1.0, 5300.0, 902.0, -1504.0
885.0, -87.0, -494.0, 0.0, -1.0, 1.0, 5300.0, 902.0, -1504.0
885.0, -88.0, -494.0, 0.0, -1.0, 1.0, 5300.0, 902.0, -1504.0
885.0, -87.0, -494.0, 0.0, -1.0, 1.0, 5300.0, 902.0, -1504.0
884.0, -87.0, -494.0, 0.0, -1.0, 1.0, 5300.0, 902.0, -1504.0
885.0, -87.0, -495.0, 0.0, -1.0, 1.0, 5195.0, 692.0, -1400.0
885.0, -87.0, -495.0, 0.0, -1.0, 1.0, 5195.0, 692.0, -1400.0
886.0, -87.0, -496.0, 0.0, -1.0, 1.0, 5195.0, 692.0, -1400.0
886.0, -87.0, -496.0, 0.0, -1.0, 1.0, 5195.0, 692.0, -1400.0
886.0, -88.0, -496.0, 0.0, -1.0, 1.0, 5195.0, 692.0, -1400.0
886.0, -88.0, -496.0, 0.0, -1.0, 1.0, 5195.0, 692.0, -1400.0
887.0, -89.0, -495.0, 0.0, -1.0, 1.0, 5195.0, 692.0, -1400.0
887.0, -89.0, -494.0, 0.0, -1.0, 1.0, 5195.0, 692.0, -1400.0
888.0, -89.0, -495.0, 0.0, -1.0, 1.0, 5195.0, 692.0, -1400.0
888.0, -89.0, -495.0, 0.0, 0.0, 1.0, 5195.0, 692.0, -1400.0
889.0, -90.0, -495.0, 0.0, 0.0, 1.0, 5195.0, 692.0, -1400.0
889.0, -90.0, -494.0, 0.0, 0.0, 1.0, 5300.0, 762.0, -1470.0
889.0, -90.0, -493.0, 0.0, 0.0, 1.0, 5300.0, 762.0, -1470.0
889.0, -90.0, -493.0, 0.0, 0.0, 1.0, 5300.0, 762.0, -1470.0
889.0, -90.0, -493.0, 0.0, -1.0, 1.0, 5300.0, 762.0, -1470.0
888.0, -90.0, -492.0, 0.0, -1.0, 2.0, 5300.0, 762.0, -1470.0
888.0, -90.0, -491.0, 0.0, -1.0, 2.0, 5300.0, 762.0, -1470.0
888.0, -90.0, -491.0, 0.0, -1.0, 2.0, 5300.0, 762.0, -1470.0
888.0, -90.0, -492.0, 0.0, -1.0, 2.0, 5300.0, 762.0, -1470.0
888.0, -91.0, -492.0, 0.0, -1.0, 2.0, 5300.0, 762.0, -1470.0
888.0, -91.0, -491.0, 0.0, -1.0, 2.0, 5300.0, 762.0, -1470.0
889.0, -91.0, -491.0, 0.0, -1.0, 2.0, 5300.0, 762.0, -1470.0
889.0, -91.0, -491.0, 0.0, -1.0, 2.0, 5300.0, 762.0, -1470.0
889.0, -91.0, -490.0, 0.0, -1.0, 2.0, 5353.0, 710.0, -1417.0
889.0, -91.0, -491.0, 0.0, -1.0, 2.0, 5353.0, 710.0, -1417.0
888.0, -91.0, -491.0, 0.0, -1.0, 2.0, 5353.0, 710.0, -1417.0
888.0, -91.0, -492.0, 0.0, -1.0, 2.0, 5353.0, 710.0, -1417.0
888.0, -90.0, -492.0, 0.0, -1.0, 2.0, 5353.0, 710.0, -1417.0
888.0, -90.0, -492.0, 0.0, -1.0, 2.0, 5353.0, 710.0, -1417.0
887.0, -89.0, -492.0, 0.0, -2.0, 2.0, 5353.0, 710.0, -1417.0
887.0, -89.0, -491.0, 0.0, -2.0, 2.0, 5353.0, 710.0, -1417.0
887.0, -89.0, -491.0, 0.0, -2.0, 2.0, 5353.0, 710.0, -1417.0
888.0, -89.0, -491.0, 0.0, -2.0, 2.0, 5353.0, 710.0, -1417.0
888.0, -89.0, -491.0, -1.0, -2.0, 2.0, 5353.0, 710.0, -1417.0
888.0, -89.0, -491.0, -1.0, -2.0, 2.0, 5318.0, 675.0, -1487.0
887.0, -89.0, -491.0, -1.0, -2.0, 2.0, 5318.0, 675.0, -1487.0
887.0, -89.0, -491.0, -1.0, -2.0, 2.0, 5318.0, 675.0, -1487.0
887.0, -89.0, -492.0, -1.0, -2.0, 2.0, 5318.0, 675.0, -1487.0
887.0, -89.0, -493.0, -1.0, -2.0, 2.0, 5318.0, 675.0, -1487.0
887.0, -90.0, -493.0, -1.0, -2.0, 1.0, 5318.0, 675.0, -1487.0
887.0, -90.0, -493.0, -1.0, -2.0, 1.0, 5318.0, 675.0, -1487.0
887.0, -89.0, -493.0, -1.0, -2.0, 1.0, 5318.0, 675.0, -1487.0
887.0, -89.0, -493.0, -1.0, -2.0, 1.0, 5318.0, 675.0, -1487.0
886.0, -89.0, -493.0, -1.0, -2.0, 1.0, 5318.0, 675.0, -1487.0
886.0, -89.0, -493.0, -1.0, -2.0, 1.0, 5318.0, 675.0, -1487.0
886.0, -89.0, -493.0, -1.0, -2.0, 1.0, 5248.0, 640.0, -1383.0
886.0, -89.0, -493.0, -1.0, -2.0, 1.0, 5248.0, 640.0, -1383.0
886.0, -89.0, -493.0, -1.0, -2.0, 1.0, 5248.0, 640.0, -1383.0
886.0, -89.0, -493.0, -1.0, -1.0, 1.0, 5248.0, 640.0, -1383.0
886.0, -89.0, -493.0, -1.0, -1.0, 1.0, 5248.0, 640.0, -1383.0
886.0, -89.0, -493.0, -1.0, -1.0, 1.0, 5248.0, 640.0, -1383.0
885.0, -89.0, -493.0, -1.0, -1.0, 1.0, 5248.0, 640.0, -1383.0
885.0, -89.0, -493.0, -1.0, -1.0, 1.0, 5248.0, 640.0, -1383.0
885.0, -89.0, -493.0, -1.0, -1.0, 1.0, 5248.0, 640.0, -1383.0
886.0, -90.0, -492.0, -1.0, -1.0, 1.0, 5248.0, 640.0, -1383.0
886.0, -89.0, -492.0, -1.0, -1.0, 1.0, 5248.0, 640.0, -1383.0
886.0, -88.0, -492.0, -1.0, -1.0, 1.0, 5370.0, 640.0, -1383.0
886.0, -88.0, -492.0, 0.0, -1.0, 1.0, 5370.0, 762.0, -1539.0
886.0, -88.0, -492.0, 0.0, -1.0, 1.0, 5370.0, 762.0, -1539.0
885.0, -88.0, -492.0, 0.0, -1.0, 1.0, 5370.0, 762.0, -1539.0
885.0, -88.0, -493.0, 0.0, -1.0, 1.0, 5370.0, 762.0, -1539.0
885.0, -88.0, -494.0, 0.0, -1.0, 1.0, 5370.0, 762.0, -1539.0
885.0, -89.0, -495.0, 0.0, -1.0, 1.0, 5370.0, 762.0, -1539.0
886.0, -89.0, -496.0, 0.0, 0.0, 0.0, 5370.0, 762.0, -1539.0
886.0, -90.0, -496.0, 0.0, 0.0, 0.0, 5370.0, 762.0, -1539.0
886.0, -90.0, -496.0, 0.0, 0.0, 0.0, 5370.0, 762.0, -1539.0
886.0, -90.0, -496.0, 0.0, 0.0, 0.0, 5370.0, 762.0, -1539.0
886.0, -90.0, -495.0, 0.0, 0.0, 0.0, 5370.0, 762.0, -1539.0
886.0, -90.0, -494.0, 0.0, 0.0, 0.0, 5300.0, 727.0, -1400.0
886.0, -89.0, -495.0, 0.0, 0.0, 0.0, 5300.0, 727.0, -1400.0
886.0, -89.0, -495.0, 0.0, 0.0, 0.0, 5300.0, 727.0, -1400.0
886.0, -88.0, -495.0, 0.0, 0.0, 0.0, 5300.0, 727.0, -1400.0
886.0, -88.0, -495.0, 0.0, 1.0, 0.0, 5300.0, 727.0, -1400.0
886.0, -88.0, -495.0, 0.0, 1.0, 0.0, 5300.0, 727.0, -1400.0
887.0, -89.0, -495.0, 0.0, 1.0, 0.0, 5300.0, 727.0, -1400.0
887.0, -89.0, -495.0, 0.0, 1.0, 0.0, 5300.0, 727.0, -1400.0
887.0, -89.0, -495.0, 0.0, 1.0, 0.0, 5300.0, 727.0, -1400.0
888.0, -89.0, -494.0, 0.0, 1.0, 0.0, 5300.0, 727.0, -1400.0
888.0, -89.0, -494.0, 0.0, 1.0, 0.0, 5300.0, 727.0, -1400.0
889.0, -89.0, -493.0, 0.0, 1.0, 0.0, 5335.0, 727.0, -1504.0
889.0, -89.0, -493.0, 0.0, 1.0, 0.0, 5335.0, 727.0, -1504.0
889.0, -90.0, -493.0, 0.0, 1.0, 0.0, 5335.0, 727.0, -1504.0
889.0, -89.0, -493.0, 0.0, 1.0, 0.0, 5335.0, 727.0, -1504.0
889.0, -89.0, -493.0, 0.0, 0.0, 0.0, 5335.0, 727.0, -1504.0
889.0, -89.0, -493.0, 0.0, 0.0, 0.0, 5335.0, 727.0, -1504.0
889.0, -90.0, -493.0, 0.0, 0.0, 0.0, 5335.0, 727.0, -1504.0
889.0, -90.0, -492.0, 0.0, 0.0, 0.0, 5335.0, 727.0, -1504.0
889.0, -89.0, -493.0, 0.0, 0.0, 0.0, 5335.0, 727.0, -1504.0
890.0, -89.0, -493.0, 0.0, 0.0, 0.0, 5335.0, 727.0, -1504.0
890.0, -89.0, -492.0, 0.0, 0.0, 0.0, 5335.0, 727.0, -1504.0
890.0, -90.0, -492.0, 0.0, 0.0, 0.0, 5178.0, 814.0, -1487.0
890.0, -90.0, -492.0, 0.0, 0.0, 0.0, 5178.0, 814.0, -1487.0
890.0, -90.0, -492.0, 0.0, 0.0, 0.0, 5178.0, 814.0, -1487.0
890.0, -89.0, -493.0, 0.0, -1.0, 0.0, 5178.0, 814.0, -1487.0
890.0, -89.0, -493.0, 0.0, -1.0, 0.0, 5178.0, 814.0, -1487.0
890.0, -89.0, -493.0, 0.0, -1.0, 0.0, 5178.0, 814.0, -1487.0
890.0, -90.0, -493.0, 0.0, -1.0, 0.0, 5178.0, 814.0, -1487.0
890.0, -90.0, -493.0, 0.0, -1.0, 0.0, 5178.0, 814.0, -1487.0
890.0, -90.0, -494.0, 0.0, -1.0, 0.0, 5178.0, 814.0, -1487.0
889.0, -90.0, -494.0, 0.0, -2.0, 0.0, 5178.0, 814.0, -1487.0
889.0, -90.0, -495.0, 0.0, -2.0, 0.0, 5178.0, 814.0, -1487.0
889.0, -90.0, -495.0, 0.0, -2.0, 0.0, 5178.0, 814.0, -1487.0
889.0, -90.0, -495.0, 0.0, -2.0, 0.0, 5388.0, 675.0, -1452.0
889.0, -90.0, -495.0, 0.0, -2.0, 0.0, 5388.0, 675.0, -1452.0
889.0, -90.0, -495.0, 0.0, -2.0, 0.0, 5388.0, 675.0, -1452.0
889.0, -90.0, -494.0, 0.0, -2.0, 0.0, 5388.0, 675.0, -1452.0
889.0, -89.0, -494.0, 0.0, -2.0, 0.0, 5388.0, 675.0, -1452.0
889.0, -89.0, -494.0, 0.0, -2.0, 0.0, 5388.0, 675.0, -1452.0
888.0, -89.0, -494.0, 0.0, -2.0, 0.0, 5388.0, 675.0, -1452.0
888.0, -89.0, -494.0, 0.0, -2.0, 0.0, 5388.0, 675.0, -1452.0
888.0, -89.0, -494.0, 0.0, -2.0, 0.0, 5388.0, 675.0, -1452.0
888.0, -89.0, -493.0, 0.0, -2.0, 0.0, 5388.0, 675.0, -1452.0
888.0, -89.0, -493.0, 0.0, -2.0, 0.0, 5388.0, 675.0, -1452.0
888.0, -89.0, -494.0, 0.0, -2.0, 0.0, 5178.0, 710.0, -1417.0
888.0, -90.0, -494.0, 0.0, -2.0, 0.0, 5178.0, 710.0, -1417.0
887.0, -90.0, -494.0, 0.0, -2.0, 0.0, 5178.0, 710.0, -1417.0
887.0, -90.0, -493.0, 0.0, -2.0, 0.0, 5178.0, 710.0, -1417.0
887.0, -90.0, -493.0, 0.0, -2.0, 0.0, 5178.0, 710.0, -1417.0
887.0, -90.0, -493.0, 0.0, -2.0, 0.0, 5178.0, 710.0, -1417.0
