ax,ay,az,gx,gy,gz,mx,my,mz
814.0, -68.0, -637.0, 5.0, -12.0, 9.0, 3988.0, 919.0, -3436.0
816.0, -75.0, -637.0, 6.0, -11.0, 8.0, 3988.0, 919.0, -3436.0
813.0, -82.0, -637.0, 7.0, -11.0, 7.0, 3988.0, 919.0, -3436.0
811.0, -87.0, -632.0, 7.0, -10.0, 7.0, 3988.0, 919.0, -3436.0
821.0, -90.0, -631.0, 7.0, -9.0, 7.0, 3988.0, 919.0, -3436.0
821.0, -81.0, -640.0, 7.0, -9.0, 6.0, 3988.0, 919.0, -3436.0
811.0, -78.0, -649.0, 7.0, -10.0, 6.0, 3988.0, 919.0, -3436.0
811.0, -78.0, -649.0, 7.0, -10.0, 6.0, 3988.0, 919.0, -3436.0
800.0, -87.0, -647.0, 9.0, -10.0, 6.0, 3988.0, 919.0, -3436.0
803.0, -94.0, -647.0, 10.0, -10.0, 6.0, 3988.0, 919.0, -3436.0
805.0, -93.0, -651.0, 10.0, -9.0, 6.0, 3988.0, 919.0, -3436.0
800.0, -95.0, -652.0, 10.0, -9.0, 5.0, 3761.0, 972.0, -3384.0
801.0, -107.0, -645.0, 10.0, -9.0, 5.0, 3761.0, 972.0, -3384.0
804.0, -107.0, -645.0, 10.0, -8.0, 6.0, 3761.0, 972.0, -3384.0
797.0, -96.0, -652.0, 10.0, -8.0, 5.0, 3761.0, 972.0, -3384.0
797.0, -103.0, -658.0, 10.0, -8.0, 5.0, 3761.0, 972.0, -3384.0
793.0, -105.0, -659.0, 11.0, -8.0, 5.0, 3761.0, 972.0, -3384.0
793.0, -105.0, -659.0, 11.0, -8.0, 5.0, 3761.0, 972.0, -3384.0
792.0, -96.0, -662.0, 11.0, -8.0, 5.0, 3761.0, 972.0, -3384.0
793.0, -100.0, -658.0, 12.0, -7.0, 5.0, 3761.0, 972.0, -3384.0
789.0, -104.0, -652.0, 12.0, -7.0, 5.0, 3761.0, 972.0, -3384.0
794.0, -97.0, -660.0, 13.0, -7.0, 5.0, 3761.0, 972.0, -3384.0
791.0, -92.0, -667.0, 13.0, -7.0, 5.0, 3971.0, 937.0, -3523.0
779.0, -97.0, -662.0, 14.0, -7.0, 5.0, 3971.0, 937.0, -3523.0
790.0, -107.0, -658.0, 15.0, -6.0, 6.0, 3971.0, 937.0, -3523.0
799.0, -109.0, -666.0, 15.0, -6.0, 6.0, 3971.0, 937.0, -3523.0
785.0, -103.0, -667.0, 15.0, -6.0, 6.0, 3971.0, 937.0, -3523.0
785.0, -103.0, -667.0, 15.0, -6.0, 6.0, 3971.0, 937.0, -3523.0
781.0, -106.0, -660.0, 15.0, -6.0, 6.0, 3971.0, 937.0, -3523.0
783.0, -105.0, -660.0, 16.0, -5.0, 6.0, 3971.0, 937.0, -3523.0
783.0, -98.0, -664.0, 16.0, -5.0, 6.0, 3971.0, 937.0, -3523.0
790.0, -104.0, -671.0, 17.0, -4.0, 6.0, 3971.0, 937.0, -3523.0
781.0, -97.0, -668.0, 17.0, -4.0, 7.0, 3971.0, 937.0, -3523.0
778.0, -96.0, -659.0, 17.0, -4.0, 7.0, 3883.0, 989.0, -3471.0
793.0, -102.0, -658.0, 18.0, -3.0, 7.0, 3883.0, 989.0, -3471.0
790.0, -94.0, -665.0, 19.0, -2.0, 7.0, 3883.0, 989.0, -3471.0
790.0, -94.0, -665.0, 19.0, -2.0, 7.0, 3883.0, 989.0, -3471.0
780.0, -89.0, -672.0, 19.0, -3.0, 8.0, 3883.0, 989.0, -3471.0
781.0, -96.0, -674.0, 20.0, -3.0, 8.0, 3883.0, 989.0, -3471.0
776.0, -99.0, -667.0, 21.0, -3.0, 8.0, 3883.0, 989.0, -3471.0
778.0, -99.0, -664.0, 21.0, -2.0, 8.0, 3883.0, 989.0, -3471.0
790.0, -98.0, -667.0, 21.0, -1.0, 8.0, 3883.0, 989.0, -3471.0
