ax,ay,az,gx,gy,gz,mx,my,mz
1080.0, 605.0, -219.0, 155.0, -61.0, -149.0, 4863.0, 2001.0, -826.0
1075.0, 601.0, -204.0, 156.0, -60.0, -152.0, 4863.0, 2001.0, -826.0
1068.0, 598.0, -189.0, 157.0, -60.0, -155.0, 4863.0, 2001.0, -826.0
1061.0, 593.0, -175.0, 158.0, -59.0, -158.0, 4863.0, 2001.0, -826.0
1054.0, 587.0, -161.0, 159.0, -58.0, -161.0, 4863.0, 2001.0, -826.0
1054.0, 587.0, -161.0, 159.0, -58.0, -161.0, 4863.0, 2001.0, -826.0
1047.0, 582.0, -148.0, 160.0, -56.0, -164.0, 4863.0, 2001.0, -826.0
1041.0, 577.0, -135.0, 160.0, -54.0, -166.0, 4863.0, 2001.0, -826.0
1036.0, 570.0, -123.0, 161.0, -52.0, -168.0, 4863.0, 2001.0, -826.0
1030.0, 564.0, -114.0, 162.0, -49.0, -170.0, 4793.0, 2211.0, -930.0
1023.0, 558.0, -107.0, 163.0, -47.0, -173.0, 4793.0, 2211.0, -930.0
1017.0, 552.0, -99.0, 164.0, -44.0, -174.0, 4793.0, 2211.0, -930.0
1012.0, 544.0, -92.0, 165.0, -40.0, -176.0, 4793.0, 2211.0, -930.0
1008.0, 537.0, -87.0, 166.0, -37.0, -178.0, 4793.0, 2211.0, -930.0
1005.0, 529.0, -83.0, 166.0, -34.0, -180.0, 4793.0, 2211.0, -930.0
1002.0, 521.0, -81.0, 167.0, -30.0, -182.0, 4793.0, 2211.0, -930.0
998.0, 512.0, -80.0, 168.0, -27.0, -183.0, 4793.0, 2211.0, -930.0
996.0, 503.0, -80.0, 168.0, -24.0, -185.0, 4793.0, 2211.0, -930.0
994.0, 494.0, -82.0, 169.0, -21.0, -186.0, 4793.0, 2211.0, -930.0
994.0, 494.0, -82.0, 169.0, -21.0, -186.0, 4793.0, 2211.0, -930.0
991.0, 485.0, -84.0, 169.0, -18.0, -188.0, 4810.0, 2054.0, -982.0
989.0, 476.0, -86.0, 170.0, -14.0, -189.0, 4810.0, 2054.0, -982.0
986.0, 467.0, -90.0, 170.0, -11.0, -190.0, 4810.0, 2054.0, -982.0
985.0, 458.0, -92.0, 170.0, -8.0, -191.0, 4810.0, 2054.0, -982.0
984.0, 449.0, -95.0, 171.0, -5.0, -192.0, 4810.0, 2054.0, -982.0
982.0, 440.0, -99.0, 171.0, -2.0, -193.0, 4810.0, 2054.0, -982.0
982.0, 432.0, -102.0, 171.0, 1.0, -194.0, 4810.0, 2054.0, -982.0
982.0, 423.0, -106.0, 171.0, 4.0, -195.0, 4810.0, 2054.0, -982.0
982.0, 414.0, -110.0, 171.0, 7.0, -196.0, 4810.0, 2054.0, -982.0
982.0, 405.0, -115.0, 171.0, 10.0, -196.0, 4810.0, 2054.0, -982.0
982.0, 397.0, -120.0, 171.0, 13.0, -197.0, 4810.0, 2054.0, -982.0
982.0, 397.0, -120.0, 171.0, 13.0, -197.0, 4810.0, 2054.0, -982.0
982.0, 390.0, -126.0, 171.0, 15.0, -197.0, 4810.0, 2054.0, -982.0
983.0, 383.0, -131.0, 171.0, 18.0, -197.0, 4810.0, 2054.0, -982.0
985.0, 379.0, -137.0, 171.0, 20.0, -198.0, 4810.0, 2054.0, -982.0
986.0, 375.0, -142.0, 171.0, 23.0, -198.0, 4810.0, 2054.0, -982.0
987.0, 373.0, -147.0, 171.0, 25.0, -198.0, 4810.0, 2054.0, -982.0
988.0, 370.0, -151.0, 171.0, 26.0, -198.0, 4810.0, 2054.0, -982.0
988.0, 369.0, -154.0, 172.0, 28.0, -198.0, 4810.0, 2054.0, -982.0
988.0, 368.0, -158.0, 172.0, 30.0, -198.0, 4810.0, 2054.0, -982.0
