ax,ay,az,gx,gy,gz,mx,my,mz
974.0, -12.0, -298.0, 1.0, 2.0, 2.0, 4898.0, 780.0, -2253.0
974.0, -12.0, -300.0, 1.0, 2.0, 2.0, 4898.0, 780.0, -2253.0
975.0, -12.0, -300.0, 1.0, 2.0, 2.0, 5038.0, 780.0, -2253.0
976.0, -12.0, -301.0, 1.0, 2.0, 2.0, 5038.0, 780.0, -2253.0
977.0, -12.0, -302.0, 1.0, 2.0, 2.0, 5038.0, 780.0, -2253.0
978.0, -12.0, -302.0, 1.0, 2.0, 2.0, 5038.0, 780.0, -2253.0
978.0, -12.0, -302.0, 1.0, 2.0, 2.0, 5038.0, 780.0, -2253.0
979.0, -12.0, -302.0, 0.0, 2.0, 2.0, 5038.0, 780.0, -2253.0
980.0, -11.0, -302.0, 0.0, 2.0, 2.0, 5038.0, 780.0, -2253.0
980.0, -11.0, -301.0, 0.0, 2.0, 2.0, 5038.0, 780.0, -2253.0
980.0, -10.0, -301.0, 0.0, 2.0, 2.0, 5038.0, 780.0, -2253.0
980.0, -9.0, -301.0, 0.0, 2.0, 2.0, 5038.0, 780.0, -2253.0
980.0, -9.0, -301.0, 0.0, 2.0, 2.0, 5038.0, 780.0, -2253.0
979.0, -8.0, -300.0, 0.0, 2.0, 2.0, 5038.0, 780.0, -2253.0
979.0, -8.0, -300.0, 0.0, 2.0, 2.0, 4933.0, 814.0, -2183.0
978.0, -8.0, -299.0, 0.0, 1.0, 2.0, 4933.0, 814.0, -2183.0
977.0, -8.0, -298.0, 0.0, 1.0, 2.0, 4933.0, 814.0, -2183.0
976.0, -8.0, -296.0, 0.0, 1.0, 1.0, 4933.0, 814.0, -2183.0
976.0, -8.0, -296.0, 0.0, 1.0, 1.0, 4933.0, 814.0, -2183.0
976.0, -8.0, -295.0, 0.0, 1.0, 1.0, 4933.0, 814.0, -2183.0
975.0, -9.0, -295.0, 0.0, 1.0, 1.0, 4933.0, 814.0, -2183.0
975.0, -9.0, -294.0, 0.0, 1.0, 1.0, 4933.0, 814.0, -2183.0
975.0, -9.0, -294.0, 0.0, 1.0, 1.0, 4933.0, 814.0, -2183.0
976.0, -9.0, -294.0, 0.0, 1.0, 1.0, 4933.0, 814.0, -2183.0
976.0, -10.0, -295.0, 0.0, 1.0, 1.0, 4933.0, 814.0, -2183.0
976.0, -11.0, -295.0, 0.0, 1.0, 1.0, 4775.0, 762.0, -2305.0
976.0, -11.0, -294.0, 0.0, 1.0, 1.0, 4775.0, 762.0, -2305.0
976.0, -11.0, -294.0, 0.0, 1.0, 1.0, 4775.0, 762.0, -2305.0
976.0, -11.0, -293.0, 0.0, 1.0, 2.0, 4775.0, 762.0, -2305.0
976.0, -11.0, -293.0, 0.0, 1.0, 2.0, 4775.0, 762.0, -2305.0
976.0, -11.0, -293.0, -1.0, 1.0, 2.0, 4775.0, 762.0, -2305.0
976.0, -11.0, -293.0, -1.0, 1.0, 2.0, 4775.0, 762.0, -2305.0
976.0, -10.0, -292.0, -1.0, 1.0, 2.0, 4775.0, 762.0, -2305.0
976.0, -10.0, -292.0, -1.0, 1.0, 2.0, 4775.0, 762.0, -2305.0
976.0, -9.0, -291.0, -1.0, 1.0, 2.0, 4775.0, 762.0, -2305.0
976.0, -8.0, -290.0, -1.0, 1.0, 2.0, 4775.0, 762.0, -2305.0
976.0, -8.0, -289.0, -1.0, 1.0, 2.0, 5090.0, 867.0, -2200.0
976.0, -6.0, -288.0, -1.0, 1.0, 2.0, 5090.0, 867.0, -2200.0
976.0, -5.0, -287.0, -1.0, 1.0, 2.0, 5090.0, 867.0, -2200.0
976.0, -5.0, -287.0, -1.0, 1.0, 2.0, 5090.0, 867.0, -2200.0
976.0, -4.0, -285.0, -1.0, 1.0, 2.0, 5090.0, 867.0, -2200.0
976.0, -3.0, -285.0, -1.0, 1.0, 2.0, 5090.0, 867.0, -2200.0
976.0, -2.0, -284.0, -1.0, 1.0, 2.0, 5090.0, 867.0, -2200.0
977.0, -2.0, -284.0, 0.0, 1.0, 2.0, 5090.0, 867.0, -2200.0
977.0, -1.0, -285.0, 0.0, 1.0, 2.0, 5090.0, 867.0, -2200.0
978.0, -1.0, -285.0, 0.0, 1.0, 2.0, 5090.0, 867.0, -2200.0
978.0, -1.0, -285.0, 0.0, 1.0, 2.0, 5090.0, 867.0, -2200.0
978.0, -1.0, -285.0, 0.0, 1.0, 2.0, 5090.0, 867.0, -2200.0
979.0, -1.0, -286.0, 0.0, 1.0, 2.0, 4845.0, 762.0, -2166.0
978.0, -1.0, -287.0, 0.0, 1.0, 2.0, 4845.0, 762.0, -2166.0
978.0, -1.0, -288.0, 0.0, 1.0, 2.0, 4845.0, 762.0, -2166.0
978.0, -1.0, -288.0, 0.0, 1.0, 2.0, 4845.0, 762.0, -2166.0
978.0, -1.0, -289.0, 0.0, 1.0, 2.0, 4845.0, 762.0, -2166.0
978.0, -1.0, -289.0, 0.0, 1.0, 1.0, 4845.0, 762.0, -2166.0
978.0, -2.0, -289.0, 0.0, 1.0, 1.0, 4845.0, 762.0, -2166.0
978.0, -2.0, -289.0, 0.0, 1.0, 1.0, 4845.0, 762.0, -2166.0
979.0, -3.0, -290.0, 0.0, 1.0, 1.0, 4845.0, 762.0, -2166.0
979.0, -4.0, -291.0, 0.0, 1.0, 1.0, 4845.0, 762.0, -2166.0
979.0, -5.0, -291.0, 0.0, 1.0, 1.0, 4845.0, 762.0, -2166.0
