ax,ay,az,gx,gy,gz,mx,my,mz
850.0, 76.0, -557.0, -1.0, -4.0, 0.0, 4093.0, 1303.0, -2949.0
850.0, 75.0, -556.0, -1.0, -4.0, -1.0, 4093.0, 1303.0, -2949.0
848.0, 74.0, -556.0, -1.0, -4.0, -1.0, 4093.0, 1303.0, -2949.0
847.0, 74.0, -555.0, -1.0, -4.0, -1.0, 4093.0, 1303.0, -2949.0
846.0, 73.0, -555.0, -1.0, -4.0, -1.0, 4093.0, 1303.0, -2949.0
846.0, 73.0, -553.0, -1.0, -4.0, -1.0, 4093.0, 1303.0, -2949.0
845.0, 72.0, -553.0, -1.0, -4.0, -1.0, 4093.0, 1303.0, -2949.0
845.0, 71.0, -553.0, -1.0, -4.0, -1.0, 4006.0, 1251.0, -2827.0
844.0, 72.0, -552.0, -1.0, -4.0, -1.0, 4006.0, 1251.0, -2827.0
843.0, 72.0, -552.0, -1.0, -3.0, -1.0, 4006.0, 1251.0, -2827.0
843.0, 72.0, -552.0, -1.0, -3.0, -1.0, 4006.0, 1251.0, -2827.0
843.0, 72.0, -551.0, -1.0, -3.0, -1.0, 4006.0, 1251.0, -2827.0
842.0, 71.0, -550.0, -1.0, -3.0, -1.0, 4006.0, 1251.0, -2827.0
842.0, 72.0, -550.0, -1.0, -3.0, -1.0, 4006.0, 1251.0, -2827.0
842.0, 72.0, -550.0, -2.0, -3.0, -1.0, 4006.0, 1251.0, -2827.0
842.0, 72.0, -550.0, -2.0, -3.0, -1.0, 4006.0, 1251.0, -2827.0
842.0, 73.0, -549.0, -2.0, -2.0, -1.0, 4006.0, 1251.0, -2827.0
841.0, 73.0, -549.0, -2.0, -2.0, 0.0, 4006.0, 1251.0, -2827.0
841.0, 74.0, -548.0, -2.0, -2.0, 0.0, 4006.0, 1251.0, -2827.0
841.0, 74.0, -548.0, -2.0, -2.0, 0.0, 3971.0, 1321.0, -2862.0
841.0, 75.0, -547.0, -2.0, -2.0, 0.0, 3971.0, 1321.0, -2862.0
841.0, 76.0, -547.0, -2.0, -2.0, 0.0, 3971.0, 1321.0, -2862.0
840.0, 76.0, -547.0, -2.0, -2.0, 0.0, 3971.0, 1321.0, -2862.0
840.0, 77.0, -547.0, -2.0, -1.0, -1.0, 3971.0, 1321.0, -2862.0
840.0, 77.0, -549.0, -2.0, -1.0, -1.0, 3971.0, 1321.0, -2862.0
