ax,ay,az,gx,gy,gz,mx,my,mz
995.0, -43.0, -187.0, 0.0, 3.0, -5.0, 5003.0, -93.0, -2462.0
995.0, -42.0, -186.0, 0.0, 3.0, -5.0, 5003.0, -93.0, -2462.0
994.0, -42.0, -186.0, 0.0, 3.0, -5.0, 5003.0, -93.0, -2462.0
994.0, -42.0, -186.0, 0.0, 3.0, -5.0, 5003.0, -93.0, -2462.0
994.0, -41.0, -186.0, 0.0, 2.0, -5.0, 5003.0, -93.0, -2462.0
993.0, -42.0, -185.0, 0.0, 2.0, -5.0, 5003.0, -93.0, -2462.0
993.0, -42.0, -184.0, 0.0, 2.0, -5.0, 5003.0, -93.0, -2462.0
993.0, -42.0, -184.0, 0.0, 2.0, -5.0, 4863.0, 116.0, -2462.0
993.0, -42.0, -185.0, 0.0, 2.0, -5.0, 4863.0, 116.0, -2462.0
993.0, -41.0, -185.0, 0.0, 1.0, -5.0, 4863.0, 116.0, -2462.0
993.0, -41.0, -185.0, 0.0, 1.0, -5.0, 4863.0, 116.0, -2462.0
993.0, -41.0, -185.0, 0.0, 1.0, -5.0, 4863.0, 116.0, -2462.0
993.0, -41.0, -185.0, 0.0, 1.0, -5.0, 4863.0, 116.0, -2462.0
993.0, -42.0, -187.0, 0.0, 1.0, -5.0, 4863.0, 116.0, -2462.0
993.0, -41.0, -188.0, 0.0, 0.0, -4.0, 4863.0, 116.0, -2462.0
994.0, -41.0, -189.0, 0.0, 0.0, -4.0, 4863.0, 116.0, -2462.0
994.0, -41.0, -190.0, 0.0, 0.0, -4.0, 4863.0, 116.0, -2462.0
994.0, -40.0, -191.0, 0.0, 0.0, -4.0, 4863.0, 116.0, -2462.0
993.0, -40.0, -192.0, 0.0, -1.0, -4.0, 5003.0, 46.0, -2462.0
994.0, -39.0, -192.0, 0.0, -1.0, -4.0, 5003.0, 46.0, -2357.0
994.0, -39.0, -192.0, 0.0, -1.0, -4.0, 5003.0, 46.0, -2357.0
994.0, -39.0, -192.0, 0.0, -1.0, -3.0, 5003.0, 46.0, -2357.0
993.0, -38.0, -192.0, 0.0, -1.0, -3.0, 5003.0, 46.0, -2357.0
993.0, -38.0, -192.0, 0.0, -2.0, -3.0, 5003.0, 46.0, -2357.0
993.0, -37.0, -192.0, 0.0, -2.0, -3.0, 5003.0, 46.0, -2357.0
993.0, -36.0, -192.0, -1.0, -2.0, -2.0, 5003.0, 46.0, -2357.0
992.0, -36.0, -193.0, -1.0, -2.0, -2.0, 5003.0, 46.0, -2357.0
992.0, -36.0, -193.0, -1.0, -2.0, -2.0, 5003.0, 46.0, -2357.0
992.0, -36.0, -193.0, -1.0, -2.0, -2.0, 5003.0, 46.0, -2357.0
991.0, -36.0, -193.0, -1.0, -2.0, -2.0, 5003.0, 46.0, -2357.0
991.0, -36.0, -193.0, -1.0, -2.0, -1.0, 4915.0, 134.0, -2375.0
991.0, -36.0, -192.0, -1.0, -2.0, -1.0, 4915.0, 134.0, -2375.0
991.0, -36.0, -192.0, -1.0, -2.0, -1.0, 4915.0, 134.0, -2375.0
991.0, -37.0, -193.0, -1.0, -2.0, -1.0, 4915.0, 134.0, -2375.0
991.0, -37.0, -194.0, -1.0, -2.0, 0.0, 4915.0, 134.0, -2375.0
991.0, -37.0, -195.0, -1.0, -2.0, 0.0, 4915.0, 134.0, -2375.0
991.0, -37.0, -196.0, -1.0, -2.0, 0.0, 4915.0, 134.0, -2375.0
991.0, -37.0, -196.0, -1.0, -2.0, 0.0, 4915.0, 134.0, -2375.0
991.0, -36.0, -196.0, -1.0, -3.0, 0.0, 4915.0, 134.0, -2375.0
991.0, -36.0, -195.0, -1.0, -3.0, 1.0, 4915.0, 134.0, -2375.0
991.0, -36.0, -195.0, -1.0, -3.0, 1.0, 4915.0, 134.0, -2375.0
990.0, -36.0, -195.0, -1.0, -3.0, 1.0, 4950.0, -6.0, -2305.0
990.0, -37.0, -195.0, -1.0, -3.0, 1.0, 4950.0, -6.0, -2305.0
990.0, -37.0, -195.0, -1.0, -3.0, 2.0, 4950.0, -6.0, -2305.0
990.0, -37.0, -196.0, -1.0, -3.0, 2.0, 4950.0, -6.0, -2305.0
990.0, -37.0, -197.0, -1.0, -3.0, 2.0, 4950.0, -6.0, -2305.0
990.0, -37.0, -197.0, -1.0, -3.0, 2.0, 4950.0, -6.0, -2305.0
990.0, -37.0, -197.0, -1.0, -3.0, 2.0, 4950.0, -6.0, -2305.0
990.0, -37.0, -198.0, -1.0, -3.0, 2.0, 4950.0, -6.0, -2305.0
989.0, -37.0, -200.0, -1.0, -3.0, 3.0, 4950.0, -6.0, -2305.0
989.0, -37.0, -200.0, -1.0, -3.0, 3.0, 4950.0, -6.0, -2305.0
989.0, -37.0, -200.0, -1.0, -3.0, 3.0, 4950.0, -6.0, -2305.0
