ax,ay,az,gx,gy,gz,mx,my,mz
925.0, -78.0, -405.0, 1.0, 5.0, 2.0, 4653.0, 500.0, -2844.0
925.0, -78.0, -405.0, 1.0, 5.0, 2.0, 4653.0, 500.0, -2844.0
925.0, -79.0, -404.0, 1.0, 5.0, 2.0, 4653.0, 500.0, -2844.0
925.0, -79.0, -403.0, 1.0, 5.0, 2.0, 4653.0, 500.0, -2844.0
926.0, -79.0, -402.0, 1.0, 5.0, 2.0, 4566.0, 343.0, -2792.0
926.0, -79.0, -402.0, 1.0, 5.0, 2.0, 4566.0, 343.0, -2792.0
926.0, -79.0, -402.0, 1.0, 5.0, 2.0, 4566.0, 343.0, -2792.0
926.0, -79.0, -402.0, 1.0, 5.0, 2.0, 4566.0, 343.0, -2792.0
927.0, -78.0, -402.0, 1.0, 5.0, 2.0, 4566.0, 343.0, -2792.0
928.0, -78.0, -402.0, 1.0, 5.0, 2.0, 4566.0, 343.0, -2792.0
929.0, -77.0, -401.0, 1.0, 6.0, 2.0, 4566.0, 343.0, -2792.0
930.0, -77.0, -402.0, 1.0, 6.0, 2.0, 4566.0, 343.0, -2792.0
930.0, -77.0, -402.0, 1.0, 6.0, 2.0, 4566.0, 343.0, -2792.0
931.0, -77.0, -402.0, 1.0, 6.0, 2.0, 4566.0, 343.0, -2792.0
931.0, -77.0, -402.0, 1.0, 6.0, 2.0, 4566.0, 343.0, -2792.0
931.0, -77.0, -402.0, 1.0, 6.0, 2.0, 4566.0, 343.0, -2792.0
931.0, -77.0, -402.0, 1.0, 6.0, 2.0, 4653.0, 396.0, -2775.0
931.0, -77.0, -402.0, 1.0, 6.0, 2.0, 4653.0, 396.0, -2775.0
931.0, -77.0, -402.0, 1.0, 6.0, 2.0, 4653.0, 396.0, -2775.0
930.0, -78.0, -403.0, 1.0, 6.0, 2.0, 4653.0, 396.0, -2775.0
930.0, -78.0, -403.0, 1.0, 6.0, 2.0, 4653.0, 396.0, -2775.0
930.0, -79.0, -403.0, 1.0, 6.0, 1.0, 4653.0, 396.0, -2775.0
930.0, -79.0, -403.0, 1.0, 7.0, 1.0, 4653.0, 396.0, -2775.0
930.0, -79.0, -404.0, 1.0, 7.0, 1.0, 4653.0, 396.0, -2775.0
930.0, -79.0, -404.0, 1.0, 7.0, 1.0, 4653.0, 396.0, -2775.0
931.0, -78.0, -404.0, 1.0, 7.0, 1.0, 4653.0, 396.0, -2775.0
931.0, -78.0, -404.0, 1.0, 7.0, 1.0, 4653.0, 396.0, -2775.0
931.0, -77.0, -404.0, 1.0, 7.0, 1.0, 4775.0, 588.0, -2827.0
931.0, -77.0, -404.0, 1.0, 7.0, 1.0, 4775.0, 588.0, -2827.0
931.0, -77.0, -404.0, 1.0, 7.0, 1.0, 4775.0, 588.0, -2827.0
931.0, -76.0, -404.0, 1.0, 7.0, 1.0, 4775.0, 588.0, -2827.0
931.0, -76.0, -403.0, 1.0, 7.0, 1.0, 4775.0, 588.0, -2827.0
931.0, -76.0, -402.0, 1.0, 7.0, 1.0, 4775.0, 588.0, -2827.0
931.0, -76.0, -402.0, 1.0, 7.0, 1.0, 4775.0, 588.0, -2827.0
930.0, -75.0, -402.0, 1.0, 7.0, 1.0, 4775.0, 588.0, -2827.0
930.0, -75.0, -402.0, 1.0, 7.0, 1.0, 4775.0, 588.0, -2827.0
930.0, -75.0, -401.0, 1.0, 7.0, 1.0, 4775.0, 588.0, -2827.0
930.0, -74.0, -400.0, 1.0, 7.0, 1.0, 4775.0, 588.0, -2827.0
930.0, -75.0, -399.0, 1.0, 7.0, 1.0, 4566.0, 518.0, -2723.0
931.0, -75.0, -399.0, 1.0, 7.0, 1.0, 4566.0, 518.0, -2723.0
931.0, -75.0, -399.0, 1.0, 7.0, 1.0, 4566.0, 518.0, -2723.0
931.0, -75.0, -399.0, 1.0, 7.0, 1.0, 4566.0, 518.0, -2723.0
931.0, -75.0, -399.0, 1.0, 7.0, 1.0, 4566.0, 518.0, -2723.0
931.0, -74.0, -398.0, 1.0, 7.0, 1.0, 4566.0, 518.0, -2723.0
931.0, -74.0, -397.0, 1.0, 7.0, 1.0, 4566.0, 518.0, -2723.0
931.0, -75.0, -397.0, 1.0, 7.0, 1.0, 4566.0, 518.0, -2723.0
931.0, -75.0, -397.0, 1.0, 7.0, 1.0, 4566.0, 518.0, -2723.0
931.0, -74.0, -398.0, 1.0, 7.0, 1.0, 4566.0, 518.0, -2723.0
931.0, -74.0, -398.0, 1.0, 7.0, 1.0, 4566.0, 518.0, -2723.0
932.0, -74.0, -398.0, 1.0, 7.0, 1.0, 4566.0, 518.0, -2723.0
932.0, -74.0, -398.0, 1.0, 7.0, 1.0, 4391.0, 588.0, -2757.0
933.0, -73.0, -398.0, 1.0, 7.0, 1.0, 4391.0, 588.0, -2757.0
933.0, -73.0, -398.0, 1.0, 6.0, 1.0, 4391.0, 588.0, -2757.0
934.0, -73.0, -397.0, 1.0, 6.0, 1.0, 4391.0, 588.0, -2757.0
934.0, -73.0, -396.0, 1.0, 6.0, 1.0, 4391.0, 588.0, -2757.0
935.0, -73.0, -396.0, 1.0, 6.0, 1.0, 4391.0, 588.0, -2757.0
934.0, -74.0, -396.0, 1.0, 6.0, 1.0, 4391.0, 588.0, -2757.0
934.0, -75.0, -395.0, 1.0, 6.0, 1.0, 4391.0, 588.0, -2757.0
934.0, -76.0, -396.0, 1.0, 6.0, 1.0, 4391.0, 588.0, -2757.0
934.0, -76.0, -396.0, 1.0, 6.0, 1.0, 4391.0, 588.0, -2757.0
933.0, -75.0, -397.0, 1.0, 6.0, 1.0, 4391.0, 588.0, -2757.0
933.0, -75.0, -397.0, 1.0, 6.0, 2.0, 4828.0, 570.0, -2810.0
933.0, -75.0, -397.0, 1.0, 5.0, 2.0, 4828.0, 570.0, -2810.0
933.0, -75.0, -398.0, 1.0, 5.0, 2.0, 4828.0, 570.0, -2810.0
933.0, -75.0, -397.0, 1.0, 5.0, 2.0, 4828.0, 570.0, -2810.0
933.0, -75.0, -396.0, 1.0, 5.0, 2.0, 4828.0, 570.0, -2810.0
933.0, -75.0, -396.0, 1.0, 5.0, 2.0, 4828.0, 570.0, -2810.0
933.0, -75.0, -396.0, 1.0, 5.0, 2.0, 4828.0, 570.0, -2810.0
932.0, -75.0, -396.0, 1.0, 5.0, 2.0, 4828.0, 570.0, -2810.0
932.0, -74.0, -395.0, 1.0, 5.0, 2.0, 4828.0, 570.0, -2810.0
932.0, -74.0, -396.0, 1.0, 5.0, 2.0, 4828.0, 570.0, -2810.0
932.0, -74.0, -397.0, 1.0, 5.0, 2.0, 4828.0, 570.0, -2810.0
932.0, -74.0, -397.0, 1.0, 5.0, 2.0, 4635.0, 518.0, -2723.0
932.0, -74.0, -398.0, 1.0, 5.0, 3.0, 4635.0, 518.0, -2723.0
932.0, -74.0, -399.0, 1.0, 5.0, 3.0, 4635.0, 518.0, -2723.0
932.0, -75.0, -399.0, 1.0, 4.0, 3.0, 4635.0, 518.0, -2723.0
932.0, -75.0, -399.0, 1.0, 4.0, 3.0, 4635.0, 518.0, -2723.0
932.0, -75.0, -399.0, 1.0, 4.0, 3.0, 4635.0, 518.0, -2723.0
931.0, -75.0, -399.0, 1.0, 4.0, 3.0, 4635.0, 518.0, -2723.0
931.0, -75.0, -399.0, 1.0, 4.0, 3.0, 4635.0, 518.0, -2723.0
931.0, -76.0, -399.0, 1.0, 4.0, 3.0, 4635.0, 518.0, -2723.0
931.0, -76.0, -399.0, 1.0, 4.0, 3.0, 4635.0, 518.0, -2723.0
931.0, -76.0, -398.0, 1.0, 4.0, 3.0, 4635.0, 518.0, -2723.0
930.0, -75.0, -397.0, 1.0, 4.0, 3.0, 4635.0, 518.0, -2723.0
930.0, -75.0, -397.0, 1.0, 4.0, 3.0, 4635.0, 518.0, -2723.0
930.0, -75.0, -397.0, 1.0, 4.0, 3.0, 4635.0, 518.0, -2723.0
930.0, -76.0, -397.0, 1.0, 4.0, 3.0, 4635.0, 518.0, -2723.0
930.0, -76.0, -397.0, 1.0, 4.0, 3.0, 4635.0, 518.0, -2723.0
931.0, -76.0, -397.0, 1.0, 4.0, 3.0, 4635.0, 518.0, -2723.0
931.0, -76.0, -396.0, 1.0, 4.0, 3.0, 4635.0, 518.0, -2723.0
931.0, -76.0, -395.0, 1.0, 4.0, 3.0, 4635.0, 518.0, -2723.0
931.0, -76.0, -396.0, 1.0, 5.0, 4.0, 4635.0, 518.0, -2723.0
931.0, -76.0, -396.0, 1.0, 5.0, 4.0, 4635.0, 518.0, -2723.0
931.0, -76.0, -396.0, 1.0, 5.0, 4.0, 4635.0, 518.0, -2723.0
931.0, -76.0, -396.0, 1.0, 5.0, 4.0, 4635.0, 518.0, -2723.0
930.0, -76.0, -396.0, 1.0, 5.0, 4.0, 4635.0, 518.0, -2723.0
931.0, -76.0, -395.0, 1.0, 5.0, 4.0, 4635.0, 518.0, -2723.0
931.0, -76.0, -396.0, 1.0, 5.0, 4.0, 4635.0, 518.0, -2723.0
931.0, -76.0, -396.0, 2.0, 5.0, 4.0, 4635.0, 518.0, -2723.0
931.0, -77.0, -396.0, 2.0, 5.0, 4.0, 4635.0, 518.0, -2723.0
931.0, -77.0, -397.0, 2.0, 5.0, 4.0, 4635.0, 518.0, -2723.0
932.0, -77.0, -397.0, 2.0, 5.0, 4.0, 4635.0, 518.0, -2723.0
932.0, -77.0, -397.0, 2.0, 5.0, 4.0, 4635.0, 518.0, -2723.0
932.0, -77.0, -396.0, 2.0, 5.0, 4.0, 4635.0, 518.0, -2723.0
933.0, -76.0, -396.0, 2.0, 5.0, 4.0, 4635.0, 518.0, -2723.0
933.0, -76.0, -395.0, 1.0, 5.0, 4.0, 4635.0, 518.0, -2723.0
932.0, -75.0, -395.0, 1.0, 5.0, 4.0, 4635.0, 518.0, -2723.0
932.0, -75.0, -395.0, 1.0, 5.0, 4.0, 4635.0, 518.0, -2723.0
933.0, -75.0, -395.0, 1.0, 5.0, 4.0, 4635.0, 518.0, -2723.0
932.0, -76.0, -395.0, 1.0, 5.0, 5.0, 4635.0, 518.0, -2723.0
932.0, -76.0, -395.0, 1.0, 5.0, 5.0, 4635.0, 518.0, -2723.0
932.0, -76.0, -394.0, 1.0, 5.0, 5.0, 4635.0, 518.0, -2723.0
932.0, -76.0, -394.0, 1.0, 5.0, 5.0, 4635.0, 518.0, -2723.0
931.0, -76.0, -395.0, 1.0, 5.0, 5.0, 4635.0, 518.0, -2723.0
931.0, -76.0, -396.0, 1.0, 5.0, 5.0, 4635.0, 518.0, -2723.0
930.0, -76.0, -396.0, 1.0, 5.0, 5.0, 4635.0, 518.0, -2723.0
930.0, -77.0, -396.0, 1.0, 5.0, 5.0, 4635.0, 518.0, -2723.0
930.0, -77.0, -397.0, 1.0, 5.0, 5.0, 4635.0, 518.0, -2723.0
930.0, -78.0, -397.0, 1.0, 5.0, 5.0, 4635.0, 518.0, -2723.0
930.0, -78.0, -397.0, 1.0, 5.0, 5.0, 4513.0, 570.0, -2740.0
931.0, -77.0, -396.0, 1.0, 5.0, 5.0, 4513.0, 570.0, -2740.0
931.0, -77.0, -396.0, 1.0, 5.0, 5.0, 4513.0, 570.0, -2740.0
931.0, -77.0, -396.0, 1.0, 5.0, 5.0, 4513.0, 570.0, -2740.0
930.0, -78.0, -397.0, 1.0, 5.0, 5.0, 4513.0, 570.0, -2740.0
930.0, -78.0, -397.0, 1.0, 5.0, 5.0, 4513.0, 570.0, -2740.0
931.0, -79.0, -398.0, 1.0, 5.0, 5.0, 4513.0, 570.0, -2740.0
931.0, -79.0, -399.0, 1.0, 5.0, 5.0, 4513.0, 570.0, -2740.0
931.0, -79.0, -400.0, 1.0, 5.0, 4.0, 4513.0, 570.0, -2740.0
931.0, -79.0, -400.0, 1.0, 5.0, 4.0, 4513.0, 570.0, -2740.0
931.0, -79.0, -400.0, 1.0, 5.0, 4.0, 4513.0, 570.0, -2740.0
931.0, -80.0, -399.0, 1.0, 5.0, 4.0, 4670.0, 553.0, -2897.0
931.0, -80.0, -399.0, 1.0, 5.0, 4.0, 4670.0, 553.0, -2897.0
931.0, -80.0, -398.0, 0.0, 5.0, 4.0, 4670.0, 553.0, -2897.0
930.0, -80.0, -397.0, 0.0, 5.0, 4.0, 4670.0, 553.0, -2897.0
929.0, -81.0, -396.0, 0.0, 5.0, 4.0, 4670.0, 553.0, -2897.0
930.0, -81.0, -395.0, 0.0, 5.0, 3.0, 4670.0, 553.0, -2897.0
930.0, -81.0, -395.0, 0.0, 5.0, 3.0, 4670.0, 553.0, -2897.0
930.0, -81.0, -396.0, 0.0, 5.0, 3.0, 4670.0, 553.0, -2897.0
932.0, -81.0, -398.0, 0.0, 5.0, 3.0, 4670.0, 553.0, -2897.0
933.0, -80.0, -399.0, 0.0, 5.0, 3.0, 4670.0, 553.0, -2897.0
933.0, -80.0, -398.0, 0.0, 5.0, 3.0, 4670.0, 553.0, -2897.0
933.0, -80.0, -395.0, 0.0, 5.0, 3.0, 4618.0, 535.0, -2636.0
932.0, -80.0, -395.0, 0.0, 5.0, 2.0, 4618.0, 535.0, -2636.0
932.0, -79.0, -394.0, 0.0, 5.0, 2.0, 4618.0, 535.0, -2636.0
930.0, -79.0, -393.0, 0.0, 5.0, 2.0, 4618.0, 535.0, -2636.0
930.0, -79.0, -393.0, 0.0, 5.0, 2.0, 4618.0, 535.0, -2636.0
928.0, -80.0, -391.0, 0.0, 5.0, 2.0, 4618.0, 535.0, -2636.0
926.0, -79.0, -390.0, 0.0, 5.0, 2.0, 4618.0, 535.0, -2636.0
925.0, -79.0, -389.0, 0.0, 5.0, 2.0, 4618.0, 535.0, -2636.0
924.0, -78.0, -388.0, 0.0, 5.0, 1.0, 4618.0, 535.0, -2636.0
924.0, -78.0, -388.0, 0.0, 5.0, 1.0, 4618.0, 535.0, -2636.0
924.0, -79.0, -389.0, 0.0, 5.0, 1.0, 4618.0, 535.0, -2636.0
925.0, -78.0, -390.0, 0.0, 5.0, 1.0, 4583.0, 535.0, -2636.0
925.0, -78.0, -390.0, 0.0, 5.0, 1.0, 4583.0, 396.0, -2740.0
926.0, -77.0, -391.0, 0.0, 5.0, 1.0, 4583.0, 396.0, -2740.0
928.0, -77.0, -393.0, 0.0, 5.0, 1.0, 4583.0, 396.0, -2740.0
930.0, -76.0, -395.0, 1.0, 5.0, 1.0, 4583.0, 396.0, -2740.0
932.0, -75.0, -397.0, 1.0, 5.0, 1.0, 4583.0, 396.0, -2740.0
934.0, -75.0, -398.0, 1.0, 5.0, 1.0, 4583.0, 396.0, -2740.0
936.0, -75.0, -398.0, 1.0, 5.0, 1.0, 4583.0, 396.0, -2740.0
937.0, -75.0, -399.0, 1.0, 5.0, 1.0, 4583.0, 396.0, -2740.0
937.0, -76.0, -400.0, 1.0, 5.0, 1.0, 4583.0, 396.0, -2740.0
