ax,ay,az,gx,gy,gz,mx,my,mz
872.0, -150.0, -587.0, -19.0, -46.0, -6.0, 4933.0, 570.0, -2357.0
871.0, -150.0, -596.0, -19.0, -47.0, -6.0, 4933.0, 570.0, -2357.0
867.0, -153.0, -598.0, -19.0, -49.0, -6.0, 4933.0, 570.0, -2357.0
862.0, -155.0, -597.0, -19.0, -50.0, -6.0, 4933.0, 570.0, -2357.0
860.0, -157.0, -599.0, -20.0, -51.0, -7.0, 4933.0, 570.0, -2357.0
859.0, -158.0, -603.0, -20.0, -52.0, -7.0, 4933.0, 570.0, -2357.0
857.0, -158.0, -605.0, -20.0, -53.0, -8.0, 4933.0, 570.0, -2357.0
854.0, -158.0, -603.0, -21.0, -54.0, -9.0, 4863.0, 605.0, -2357.0
852.0, -155.0, -600.0, -21.0, -55.0, -10.0, 4863.0, 605.0, -2357.0
852.0, -155.0, -600.0, -21.0, -55.0, -10.0, 4863.0, 605.0, -2357.0
850.0, -151.0, -596.0, -21.0, -56.0, -11.0, 4863.0, 605.0, -2357.0
848.0, -145.0, -589.0, -21.0, -56.0, -12.0, 4863.0, 605.0, -2357.0
847.0, -139.0, -581.0, -21.0, -56.0, -13.0, 4863.0, 605.0, -2357.0
847.0, -131.0, -572.0, -20.0, -56.0, -14.0, 4863.0, 605.0, -2357.0
848.0, -124.0, -561.0, -20.0, -56.0, -15.0, 4863.0, 605.0, -2357.0
849.0, -117.0, -551.0, -19.0, -55.0, -16.0, 4863.0, 605.0, -2357.0
850.0, -112.0, -541.0, -17.0, -53.0, -18.0, 4863.0, 605.0, -2357.0
852.0, -108.0, -533.0, -16.0, -52.0, -19.0, 4863.0, 605.0, -2357.0
854.0, -105.0, -525.0, -14.0, -50.0, -20.0, 4828.0, 640.0, -2496.0
857.0, -104.0, -518.0, -13.0, -47.0, -21.0, 4828.0, 640.0, -2496.0
860.0, -104.0, -511.0, -12.0, -45.0, -22.0, 4828.0, 640.0, -2496.0
862.0, -104.0, -504.0, -10.0, -42.0, -23.0, 4828.0, 640.0, -2496.0
862.0, -104.0, -504.0, -10.0, -42.0, -23.0, 4828.0, 640.0, -2496.0
866.0, -103.0, -498.0, -9.0, -39.0, -24.0, 4828.0, 640.0, -2496.0
869.0, -102.0, -493.0, -8.0, -36.0, -25.0, 4828.0, 640.0, -2496.0
872.0, -101.0, -487.0, -7.0, -33.0, -26.0, 4828.0, 640.0, -2496.0
876.0, -100.0, -481.0, -6.0, -29.0, -27.0, 4828.0, 640.0, -2496.0
879.0, -100.0, -476.0, -5.0, -26.0, -28.0, 4828.0, 640.0, -2496.0
882.0, -100.0, -471.0, -3.0, -23.0, -29.0, 4828.0, 640.0, -2496.0
884.0, -100.0, -467.0, -2.0, -20.0, -30.0, 4688.0, 605.0, -2357.0
887.0, -100.0, -463.0, -1.0, -16.0, -31.0, 4688.0, 605.0, -2357.0
890.0, -101.0, -460.0, 0.0, -13.0, -32.0, 4688.0, 605.0, -2357.0
892.0, -102.0, -456.0, 1.0, -10.0, -33.0, 4688.0, 605.0, -2357.0
892.0, -102.0, -456.0, 1.0, -10.0, -33.0, 4688.0, 605.0, -2357.0
894.0, -102.0, -452.0, 1.0, -6.0, -34.0, 4688.0, 605.0, -2357.0
896.0, -102.0, -450.0, 2.0, -3.0, -35.0, 4688.0, 605.0, -2357.0
898.0, -101.0, -448.0, 3.0, 0.0, -36.0, 4688.0, 605.0, -2357.0
900.0, -100.0, -446.0, 4.0, 3.0, -37.0, 4688.0, 605.0, -2357.0
901.0, -99.0, -443.0, 5.0, 6.0, -37.0, 4688.0, 605.0, -2357.0
903.0, -97.0, -441.0, 5.0, 9.0, -38.0, 4688.0, 605.0, -2357.0
904.0, -96.0, -438.0, 6.0, 12.0, -39.0, 4723.0, 675.0, -2322.0
904.0, -94.0, -437.0, 6.0, 15.0, -40.0, 4723.0, 675.0, -2322.0
905.0, -93.0, -436.0, 7.0, 18.0, -41.0, 4723.0, 675.0, -2322.0
905.0, -93.0, -436.0, 7.0, 18.0, -41.0, 4723.0, 675.0, -2322.0
906.0, -91.0, -435.0, 7.0, 21.0, -41.0, 4723.0, 675.0, -2322.0
906.0, -90.0, -434.0, 7.0, 23.0, -42.0, 4723.0, 675.0, -2322.0
907.0, -89.0, -433.0, 7.0, 26.0, -42.0, 4723.0, 675.0, -2322.0
908.0, -88.0, -432.0, 8.0, 29.0, -43.0, 4723.0, 675.0, -2322.0
908.0, -88.0, -431.0, 8.0, 32.0, -44.0, 4723.0, 675.0, -2322.0
909.0, -88.0, -430.0, 8.0, 36.0, -44.0, 4723.0, 675.0, -2322.0
909.0, -87.0, -429.0, 8.0, 39.0, -45.0, 4723.0, 675.0, -2322.0
910.0, -87.0, -428.0, 8.0, 42.0, -45.0, 4845.0, 553.0, -2270.0
910.0, -87.0, -429.0, 8.0, 45.0, -46.0, 4845.0, 553.0, -2270.0
910.0, -86.0, -429.0, 8.0, 49.0, -46.0, 4845.0, 553.0, -2270.0
910.0, -86.0, -429.0, 8.0, 49.0, -46.0, 4845.0, 553.0, -2270.0
910.0, -85.0, -428.0, 8.0, 53.0, -47.0, 4845.0, 553.0, -2270.0
911.0, -84.0, -427.0, 8.0, 56.0, -47.0, 4845.0, 553.0, -2270.0
911.0, -82.0, -426.0, 8.0, 60.0, -48.0, 4845.0, 553.0, -2270.0
911.0, -81.0, -426.0, 8.0, 64.0, -48.0, 4845.0, 553.0, -2270.0
908.0, -78.0, -427.0, 8.0, 68.0, -48.0, 4845.0, 553.0, -2270.0
903.0, -74.0, -431.0, 8.0, 73.0, -48.0, 4845.0, 553.0, -2270.0
901.0, -71.0, -436.0, 8.0, 79.0, -48.0, 4845.0, 553.0, -2270.0
901.0, -69.0, -438.0, 8.0, 86.0, -47.0, 4828.0, 745.0, -2270.0
901.0, -69.0, -437.0, 8.0, 93.0, -46.0, 4828.0, 745.0, -2427.0
901.0, -69.0, -437.0, 8.0, 93.0, -46.0, 4828.0, 745.0, -2427.0
900.0, -68.0, -437.0, 8.0, 101.0, -45.0, 4828.0, 745.0, -2427.0
901.0, -69.0, -436.0, 9.0, 108.0, -44.0, 4828.0, 745.0, -2427.0
902.0, -69.0, -434.0, 9.0, 115.0, -43.0, 4828.0, 745.0, -2427.0
903.0, -71.0, -430.0, 9.0, 122.0, -43.0, 4828.0, 745.0, -2427.0
905.0, -72.0, -425.0, 9.0, 129.0, -42.0, 4828.0, 745.0, -2427.0
905.0, -74.0, -421.0, 9.0, 135.0, -42.0, 4828.0, 745.0, -2427.0
908.0, -75.0, -417.0, 9.0, 141.0, -41.0, 4828.0, 745.0, -2427.0
911.0, -76.0, -412.0, 9.0, 146.0, -41.0, 4828.0, 745.0, -2427.0
911.0, -78.0, -409.0, 9.0, 151.0, -40.0, 4810.0, 622.0, -2427.0
909.0, -78.0, -408.0, 9.0, 155.0, -40.0, 4810.0, 622.0, -2270.0
909.0, -78.0, -408.0, 9.0, 155.0, -40.0, 4810.0, 622.0, -2270.0
910.0, -77.0, -408.0, 9.0, 160.0, -40.0, 4810.0, 622.0, -2270.0
911.0, -79.0, -406.0, 8.0, 164.0, -40.0, 4810.0, 622.0, -2270.0
911.0, -81.0, -403.0, 8.0, 169.0, -40.0, 4810.0, 622.0, -2270.0
911.0, -82.0, -401.0, 7.0, 173.0, -40.0, 4810.0, 622.0, -2270.0
912.0, -83.0, -400.0, 7.0, 177.0, -40.0, 4810.0, 622.0, -2270.0
912.0, -85.0, -399.0, 6.0, 181.0, -40.0, 4810.0, 622.0, -2270.0
913.0, -85.0, -397.0, 5.0, 185.0, -40.0, 4810.0, 622.0, -2270.0
915.0, -86.0, -394.0, 4.0, 189.0, -40.0, 4810.0, 622.0, -2270.0
916.0, -86.0, -392.0, 3.0, 193.0, -40.0, 4845.0, 622.0, -2270.0
918.0, -85.0, -389.0, 3.0, 197.0, -41.0, 4845.0, 622.0, -2200.0
918.0, -85.0, -389.0, 3.0, 197.0, -41.0, 4845.0, 622.0, -2200.0
919.0, -83.0, -386.0, 2.0, 200.0, -41.0, 4845.0, 622.0, -2200.0
920.0, -83.0, -383.0, 1.0, 204.0, -41.0, 4845.0, 622.0, -2200.0
922.0, -86.0, -380.0, 1.0, 207.0, -42.0, 4845.0, 622.0, -2200.0
