ax,ay,az,gx,gy,gz,mx,my,mz
820.0, 219.0, -554.0, 18.0, 6.0, -2.0, 3936.0, 2089.0, -2270.0
820.0, 221.0, -552.0, 19.0, 6.0, -1.0, 3936.0, 2089.0, -2270.0
820.0, 222.0, -551.0, 19.0, 6.0, -1.0, 3936.0, 2089.0, -2270.0
819.0, 224.0, -549.0, 19.0, 6.0, -1.0, 3936.0, 2089.0, -2270.0
819.0, 224.0, -549.0, 19.0, 6.0, -1.0, 3936.0, 2089.0, -2270.0
818.0, 226.0, -546.0, 19.0, 6.0, 0.0, 3936.0, 2089.0, -2270.0
817.0, 228.0, -544.0, 20.0, 6.0, 0.0, 3936.0, 2089.0, -2270.0
816.0, 230.0, -543.0, 20.0, 6.0, 0.0, 3936.0, 2089.0, -2270.0
815.0, 232.0, -541.0, 20.0, 6.0, 1.0, 3936.0, 2089.0, -2270.0
814.0, 234.0, -540.0, 21.0, 6.0, 1.0, 3936.0, 2089.0, -2270.0
814.0, 237.0, -538.0, 21.0, 7.0, 1.0, 3936.0, 2089.0, -2270.0
813.0, 239.0, -537.0, 21.0, 7.0, 1.0, 3936.0, 2089.0, -2270.0
812.0, 240.0, -535.0, 21.0, 7.0, 1.0, 3936.0, 2089.0, -2270.0
812.0, 241.0, -534.0, 22.0, 7.0, 1.0, 3936.0, 2089.0, -2270.0
812.0, 241.0, -534.0, 22.0, 7.0, 1.0, 3936.0, 2089.0, -2270.0
812.0, 242.0, -533.0, 22.0, 8.0, 1.0, 3936.0, 2089.0, -2270.0
812.0, 243.0, -533.0, 22.0, 8.0, 1.0, 3848.0, 2246.0, -2288.0
811.0, 244.0, -532.0, 22.0, 8.0, 0.0, 3848.0, 2246.0, -2288.0
811.0, 244.0, -532.0, 22.0, 9.0, 0.0, 3848.0, 2246.0, -2288.0
810.0, 244.0, -531.0, 22.0, 9.0, 0.0, 3848.0, 2246.0, -2288.0
810.0, 244.0, -531.0, 22.0, 10.0, 0.0, 3848.0, 2246.0, -2288.0
809.0, 244.0, -531.0, 22.0, 10.0, -1.0, 3848.0, 2246.0, -2288.0
809.0, 244.0, -531.0, 22.0, 10.0, -1.0, 3848.0, 2246.0, -2288.0
809.0, 243.0, -532.0, 22.0, 11.0, -1.0, 3848.0, 2246.0, -2288.0
809.0, 243.0, -532.0, 22.0, 11.0, -2.0, 3848.0, 2246.0, -2288.0
809.0, 243.0, -532.0, 22.0, 11.0, -2.0, 3848.0, 2246.0, -2288.0
810.0, 243.0, -533.0, 22.0, 12.0, -2.0, 3848.0, 2246.0, -2288.0
810.0, 242.0, -534.0, 22.0, 12.0, -2.0, 3901.0, 2193.0, -2305.0
810.0, 241.0, -535.0, 22.0, 13.0, -3.0, 3901.0, 2193.0, -2305.0
811.0, 240.0, -536.0, 22.0, 13.0, -3.0, 3901.0, 2193.0, -2305.0
811.0, 239.0, -537.0, 22.0, 14.0, -4.0, 3901.0, 2193.0, -2305.0
812.0, 238.0, -538.0, 21.0, 14.0, -4.0, 3901.0, 2193.0, -2305.0
