ax,ay,az,gx,gy,gz,mx,my,mz
838.0, 272.0, -513.0, 0.0, 0.0, 2.0, 3796.0, 2228.0, -2131.0
838.0, 273.0, -514.0, 0.0, 0.0, 2.0, 3796.0, 2228.0, -2131.0
839.0, 274.0, -514.0, 0.0, 0.0, 2.0, 3796.0, 2228.0, -2131.0
840.0, 275.0, -514.0, 0.0, 0.0, 2.0, 3796.0, 2228.0, -2131.0
840.0, 275.0, -514.0, 0.0, 0.0, 2.0, 3796.0, 2228.0, -2131.0
840.0, 277.0, -515.0, 0.0, 0.0, 2.0, 3796.0, 2228.0, -2131.0
840.0, 278.0, -515.0, 0.0, 0.0, 2.0, 3796.0, 2228.0, -2131.0
841.0, 279.0, -515.0, 0.0, 0.0, 2.0, 3796.0, 2228.0, -2131.0
842.0, 281.0, -515.0, 0.0, 0.0, 2.0, 3551.0, 2228.0, -2096.0
843.0, 282.0, -515.0, 0.0, 0.0, 2.0, 3551.0, 2228.0, -2096.0
843.0, 282.0, -515.0, 0.0, 0.0, 2.0, 3551.0, 2228.0, -2096.0
844.0, 283.0, -516.0, 0.0, 0.0, 2.0, 3551.0, 2228.0, -2096.0
844.0, 284.0, -517.0, 0.0, 0.0, 2.0, 3551.0, 2228.0, -2096.0
844.0, 284.0, -517.0, 0.0, 0.0, 2.0, 3551.0, 2228.0, -2096.0
845.0, 285.0, -517.0, 0.0, 1.0, 1.0, 3551.0, 2228.0, -2096.0
846.0, 286.0, -517.0, 0.0, 0.0, 1.0, 3551.0, 2228.0, -2096.0
846.0, 286.0, -517.0, 0.0, 0.0, 1.0, 3551.0, 2228.0, -2096.0
846.0, 287.0, -518.0, 0.0, 1.0, 1.0, 3551.0, 2228.0, -2096.0
847.0, 287.0, -519.0, 0.0, 1.0, 1.0, 3551.0, 2228.0, -2096.0
847.0, 288.0, -519.0, 0.0, 1.0, 1.0, 3621.0, 2368.0, -2096.0
848.0, 288.0, -519.0, 0.0, 1.0, 1.0, 3621.0, 2368.0, -2096.0
849.0, 288.0, -520.0, 0.0, 1.0, 1.0, 3621.0, 2368.0, -2096.0
