ax,ay,az,gx,gy,gz,mx,my,mz
828.0, 319.0, -545.0, 78.0, 67.0, -74.0, 3691.0, 1879.0, -2653.0
824.0, 312.0, -547.0, 78.0, 67.0, -75.0, 3691.0, 1879.0, -2653.0
819.0, 305.0, -549.0, 78.0, 67.0, -75.0, 3691.0, 1879.0, -2653.0
821.0, 304.0, -555.0, 78.0, 66.0, -75.0, 3691.0, 1879.0, -2653.0
820.0, 298.0, -557.0, 78.0, 66.0, -75.0, 3691.0, 1879.0, -2653.0
817.0, 295.0, -560.0, 79.0, 66.0, -75.0, 3638.0, 2106.0, -2636.0
816.0, 292.0, -563.0, 79.0, 65.0, -75.0, 3638.0, 2106.0, -2636.0
817.0, 287.0, -566.0, 80.0, 65.0, -75.0, 3638.0, 2106.0, -2636.0
811.0, 283.0, -566.0, 80.0, 65.0, -75.0, 3638.0, 2106.0, -2636.0
811.0, 280.0, -571.0, 80.0, 65.0, -75.0, 3638.0, 2106.0, -2636.0
815.0, 276.0, -578.0, 81.0, 64.0, -75.0, 3638.0, 2106.0, -2636.0
815.0, 276.0, -578.0, 81.0, 64.0, -75.0, 3638.0, 2106.0, -2636.0
809.0, 269.0, -578.0, 81.0, 64.0, -75.0, 3638.0, 2106.0, -2636.0
808.0, 266.0, -581.0, 81.0, 63.0, -75.0, 3638.0, 2106.0, -2636.0
806.0, 262.0, -582.0, 81.0, 63.0, -75.0, 3638.0, 2106.0, -2636.0
808.0, 261.0, -586.0, 81.0, 64.0, -75.0, 3638.0, 2106.0, -2636.0
809.0, 261.0, -590.0, 81.0, 64.0, -75.0, 3778.0, 1966.0, -2705.0
805.0, 254.0, -592.0, 81.0, 64.0, -74.0, 3778.0, 1966.0, -2705.0
804.0, 248.0, -594.0, 81.0, 63.0, -74.0, 3778.0, 1966.0, -2705.0
799.0, 247.0, -596.0, 81.0, 63.0, -74.0, 3778.0, 1966.0, -2705.0
797.0, 247.0, -597.0, 81.0, 63.0, -73.0, 3778.0, 1966.0, -2705.0
801.0, 247.0, -600.0, 82.0, 64.0, -73.0, 3778.0, 1966.0, -2705.0
803.0, 243.0, -601.0, 82.0, 64.0, -73.0, 3778.0, 1966.0, -2705.0
801.0, 240.0, -601.0, 82.0, 64.0, -72.0, 3778.0, 1966.0, -2705.0
801.0, 240.0, -601.0, 82.0, 64.0, -72.0, 3778.0, 1966.0, -2705.0
804.0, 244.0, -604.0, 81.0, 64.0, -72.0, 3778.0, 1966.0, -2705.0
800.0, 245.0, -602.0, 81.0, 64.0, -72.0, 3778.0, 1966.0, -2705.0
796.0, 244.0, -599.0, 81.0, 64.0, -72.0, 3603.0, 2071.0, -2636.0
799.0, 245.0, -603.0, 81.0, 64.0, -72.0, 3603.0, 2071.0, -2636.0
796.0, 244.0, -603.0, 82.0, 64.0, -71.0, 3603.0, 2071.0, -2636.0
792.0, 243.0, -601.0, 82.0, 64.0, -71.0, 3603.0, 2071.0, -2636.0
800.0, 246.0, -604.0, 81.0, 64.0, -71.0, 3603.0, 2071.0, -2636.0
803.0, 248.0, -605.0, 81.0, 65.0, -71.0, 3603.0, 2071.0, -2636.0
795.0, 247.0, -601.0, 81.0, 65.0, -71.0, 3603.0, 2071.0, -2636.0
797.0, 248.0, -604.0, 81.0, 65.0, -70.0, 3603.0, 2071.0, -2636.0
799.0, 244.0, -606.0, 82.0, 65.0, -70.0, 3603.0, 2071.0, -2636.0
799.0, 244.0, -606.0, 82.0, 65.0, -70.0, 3603.0, 2071.0, -2636.0
797.0, 237.0, -605.0, 82.0, 65.0, -69.0, 3603.0, 2071.0, -2636.0
798.0, 234.0, -606.0, 82.0, 66.0, -69.0, 3691.0, 2019.0, -2549.0
800.0, 236.0, -606.0, 82.0, 66.0, -69.0, 3691.0, 2019.0, -2549.0
798.0, 235.0, -603.0, 82.0, 66.0, -69.0, 3691.0, 2019.0, -2549.0
796.0, 233.0, -600.0, 83.0, 67.0, -69.0, 3691.0, 2019.0, -2549.0
800.0, 232.0, -600.0, 83.0, 67.0, -69.0, 3691.0, 2019.0, -2549.0
800.0, 226.0, -602.0, 83.0, 67.0, -68.0, 3691.0, 2019.0, -2549.0
800.0, 222.0, -602.0, 83.0, 67.0, -68.0, 3691.0, 2019.0, -2549.0
803.0, 221.0, -602.0, 83.0, 67.0, -68.0, 3691.0, 2019.0, -2549.0
804.0, 217.0, -601.0, 83.0, 68.0, -67.0, 3691.0, 2019.0, -2549.0
806.0, 213.0, -601.0, 84.0, 68.0, -67.0, 3691.0, 2019.0, -2549.0
807.0, 208.0, -599.0, 84.0, 68.0, -67.0, 3691.0, 2019.0, -2549.0
807.0, 208.0, -599.0, 84.0, 68.0, -67.0, 3708.0, 1862.0, -2601.0
806.0, 204.0, -596.0, 84.0, 68.0, -66.0, 3708.0, 1862.0, -2601.0
809.0, 202.0, -597.0, 84.0, 68.0, -66.0, 3708.0, 1862.0, -2601.0
813.0, 194.0, -599.0, 84.0, 68.0, -65.0, 3708.0, 1862.0, -2601.0
812.0, 186.0, -600.0, 84.0, 68.0, -65.0, 3708.0, 1862.0, -2601.0
815.0, 187.0, -606.0, 84.0, 68.0, -65.0, 3708.0, 1862.0, -2601.0
812.0, 187.0, -603.0, 84.0, 68.0, -64.0, 3708.0, 1862.0, -2601.0
808.0, 178.0, -601.0, 84.0, 67.0, -63.0, 3708.0, 1862.0, -2601.0
815.0, 175.0, -604.0, 85.0, 68.0, -63.0, 3708.0, 1862.0, -2601.0
819.0, 171.0, -602.0, 85.0, 68.0, -62.0, 3708.0, 1862.0, -2601.0
818.0, 163.0, -602.0, 85.0, 68.0, -62.0, 3708.0, 1757.0, -2601.0
819.0, 155.0, -602.0, 85.0, 67.0, -61.0, 3708.0, 1757.0, -2427.0
819.0, 155.0, -602.0, 85.0, 67.0, -61.0, 3708.0, 1757.0, -2427.0
819.0, 147.0, -602.0, 85.0, 67.0, -60.0, 3708.0, 1757.0, -2427.0
820.0, 144.0, -603.0, 85.0, 67.0, -59.0, 3708.0, 1757.0, -2427.0
823.0, 145.0, -604.0, 85.0, 66.0, -59.0, 3708.0, 1757.0, -2427.0
828.0, 144.0, -606.0, 85.0, 66.0, -58.0, 3708.0, 1757.0, -2427.0
826.0, 136.0, -603.0, 86.0, 65.0, -57.0, 3708.0, 1757.0, -2427.0
824.0, 128.0, -604.0, 86.0, 65.0, -56.0, 3708.0, 1757.0, -2427.0
826.0, 128.0, -603.0, 86.0, 64.0, -55.0, 3708.0, 1757.0, -2427.0
824.0, 128.0, -600.0, 86.0, 64.0, -54.0, 3708.0, 1757.0, -2427.0
824.0, 122.0, -598.0, 87.0, 64.0, -53.0, 3778.0, 1897.0, -2705.0
826.0, 119.0, -594.0, 87.0, 63.0, -52.0, 3778.0, 1897.0, -2705.0
838.0, 123.0, -597.0, 86.0, 63.0, -52.0, 3778.0, 1897.0, -2705.0
835.0, 124.0, -595.0, 86.0, 62.0, -51.0, 3778.0, 1897.0, -2705.0
835.0, 124.0, -595.0, 86.0, 62.0, -51.0, 3778.0, 1897.0, -2705.0
828.0, 124.0, -590.0, 86.0, 61.0, -50.0, 3778.0, 1897.0, -2705.0
832.0, 126.0, -588.0, 87.0, 60.0, -49.0, 3778.0, 1897.0, -2705.0
834.0, 125.0, -588.0, 87.0, 60.0, -48.0, 3778.0, 1897.0, -2705.0
836.0, 129.0, -590.0, 87.0, 59.0, -47.0, 3778.0, 1897.0, -2705.0
836.0, 132.0, -589.0, 88.0, 58.0, -46.0, 3778.0, 1897.0, -2705.0
834.0, 132.0, -587.0, 88.0, 58.0, -45.0, 3778.0, 1897.0, -2705.0
841.0, 132.0, -590.0, 88.0, 57.0, -45.0, 3691.0, 1914.0, -2688.0
838.0, 131.0, -587.0, 89.0, 56.0, -44.0, 3691.0, 1914.0, -2688.0
831.0, 132.0, -583.0, 88.0, 56.0, -43.0, 3691.0, 1914.0, -2688.0
838.0, 139.0, -588.0, 89.0, 55.0, -43.0, 3691.0, 1914.0, -2688.0
840.0, 141.0, -589.0, 89.0, 54.0, -42.0, 3691.0, 1914.0, -2688.0
835.0, 134.0, -587.0, 90.0, 54.0, -41.0, 3691.0, 1914.0, -2688.0
835.0, 134.0, -587.0, 90.0, 54.0, -41.0, 3691.0, 1914.0, -2688.0
832.0, 130.0, -586.0, 91.0, 53.0, -40.0, 3691.0, 1914.0, -2688.0
833.0, 128.0, -588.0, 91.0, 52.0, -39.0, 3691.0, 1914.0, -2688.0
833.0, 123.0, -587.0, 91.0, 52.0, -38.0, 3691.0, 1914.0, -2688.0
837.0, 125.0, -590.0, 90.0, 51.0, -38.0, 3691.0, 1914.0, -2688.0
837.0, 128.0, -591.0, 91.0, 50.0, -37.0, 3743.0, 1932.0, -2636.0
832.0, 125.0, -588.0, 91.0, 50.0, -36.0, 3743.0, 1932.0, -2636.0
841.0, 122.0, -593.0, 92.0, 49.0, -35.0, 3743.0, 1932.0, -2636.0
843.0, 117.0, -595.0, 93.0, 48.0, -34.0, 3743.0, 1932.0, -2636.0
838.0, 112.0, -593.0, 93.0, 47.0, -33.0, 3743.0, 1932.0, -2636.0
840.0, 112.0, -593.0, 93.0, 46.0, -32.0, 3743.0, 1932.0, -2636.0
834.0, 116.0, -589.0, 93.0, 45.0, -31.0, 3743.0, 1932.0, -2636.0
834.0, 116.0, -589.0, 93.0, 45.0, -31.0, 3743.0, 1932.0, -2636.0
833.0, 119.0, -588.0, 93.0, 45.0, -30.0, 3743.0, 1932.0, -2636.0
837.0, 120.0, -589.0, 93.0, 44.0, -29.0, 3743.0, 1932.0, -2636.0
836.0, 117.0, -587.0, 94.0, 43.0, -28.0, 3743.0, 1932.0, -2636.0
837.0, 122.0, -586.0, 94.0, 42.0, -27.0, 3796.0, 1914.0, -2827.0
837.0, 130.0, -587.0, 94.0, 41.0, -26.0, 3796.0, 1914.0, -2827.0
