ax,ay,az,gx,gy,gz,mx,my,mz
745.0, 202.0, -681.0, -1.0, 3.0, -5.0, 3446.0, 1949.0, -2827.0
744.0, 202.0, -681.0, -1.0, 2.0, -5.0, 3446.0, 1949.0, -2827.0
744.0, 201.0, -681.0, -1.0, 2.0, -5.0, 3446.0, 1949.0, -2827.0
744.0, 201.0, -683.0, -1.0, 2.0, -5.0, 3446.0, 1949.0, -2827.0
744.0, 201.0, -684.0, -1.0, 2.0, -5.0, 3446.0, 1949.0, -2827.0
744.0, 201.0, -684.0, -1.0, 2.0, -5.0, 3446.0, 1949.0, -2827.0
743.0, 201.0, -684.0, -1.0, 2.0, -5.0, 3446.0, 1949.0, -2827.0
743.0, 201.0, -684.0, -1.0, 2.0, -5.0, 3446.0, 1949.0, -2827.0
743.0, 200.0, -684.0, -1.0, 2.0, -5.0, 3376.0, 2089.0, -2792.0
742.0, 200.0, -683.0, -1.0, 2.0, -5.0, 3376.0, 2089.0, -2792.0
742.0, 200.0, -683.0, -1.0, 2.0, -4.0, 3376.0, 2089.0, -2792.0
742.0, 200.0, -684.0, -1.0, 2.0, -4.0, 3376.0, 2089.0, -2792.0
742.0, 199.0, -684.0, -1.0, 2.0, -4.0, 3376.0, 2089.0, -2792.0
742.0, 199.0, -683.0, -1.0, 2.0, -4.0, 3376.0, 2089.0, -2792.0
742.0, 199.0, -684.0, -1.0, 2.0, -4.0, 3376.0, 2089.0, -2792.0
742.0, 199.0, -684.0, -1.0, 2.0, -4.0, 3376.0, 2089.0, -2792.0
742.0, 199.0, -684.0, -1.0, 2.0, -4.0, 3376.0, 2089.0, -2792.0
742.0, 199.0, -685.0, -1.0, 2.0, -4.0, 3376.0, 2089.0, -2792.0
742.0, 200.0, -685.0, -1.0, 2.0, -4.0, 3376.0, 2089.0, -2792.0
743.0, 200.0, -686.0, -1.0, 2.0, -4.0, 3499.0, 2141.0, -2775.0
743.0, 201.0, -686.0, -1.0, 2.0, -4.0, 3499.0, 2141.0, -2775.0
743.0, 201.0, -685.0, -1.0, 2.0, -3.0, 3499.0, 2141.0, -2775.0
744.0, 200.0, -685.0, -1.0, 2.0, -3.0, 3499.0, 2141.0, -2775.0
744.0, 200.0, -685.0, -1.0, 2.0, -3.0, 3499.0, 2141.0, -2775.0
744.0, 200.0, -685.0, -1.0, 2.0, -3.0, 3499.0, 2141.0, -2775.0
744.0, 200.0, -685.0, -1.0, 2.0, -3.0, 3499.0, 2141.0, -2775.0
744.0, 200.0, -684.0, -1.0, 2.0, -3.0, 3499.0, 2141.0, -2775.0
744.0, 200.0, -684.0, -1.0, 2.0, -3.0, 3499.0, 2141.0, -2775.0
744.0, 200.0, -683.0, -1.0, 2.0, -3.0, 3499.0, 2141.0, -2775.0
744.0, 200.0, -682.0, -1.0, 2.0, -2.0, 3499.0, 2141.0, -2775.0
744.0, 200.0, -683.0, -1.0, 2.0, -2.0, 3429.0, 1932.0, -2844.0
744.0, 200.0, -684.0, -1.0, 2.0, -2.0, 3429.0, 1932.0, -2844.0
743.0, 200.0, -684.0, -1.0, 2.0, -2.0, 3429.0, 1932.0, -2844.0
743.0, 200.0, -684.0, -1.0, 2.0, -2.0, 3429.0, 1932.0, -2844.0
743.0, 200.0, -684.0, -1.0, 2.0, -2.0, 3429.0, 1932.0, -2844.0
743.0, 200.0, -685.0, -1.0, 2.0, -2.0, 3429.0, 1932.0, -2844.0
742.0, 200.0, -685.0, -1.0, 2.0, -2.0, 3429.0, 1932.0, -2844.0
742.0, 200.0, -685.0, -1.0, 2.0, -2.0, 3429.0, 1932.0, -2844.0
742.0, 201.0, -685.0, -1.0, 2.0, -1.0, 3429.0, 1932.0, -2844.0
742.0, 201.0, -685.0, -1.0, 2.0, -1.0, 3429.0, 1932.0, -2844.0
742.0, 201.0, -685.0, 0.0, 1.0, -1.0, 3429.0, 1932.0, -2844.0
742.0, 201.0, -685.0, 0.0, 1.0, -1.0, 3411.0, 2158.0, -2827.0
742.0, 202.0, -685.0, -1.0, 1.0, -1.0, 3411.0, 2158.0, -2827.0
742.0, 202.0, -685.0, -1.0, 1.0, -1.0, 3411.0, 2158.0, -2827.0
742.0, 201.0, -685.0, -1.0, 1.0, -1.0, 3411.0, 2158.0, -2827.0
741.0, 200.0, -685.0, -1.0, 1.0, 0.0, 3411.0, 2158.0, -2827.0
741.0, 200.0, -684.0, -1.0, 1.0, 0.0, 3411.0, 2158.0, -2827.0
741.0, 200.0, -684.0, -1.0, 1.0, 0.0, 3411.0, 2158.0, -2827.0
742.0, 200.0, -685.0, -1.0, 1.0, 0.0, 3411.0, 2158.0, -2827.0
742.0, 200.0, -685.0, -1.0, 1.0, 0.0, 3411.0, 2158.0, -2827.0
742.0, 200.0, -685.0, -1.0, 1.0, 0.0, 3411.0, 2158.0, -2827.0
742.0, 200.0, -686.0, -1.0, 1.0, 0.0, 3411.0, 2158.0, -2827.0
742.0, 200.0, -686.0, -1.0, 1.0, 1.0, 3411.0, 2158.0, -2827.0
742.0, 200.0, -686.0, -1.0, 1.0, 1.0, 3516.0, 1914.0, -2931.0
742.0, 200.0, -686.0, -1.0, 1.0, 1.0, 3516.0, 1914.0, -2931.0
741.0, 200.0, -685.0, -1.0, 1.0, 1.0, 3516.0, 1914.0, -2931.0
741.0, 200.0, -685.0, -1.0, 1.0, 1.0, 3516.0, 1914.0, -2931.0
741.0, 199.0, -685.0, -1.0, 2.0, 1.0, 3516.0, 1914.0, -2931.0
740.0, 199.0, -685.0, -1.0, 2.0, 1.0, 3516.0, 1914.0, -2931.0
741.0, 199.0, -685.0, -1.0, 2.0, 1.0, 3516.0, 1914.0, -2931.0
741.0, 199.0, -686.0, -1.0, 2.0, 1.0, 3516.0, 1914.0, -2931.0
741.0, 198.0, -686.0, -1.0, 2.0, 1.0, 3516.0, 1914.0, -2931.0
741.0, 198.0, -686.0, -1.0, 2.0, 1.0, 3516.0, 1914.0, -2931.0
741.0, 199.0, -685.0, -1.0, 2.0, 1.0, 3516.0, 1914.0, -2931.0
742.0, 199.0, -684.0, -1.0, 2.0, 1.0, 3411.0, 1984.0, -2757.0
742.0, 199.0, -684.0, -1.0, 2.0, 1.0, 3411.0, 1984.0, -2757.0
742.0, 199.0, -684.0, -2.0, 2.0, 1.0, 3411.0, 1984.0, -2757.0
742.0, 199.0, -683.0, -2.0, 2.0, 2.0, 3411.0, 1984.0, -2757.0
743.0, 199.0, -683.0, -2.0, 2.0, 2.0, 3411.0, 1984.0, -2757.0
