ax,ay,az,gx,gy,gz,mx,my,mz
762.0, -20.0, -693.0, -50.0, -21.0, 1.0, 4356.0, 1006.0, -2618.0
761.0, -20.0, -701.0, -51.0, -22.0, 0.0, 4356.0, 1006.0, -2618.0
764.0, -18.0, -703.0, -51.0, -22.0, 0.0, 4356.0, 1006.0, -2618.0
763.0, -23.0, -705.0, -51.0, -23.0, -1.0, 4356.0, 1006.0, -2618.0
757.0, -28.0, -709.0, -51.0, -24.0, -2.0, 4356.0, 1006.0, -2618.0
748.0, -28.0, -716.0, -52.0, -25.0, -2.0, 4356.0, 1006.0, -2618.0
748.0, -25.0, -721.0, -52.0, -26.0, -3.0, 4356.0, 1006.0, -2618.0
748.0, -26.0, -720.0, -52.0, -27.0, -4.0, 4356.0, 1006.0, -2618.0
743.0, -25.0, -725.0, -52.0, -28.0, -5.0, 4356.0, 1006.0, -2618.0
743.0, -25.0, -725.0, -52.0, -28.0, -5.0, 4356.0, 1006.0, -2618.0
737.0, -20.0, -736.0, -53.0, -31.0, -5.0, 4356.0, 1006.0, -2618.0
736.0, -21.0, -741.0, -53.0, -32.0, -6.0, 4181.0, 1111.0, -2618.0
733.0, -21.0, -742.0, -52.0, -33.0, -6.0, 4181.0, 1111.0, -2618.0
725.0, -18.0, -748.0, -52.0, -35.0, -7.0, 4181.0, 1111.0, -2618.0
719.0, -17.0, -760.0, -52.0, -37.0, -8.0, 4181.0, 1111.0, -2618.0
719.0, -14.0, -765.0, -52.0, -38.0, -8.0, 4181.0, 1111.0, -2618.0
716.0, -9.0, -769.0, -52.0, -40.0, -9.0, 4181.0, 1111.0, -2618.0
709.0, -5.0, -781.0, -52.0, -42.0, -10.0, 4181.0, 1111.0, -2618.0
705.0, -4.0, -789.0, -52.0, -45.0, -10.0, 4181.0, 1111.0, -2618.0
701.0, -4.0, -788.0, -51.0, -46.0, -11.0, 4181.0, 1111.0, -2618.0
701.0, -4.0, -788.0, -51.0, -46.0, -11.0, 4181.0, 1111.0, -2618.0
695.0, -4.0, -796.0, -51.0, -48.0, -12.0, 4181.0, 1111.0, -2618.0
692.0, -4.0, -805.0, -51.0, -50.0, -12.0, 4303.0, 1129.0, -2705.0
690.0, -4.0, -806.0, -51.0, -52.0, -13.0, 4303.0, 1129.0, -2705.0
685.0, -3.0, -812.0, -51.0, -54.0, -14.0, 4303.0, 1129.0, -2705.0
685.0, -3.0, -820.0, -51.0, -56.0, -14.0, 4303.0, 1129.0, -2705.0
677.0, -2.0, -821.0, -51.0, -58.0, -15.0, 4303.0, 1129.0, -2705.0
671.0, 0.0, -828.0, -51.0, -60.0, -16.0, 4303.0, 1129.0, -2705.0
670.0, 0.0, -831.0, -51.0, -62.0, -17.0, 4303.0, 1129.0, -2705.0
664.0, 0.0, -835.0, -51.0, -64.0, -18.0, 4303.0, 1129.0, -2705.0
661.0, -2.0, -839.0, -50.0, -65.0, -18.0, 4303.0, 1129.0, -2705.0
659.0, -4.0, -839.0, -50.0, -66.0, -19.0, 4303.0, 1129.0, -2705.0
659.0, -4.0, -839.0, -50.0, -66.0, -19.0, 4303.0, 1129.0, -2705.0
659.0, -5.0, -842.0, -50.0, -68.0, -20.0, 4163.0, 1303.0, -2705.0
655.0, -7.0, -843.0, -50.0, -69.0, -21.0, 4163.0, 1303.0, -2705.0
652.0, -5.0, -843.0, -50.0, -71.0, -22.0, 4163.0, 1303.0, -2705.0
653.0, -5.0, -844.0, -50.0, -72.0, -23.0, 4163.0, 1303.0, -2705.0
651.0, -5.0, -849.0, -50.0, -73.0, -23.0, 4163.0, 1303.0, -2705.0
649.0, -4.0, -850.0, -49.0, -74.0, -24.0, 4163.0, 1303.0, -2705.0
647.0, -8.0, -849.0, -49.0, -76.0, -25.0, 4163.0, 1303.0, -2705.0
643.0, -7.0, -850.0, -48.0, -77.0, -25.0, 4163.0, 1303.0, -2705.0
644.0, -8.0, -852.0, -48.0, -77.0, -26.0, 4163.0, 1303.0, -2705.0
646.0, -10.0, -851.0, -48.0, -78.0, -27.0, 4163.0, 1303.0, -2705.0
646.0, -10.0, -851.0, -48.0, -78.0, -27.0, 4163.0, 1303.0, -2705.0
645.0, -11.0, -851.0, -48.0, -78.0, -27.0, 4268.0, 1303.0, -2636.0
645.0, -10.0, -851.0, -48.0, -78.0, -28.0, 4268.0, 1303.0, -2636.0
646.0, -8.0, -848.0, -47.0, -79.0, -28.0, 4268.0, 1303.0, -2636.0
646.0, -8.0, -853.0, -47.0, -79.0, -29.0, 4268.0, 1303.0, -2636.0
642.0, -8.0, -859.0, -46.0, -80.0, -29.0, 4268.0, 1303.0, -2636.0
637.0, -10.0, -859.0, -46.0, -80.0, -29.0, 4268.0, 1303.0, -2636.0
640.0, -12.0, -861.0, -46.0, -79.0, -29.0, 4268.0, 1303.0, -2636.0
639.0, -10.0, -861.0, -46.0, -78.0, -29.0, 4268.0, 1303.0, -2636.0
636.0, -12.0, -859.0, -46.0, -77.0, -30.0, 4268.0, 1303.0, -2636.0
640.0, -15.0, -858.0, -46.0, -75.0, -30.0, 4268.0, 1303.0, -2636.0
643.0, -17.0, -855.0, -46.0, -73.0, -30.0, 4268.0, 1303.0, -2636.0
643.0, -17.0, -855.0, -46.0, -73.0, -30.0, 4181.0, 1251.0, -2688.0
644.0, -23.0, -849.0, -46.0, -72.0, -30.0, 4181.0, 1251.0, -2688.0
650.0, -27.0, -844.0, -47.0, -70.0, -31.0, 4181.0, 1251.0, -2688.0
652.0, -31.0, -840.0, -47.0, -69.0, -31.0, 4181.0, 1251.0, -2688.0
654.0, -34.0, -833.0, -48.0, -67.0, -31.0, 4181.0, 1251.0, -2688.0
663.0, -39.0, -826.0, -48.0, -65.0, -31.0, 4181.0, 1251.0, -2688.0
669.0, -42.0, -817.0, -49.0, -63.0, -31.0, 4181.0, 1251.0, -2688.0
670.0, -48.0, -811.0, -49.0, -61.0, -31.0, 4181.0, 1251.0, -2688.0
679.0, -57.0, -805.0, -50.0, -60.0, -31.0, 4181.0, 1251.0, -2688.0
690.0, -65.0, -795.0, -51.0, -58.0, -31.0, 4181.0, 1251.0, -2688.0
697.0, -75.0, -782.0, -52.0, -56.0, -31.0, 4321.0, 1216.0, -2583.0
703.0, -82.0, -771.0, -54.0, -55.0, -31.0, 4321.0, 1216.0, -2583.0
710.0, -88.0, -761.0, -55.0, -54.0, -31.0, 4321.0, 1216.0, -2583.0
710.0, -88.0, -761.0, -55.0, -54.0, -31.0, 4321.0, 1216.0, -2583.0
719.0, -92.0, -748.0, -57.0, -52.0, -30.0, 4321.0, 1216.0, -2583.0
729.0, -92.0, -735.0, -58.0, -52.0, -30.0, 4321.0, 1216.0, -2583.0
736.0, -88.0, -728.0, -60.0, -51.0, -30.0, 4321.0, 1216.0, -2583.0
746.0, -85.0, -716.0, -60.0, -51.0, -29.0, 4321.0, 1216.0, -2583.0
755.0, -85.0, -703.0, -61.0, -51.0, -28.0, 4321.0, 1216.0, -2583.0
760.0, -84.0, -692.0, -62.0, -51.0, -28.0, 4321.0, 1216.0, -2583.0
771.0, -76.0, -683.0, -63.0, -52.0, -27.0, 4321.0, 1216.0, -2583.0
776.0, -66.0, -676.0, -64.0, -53.0, -26.0, 4146.0, 1321.0, -2549.0
782.0, -62.0, -669.0, -64.0, -54.0, -26.0, 4146.0, 1321.0, -2549.0
792.0, -53.0, -659.0, -64.0, -55.0, -25.0, 4146.0, 1321.0, -2549.0
796.0, -42.0, -651.0, -65.0, -56.0, -24.0, 4146.0, 1321.0, -2549.0
796.0, -42.0, -651.0, -65.0, -56.0, -24.0, 4146.0, 1321.0, -2549.0
800.0, -38.0, -646.0, -65.0, -58.0, -23.0, 4146.0, 1321.0, -2549.0
806.0, -34.0, -643.0, -65.0, -60.0, -22.0, 4146.0, 1321.0, -2549.0
809.0, -23.0, -638.0, -65.0, -62.0, -21.0, 4146.0, 1321.0, -2549.0
811.0, -13.0, -634.0, -65.0, -64.0, -21.0, 4146.0, 1321.0, -2549.0
813.0, -9.0, -632.0, -65.0, -66.0, -20.0, 4146.0, 1321.0, -2549.0
815.0, -3.0, -628.0, -65.0, -68.0, -19.0, 4146.0, 1321.0, -2549.0
815.0, 6.0, -626.0, -65.0, -70.0, -19.0, 4146.0, 1321.0, -2549.0
816.0, 12.0, -623.0, -65.0, -72.0, -19.0, 4146.0, 1321.0, -2549.0
816.0, 18.0, -621.0, -64.0, -74.0, -18.0, 4146.0, 1321.0, -2549.0
819.0, 21.0, -622.0, -64.0, -76.0, -17.0, 4146.0, 1321.0, -2549.0
817.0, 25.0, -623.0, -64.0, -78.0, -17.0, 4146.0, 1321.0, -2549.0
812.0, 26.0, -622.0, -63.0, -80.0, -16.0, 4146.0, 1321.0, -2549.0
812.0, 26.0, -622.0, -63.0, -80.0, -16.0, 4146.0, 1321.0, -2549.0
816.0, 26.0, -627.0, -63.0, -81.0, -16.0, 4146.0, 1321.0, -2549.0
814.0, 28.0, -626.0, -63.0, -83.0, -16.0, 4146.0, 1321.0, -2549.0
813.0, 31.0, -625.0, -63.0, -84.0, -16.0, 4146.0, 1321.0, -2549.0
812.0, 38.0, -629.0, -63.0, -86.0, -16.0, 4146.0, 1321.0, -2549.0
810.0, 39.0, -631.0, -63.0, -87.0, -16.0, 4146.0, 1321.0, -2549.0
811.0, 38.0, -632.0, -62.0, -88.0, -16.0, 4146.0, 1321.0, -2549.0
809.0, 38.0, -632.0, -62.0, -90.0, -16.0, 4146.0, 1321.0, -2549.0
807.0, 39.0, -637.0, -62.0, -91.0, -16.0, 4146.0, 1321.0, -2549.0
806.0, 40.0, -639.0, -62.0, -92.0, -16.0, 4146.0, 1321.0, -2549.0
804.0, 41.0, -639.0, -63.0, -93.0, -16.0, 4146.0, 1321.0, -2549.0
805.0, 41.0, -641.0, -63.0, -94.0, -17.0, 4146.0, 1321.0, -2549.0
805.0, 41.0, -641.0, -63.0, -94.0, -17.0, 4146.0, 1321.0, -2549.0
803.0, 39.0, -643.0, -63.0, -95.0, -17.0, 4146.0, 1321.0, -2549.0
799.0, 40.0, -644.0, -63.0, -96.0, -17.0, 4146.0, 1321.0, -2549.0
798.0, 42.0, -644.0, -63.0, -97.0, -18.0, 4146.0, 1321.0, -2549.0
799.0, 45.0, -647.0, -64.0, -97.0, -18.0, 4146.0, 1321.0, -2549.0
795.0, 46.0, -651.0, -64.0, -98.0, -18.0, 4146.0, 1321.0, -2549.0
792.0, 43.0, -652.0, -64.0, -99.0, -18.0, 4146.0, 1321.0, -2549.0
791.0, 43.0, -656.0, -64.0, -99.0, -19.0, 4146.0, 1321.0, -2549.0
787.0, 45.0, -656.0, -65.0, -100.0, -19.0, 4146.0, 1321.0, -2549.0
788.0, 50.0, -660.0, -65.0, -100.0, -20.0, 4146.0, 1321.0, -2549.0
785.0, 53.0, -664.0, -66.0, -101.0, -20.0, 4146.0, 1321.0, -2549.0
780.0, 50.0, -663.0, -66.0, -102.0, -20.0, 4146.0, 1321.0, -2549.0
780.0, 50.0, -663.0, -66.0, -102.0, -20.0, 4146.0, 1321.0, -2549.0
782.0, 48.0, -669.0, -66.0, -102.0, -20.0, 4146.0, 1321.0, -2549.0
778.0, 47.0, -666.0, -67.0, -102.0, -21.0, 4146.0, 1321.0, -2549.0
773.0, 50.0, -668.0, -68.0, -103.0, -21.0, 4146.0, 1321.0, -2549.0
772.0, 49.0, -673.0, -69.0, -103.0, -21.0, 4041.0, 1460.0, -2862.0
775.0, 51.0, -674.0, -70.0, -103.0, -22.0, 4041.0, 1460.0, -2862.0
771.0, 53.0, -677.0, -70.0, -104.0, -22.0, 4041.0, 1460.0, -2862.0
767.0, 51.0, -681.0, -71.0, -104.0, -22.0, 4041.0, 1460.0, -2862.0
765.0, 50.0, -683.0, -72.0, -104.0, -23.0, 4041.0, 1460.0, -2862.0
762.0, 48.0, -685.0, -73.0, -105.0, -23.0, 4041.0, 1460.0, -2862.0
759.0, 51.0, -693.0, -74.0, -105.0, -24.0, 4041.0, 1460.0, -2862.0
756.0, 52.0, -695.0, -75.0, -106.0, -24.0, 4041.0, 1460.0, -2862.0
754.0, 52.0, -695.0, -76.0, -106.0, -24.0, 4041.0, 1460.0, -2862.0
754.0, 52.0, -695.0, -76.0, -106.0, -24.0, 4041.0, 1460.0, -2862.0
750.0, 53.0, -699.0, -76.0, -106.0, -24.0, 4041.0, 1460.0, -2862.0
748.0, 56.0, -703.0, -77.0, -106.0, -25.0, 4058.0, 1408.0, -2705.0
746.0, 58.0, -707.0, -79.0, -106.0, -25.0, 4058.0, 1408.0, -2705.0
740.0, 58.0, -710.0, -80.0, -107.0, -26.0, 4058.0, 1408.0, -2705.0
737.0, 63.0, -715.0, -81.0, -107.0, -26.0, 4058.0, 1408.0, -2705.0
737.0, 67.0, -718.0, -82.0, -107.0, -27.0, 4058.0, 1408.0, -2705.0
730.0, 71.0, -721.0, -82.0, -107.0, -27.0, 4058.0, 1408.0, -2705.0
725.0, 72.0, -724.0, -83.0, -108.0, -28.0, 4058.0, 1408.0, -2705.0
725.0, 75.0, -729.0, -84.0, -108.0, -28.0, 4058.0, 1408.0, -2705.0
722.0, 79.0, -733.0, -84.0, -109.0, -29.0, 4058.0, 1408.0, -2705.0
719.0, 80.0, -734.0, -85.0, -109.0, -29.0, 4058.0, 1408.0, -2705.0
716.0, 81.0, -738.0, -85.0, -109.0, -29.0, 4058.0, 1408.0, -2705.0
716.0, 81.0, -738.0, -85.0, -109.0, -29.0, 4023.0, 1548.0, -2949.0
715.0, 82.0, -742.0, -86.0, -109.0, -30.0, 4023.0, 1548.0, -2949.0
715.0, 83.0, -746.0, -86.0, -109.0, -31.0, 4023.0, 1548.0, -2949.0
709.0, 88.0, -747.0, -86.0, -110.0, -32.0, 4023.0, 1548.0, -2949.0
701.0, 94.0, -749.0, -87.0, -110.0, -33.0, 4023.0, 1548.0, -2949.0
701.0, 96.0, -753.0, -87.0, -111.0, -33.0, 4023.0, 1548.0, -2949.0
700.0, 97.0, -752.0, -86.0, -111.0, -34.0, 4023.0, 1548.0, -2949.0
700.0, 99.0, -754.0, -86.0, -111.0, -35.0, 4023.0, 1548.0, -2949.0
697.0, 101.0, -756.0, -86.0, -111.0, -36.0, 4023.0, 1548.0, -2949.0
694.0, 102.0, -757.0, -86.0, -112.0, -37.0, 4023.0, 1548.0, -2949.0
694.0, 107.0, -761.0, -85.0, -112.0, -38.0, 3813.0, 1478.0, -2879.0
690.0, 106.0, -760.0, -85.0, -112.0, -38.0, 3813.0, 1478.0, -2879.0
691.0, 109.0, -761.0, -84.0, -113.0, -39.0, 3813.0, 1478.0, -2879.0
691.0, 109.0, -761.0, -84.0, -113.0, -39.0, 3813.0, 1478.0, -2879.0
692.0, 113.0, -764.0, -84.0, -113.0, -40.0, 3813.0, 1478.0, -2879.0
687.0, 109.0, -764.0, -83.0, -113.0, -40.0, 3813.0, 1478.0, -2879.0
683.0, 106.0, -766.0, -82.0, -114.0, -41.0, 3813.0, 1478.0, -2879.0
683.0, 106.0, -766.0, -82.0, -114.0, -42.0, 3813.0, 1478.0, -2879.0
682.0, 109.0, -766.0, -81.0, -114.0, -43.0, 3813.0, 1478.0, -2879.0
685.0, 111.0, -766.0, -81.0, -114.0, -43.0, 3813.0, 1478.0, -2879.0
688.0, 110.0, -764.0, -79.0, -114.0, -44.0, 3813.0, 1478.0, -2879.0
686.0, 111.0, -764.0, -78.0, -114.0, -45.0, 3796.0, 1705.0, -2792.0
686.0, 108.0, -762.0, -77.0, -114.0, -45.0, 3796.0, 1705.0, -2792.0
688.0, 102.0, -759.0, -76.0, -115.0, -46.0, 3796.0, 1705.0, -2792.0
689.0, 97.0, -760.0, -75.0, -115.0, -47.0, 3796.0, 1705.0, -2792.0
691.0, 93.0, -756.0, -74.0, -114.0, -47.0, 3796.0, 1705.0, -2792.0
691.0, 93.0, -756.0, -74.0, -114.0, -47.0, 3796.0, 1705.0, -2792.0
695.0, 92.0, -754.0, -73.0, -114.0, -48.0, 3796.0, 1705.0, -2792.0
697.0, 85.0, -753.0, -72.0, -114.0, -49.0, 3796.0, 1705.0, -2792.0
697.0, 79.0, -747.0, -71.0, -114.0, -49.0, 3796.0, 1705.0, -2792.0
704.0, 74.0, -741.0, -70.0, -113.0, -50.0, 3796.0, 1705.0, -2792.0
708.0, 68.0, -739.0, -70.0, -113.0, -50.0, 3796.0, 1705.0, -2792.0
711.0, 60.0, -737.0, -69.0, -113.0, -51.0, 3726.0, 1635.0, -2827.0
715.0, 53.0, -734.0, -68.0, -112.0, -51.0, 3726.0, 1635.0, -2827.0
719.0, 49.0, -731.0, -68.0, -112.0, -51.0, 3726.0, 1635.0, -2827.0
725.0, 46.0, -725.0, -67.0, -111.0, -51.0, 3726.0, 1635.0, -2827.0
721.0, 49.0, -726.0, -67.0, -111.0, -51.0, 3726.0, 1635.0, -2827.0
719.0, 53.0, -727.0, -66.0, -110.0, -51.0, 3726.0, 1635.0, -2827.0
723.0, 56.0, -722.0, -65.0, -108.0, -51.0, 3726.0, 1635.0, -2827.0
723.0, 56.0, -722.0, -65.0, -108.0, -51.0, 3726.0, 1635.0, -2827.0
722.0, 60.0, -721.0, -65.0, -106.0, -51.0, 3726.0, 1635.0, -2827.0
716.0, 66.0, -728.0, -64.0, -104.0, -50.0, 3726.0, 1635.0, -2827.0
720.0, 74.0, -731.0, -63.0, -101.0, -50.0, 3726.0, 1635.0, -2827.0
725.0, 78.0, -724.0, -62.0, -97.0, -50.0, 3726.0, 1600.0, -2792.0
725.0, 81.0, -721.0, -60.0, -95.0, -49.0, 3726.0, 1600.0, -2792.0
735.0, 82.0, -717.0, -59.0, -92.0, -48.0, 3726.0, 1600.0, -2792.0
743.0, 79.0, -707.0, -58.0, -88.0, -48.0, 3726.0, 1600.0, -2792.0
751.0, 78.0, -700.0, -57.0, -86.0, -47.0, 3726.0, 1600.0, -2792.0
756.0, 80.0, -692.0, -56.0, -84.0, -46.0, 3726.0, 1600.0, -2792.0
757.0, 81.0, -685.0, -55.0, -82.0, -46.0, 3726.0, 1600.0, -2792.0
763.0, 83.0, -682.0, -54.0, -80.0, -45.0, 3726.0, 1600.0, -2792.0
