ax,ay,az,gx,gy,gz,mx,my,mz
699.0, -7.0, -762.0, -6.0, -25.0, -9.0, 3079.0, 640.0, -3540.0
696.0, -1.0, -760.0, -6.0, -25.0, -9.0, 3079.0, 640.0, -3540.0
696.0, -4.0, -757.0, -6.0, -25.0, -9.0, 3079.0, 640.0, -3540.0
699.0, -8.0, -757.0, -7.0, -25.0, -8.0, 3079.0, 640.0, -3540.0
699.0, -8.0, -757.0, -7.0, -25.0, -8.0, 3079.0, 640.0, -3540.0
697.0, -5.0, -755.0, -7.0, -25.0, -8.0, 3079.0, 675.0, -3819.0
697.0, 5.0, -754.0, -8.0, -25.0, -8.0, 3079.0, 675.0, -3819.0
700.0, 9.0, -756.0, -8.0, -25.0, -8.0, 3079.0, 675.0, -3819.0
698.0, 14.0, -757.0, -8.0, -25.0, -7.0, 3079.0, 675.0, -3819.0
697.0, 18.0, -759.0, -7.0, -25.0, -7.0, 3079.0, 675.0, -3819.0
699.0, 20.0, -761.0, -7.0, -25.0, -6.0, 3079.0, 675.0, -3819.0
699.0, 18.0, -765.0, -7.0, -25.0, -6.0, 3079.0, 675.0, -3819.0
699.0, 18.0, -767.0, -6.0, -25.0, -6.0, 3079.0, 675.0, -3819.0
697.0, 18.0, -765.0, -7.0, -26.0, -6.0, 3079.0, 675.0, -3819.0
697.0, 18.0, -765.0, -7.0, -26.0, -6.0, 3079.0, 675.0, -3819.0
699.0, 18.0, -770.0, -7.0, -25.0, -5.0, 3079.0, 675.0, -3819.0
700.0, 25.0, -773.0, -8.0, -25.0, -5.0, 2834.0, 675.0, -3784.0
696.0, 28.0, -771.0, -8.0, -26.0, -5.0, 2834.0, 675.0, -3784.0
693.0, 30.0, -772.0, -7.0, -26.0, -5.0, 2834.0, 675.0, -3784.0
691.0, 31.0, -771.0, -7.0, -26.0, -5.0, 2834.0, 675.0, -3784.0
689.0, 34.0, -771.0, -7.0, -26.0, -5.0, 2834.0, 675.0, -3784.0
691.0, 34.0, -770.0, -7.0, -26.0, -5.0, 2834.0, 675.0, -3784.0
691.0, 29.0, -767.0, -6.0, -26.0, -4.0, 2834.0, 675.0, -3784.0
691.0, 29.0, -767.0, -6.0, -26.0, -4.0, 2834.0, 675.0, -3784.0
689.0, 30.0, -768.0, -6.0, -25.0, -4.0, 2834.0, 675.0, -3784.0
688.0, 34.0, -769.0, -6.0, -26.0, -3.0, 2834.0, 675.0, -3784.0
687.0, 34.0, -768.0, -6.0, -25.0, -3.0, 2834.0, 675.0, -3784.0
685.0, 31.0, -766.0, -6.0, -25.0, -3.0, 2921.0, 657.0, -3732.0
683.0, 29.0, -766.0, -6.0, -25.0, -3.0, 2921.0, 657.0, -3732.0
686.0, 33.0, -770.0, -6.0, -25.0, -3.0, 2921.0, 657.0, -3732.0
686.0, 37.0, -774.0, -7.0, -25.0, -3.0, 2921.0, 657.0, -3732.0
683.0, 39.0, -774.0, -7.0, -25.0, -2.0, 2921.0, 657.0, -3732.0
684.0, 40.0, -778.0, -6.0, -25.0, -2.0, 2921.0, 657.0, -3732.0
684.0, 40.0, -778.0, -6.0, -25.0, -2.0, 2921.0, 657.0, -3732.0
680.0, 38.0, -780.0, -7.0, -25.0, -2.0, 2921.0, 657.0, -3732.0
677.0, 41.0, -780.0, -7.0, -25.0, -2.0, 2921.0, 657.0, -3732.0
679.0, 47.0, -785.0, -8.0, -25.0, -2.0, 2921.0, 657.0, -3732.0
676.0, 53.0, -786.0, -7.0, -25.0, -2.0, 2921.0, 657.0, -3732.0
674.0, 54.0, -787.0, -7.0, -25.0, -2.0, 2956.0, 867.0, -3732.0
673.0, 51.0, -786.0, -7.0, -24.0, -2.0, 2956.0, 867.0, -3732.0
675.0, 49.0, -788.0, -7.0, -24.0, -1.0, 2956.0, 867.0, -3732.0
672.0, 51.0, -791.0, -7.0, -24.0, -1.0, 2956.0, 867.0, -3732.0
672.0, 51.0, -791.0, -7.0, -24.0, -1.0, 2956.0, 867.0, -3732.0
667.0, 54.0, -790.0, -7.0, -24.0, -2.0, 2956.0, 867.0, -3732.0
668.0, 57.0, -790.0, -7.0, -24.0, -2.0, 2956.0, 867.0, -3732.0
668.0, 56.0, -792.0, -7.0, -23.0, -1.0, 2956.0, 867.0, -3732.0
668.0, 56.0, -793.0, -7.0, -23.0, -2.0, 2956.0, 867.0, -3732.0
666.0, 62.0, -793.0, -7.0, -23.0, -1.0, 2956.0, 867.0, -3732.0
664.0, 61.0, -793.0, -7.0, -23.0, -2.0, 2956.0, 867.0, -3732.0
664.0, 54.0, -795.0, -6.0, -23.0, -1.0, 2886.0, 797.0, -3627.0
662.0, 53.0, -799.0, -6.0, -23.0, -1.0, 2886.0, 797.0, -3627.0
662.0, 59.0, -804.0, -7.0, -22.0, -2.0, 2886.0, 797.0, -3627.0
662.0, 59.0, -804.0, -7.0, -22.0, -2.0, 2886.0, 797.0, -3627.0
658.0, 63.0, -805.0, -7.0, -22.0, -2.0, 2886.0, 797.0, -3627.0
656.0, 61.0, -805.0, -7.0, -22.0, -2.0, 2886.0, 797.0, -3627.0
657.0, 53.0, -808.0, -7.0, -22.0, -2.0, 2886.0, 797.0, -3627.0
655.0, 51.0, -809.0, -7.0, -21.0, -2.0, 2886.0, 797.0, -3627.0
652.0, 55.0, -811.0, -8.0, -21.0, -3.0, 2886.0, 797.0, -3627.0
649.0, 55.0, -814.0, -8.0, -21.0, -3.0, 2886.0, 797.0, -3627.0
645.0, 55.0, -817.0, -8.0, -21.0, -3.0, 2886.0, 797.0, -3627.0
644.0, 62.0, -821.0, -8.0, -21.0, -4.0, 2991.0, 797.0, -3627.0
645.0, 70.0, -824.0, -8.0, -20.0, -4.0, 2991.0, 797.0, -3767.0
645.0, 70.0, -824.0, -8.0, -20.0, -4.0, 2991.0, 797.0, -3767.0
645.0, 67.0, -824.0, -7.0, -20.0, -4.0, 2991.0, 797.0, -3767.0
640.0, 61.0, -821.0, -7.0, -20.0, -4.0, 2991.0, 797.0, -3767.0
641.0, 65.0, -822.0, -7.0, -20.0, -4.0, 2991.0, 797.0, -3767.0
643.0, 72.0, -825.0, -6.0, -20.0, -4.0, 2991.0, 797.0, -3767.0
639.0, 72.0, -822.0, -6.0, -20.0, -5.0, 2991.0, 797.0, -3767.0
640.0, 67.0, -822.0, -6.0, -20.0, -5.0, 2991.0, 797.0, -3767.0
641.0, 66.0, -826.0, -5.0, -20.0, -5.0, 2991.0, 797.0, -3767.0
637.0, 71.0, -827.0, -5.0, -20.0, -6.0, 2991.0, 797.0, -3767.0
637.0, 71.0, -827.0, -5.0, -20.0, -6.0, 2991.0, 797.0, -3767.0
635.0, 75.0, -826.0, -5.0, -20.0, -6.0, 2921.0, 692.0, -3801.0
634.0, 70.0, -828.0, -5.0, -20.0, -6.0, 2921.0, 692.0, -3801.0
632.0, 71.0, -830.0, -5.0, -20.0, -6.0, 2921.0, 692.0, -3801.0
630.0, 76.0, -831.0, -4.0, -20.0, -7.0, 2921.0, 692.0, -3801.0
630.0, 77.0, -832.0, -4.0, -20.0, -7.0, 2921.0, 692.0, -3801.0
628.0, 73.0, -833.0, -3.0, -20.0, -7.0, 2921.0, 692.0, -3801.0
625.0, 71.0, -832.0, -3.0, -20.0, -8.0, 2921.0, 692.0, -3801.0
625.0, 74.0, -831.0, -3.0, -20.0, -8.0, 2921.0, 692.0, -3801.0
628.0, 75.0, -837.0, -3.0, -20.0, -8.0, 2921.0, 692.0, -3801.0
628.0, 75.0, -837.0, -3.0, -20.0, -8.0, 2921.0, 692.0, -3801.0
627.0, 77.0, -840.0, -2.0, -20.0, -9.0, 2921.0, 692.0, -3801.0
623.0, 81.0, -838.0, -1.0, -20.0, -9.0, 2886.0, 588.0, -3627.0
623.0, 82.0, -839.0, -1.0, -21.0, -9.0, 2886.0, 588.0, -3627.0
620.0, 76.0, -838.0, 0.0, -21.0, -9.0, 2886.0, 588.0, -3627.0
622.0, 69.0, -840.0, 1.0, -21.0, -10.0, 2886.0, 588.0, -3627.0
623.0, 69.0, -844.0, 1.0, -21.0, -10.0, 2886.0, 588.0, -3627.0
619.0, 76.0, -844.0, 1.0, -22.0, -10.0, 2886.0, 588.0, -3627.0
618.0, 81.0, -842.0, 1.0, -22.0, -11.0, 2886.0, 588.0, -3627.0
619.0, 77.0, -843.0, 3.0, -22.0, -11.0, 2886.0, 588.0, -3627.0
619.0, 77.0, -843.0, 3.0, -22.0, -11.0, 2886.0, 588.0, -3627.0
620.0, 68.0, -842.0, 4.0, -22.0, -11.0, 2886.0, 588.0, -3627.0
620.0, 66.0, -841.0, 4.0, -22.0, -11.0, 2886.0, 588.0, -3627.0
620.0, 72.0, -840.0, 4.0, -23.0, -12.0, 2834.0, 605.0, -3784.0
620.0, 76.0, -839.0, 4.0, -23.0, -12.0, 2834.0, 605.0, -3784.0
620.0, 76.0, -840.0, 5.0, -24.0, -12.0, 2834.0, 605.0, -3784.0
619.0, 75.0, -840.0, 6.0, -25.0, -12.0, 2834.0, 605.0, -3784.0
617.0, 75.0, -840.0, 7.0, -25.0, -13.0, 2834.0, 605.0, -3784.0
618.0, 80.0, -842.0, 7.0, -25.0, -13.0, 2834.0, 605.0, -3784.0
619.0, 85.0, -842.0, 8.0, -26.0, -13.0, 2834.0, 605.0, -3784.0
619.0, 85.0, -842.0, 8.0, -26.0, -13.0, 2834.0, 605.0, -3784.0
619.0, 83.0, -841.0, 9.0, -26.0, -13.0, 2834.0, 605.0, -3784.0
617.0, 75.0, -842.0, 10.0, -27.0, -13.0, 2834.0, 605.0, -3784.0
616.0, 69.0, -845.0, 10.0, -27.0, -13.0, 2834.0, 605.0, -3784.0
615.0, 75.0, -846.0, 10.0, -27.0, -14.0, 2851.0, 867.0, -3662.0
615.0, 85.0, -847.0, 11.0, -28.0, -14.0, 2851.0, 867.0, -3662.0
616.0, 86.0, -850.0, 12.0, -28.0, -15.0, 2851.0, 867.0, -3662.0
613.0, 78.0, -850.0, 13.0, -29.0, -14.0, 2851.0, 867.0, -3662.0
611.0, 73.0, -847.0, 14.0, -29.0, -14.0, 2851.0, 867.0, -3662.0
615.0, 71.0, -847.0, 14.0, -29.0, -14.0, 2851.0, 867.0, -3662.0
615.0, 67.0, -850.0, 15.0, -30.0, -14.0, 2851.0, 867.0, -3662.0
612.0, 67.0, -849.0, 15.0, -30.0, -15.0, 2851.0, 867.0, -3662.0
612.0, 67.0, -849.0, 15.0, -30.0, -15.0, 2851.0, 867.0, -3662.0
612.0, 74.0, -849.0, 15.0, -31.0, -15.0, 2851.0, 867.0, -3662.0
615.0, 76.0, -849.0, 16.0, -31.0, -15.0, 2851.0, 867.0, -3662.0
616.0, 72.0, -851.0, 17.0, -31.0, -15.0, 3044.0, 780.0, -3645.0
613.0, 69.0, -853.0, 18.0, -32.0, -15.0, 3044.0, 780.0, -3645.0
610.0, 70.0, -850.0, 18.0, -33.0, -15.0, 3044.0, 780.0, -3645.0
611.0, 69.0, -848.0, 18.0, -33.0, -15.0, 3044.0, 780.0, -3645.0
