ax,ay,az,gx,gy,gz,mx,my,mz
710.0, 79.0, -740.0, 1.0, 1.0, 4.0, 3236.0, 1390.0, -3279.0
710.0, 78.0, -740.0, 1.0, 1.0, 4.0, 3236.0, 1390.0, -3279.0
710.0, 78.0, -739.0, 1.0, 1.0, 4.0, 3236.0, 1390.0, -3279.0
709.0, 78.0, -739.0, 1.0, 1.0, 4.0, 3236.0, 1390.0, -3279.0
709.0, 78.0, -739.0, 1.0, 1.0, 4.0, 3236.0, 1390.0, -3279.0
710.0, 77.0, -739.0, 1.0, 1.0, 4.0, 3236.0, 1390.0, -3279.0
710.0, 77.0, -739.0, 1.0, 1.0, 4.0, 3306.0, 1425.0, -3175.0
710.0, 76.0, -739.0, 1.0, 1.0, 4.0, 3306.0, 1425.0, -3175.0
710.0, 76.0, -740.0, 1.0, 1.0, 4.0, 3306.0, 1425.0, -3175.0
710.0, 76.0, -740.0, 1.0, 1.0, 4.0, 3306.0, 1425.0, -3175.0
710.0, 76.0, -742.0, 1.0, 1.0, 4.0, 3306.0, 1425.0, -3175.0
711.0, 77.0, -742.0, 1.0, 1.0, 4.0, 3306.0, 1425.0, -3175.0
711.0, 77.0, -742.0, 1.0, 1.0, 4.0, 3306.0, 1425.0, -3175.0
711.0, 78.0, -743.0, 1.0, 1.0, 4.0, 3306.0, 1425.0, -3175.0
711.0, 77.0, -742.0, 1.0, 1.0, 4.0, 3306.0, 1425.0, -3175.0
711.0, 77.0, -742.0, 1.0, 1.0, 4.0, 3306.0, 1425.0, -3175.0
711.0, 77.0, -742.0, 1.0, 1.0, 4.0, 3306.0, 1425.0, -3175.0
710.0, 76.0, -742.0, 1.0, 1.0, 4.0, 3306.0, 1425.0, -3175.0
710.0, 76.0, -742.0, 1.0, 1.0, 4.0, 3324.0, 1652.0, -3192.0
710.0, 76.0, -743.0, 1.0, 1.0, 4.0, 3324.0, 1652.0, -3192.0
710.0, 76.0, -743.0, 1.0, 1.0, 4.0, 3324.0, 1652.0, -3192.0
710.0, 76.0, -742.0, 1.0, 1.0, 4.0, 3324.0, 1652.0, -3192.0
710.0, 76.0, -742.0, 1.0, 1.0, 4.0, 3324.0, 1652.0, -3192.0
710.0, 76.0, -743.0, 1.0, 1.0, 4.0, 3324.0, 1652.0, -3192.0
709.0, 75.0, -742.0, 1.0, 1.0, 4.0, 3324.0, 1652.0, -3192.0
708.0, 75.0, -742.0, 1.0, 1.0, 4.0, 3324.0, 1652.0, -3192.0
708.0, 75.0, -743.0, 1.0, 1.0, 4.0, 3324.0, 1652.0, -3192.0
708.0, 75.0, -743.0, 1.0, 1.0, 4.0, 3324.0, 1652.0, -3192.0
708.0, 76.0, -743.0, 1.0, 1.0, 4.0, 3324.0, 1652.0, -3192.0
707.0, 76.0, -743.0, 1.0, 1.0, 4.0, 3254.0, 1513.0, -3262.0
707.0, 76.0, -743.0, 1.0, 1.0, 4.0, 3254.0, 1513.0, -3262.0
706.0, 75.0, -744.0, 1.0, 1.0, 4.0, 3254.0, 1513.0, -3262.0
706.0, 75.0, -745.0, 1.0, 1.0, 4.0, 3254.0, 1513.0, -3262.0
706.0, 76.0, -746.0, 1.0, 2.0, 4.0, 3254.0, 1513.0, -3262.0
705.0, 76.0, -746.0, 1.0, 2.0, 4.0, 3254.0, 1513.0, -3262.0
705.0, 77.0, -745.0, 1.0, 2.0, 4.0, 3254.0, 1513.0, -3262.0
705.0, 77.0, -745.0, 1.0, 2.0, 4.0, 3254.0, 1513.0, -3262.0
705.0, 77.0, -746.0, 1.0, 2.0, 4.0, 3254.0, 1513.0, -3262.0
705.0, 77.0, -747.0, 1.0, 2.0, 4.0, 3254.0, 1513.0, -3262.0
705.0, 77.0, -747.0, 1.0, 2.0, 4.0, 3254.0, 1513.0, -3262.0
706.0, 77.0, -747.0, 1.0, 2.0, 4.0, 3411.0, 1565.0, -3175.0
706.0, 77.0, -746.0, 0.0, 2.0, 4.0, 3411.0, 1565.0, -3175.0
707.0, 77.0, -745.0, 0.0, 3.0, 4.0, 3411.0, 1565.0, -3175.0
707.0, 77.0, -745.0, 0.0, 3.0, 4.0, 3411.0, 1565.0, -3175.0
707.0, 76.0, -744.0, 0.0, 3.0, 4.0, 3411.0, 1565.0, -3175.0
707.0, 76.0, -744.0, 0.0, 3.0, 4.0, 3411.0, 1565.0, -3175.0
707.0, 76.0, -743.0, 0.0, 3.0, 4.0, 3411.0, 1565.0, -3175.0
708.0, 76.0, -742.0, 0.0, 3.0, 4.0, 3411.0, 1565.0, -3175.0
708.0, 76.0, -742.0, 0.0, 3.0, 4.0, 3411.0, 1565.0, -3175.0
708.0, 76.0, -742.0, 0.0, 3.0, 4.0, 3411.0, 1565.0, -3175.0
708.0, 76.0, -741.0, 0.0, 3.0, 4.0, 3411.0, 1565.0, -3175.0
708.0, 76.0, -741.0, 0.0, 3.0, 4.0, 3324.0, 1548.0, -3297.0
708.0, 77.0, -742.0, 0.0, 3.0, 4.0, 3324.0, 1548.0, -3297.0
