0,1,2,3,4,5,6,7,8
0.0,0.0,6.0,0.0,0.0,1.0,1.0,-139.0,-44.0
-1.0,1.0,6.0,0.0,0.0,0.0,1.0,-139.0,-44.0
-1.0,0.0,5.0,1.0,1.0,1.0,2.0,-138.0,-43.0
-1.0,1.0,5.0,0.0,0.0,0.0,2.0,-138.0,-43.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,-138.0,-43.0
-2.0,3.0,3.0,-1.0,0.0,1.0,1.0,-138.0,-42.0
1.0,2.0,4.0,0.0,1.0,0.0,1.0,-137.0,-42.0
2.0,3.0,2.0,1.0,1.0,1.0,2.0,-136.0,-41.0
0.0,3.0,0.0,0.0,0.0,0.0,2.0,-136.0,-41.0
0.0,3.0,0.0,0.0,1.0,1.0,2.0,-135.0,-40.0
0.0,2.0,-1.0,0.0,0.0,0.0,2.0,-135.0,-40.0
0.0,3.0,-3.0,0.0,1.0,1.0,2.0,-134.0,-39.0
2.0,2.0,-1.0,1.0,1.0,0.0,3.0,-133.0,-39.0
1.0,3.0,-3.0,0.0,0.0,0.0,3.0,-133.0,-39.0
2.0,3.0,-4.0,0.0,1.0,1.0,3.0,-132.0,-38.0
2.0,2.0,-4.0,0.0,0.0,0.0,3.0,-132.0,-38.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,-132.0,-38.0
1.0,2.0,-5.0,0.0,1.0,0.0,3.0,-131.0,-38.0
1.0,2.0,-6.0,1.0,0.0,1.0,4.0,-131.0,-37.0
0.0,1.0,-6.0,0.0,1.0,0.0,4.0,-130.0,-37.0
3.0,1.0,-6.0,0.0,1.0,0.0,4.0,-129.0,-37.0
1.0,2.0,-7.0,1.0,0.0,1.0,5.0,-129.0,-36.0
3.0,0.0,-7.0,0.0,1.0,0.0,5.0,-128.0,-36.0
3.0,1.0,-8.0,0.0,0.0,0.0,5.0,-128.0,-36.0
2.0,2.0,-8.0,1.0,0.0,0.0,6.0,-128.0,-36.0
2.0,1.0,-10.0,0.0,1.0,1.0,6.0,-127.0,-35.0
2.0,1.0,-10.0,0.0,0.0,0.0,6.0,-127.0,-35.0
3.0,1.0,-9.0,1.0,0.0,0.0,7.0,-127.0,-35.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,-127.0,-35.0
3.0,2.0,-10.0,0.0,0.0,1.0,7.0,-127.0,-34.0
2.0,2.0,-11.0,0.0,0.0,0.0,7.0,-127.0,-34.0
1.0,2.0,-10.0,0.0,-1.0,0.0,7.0,-128.0,-34.0
3.0,2.0,-10.0,0.0,0.0,0.0,7.0,-128.0,-34.0
4.0,1.0,-9.0,0.0,0.0,1.0,7.0,-128.0,-33.0
3.0,2.0,-10.0,1.0,0.0,0.0,8.0,-128.0,-33.0
2.0,2.0,-9.0,0.0,-1.0,0.0,8.0,-129.0,-33.0
2.0,1.0,-9.0,0.0,-1.0,0.0,8.0,-130.0,-33.0
1.0,2.0,-9.0,-1.0,-1.0,0.0,7.0,-131.0,-33.0
1.0,2.0,-9.0,0.0,-1.0,0.0,7.0,-132.0,-33.0
1.0,0.0,-7.0,0.0,-1.0,0.0,7.0,-133.0,-33.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,-133.0,-33.0
3.0,1.0,-6.0,0.0,-1.0,0.0,7.0,-134.0,-33.0
1.0,2.0,-6.0,0.0,-1.0,0.0,7.0,-135.0,-33.0
1.0,1.0,-6.0,0.0,-1.0,1.0,7.0,-136.0,-32.0
3.0,2.0,-5.0,-1.0,-1.0,0.0,6.0,-137.0,-32.0
2.0,1.0,-5.0,0.0,-1.0,0.0,6.0,-138.0,-32.0
1.0,1.0,-4.0,0.0,-1.0,-1.0,6.0,-139.0,-33.0
1.0,1.0,-3.0,0.0,-2.0,0.0,6.0,-141.0,-33.0
1.0,1.0,-4.0,-1.0,-1.0,0.0,5.0,-142.0,-33.0
1.0,1.0,-3.0,0.0,-2.0,0.0,5.0,-144.0,-33.0
-2.0,2.0,-3.0,-1.0,-1.0,0.0,4.0,-145.0,-33.0
-1.0,1.0,-3.0,0.0,-1.0,0.0,4.0,-146.0,-33.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,-146.0,-33.0
0.0,1.0,-2.0,-1.0,-2.0,0.0,3.0,-148.0,-33.0
-1.0,1.0,0.0,0.0,-1.0,-1.0,3.0,-149.0,-34.0
0.0,0.0,1.0,0.0,-1.0,0.0,3.0,-150.0,-34.0
1.0,-1.0,1.0,-1.0,-1.0,0.0,2.0,-151.0,-34.0
-2.0,-1.0,1.0,0.0,-2.0,0.0,2.0,-153.0,-34.0
-4.0,-1.0,0.0,0.0,-1.0,0.0,2.0,-154.0,-34.0
-4.0,-1.0,1.0,-1.0,-2.0,-1.0,1.0,-156.0,-35.0
-2.0,-2.0,2.0,-1.0,0.0,0.0,0.0,-156.0,-35.0
-4.0,0.0,3.0,0.0,-1.0,0.0,0.0,-157.0,-35.0
-3.0,-1.0,4.0,-1.0,-1.0,0.0,-1.0,-158.0,-35.0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-158.0,-35.0
-1.0,-2.0,4.0,0.0,0.0,0.0,-1.0,-158.0,-35.0
-2.0,-1.0,5.0,-1.0,-1.0,0.0,-2.0,-159.0,-35.0
-2.0,-2.0,3.0,0.0,-1.0,0.0,-2.0,-160.0,-35.0
-5.0,-2.0,4.0,-1.0,0.0,0.0,-3.0,-160.0,-35.0
-3.0,-2.0,4.0,0.0,-1.0,0.0,-3.0,-161.0,-35.0
-2.0,-3.0,5.0,-1.0,0.0,0.0,-4.0,-161.0,-35.0
-3.0,-3.0,4.0,0.0,0.0,0.0,-4.0,-161.0,-35.0
-4.0,-1.0,5.0,-1.0,0.0,0.0,-5.0,-161.0,-35.0
-3.0,-2.0,5.0,0.0,0.0,0.0,-5.0,-161.0,-35.0
-2.0,-2.0,5.0,-1.0,0.0,0.0,-6.0,-161.0,-35.0
-1.0,-2.0,5.0,-1.0,0.0,0.0,-7.0,-161.0,-35.0
-3.0,-2.0,4.0,0.0,1.0,0.0,-7.0,-160.0,-35.0
0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-160.0,-35.0
-2.0,-2.0,4.0,-1.0,0.0,0.0,-8.0,-160.0,-35.0
-1.0,-2.0,5.0,0.0,0.0,1.0,-8.0,-160.0,-34.0
-2.0,-1.0,4.0,-1.0,1.0,0.0,-9.0,-159.0,-34.0
-4.0,-1.0,2.0,0.0,0.0,0.0,-9.0,-159.0,-34.0
-1.0,-2.0,3.0,-1.0,0.0,0.0,-10.0,-159.0,-34.0
-2.0,-1.0,3.0,0.0,1.0,0.0,-10.0,-158.0,-34.0
-4.0,1.0,1.0,-1.0,0.0,0.0,-11.0,-158.0,-34.0
-4.0,0.0,2.0,-1.0,0.0,1.0,-12.0,-158.0,-33.0
-2.0,1.0,3.0,-1.0,1.0,0.0,-13.0,-157.0,-33.0
-2.0,0.0,3.0,0.0,1.0,0.0,-13.0,-156.0,-33.0
-3.0,1.0,3.0,0.0,0.0,1.0,-13.0,-156.0,-32.0
0.0,0.0,0.0,0.0,0.0,0.0,-13.0,-156.0,-32.0
-2.0,0.0,4.0,-1.0,1.0,0.0,-14.0,-155.0,-32.0
-2.0,0.0,3.0,0.0,1.0,1.0,-14.0,-154.0,-31.0
-3.0,0.0,2.0,0.0,1.0,0.0,-14.0,-153.0,-31.0
-2.0,0.0,0.0,-1.0,0.0,0.0,-15.0,-153.0,-31.0
-1.0,0.0,0.0,0.0,1.0,1.0,-15.0,-152.0,-30.0
-1.0,0.0,-1.0,-1.0,1.0,0.0,-16.0,-151.0,-30.0
-1.0,0.0,-3.0,0.0,0.0,0.0,-16.0,-151.0,-30.0
-2.0,-1.0,-3.0,0.0,1.0,1.0,-16.0,-150.0,-29.0
-1.0,0.0,-4.0,-1.0,1.0,0.0,-17.0,-149.0,-29.0
0.0,0.0,-4.0,0.0,1.0,0.0,-17.0,-148.0,-29.0
1.0,0.0,-4.0,0.0,0.0,1.0,-17.0,-148.0,-28.0
0.0,0.0,-6.0,-1.0,1.0,0.0,-18.0,-147.0,-28.0
-1.0,0.0,-6.0,0.0,0.0,0.0,-18.0,-147.0,-28.0
0.0,0.0,0.0,0.0,0.0,0.0,-18.0,-147.0,-28.0
-1.0,1.0,-6.0,-1.0,0.0,1.0,-19.0,-147.0,-27.0
0.0,0.0,-7.0,0.0,0.0,0.0,-19.0,-147.0,-27.0
1.0,0.0,-6.0,0.0,1.0,0.0,-19.0,-146.0,-27.0
1.0,0.0,-7.0,0.0,0.0,1.0,-19.0,-146.0,-26.0
-1.0,1.0,-6.0,-1.0,0.0,0.0,-20.0,-146.0,-26.0
0.0,0.0,-7.0,0.0,0.0,1.0,-20.0,-146.0,-25.0
-1.0,0.0,-7.0,0.0,0.0,0.0,-20.0,-146.0,-25.0
0.0,0.0,-7.0,-1.0,-1.0,0.0,-21.0,-147.0,-25.0
0.0,0.0,-7.0,0.0,0.0,1.0,-21.0,-147.0,-24.0
0.0,0.0,-8.0,0.0,0.0,0.0,-21.0,-147.0,-24.0
-1.0,1.0,-7.0,0.0,0.0,0.0,-21.0,-147.0,-24.0
1.0,0.0,-7.0,-1.0,-1.0,1.0,-22.0,-148.0,-23.0
1.0,1.0,-6.0,0.0,0.0,0.0,-22.0,-148.0,-23.0
0.0,0.0,0.0,0.0,0.0,0.0,-22.0,-148.0,-23.0
1.0,0.0,-7.0,-1.0,-1.0,1.0,-23.0,-149.0,-22.0
0.0,1.0,-7.0,0.0,0.0,0.0,-23.0,-149.0,-22.0
0.0,0.0,-5.0,0.0,-1.0,0.0,-23.0,-150.0,-22.0
0.0,0.0,-6.0,-1.0,-1.0,0.0,-24.0,-151.0,-22.0
0.0,1.0,-6.0,0.0,-1.0,1.0,-24.0,-152.0,-21.0
0.0,1.0,-5.0,-1.0,0.0,0.0,-25.0,-152.0,-21.0
0.0,0.0,-4.0,0.0,-1.0,0.0,-25.0,-153.0,-21.0
0.0,2.0,-4.0,0.0,-1.0,0.0,-25.0,-154.0,-21.0
2.0,3.0,-2.0,-1.0,0.0,1.0,-26.0,-154.0,-20.0
2.0,5.0,-4.0,0.0,-1.0,0.0,-26.0,-155.0,-20.0
1.0,5.0,-3.0,0.0,-1.0,0.0,-26.0,-156.0,-20.0
2.0,4.0,-2.0,0.0,-2.0,0.0,-26.0,-158.0,-20.0
0.0,0.0,0.0,0.0,0.0,0.0,-26.0,-158.0,-20.0
1.0,5.0,-2.0,0.0,-1.0,0.0,-26.0,-159.0,-20.0
1.0,4.0,0.0,0.0,-1.0,0.0,-26.0,-160.0,-20.0
1.0,4.0,2.0,0.0,-1.0,0.0,-26.0,-161.0,-20.0
0.0,3.0,3.0,0.0,-1.0,0.0,-26.0,-162.0,-20.0
-1.0,5.0,2.0,0.0,-2.0,0.0,-26.0,-164.0,-20.0
-2.0,4.0,4.0,0.0,-1.0,0.0,-26.0,-165.0,-20.0
0.0,4.0,6.0,0.0,-1.0,0.0,-26.0,-166.0,-20.0
-1.0,4.0,6.0,1.0,-1.0,0.0,-25.0,-167.0,-20.0
-3.0,4.0,6.0,0.0,-1.0,0.0,-25.0,-168.0,-20.0
-2.0,2.0,5.0,0.0,-1.0,-1.0,-25.0,-169.0,-21.0
-2.0,2.0,6.0,1.0,-1.0,0.0,-24.0,-170.0,-21.0
-2.0,3.0,7.0,0.0,-1.0,0.0,-24.0,-171.0,-21.0
-3.0,1.0,6.0,0.0,-1.0,-1.0,-24.0,-172.0,-22.0
0.0,0.0,0.0,0.0,0.0,0.0,-24.0,-172.0,-22.0
-3.0,2.0,6.0,1.0,-1.0,0.0,-23.0,-173.0,-22.0
-3.0,1.0,6.0,0.0,0.0,0.0,-23.0,-173.0,-22.0
-2.0,0.0,5.0,1.0,-1.0,0.0,-22.0,-174.0,-22.0
-3.0,0.0,6.0,0.0,0.0,-1.0,-22.0,-174.0,-23.0
-3.0,-1.0,6.0,1.0,-1.0,0.0,-21.0,-175.0,-23.0
-2.0,-2.0,6.0,1.0,0.0,0.0,-20.0,-175.0,-23.0
-2.0,-2.0,7.0,0.0,0.0,0.0,-20.0,-175.0,-23.0
-3.0,-3.0,7.0,1.0,0.0,-1.0,-19.0,-175.0,-24.0
-3.0,-3.0,6.0,0.0,0.0,0.0,-19.0,-175.0,-24.0
-3.0,-4.0,6.0,1.0,0.0,0.0,-18.0,-175.0,-24.0
-3.0,-2.0,6.0,0.0,0.0,0.0,-18.0,-175.0,-24.0
-4.0,-3.0,6.0,1.0,0.0,0.0,-17.0,-175.0,-24.0
0.0,0.0,0.0,0.0,0.0,0.0,-17.0,-175.0,-24.0
-4.0,-1.0,6.0,0.0,1.0,-1.0,-17.0,-174.0,-25.0
-4.0,-1.0,8.0,0.0,0.0,1.0,-17.0,-174.0,-24.0
-4.0,-2.0,7.0,1.0,1.0,0.0,-16.0,-173.0,-24.0
-3.0,-1.0,7.0,0.0,1.0,0.0,-16.0,-172.0,-24.0
-4.0,-2.0,9.0,1.0,1.0,0.0,-15.0,-171.0,-24.0
-3.0,-2.0,8.0,1.0,1.0,0.0,-14.0,-170.0,-24.0
-3.0,-3.0,7.0,0.0,1.0,0.0,-14.0,-169.0,-24.0
-5.0,-2.0,7.0,1.0,1.0,0.0,-13.0,-168.0,-24.0
-5.0,-1.0,5.0,0.0,1.0,1.0,-13.0,-167.0,-23.0
-3.0,-2.0,6.0,0.0,2.0,0.0,-13.0,-165.0,-23.0
-3.0,-1.0,4.0,1.0,1.0,0.0,-12.0,-164.0,-23.0
-4.0,-1.0,4.0,0.0,2.0,0.0,-12.0,-162.0,-23.0
-4.0,-1.0,3.0,0.0,2.0,1.0,-12.0,-160.0,-22.0
0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-160.0,-22.0
-4.0,0.0,1.0,1.0,1.0,0.0,-11.0,-159.0,-22.0
-3.0,-1.0,2.0,0.0,2.0,0.0,-11.0,-157.0,-22.0
-2.0,-2.0,-1.0,0.0,2.0,0.0,-11.0,-155.0,-22.0
-3.0,-2.0,0.0,1.0,2.0,1.0,-10.0,-153.0,-21.0
-2.0,-2.0,0.0,0.0,1.0,0.0,-10.0,-152.0,-21.0
-2.0,-1.0,-1.0,0.0,2.0,1.0,-10.0,-150.0,-20.0
-2.0,-1.0,-2.0,0.0,2.0,0.0,-10.0,-148.0,-20.0
-2.0,-1.0,-1.0,0.0,1.0,0.0,-10.0,-147.0,-20.0
-3.0,-1.0,-1.0,0.0,2.0,1.0,-10.0,-145.0,-19.0
-3.0,0.0,-2.0,0.0,2.0,0.0,-10.0,-143.0,-19.0
-3.0,0.0,-3.0,0.0,1.0,0.0,-10.0,-142.0,-19.0
-2.0,0.0,-3.0,1.0,2.0,1.0,-9.0,-140.0,-18.0
-1.0,-1.0,-2.0,0.0,2.0,0.0,-9.0,-138.0,-18.0
0.0,0.0,0.0,0.0,0.0,0.0,-9.0,-138.0,-18.0
0.0,0.0,-3.0,0.0,2.0,1.0,-9.0,-136.0,-17.0
-3.0,1.0,-4.0,0.0,1.0,0.0,-9.0,-135.0,-17.0
-2.0,1.0,-4.0,0.0,2.0,0.0,-9.0,-133.0,-17.0
-1.0,1.0,-3.0,0.0,1.0,1.0,-9.0,-132.0,-16.0
0.0,1.0,-4.0,0.0,2.0,0.0,-9.0,-130.0,-16.0
